ID,Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
616,Zotu4196,1,0,0,3.42E-79,0,263,0,0
617,Zotu3132,1,0,0,3.42E-79,0,240,0,0
618,Zotu5812,1,0,0,3.42E-79,0,239,0,0
619,Zotu604,1,0,0,3.42E-79,0,238,0,0
620,Zotu182,1,0,0,2.55E-46,0,29,-0.894427191,0
621,Zotu1853,2,10,10,1.02E-34,0,12,0,0
622,Zotu1172,1,0,0,3.42E-79,0,237,0,0
623,Zotu3063,1,0,0,9.85E-62,0,130,0,0
624,Zotu2033,1,0,0,4.95E-31,0,13,-1.837117307,0
625,Zotu4050,1,0,0,9.85E-62,0,126,0,0
626,Zotu1731,1,0,0,4.32E-55,0,46,-1,0
627,Zotu1160,2,1,1,9.85E-62,0,114,0,0
628,Zotu90,1,0,0,1.61E-51,0,76,-0.577350269,0
629,Zotu2885,1,0,0,3.42E-79,0,236,0,0
630,Zotu2183,2,0,0,1.39E-34,1,12,0,0
631,Zotu2320,1,0,0,3.42E-79,0,243,0,0
632,Zotu3786,3,150,456,2.83E-18,0.333333333,1,0.402139493,0
633,Zotu4033,1,0,0,7.13E-47,0,21,-0.894427191,0
634,Zotu175,1,0,0,4.41E-47,0,21,-0.894427191,0
635,Zotu4302,2,1,1,9.85E-62,0,132,0,0
636,Zotu118,3,38,53,4.05E-30,0,3,0.943879807,0
637,Zotu1503,1,0,0,3.42E-79,0,234,0,0
638,Zotu254,1,0,0,3.42E-79,0,233,0,0
639,Zotu696,2,4,4,6.09E-47,0,21,0.447213595,0
640,Zotu1997,3,0,0,7.59E-24,1,48,0,0
641,Zotu4073,1,0,0,1.89E-44,0,22,-0.707106781,0
642,Zotu1290,1,0,0,2.01E-40,0,84,-1.414213562,0
643,Zotu2063,1,0,0,1.61E-51,0,76,-0.577350269,0
644,Zotu1223,2,1,1,9.85E-62,0,128,0,0
645,Zotu1562,2,0,0,7.84E-11,1,38,-0.697485832,0
646,Zotu670,1,0,0,3.42E-79,0,227,0,0
647,Zotu1456,1,0,0,3.42E-79,0,226,0,0
648,Zotu463,2,33,33,2.32E-41,0,4,0.215665546,0
649,Zotu5158,1,0,0,2.01E-40,0,81,-1.414213562,0
650,Zotu2334,1,0,0,3.42E-79,0,225,0,0
651,Zotu753,2,1,1,9.85E-62,0,130,0,0
652,Zotu1505,1,0,0,3.42E-79,0,224,0,0
653,Zotu439,2,0,0,7.19E-32,1,67,-1,0
654,Zotu585,1,0,0,9.85E-62,0,128,0,0
655,Zotu1091,1,0,0,3.42E-79,0,223,0,0
656,Zotu452,1,0,0,9.85E-62,0,122,0,0
657,Zotu1485,1,0,0,3.42E-79,0,300,0,0
658,Zotu16600,3,15.83333333,33,4.72E-31,0,11,0.981980506,0
659,Zotu396,1,0,0,3.42E-79,0,222,0,0
660,Zotu188,2,0,0,2.84E-44,1,86,0,0
661,Zotu2442,1,0,0,3.42E-79,0,309,0,0
662,Zotu1145,1,0,0,3.42E-79,0,221,0,0
663,Zotu2179,1,0,0,3.42E-79,0,220,0,0
664,Zotu1618,1,0,0,3.42E-79,0,218,0,0
665,Zotu115,2,0,0,2.84E-44,1,86,0,0
666,Zotu106,1,0,0,1.28E-25,0,15,-1.739252713,0
667,Zotu1119,1,0,0,3.42E-79,0,283,0,0
668,Zotu459,1,0,0,3.20E-31,0,6,-1.061445555,0
669,Zotu4246,1,0,0,3.42E-79,0,217,0,0
670,Zotu200,3,5,7,2.55E-38,0,33,1.224744871,0
671,Zotu701,3,7,7,9.86E-47,0,21,1.788854382,0
672,Zotu4433,2,6,6,1.15E-46,0,20,0.447213595,0
673,Zotu311,1,0,0,9.50E-12,0,38,-1.336847846,0
674,Zotu521,1,0,0,2.71E-29,0,2,-1.085930607,0
675,Zotu1162,1,0,0,3.42E-79,0,280,0,0
676,Zotu4241,2,0,0,2.84E-44,1,94,0,0
677,Zotu1465,1,0,0,3.42E-79,0,215,0,0
678,Zotu2265,1,0,0,3.42E-79,0,216,0,0
679,Zotu695,2,0,0,2.84E-44,1,98,0,0
680,Zotu2453,2,1,1,9.85E-62,0,109,0,0
681,Zotu2214,1,0,0,3.42E-79,0,213,0,0
682,Zotu1564,3,0.5,1,9.21E-32,0.666666667,67,1,0
683,Zotu2852,2,4,4,5.49E-46,0,25,0.447213595,0
684,Zotu752,1,0,0,9.85E-62,0,111,0,0
685,Zotu770,5,273,591,4.60E-18,0.1,1,2.24049146,0
686,Zotu6399,2,5,7,4.11E-29,0,16,-0.324442842,0
