ID,Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
241,Zotu6277,2,234,1068,1.25E-17,0,0,-0.473522547,0
242,Zotu3680,3,0,0,0.318562706,1,33,-0.661437828,0
243,Zotu8199,1,0,0,4.38E-208,0,129,0,0
244,Zotu1743,2,3,3,5.75E-131,0,27,0.816496581,0
245,Zotu5129,1,0,0,4.38E-208,0,244,0,0
246,Zotu5327,1,0,0,2.87E-131,0,64,-0.577350269,0
247,Zotu14699,1,0,0,4.38E-208,0,186,0,0
248,Zotu14443,2,2,2,1.63E-140,0,46,1,0
249,Zotu20,2,0,0,1.76E-19,1,1,-0.632455532,0
250,Zotu2970,4,767.6659091,5283,1.88E-17,0,1,0.252982213,0.375
251,Zotu3106,1,0,0,1.01E-140,0,42,-1,0
252,Zotu3361,1,0,0,2.01E-100,0,10,-0.848874688,0
253,Zotu1287,1,0,0,4.38E-208,0,131,0,0
254,Zotu20419,2,0,0,0.218578826,1,33,-1.322875656,0
255,Zotu11360,1,0,0,3.15E-19,0,0,-1.146423008,0
256,Zotu723,2,1,1,2.56E-159,0,118,0,0
257,Zotu10,1,0,0,1.28E-159,0,87,0,0
258,Zotu95,3,80,244,2.95E-18,0.333333333,0,0.199377915,0
259,Zotu9319,1,0,0,4.38E-208,0,275,0,0
260,Zotu5940,1,0,0,4.38E-208,0,270,0,0
261,Zotu8379,4,593.8571429,3750,1.79E-17,0,0,0.872278376,0
262,Zotu838,4,477.7374459,2616,4.00E-17,0.333333333,0,0.872278376,0
263,Zotu2967,2,584,3250,1.46E-19,0,1,-0.632455532,0
264,Zotu18,1,0,0,4.38E-208,0,266,0,0
265,Zotu85,1,0,0,4.38E-208,0,264,0,0
266,Zotu2007,2,148,1296,2.65E-18,0,1,-0.632455532,0
267,Zotu11072,1,0,0,5.65E-106,0,25,-0.603022689,0
268,Zotu17093,3,450,1180,7.16E-18,0.333333333,0,0.199377915,0
269,Zotu18162,1,0,0,4.38E-208,0,259,0,0
270,Zotu903,1,0,0,6.82E-21,0,1,-1.517893277,0
