ID,Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
2716,Zotu4895,4,0.25,1,6.30E-33,0.833333333,4,-0.299287328,0
2717,Zotu5554,2,0,0,1.17E-117,1,12,-0.563601862,0
2718,Zotu5964,4,6,6,1.93E-127,0.5,54,1.414213562,0
2719,Zotu3847,3,0,0,1.76E-127,1,55,0.353553391,0
2720,Zotu9232,8,0,0,1.42E-36,1,6,0.341723267,0
2721,Zotu12284,5,7.6,64,9.27E-100,0,26,1.032093693,0
2722,Zotu3983,7,37.67857143,832,0.015894766,0.142857143,34,-0.72778207,0
2723,Zotu7043,3,0.5,1,2.83E-143,0.666666667,142,1,0
2724,Zotu1899,1,0,0,9.45E-222,0,334,0,0
2725,Zotu2109,2,9,9,4.70E-154,0,49,0,0
2726,Zotu2349,2,0,0,2.21E-143,1,147,-1,0
2727,Zotu2372,3,795,480635,2.62E-37,0.333333333,0,-0.242167277,0
2728,Zotu2367,3,62.83333333,727,1.69E-98,0.333333333,13,-0.159749331,0
2729,Zotu20850,2,2,2,1.48E-181,0,114,1,0
2730,Zotu5203,1,0,0,9.45E-222,0,433,0,0
2731,Zotu5838,2,23,45,1.65E-87,0,16,-0.792118034,0
2732,Zotu3122,1,0,0,9.45E-222,0,283,0,0
2733,Zotu2098,8,0,0,1.42E-36,1,6,0.341723267,0
2734,Zotu4397,2,0,0,4.91E-107,1,121,-0.852802865,0
2735,Zotu2659,4,0.333333333,1,7.36E-114,0.833333333,105,0.816496581,0
2736,Zotu7944,10,669.3470588,27604,2.02E-15,0,8,1.04659035,0
2737,Zotu5592,6,0,0,5.29E-72,1,59,0.288675135,0
2738,Zotu5521,2,22,49,6.97E-103,0,25,-0.603022689,0
2739,Zotu1286,10,102.15,854,7.12E-66,0.155555556,72,1.964586351,0
2740,Zotu3138,1,0,0,9.45E-222,0,308,0,0
2741,Zotu1252,1,0,0,9.45E-222,0,282,0,0
2742,Zotu10264,3,0,0,3.83E-130,1,138,0,0
2743,Zotu2479,2,2,2,1.48E-181,0,117,1,0
2744,Zotu2630,4,0.857142857,6,2.67E-28,0,83,-1.428571429,0
2745,Zotu1317,4,7,28,2.52E-100,0.666666667,20,0.521026049,0
2746,Zotu1861,3,0,0,8.27E-74,1,40,-0.51725368,0
2747,Zotu3541,8,0,0,2.63E-25,1,39,-2.886751346,0
2748,Zotu5194,2,0,0,2.34E-99,1,13,-0.709997027,0
2749,Zotu214,1,0,0,9.45E-222,0,317,0,0
2750,Zotu20577,3,15.5,105,2.12E-75,0.666666667,56,-0.583819382,0
2751,Zotu19973,2,7,10,9.17E-140,0,48,-0.215665546,0
2752,Zotu19666,3,0,0,6.06E-114,1,105,-1.224744871,0
2753,Zotu19781,2,20,26,1.33E-113,0,14,-0.395032854,0
2754,Zotu18588,1,0,0,9.45E-222,0,362,0,0
2755,Zotu20702,1,0,0,9.45E-222,0,443,0,0
2756,Zotu6018,5,0,0,1.51E-87,1,65,0,0
2757,Zotu2935,4,2,6,7.59E-67,0,72,-0.291618286,0
2758,Zotu46,6,8.357142857,76,3.75E-67,0.266666667,72,0.460449926,0
2759,Zotu8792,4,1053.666667,228956,1.22E-49,0,30,-0.012635976,0
2760,Zotu7285,1,0,0,5.70E-32,0,4,-1.150708173,0
2761,Zotu3162,2,0,0,1.69E-113,1,14,-0.395032854,0
2762,Zotu7042,1,0,0,9.45E-222,0,444,0,0
2763,Zotu6778,5,0.25,1,1.16E-92,0.9,80,0.707106781,0
2764,Zotu5257,2,0,0,5.93E-164,1,182,0,0
2765,Zotu5318,1,0,0,9.45E-222,0,420,0,0
2766,Zotu8738,5,0,0,1.51E-87,1,66,0,0
2767,Zotu2212,1,0,0,9.45E-222,0,280,0,0
2768,Zotu2160,6,7158,8249483,2.17E-30,0.2,4,-0.015480379,0.277777778
2769,Zotu4687,2,0,0,5.93E-164,1,165,0,0
2770,Zotu2118,2,0,0,5.93E-164,1,193,0,0
2771,Zotu3481,2,0,0,4.17E-76,1,56,-1.03495254,0
2772,Zotu5700,2,0,0,6.15E-40,1,6,-1.36689307,0
2773,Zotu2832,3,0.5,1,2.83E-143,0.666666667,147,1,0
2774,Zotu5600,2,0.333333333,1,1.16E-120,0,94,-0.609207699,0
2775,Zotu2588,2,0.25,1,7.07E-75,0,40,-0.951746772,0
