Source,Target,Label,inter
216,469,-1,np
216,998,1,pp
217,269,1,pp
220,448,-1,np
221,719,1,pp
221,917,1,pp
222,239,1,pp
223,393,-1,np
223,672,-1,np
224,241,1,pp
224,261,1,pp
224,262,1,pp
224,278,1,pp
224,753,1,pp
225,745,-1,np
227,649,1,pp
228,250,1,pp
230,461,-1,np
231,905,-1,np
232,297,-1,np
233,234,1,pp
233,475,1,pp
233,717,-1,np
233,995,-1,np
234,240,1,pp
234,250,1,pp
234,278,1,pp
234,475,1,pp
234,687,-1,np
234,753,1,pp
235,667,-1,np
236,382,-1,np
237,303,1,pp
237,393,-1,np
237,607,-1,np
238,361,-1,np
238,502,-1,np
240,284,1,pp
241,1001,1,pp
242,273,1,pp
242,335,1,pp
242,659,-1,np
243,935,1,pp
244,946,1,pp
245,285,1,pp
246,281,1,pp
248,292,1,pp
248,675,-1,np
249,280,1,pp
249,436,-1,np
250,284,1,pp
251,941,-1,np
252,883,1,pp
254,273,1,pp
254,659,-1,np
255,755,1,pp
256,286,-1,np
256,658,1,pp
257,876,-1,np
260,317,-1,np
261,333,1,pp
262,753,1,pp
262,912,-1,np
263,280,1,pp
265,291,1,pp
266,584,-1,np
266,625,-1,np
272,499,1,pp
273,274,1,pp
273,335,1,pp
273,434,-1,np
273,659,-1,np
274,335,1,pp
274,659,-1,np
275,402,-1,np
275,421,-1,np
275,516,1,pp
276,995,-1,np
277,421,-1,np
278,283,1,pp
278,785,1,pp
278,870,1,pp
280,436,-1,np
281,507,1,pp
281,589,-1,np
282,666,1,pp
284,584,-1,np
287,1004,-1,np
288,824,-1,np
289,523,-1,np
290,909,1,pp
293,749,-1,np
294,388,-1,np
295,701,1,pp
295,781,-1,np
295,810,-1,np
295,872,-1,np
295,921,-1,np
296,620,-1,np
296,692,-1,np
298,881,1,pp
299,805,-1,np
299,972,-1,np
300,304,-1,np
300,535,1,pp
300,573,-1,np
301,760,1,pp
301,773,1,pp
301,823,1,pp
301,845,1,pp
301,984,1,pp
302,862,1,pp
303,393,-1,np
303,607,-1,np
305,422,-1,np
305,733,-1,np
305,1000,-1,np
306,314,1,pp
308,346,-1,np
308,831,1,pp
311,799,-1,np
312,329,-1,np
313,338,-1,np
316,561,1,pp
316,817,1,pp
318,394,-1,np
319,677,-1,np
320,467,1,pp
321,979,1,pp
322,983,-1,np
324,365,1,pp
324,413,-1,np
325,343,-1,np
326,621,-1,np
327,546,1,pp
329,898,1,pp
331,667,-1,np
332,840,-1,np
334,547,-1,np
334,844,-1,np
334,867,-1,np
335,434,-1,np
335,659,-1,np
336,971,-1,np
337,562,1,pp
337,680,1,pp
339,907,1,pp
340,846,1,pp
341,702,1,pp
341,947,1,pp
346,831,-1,np
347,812,1,pp
348,757,-1,np
350,540,-1,np
350,976,-1,np
351,757,-1,np
353,937,1,pp
354,694,1,pp
354,711,1,pp
354,869,-1,np
355,851,-1,np
357,432,1,pp
357,501,1,pp
358,726,1,pp
359,747,-1,np
360,508,1,pp
361,502,1,pp
362,576,-1,np
364,601,1,pp
364,613,1,pp
368,942,-1,np
369,607,1,pp
370,634,1,pp
370,1006,1,pp
371,398,1,pp
371,890,1,pp
372,633,1,pp
373,420,-1,np
374,943,-1,np
375,734,-1,np
375,825,-1,np
375,972,-1,np
376,474,1,pp
376,510,1,pp
379,380,1,pp
383,822,-1,np
385,442,-1,np
386,468,-1,np
387,665,1,pp
389,795,1,pp
390,735,1,pp
395,930,1,pp
397,629,1,pp
397,926,1,pp
398,890,1,pp
400,403,1,pp
400,578,-1,np
401,627,1,pp
401,757,-1,np
404,889,-1,np
404,966,-1,np
405,765,1,pp
406,500,-1,np
407,997,1,pp
408,964,1,pp
409,553,-1,np
409,794,-1,np
410,516,-1,np
411,973,-1,np
413,684,-1,np
414,419,1,pp
414,479,1,pp
414,586,1,pp
415,553,-1,np
416,829,-1,np
417,714,1,pp
418,991,1,pp
419,479,1,pp
419,586,1,pp
422,733,1,pp
422,840,-1,np
422,957,-1,np
422,1000,1,pp
423,873,1,pp
423,957,-1,np
424,925,-1,np
425,678,1,pp
426,604,1,pp
427,674,1,pp
428,807,-1,np
429,956,-1,np
431,871,-1,np
432,651,1,pp
432,954,1,pp
433,908,1,pp
434,659,1,pp
435,830,-1,np
437,599,-1,np
438,686,-1,np
439,826,1,pp
441,567,1,pp
441,718,1,pp
444,568,1,pp
445,587,1,pp
446,490,1,pp
449,646,1,pp
450,886,-1,np
451,566,1,pp
451,650,1,pp
452,557,-1,np
453,624,1,pp
454,839,-1,np
455,565,-1,np
456,968,1,pp
460,710,-1,np
464,860,1,pp
465,496,1,pp
465,841,-1,np
466,906,1,pp
468,610,-1,np
469,755,-1,np
470,730,-1,np
471,636,-1,np
471,878,1,pp
472,748,-1,np
473,536,1,pp
475,717,-1,np
475,995,-1,np
476,869,-1,np
477,654,-1,np
478,821,-1,np
479,586,1,pp
480,616,-1,np
480,955,-1,np
