Source,Target,Label,inter
363,196,-1,np
363,103,1,pp
363,346,1,pp
363,233,1,pp
100,300,1,pp
100,243,-1,np
32,383,1,pp
289,278,1,pp
29,368,-1,np
29,348,1,pp
10,247,1,pp
120,177,1,pp
182,131,1,pp
296,204,-1,np
110,260,-1,np
110,151,-1,np
45,133,-1,np
368,190,-1,np
196,173,-1,np
196,346,-1,np
158,121,1,pp
158,353,1,pp
158,200,-1,np
294,255,-1,np
252,295,1,pp
252,307,-1,np
132,24,1,pp
362,221,-1,np
362,346,1,pp
59,341,1,pp
59,39,1,pp
328,332,-1,np
338,261,-1,np
13,261,-1,np
13,354,-1,np
320,227,1,pp
320,77,1,pp
316,249,1,pp
79,81,1,pp
229,311,1,pp
229,276,1,pp
142,246,-1,np
142,60,1,pp
69,173,1,pp
69,187,1,pp
69,202,1,pp
121,353,1,pp
160,52,-1,np
160,253,-1,np
331,43,1,pp
270,261,-1,np
270,143,-1,np
311,276,1,pp
226,255,1,pp
251,135,1,pp
251,219,-1,np
240,151,-1,np
149,133,-1,np
149,278,-1,np
149,44,-1,np
149,97,1,pp
261,315,-1,np
52,173,1,pp
52,187,1,pp
282,334,1,pp
282,24,1,pp
190,97,-1,np
173,253,1,pp
350,313,1,pp
118,137,1,pp
75,103,1,pp
232,16,-1,np
16,60,-1,np
284,248,1,pp
135,41,1,pp
187,253,1,pp
307,115,1,pp
341,141,1,pp
50,218,1,pp
50,242,-1,np
218,242,-1,np
219,128,1,pp
77,103,1,pp
117,364,1,pp
117,319,1,pp
318,257,1,pp
364,319,1,pp
78,204,-1,np
