Source,Target,Label,inter
726,200,1,pp
726,28,1,pp
348,1026,1,pp
348,1003,-1,np
326,981,1,pp
326,385,1,pp
978,330,-1,np
1092,1077,1,pp
1092,915,1,pp
1092,998,-1,np
820,457,-1,np
820,870,-1,np
656,380,1,pp
371,605,-1,np
438,307,1,pp
882,211,-1,np
70,62,1,pp
70,190,-1,np
70,638,1,pp
62,638,1,pp
462,167,1,pp
959,297,-1,np
959,509,1,pp
792,88,1,pp
792,793,1,pp
286,408,1,pp
286,1041,1,pp
286,27,1,pp
286,563,1,pp
286,103,1,pp
286,166,1,pp
1077,774,1,pp
1077,998,-1,np
811,525,1,pp
811,1042,1,pp
1000,28,1,pp
1000,809,1,pp
625,1015,-1,np
625,85,-1,np
625,1075,1,pp
625,932,-1,np
625,1067,1,pp
821,192,1,pp
192,98,-1,np
901,1041,1,pp
901,27,1,pp
901,159,1,pp
844,609,1,pp
108,751,-1,np
108,344,-1,np
857,843,1,pp
229,758,1,pp
896,1013,1,pp
896,44,1,pp
306,979,-1,np
306,411,-1,np
306,219,1,pp
306,636,-1,np
661,858,-1,np
661,553,-1,np
138,644,1,pp
138,653,-1,np
582,674,1,pp
582,341,1,pp
1084,116,-1,np
1084,1021,-1,np
300,1019,1,pp
1,451,-1,np
1015,85,1,pp
408,1041,1,pp
408,27,1,pp
408,836,1,pp
736,353,-1,np
736,679,1,pp
736,383,1,pp
558,692,1,pp
558,816,-1,np
618,563,-1,np
618,668,-1,np
618,930,1,pp
333,218,-1,np
333,64,1,pp
333,48,1,pp
1027,907,-1,np
414,571,-1,np
414,34,1,pp
414,787,1,pp
1025,14,-1,np
1025,759,1,pp
51,675,-1,np
51,1048,1,pp
233,989,1,pp
233,819,-1,np
233,634,-1,np
1065,698,1,pp
719,631,1,pp
851,946,1,pp
851,634,-1,np
851,390,1,pp
263,194,-1,np
856,264,1,pp
775,107,1,pp
775,435,1,pp
1088,293,1,pp
1088,684,1,pp
73,13,1,pp
485,346,1,pp
485,756,-1,np
485,986,1,pp
790,905,-1,np
790,772,-1,np
790,823,-1,np
790,120,1,pp
790,860,1,pp
989,535,1,pp
989,365,-1,np
942,1074,1,pp
942,849,-1,np
295,816,-1,np
295,526,1,pp
751,922,-1,np
751,503,1,pp
812,297,-1,np
812,406,1,pp
878,995,-1,np
276,1008,-1,np
276,377,1,pp
1041,27,1,pp
1041,159,1,pp
116,440,1,pp
116,1021,1,pp
27,159,1,pp
55,88,1,pp
55,260,-1,np
911,103,1,pp
911,1063,-1,np
911,871,1,pp
911,166,1,pp
580,1038,1,pp
580,1064,1,pp
580,957,-1,np
379,918,1,pp
1057,227,-1,np
1057,338,-1,np
960,484,1,pp
960,278,1,pp
104,869,-1,np
644,490,-1,np
644,424,1,pp
832,476,1,pp
832,149,1,pp
832,1079,1,pp
832,477,1,pp
391,549,-1,np
693,218,1,pp
107,328,-1,np
537,869,-1,np
588,814,-1,np
588,524,1,pp
1061,599,1,pp
653,490,1,pp
653,424,-1,np
653,170,-1,np
268,1054,-1,np
216,502,-1,np
216,530,-1,np
543,1038,-1,np
543,883,1,pp
543,1064,-1,np
