Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
Zotu1401,1,0,0,6.64E-152,0,26,-1.08012345,0
Zotu1068,1,0,0,1.47800978761828e-311,0,319,0,0
Zotu1369,1,0,0,1.47800978761828e-311,0,296,0,0
Zotu19420,1,0,0,1.47800978761828e-311,0,377,0,0
Zotu8,3,130,1544,0.000155999,0.666666667,0,-0.121172812,0
Zotu837,4,189,7238,0.000420925,0.666666667,0,0.452378499,0
Zotu2860,1,0,0,1.47800978761828e-311,0,206,0,0
Zotu5836,1,0,0,1.47800978761828e-311,0,232,0,0
Zotu1963,2,0,0,5.25E-180,1,110,0,0
Zotu1951,1,0,0,3.84E-111,0,7,-1.641350009,0
Zotu3234,2,0,0,5.25E-180,1,101,0,0
Zotu267,3,0.5,1,5.36E-133,0.666666667,87,1,0
Zotu3977,1,0,0,1.47800978761828e-311,0,292,0,0
Zotu2097,1,0,0,2.72E-40,0,50,-1.959700368,0
Zotu1620,2,1,1,1.25E-245,0,133,0,0
Zotu1154,2,0,0,4.19E-133,1,87,-1,0
Zotu3052,1,0,0,3.27E-150,0,79,-0.912870929,0
Zotu1161,2,0,0,1.64E-164,1,103,0,0
Zotu1094,2,0,0,5.25E-180,1,110,0,0
Zotu607,2,1,1,1.25E-245,0,153,0,0
Zotu1981,2,0.5,1,5.25E-180,0,93,0,0
Zotu4151,1,0,0,6.23E-246,0,133,0,0
Zotu1651,3,36,36,1.79E-47,0,6,0.176166066,0
Zotu2608,4,11.5,15,2.92E-151,0,26,2.160246899,0
Zotu3604,1,0,0,1.47800978761828e-311,0,383,0,0
Zotu1938,1,0,0,1.52E-207,0,41,-1.224744871,0
Zotu343,1,0,0,3.35E-85,0,3,-1.355343691,0
Zotu1442,1,0,0,6.23E-246,0,141,0,0
Zotu364,1,0,0,1.47800978761828e-311,0,228,0,0
Zotu2328,2,0,0,2.93E-126,1,25,-0.447213595,0
Zotu6056,1,0,0,1.47800978761828e-311,0,195,0,0
Zotu2670,1,0,0,1.47800978761828e-311,0,199,0,0
Zotu458,1,0,0,1.52E-207,0,47,-1.224744871,0
Zotu1033,2,0,0,5.25E-180,1,124,0,0
Zotu5520,2,1,1,1.25E-245,0,136,0,0
Zotu367,3,0,0,4.70E-103,1,59,0,0
Zotu802,1,0,0,1.47800978761828e-311,0,197,0,0
Zotu1066,4,95,289,1.05E-61,0.166666667,1,1.182624792,0
Zotu1843,2,0,0,5.25E-180,1,130,0,0
Zotu483,3,2,2,1.92E-164,0.333333333,116,1.414213562,0
Zotu1238,1,0,0,1.47800978761828e-311,0,201,0,0
Zotu2030,2,0,0,5.25E-180,1,96,0,0
Zotu493,1,0,0,1.47800978761828e-311,0,330,0,0
Zotu924,4,20,25,4.49E-144,0,13,2.097617696,0
Zotu1021,1,0,0,2.22E-72,0,11,-0.987934593,0
Zotu4963,1,0,0,6.23E-246,0,157,0,0
Zotu3596,1,0,0,1.47800978761828e-311,0,276,0,0
Zotu976,2,1.666666667,5,2.85E-101,0,15,-0.381385036,0
Zotu1082,1,0,0,2.46E-62,0,1,-1.300887271,0
Zotu634,2,0,0,1.14E-160,1,36,0,0
