Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
Zotu1278,1,0,0,2.69E-80,0,405,0,0
Zotu3596,1,0,0,2.69E-80,0,404,0,0
Zotu976,1,0,0,2.69E-80,0,403,0,0
Zotu1082,1,0,0,2.69E-80,0,402,0,0
Zotu2753,1,0,0,9.91E-61,0,164,0,0
Zotu634,1,0,0,9.91E-61,0,142,0,0
Zotu4819,3,0,0,9.91E-12,1,8,0,0
Zotu3377,1,0,0,2.69E-80,0,400,0,0
Zotu907,1,0,0,2.69E-80,0,399,0,0
Zotu1950,2,1,1,9.91E-61,0,185,0,0
Zotu1206,1,0,0,2.69E-80,0,398,0,0
Zotu2547,2,0,0,3.66E-41,1,104,0,0
Zotu6494,1,0,0,1.06E-45,0,50,-0.75,0
Zotu874,1,0,0,2.37E-34,0,40,-1.322875656,0
Zotu1775,2,0,0,3.66E-41,1,110,0,0
Zotu3021,1,0,0,9.91E-61,0,180,0,0
Zotu2537,3,0,0,1.85E-16,1,25,0.353553391,0
Zotu1689,1,0,0,8.63E-31,0,5,-1.224744871,0
Zotu20718,1,0,0,2.69E-80,0,391,0,0
Zotu3679,2,2,2,4.64E-53,0,60,1,0
Zotu4507,1,0,0,2.69E-80,0,389,0,0
Zotu1782,3,0,0,9.91E-12,1,8,0,0
Zotu9,2,3,3,2.77E-49,0,45,0.816496581,0
Zotu4798,1,0,0,2.00E-17,0,21,-1.341640786,0
Zotu414,1,0,0,6.22E-21,0,1,-1.171700199,0
Zotu1545,3,3,3,2.77E-49,0,89,1.732050808,0
Zotu3246,1,0,0,2.69E-80,0,387,0,0
Zotu1123,1,0,0,2.69E-80,0,385,0,0
Zotu2460,1,0,0,2.69E-80,0,384,0,0
Zotu496,1,0,0,1.17E-39,0,15,-1.069044968,0
Zotu2149,2,3,3,2.77E-49,0,48,0.816496581,0
Zotu2609,1,0,0,2.69E-80,0,383,0,0
Zotu2861,1,0,0,6.20E-46,0,54,-0.75,0
Zotu2555,1,0,0,2.77E-49,0,90,-0.577350269,0
Zotu931,2,0,0,2.96E-27,1,85,-1,0
Zotu966,3,2,2,1.76E-36,0.333333333,111,1.414213562,0
Zotu1642,2,0,0,3.66E-41,1,105,0,0
Zotu14090,1,0,0,9.91E-61,0,204,0,0
Zotu1932,1,0,0,5.08E-28,0,12,-1.376494403,0
Zotu16849,1,0,0,9.91E-61,0,192,0,0
Zotu919,2,0,0,2.96E-27,1,86,-1,0
Zotu6577,1,0,0,2.69E-80,0,381,0,0
Zotu299,1,0,0,9.91E-61,0,198,0,0
Zotu732,2,0,0,3.66E-41,1,120,0,0
Zotu4778,3,0.5,1,3.79E-27,0.666666667,84,1,0
Zotu4614,3,3,3,2.77E-49,0,96,1.732050808,0
Zotu2989,1,0,0,9.91E-61,0,202,0,0
Zotu1077,2,0,0,1.50E-36,1,112,0,0
Zotu4025,2,2,2,4.64E-53,0,70,1,0
Zotu1880,2,0,0,3.66E-41,1,132,0,0
Zotu2952,1,0,0,2.69E-80,0,377,0,0
Zotu1171,1,0,0,2.69E-80,0,375,0,0
Zotu307,1,0,0,2.91E-24,0,6,-1.616447718,0
Zotu309,5,322,347,1.96E-19,0.1,1,2.994344953,0
Zotu318,1,0,0,2.59E-23,0,1,-1.171700199,0
Zotu8394,2,30,31,8.08E-20,0,1,-0.130188911,0
Zotu17061,5,88.66666667,124,4.92E-18,0.1,7,2.25175423,0
Zotu381,1,0,0,2.69E-80,0,373,0,0
Zotu9526,2,14,25,7.95E-24,0,6,-0.179605302,0
Zotu19241,2,3,3,1.50E-45,0,55,0.5,0
Zotu992,1,0,0,2.69E-80,0,370,0,0
Zotu324,1,0,0,2.69E-80,0,368,0,0
Zotu1370,2,0,0,3.66E-41,1,108,0,0
Zotu9080,1,0,0,9.91E-61,0,199,0,0
Zotu10558,1,0,0,2.69E-80,0,367,0,0
Zotu927,2,0,0,1.59E-25,1,79,-0.5,0
Zotu1130,2,2,2,4.64E-53,0,73,1,0
Zotu20297,1,0,0,2.69E-80,0,381,0,0
Zotu849,1,0,0,4.15E-31,0,5,-1.224744871,0
Zotu14864,1,0,0,2.69E-80,0,363,0,0
Zotu9433,3,62,200,1.56E-17,0.666666667,0,0.618842214,0
Zotu595,2,1,1,9.91E-61,0,201,0,0
Zotu443,1,0,0,9.91E-61,0,163,0,0
Zotu1713,2,2,2,4.64E-53,0,71,1,0
Zotu1610,3,4,4,2.59E-35,0.333333333,35,1.58113883,0
Zotu2252,1,0,0,9.91E-61,0,200,0,0
Zotu1378,2,0,0,1.50E-36,1,124,0,0
Zotu3387,2,3,3,1.47E-35,0,36,0,0
Zotu2874,3,17,17,3.44E-29,0,16,1.060660172,0
Zotu1720,3,26,48,1.88E-23,0.333333333,6,1.257237114,0
Zotu2158,1,0,0,9.91E-61,0,170,0,0
Zotu2184,1,0,0,2.69E-80,0,359,0,0
Zotu2090,1,0,0,2.02E-43,0,33,-0.894427191,0
Zotu89,4,48,98,1.38E-14,0.166666667,4,1.212678125,0
Zotu235,4,17.5,43,1.73E-14,0.5,4,1.212678125,0
Zotu3864,1,0,0,9.91E-61,0,168,0,0
Zotu2241,3,8,8,5.51E-43,0,33,1.788854382,0
Zotu2850,1,0,0,2.87E-53,0,69,-1,0
Zotu2317,1,0,0,9.91E-61,0,139,0,0
Zotu3370,2,0,0,3.66E-41,1,105,0,0
Zotu373,2,7,7,1.67E-29,0,16,0,0
Zotu201,1,0,0,4.55E-44,0,31,-0.894427191,0
Zotu1701,1,0,0,2.69E-80,0,356,0,0
Zotu421,2,0,0,3.66E-41,1,125,0,0
Zotu1884,1,0,0,2.69E-80,0,355,0,0
Zotu2840,1,0,0,2.69E-80,0,354,0,0
Zotu4294,1,0,0,2.69E-80,0,353,0,0
Zotu868,1,0,0,2.69E-80,0,352,0,0
Zotu1931,1,0,0,1.31E-12,0,8,-2,0
Zotu1315,2,5,5,3.66E-41,0,28,0.40824829,0
Zotu3886,1,0,0,2.95E-39,0,19,-0.989949494,0
Zotu5002,1,0,0,2.69E-80,0,349,0,0
Zotu269,3,6,8,3.93E-25,0.333333333,27,0.894427191,0
