Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
Zotu1416,1,0,0,5.82E-128,0,68,-1.224744871,0
Zotu1332,2,1,1,3.41E-153,0,167,0,0
Zotu883,2,8,8,7.05E-114,0,43,0.40824829,0
Zotu5564,1,0,0,3.82E-197,0,276,0,0
Zotu518,1,0,0,2.58E-114,0,43,-1.020620726,0
Zotu1237,4,11,14,2.36E-69,0.166666667,37,1.664100589,0
Zotu1057,5,1,4,0.404899639,0.8,75,0.650443636,0
Zotu1128,1,0,0,3.82E-197,0,234,0,0
Zotu349,2,0,0,0.068304389,1,75,-1.300887271,0
Zotu111,3,12,18,2.70E-55,0.333333333,21,0.301511345,0
Zotu653,1,0,0,1.71E-153,0,163,0,0
Zotu1970,1,0,0,3.82E-197,0,233,0,0
Zotu273,1,0,0,3.82E-197,0,412,0,0
Zotu873,1,0,0,2.66E-79,0,47,-0.763762616,0
Zotu2300,1,0,0,5.82E-128,0,70,-1.224744871,0
Zotu1482,1,0,0,3.82E-197,0,229,0,0
Zotu3566,1,0,0,5.47E-123,0,56,-1.414213562,0
Zotu1915,1,0,0,1.71E-153,0,162,0,0
Zotu1412,1,0,0,3.82E-197,0,359,0,0
Zotu5390,3,3,4,2.15E-74,0.333333333,110,0.75,0
Zotu746,2,0,0,3.65E-61,1,112,-1.069044968,0
Zotu2099,1,0,0,3.82E-197,0,357,0,0
Zotu1373,1,0,0,3.82E-197,0,322,0,0
Zotu320,1,0,0,9.80E-120,0,62,-0.75,0
Zotu2679,1,0,0,3.82E-197,0,224,0,0
Zotu513,3,0,0,1.01E-33,1,72,-1.224744871,0
Zotu4776,2,1,1,3.41E-153,0,160,0,0
Zotu3581,2,0,0,6.14E-71,1,38,-0.242535625,0
Zotu1222,1,0,0,3.82E-197,0,269,0,0
Zotu1170,1,0,0,3.82E-197,0,222,0,0
Zotu3393,2,16,16,5.40E-73,0,20,-0.176776695,0
Zotu2510,2,1,1,3.41E-153,0,211,0,0
Zotu2758,1,0,0,3.82E-197,0,221,0,0
Zotu3801,2,0,0,1.52E-109,1,151,0,0
Zotu913,2,1,1,3.41E-153,0,158,0,0
