ID	bs_f_1	bs_f_2	bs_f_3	bs_f_4	bs_f_5	bs_f_6	bs_f_7	bs_f_8
Zotu3130		1	3	2	1	5		3
Zotu5297			3				1	
Zotu3650	1	1	1	2		2	3	5
Zotu4424	1	3	4	3	1	3	10	2
Zotu5461		2		1	2	1	1	1
Zotu17887		1	1				1	
Zotu12438								
Zotu14999								
Zotu16482		1						
Zotu15983								1
Zotu17798								
Zotu17444	1		4	2		2	3	1
Zotu12461			1		2		1	
Zotu12515		1		3				2
Zotu11268	1	1					2	1
Zotu18799								
Zotu11914		1	2		1			2
Zotu17276	1							
Zotu15334	2	1		1		2	3	1
Zotu17062	11	2		2	3	2	1	2
Zotu15654	6	2						1
Zotu17532	1							
Zotu18149						1		
Zotu16453	9	4	2		3	2	3	5
Zotu15065	11	4			2		1	3
Zotu17624		1				1		
Zotu17598								
Zotu17695								
Zotu19864	2					1		1
Zotu17685								
Zotu18169								
Zotu18849								
Zotu14693								
Zotu16363			1			1		
Zotu15892								
Zotu19625	4				1			
Zotu17865	29	10	2	5	6	6		7
Zotu15964								
Zotu13580								
Zotu19723	2					2	2	
Zotu20423	1						1	
Zotu8995	8	7			1		2	1
Zotu14361	4							
Zotu20708				1				
Zotu20707		1						
Zotu8883	1				1			
Zotu2946	11	4	3	1	2	3	2	1
Zotu12713					1	2		
Zotu15337			1	1				
Zotu10273								
Zotu9813	3							
Zotu11706	2	2		3	4	1		
Zotu10244								
Zotu11968						1		
Zotu13119	2							2
Zotu12717		1						
Zotu15235					3			
Zotu10895	1							
Zotu18240				1	3			
Zotu17025								
Zotu16432								
Zotu788	93	25	12	5	15	27	5	23
Zotu6680	3	2	2					
Zotu7372	2				2	3	1	1
Zotu20522		1						2
Zotu9643	8		5	1	2	1		
Zotu6219	7	1						1
Zotu8775	5			1		1		2
Zotu4349	4	4	1		2		1	
Zotu8380	5	3	3		1	3	1	2
Zotu9165	3	1			1		1	
Zotu9458		1			1			
Zotu11248		3			1		2	
Zotu18168		1						
Zotu979	36	6	11	5	20	7	9	5
Zotu2528	12	1	2	2	3	2	6	1
Zotu7606	3	2	4		2	1		
Zotu14232	3	1	1				1	
Zotu3913	2		1					
Zotu4491	3	5	11	3	6		4	
Zotu7808	4		1	1				
Zotu10845	3							
Zotu12947					1			
Zotu6985	5				1			
Zotu15113				2				1
Zotu18691								
Zotu10765								
Zotu11047					1			
Zotu14400	1		1					
Zotu4290	13	4		5	1	3	2	3
Zotu15901	2	2				2		
Zotu3565	27	7	1	2	2	6		3
Zotu17746	2	1	1					
Zotu19706								
Zotu6975	4	2	1					1
Zotu8505	1		2	1	1	1	1	1
Zotu15764	1	1					1	
Zotu4997	9	4	2	1	1		1	
Zotu12634	6	2			2		5	
Zotu7604	4	1	2				1	
Zotu14898	1		1					
Zotu15788	2	1		1				
Zotu13465	4					1		
Zotu20406								
Zotu11010	1				1			
Zotu16535								
Zotu19426	1						2	1
Zotu3724	5	2	1	1			2	1
Zotu16499						1		
Zotu18209				1				
Zotu14052							1	
Zotu18662	2		2	1		1		2
Zotu7375		2					1	2
Zotu18684								
Zotu19314								
Zotu7272		1	1			1	7	2
Zotu18942	1	2			2			
Zotu19980	3				1			
Zotu10185	2						1	
Zotu12555		2			1	1		1
Zotu9236	5		6	1	1	2		
Zotu9982	3	1	1	1	4			
Zotu14478	3	1			1	1		
Zotu14040	2	1	1			1	2	
Zotu20480		1		1	1	1		1
Zotu19269	1	1		4				
Zotu18429								
Zotu16648	2	2			1		1	
Zotu19262								
Zotu8677	2		1		4		1	1
Zotu13201							1	1
Zotu5093	2				2	1		1
Zotu13040		1			2			
Zotu7834	3	2			8	1		1
Zotu3328	7	6	4	6	3	1	3	1
Zotu12530		5			1			
Zotu3964	9	2	1	3	2	6	4	
Zotu12604		2						
Zotu16507	2						1	
Zotu2844	19	8	1	3	5	4	3	1
Zotu9075			1	1		1		
Zotu17339						2		
Zotu8098	4			1	1		1	1
Zotu11892							1	
Zotu20363				1				
Zotu7879	1	1	1		1		1	
Zotu9182	1		2	1				1
Zotu9884	2	4				1		
Zotu13131								
Zotu19359								
Zotu10189		2			1		1	
Zotu11108					1			
Zotu6646	5	1	1	1		1	2	
Zotu7699		1				1	1	3
Zotu8657	1	3	1	1	1	1		
Zotu8352			3	1	2		1	1
Zotu16391								1
Zotu13546	1							
Zotu8372					2	1	1	
Zotu11062	1				1			
Zotu13894								
Zotu19470							1	
Zotu5906	3	2		1	3	3		
Zotu15888			6					
Zotu16223	1	1						
Zotu14377	2	1						
Zotu5804	3	2			2			1
Zotu12977	1	1				1		
Zotu16191		2			2		1	
Zotu2181	8	8	11	4	2	4	3	1
Zotu8224		2						
Zotu3347	6		6	2		2	2	
Zotu16611	2					1	1	
Zotu13675	1	1	1	1	1	3	3	
Zotu15996								
Zotu5659	3							
Zotu8627		1	1		1			1
Zotu14092	1			1			1	
Zotu19214	3			1				1
Zotu5629		1			2			
Zotu11800	1		2			1	3	
Zotu12613	1				1			
Zotu16062								
Zotu18738								
Zotu11447			1	1		2	2	1
Zotu17834	1		1					3
Zotu20559								
Zotu6957		1						
Zotu6107	1							
Zotu18476								
Zotu19000	1							
Zotu13684				2			2	
Zotu18912								
Zotu5708								
Zotu12292								
Zotu19128				1				
Zotu17433								
Zotu10658		1					1	
Zotu18137								
Zotu9959	3	1						
Zotu10079						3	1	2
Zotu2663	10			1	1			
Zotu3131	3							1
Zotu20381	2		1	1	1			3
Zotu20786								
Zotu17966	2			2	2			2
Zotu12624			5	1	1	2	1	
Zotu14701	2	1			3			
Zotu11218		2	4		1	1		4
Zotu15000	1	1			1	2		
Zotu17806	2	4	1	1			2	1
Zotu20385	1		1				1	
Zotu12261	1	7		1	1	2		
Zotu16120							2	
Zotu13400	2		1			1		
Zotu18081		1						1
Zotu18924	3	2		1				
Zotu9376	1	2		1	1	2		3
Zotu14316	1							1
Zotu9194	1		1	2			1	1
Zotu6253	3	2			2		1	
Zotu17461					1			
Zotu4931	9	3	2		3	2	2	3
Zotu15676					1			
Zotu9923	2						1	
Zotu14186	1							1
Zotu16464	9	3						
Zotu16986				1	2			
Zotu20666	1				1	2		
Zotu13996	1	1	1				1	2
Zotu18004		1						
Zotu20204	1							
Zotu19132		1						
Zotu14263	1	2				1		
Zotu17035	2		1					
Zotu2646	1	1			4		1	
Zotu15753	1	1					1	
Zotu6549	1	2	1	1				
Zotu10425								
Zotu2797	4		3	1			1	1
Zotu7185	6		1	1	5	1		
Zotu10758	1	1						1
Zotu18573		1						
Zotu5036	5	3			5			
Zotu20174			1					1
Zotu16572								
Zotu6201	6	1	1	1	1		1	2
Zotu5875	4	1		1	5	6		1
Zotu14661	2	1		1			1	
Zotu15103	1	1						2
Zotu7765	2	1	7	2	1	2		
Zotu8527	1		3	3			1	1
Zotu15968	1	1						
Zotu19522			1					
Zotu20082	1	3	3	1		2	1	1
Zotu18235								
Zotu15912								
Zotu8603								
Zotu2423								
Zotu6293						1		
Zotu15400								
Zotu1455								
Zotu3829								
Zotu9473								
Zotu19772	1							
Zotu11451								
Zotu3064	2							
Zotu7221								
Zotu5872								
Zotu50								
Zotu18598								
Zotu16433								
Zotu17052								
Zotu321								
Zotu1355								
Zotu77	2		4		5			
Zotu469	2			3	3			
Zotu18009					3			1
Zotu4298	4		1		3	2	2	1
Zotu18620	1				1			
Zotu12944	3	1						
Zotu11624								
Zotu4628	9	1	1	2	2			1
Zotu19094		2						
Zotu17104	4				1			4
Zotu8744	3	1	1		3	2		
Zotu11620	3				2	1		
Zotu8609								
Zotu8905								
Zotu15619	2							
Zotu262			1	2	1			
Zotu642	1	1		1	7		1	
Zotu1333			1		11	1		
Zotu1926	5	1			42	1	4	1
Zotu11273						8		
Zotu18251				1		2		
Zotu18436								
Zotu1702								
Zotu1898								
Zotu1347								
Zotu3318								
Zotu544			1					
Zotu1544								
Zotu6564								
Zotu11193								
Zotu9280								
Zotu4910								
Zotu15680								
Zotu13266								
Zotu16147								
Zotu6088	4	2					1	2
Zotu14397		1	2			1		
Zotu16096								
Zotu18791								
Zotu19160								
Zotu18702								
Zotu16340								
Zotu17168								
Zotu20086								
Zotu417								
Zotu2870	7	2			4	4	2	1
Zotu3099	2	2	1	2	1		10	1
Zotu7819	2						1	
Zotu8584								1
Zotu10096				2				1
Zotu16877	1							
Zotu4609			1					
Zotu7084	1	1	2		2			
Zotu1147								
Zotu101	5	1				2	1	2
Zotu266	1	2		1	3			
Zotu706	1	1			1	1	1	
Zotu718	3			1				
Zotu3266	2				1			
Zotu16598								
Zotu603	1							
Zotu2461				2				
Zotu1000	2							
Zotu2285								
Zotu17540						1		1
Zotu14567							1	
Zotu8868	2					1		
Zotu5567	1	5						2
Zotu3160								
Zotu926					3		2	
Zotu2737								2
Zotu13531	1							
Zotu177					2	1		2
Zotu10748					19			1
Zotu5273	4	2	1		1	1		
Zotu6973	3		1	2	3		1	
Zotu13004		1			3			
Zotu4101	8	2	3	1	6	6	3	2
Zotu8439	4			2	1	1	2	
Zotu2924					1			
Zotu1080					5	1	1	
Zotu4539					1			
Zotu66		1		1				1
Zotu99								
Zotu893							1	
Zotu3431								
Zotu434								
Zotu20179								
Zotu4383								
Zotu3993								
Zotu5691								
Zotu2017								3
Zotu1721					8			
Zotu390					4			
Zotu9799								
Zotu14914								
Zotu18842								
Zotu12182								
Zotu16241								
Zotu15603	2							
Zotu17374					1			
Zotu14285								
Zotu8704								
Zotu3941								
Zotu17777								
Zotu15451								
Zotu11832	1							
Zotu16168								
Zotu4549	2							
Zotu12402								
Zotu19878								
Zotu12929								
Zotu401							1	
Zotu9339	1							
Zotu17238								
Zotu12323			1				3	
Zotu17100				2				
Zotu16789								
Zotu18118			1	2	1		1	1
Zotu15757								
Zotu10260								
Zotu17123								
Zotu15727								
Zotu20458								
Zotu17593								
Zotu17987				1				
Zotu14370	5	2			2	1		
Zotu14460	1				1			
Zotu16492								
Zotu16994								
Zotu18317								
Zotu19494								
Zotu19260								
Zotu20478				1				
Zotu15895	18	1	1	2	1	3	2	1
Zotu19022	14	13		6		9	5	1
Zotu20778	21	11	5	1	3	6	4	3
Zotu13830		1						
Zotu20724		2		1	2		2	1
Zotu20030								
Zotu5912								
Zotu14083				3				1
Zotu11823	1				1			
Zotu17751		1	1					
Zotu5749					1		3	
Zotu605	3		2		5	1		1
Zotu968		1	3		2		5	1
Zotu296	1	5	2	4	11	2	5	4
Zotu5294								
Zotu5841								
Zotu6402								1
Zotu5152	2						1	
Zotu2403		4			3			
Zotu4485					1			
Zotu7695		1	1		6			
Zotu8101							1	
Zotu17870				2	4		2	
Zotu13896		2	1			2		
Zotu4513					1	1	1	
Zotu14380		3						1
Zotu2545	2				1	1	1	1
Zotu4505	2			1				
Zotu11119		4						2
Zotu12433								
Zotu17145				1				
Zotu5671		3	3	2			2	1
Zotu17898	2		1	1	1			
Zotu13706	2	1	1					
Zotu17893			1	1			1	3
Zotu8837				3				
Zotu6751	1			1			1	
Zotu8610								
Zotu8893								
Zotu19657					1			
Zotu18017								
Zotu7826							1	
Zotu14169								
Zotu13698								
Zotu9501	1							
Zotu12850	1	1	1					
Zotu16671				1				
Zotu14243							1	
Zotu19149								
Zotu20240								1
Zotu2365	7	8	4	3	6	4		
Zotu1148	4	9	6	2	3	8	8	1
Zotu5035				1	1	2		3
Zotu14681			1			1		
Zotu17988		2		3				
Zotu2284	5	10		3	4	9	3	4
Zotu3890	1	5		2	2	1		
Zotu2796	5		1	7	3	8	1	
Zotu6125			2	2	1			
Zotu1131	4	24	10	6	10	10	4	1
Zotu2905	3	1				1	2	
Zotu17014		1						
Zotu13475		4	1		1	2		
Zotu15630	3	2	2	1				
Zotu19923	8	2	6		1	3	1	1
Zotu16512								
Zotu2496	4		3	3	3	2	1	
Zotu4445	1	1	3		7	4	6	4
Zotu4440					1			1
Zotu18107		4		1	1	1		1
Zotu5026	2		2		3		1	
Zotu7193	2				1	3	1	
Zotu7769		1						1
Zotu12189	1	1	2			2		
Zotu18329			1				1	1
Zotu11256	2	1			1	2	2	4
Zotu14176	1		1					1
Zotu18929		1					3	
Zotu4123	6	4	14	2	2	4	3	2
Zotu4708	8	4	3	5	1	10	9	2
Zotu5901	5	4	4	4	5	5	7	
Zotu13771		1	1	1			2	
Zotu12783	1		1	2			1	
Zotu15966		1			1		2	
Zotu7936	1	1	1	3	1	4	1	
Zotu13326			1		1		2	
Zotu19503	2							
Zotu2165	7	6	4	2	4	11	5	3
Zotu5876	1	4	6	1	4		2	1
Zotu16570						1		
Zotu853	1		1		1			2
Zotu8138			1		1	1		4
Zotu11967		1						
Zotu13644								
Zotu11879								
Zotu15546								
Zotu19558								
Zotu20581								
Zotu13493								
Zotu15318								
Zotu11996							1	2
Zotu12111			1	2		2		
Zotu3822	1	1		3	1			1
Zotu569	1			3	1	1	6	3
Zotu2939	1	2		3	4	1	1	
Zotu216		1	1		1	1	1	3
Zotu16828								
Zotu15906	1		1					
Zotu2903	13	5	12	3	2	6	2	4
Zotu743	15	9	7		2	7	4	10
Zotu4022	13	5	4	5	3	12	7	3
Zotu7009	1	1	2	2	5	3		1
Zotu5049	4	1	2	3		6		1
Zotu465	59	16	15	25	18	17	19	17
Zotu1680	3	3	2	6	2	2	3	3
Zotu2395	5	9	5		5	5	2	3
Zotu16239			1		1			
Zotu19201		1						
Zotu14331	2				1	1		
Zotu13886								3
Zotu7773	1	2			1			
Zotu8461	5	1		1		1	1	
Zotu9352	2	2		1	2	1		1
Zotu5180	9	1	1	1	3	2	2	2
Zotu3337	8	2	1	1	2			3
Zotu9303	3	2				1		
Zotu7426	2		1	4	1	1	2	
Zotu1781	20	6	2	6	13	2	2	5
Zotu14099	3	2						
Zotu3554	16	3	6	1	5		7	3
Zotu15491	3	1		1	2	1		1
Zotu12556					2			
Zotu11355	8	1			2	2		
Zotu19560		1		1	2			
Zotu1089			2				1	
Zotu1120					2		1	
Zotu541				2	17	1	3	2
Zotu94	1	2			36	1	2	2
Zotu197					1			
Zotu1429				1	2			
Zotu6139	2	1	3	2	1	4	1	1
Zotu16835					1	1	2	1
Zotu18302	1							
Zotu19166	1		1				2	
Zotu155								
Zotu17237							1	
Zotu12716			1		3	1		
Zotu758								
Zotu391	4			2	1	1	1	1
Zotu565	2			1	1			
Zotu1136	3	2	1	1			1	1
Zotu2018	2			1				
Zotu3564								
Zotu2509								
Zotu2341								
Zotu3135	6	1	1	2	5	2	5	4
Zotu11986							1	1
Zotu9224								
Zotu1502				1	1	1		1
Zotu10309								1
Zotu12707								
Zotu15341								
Zotu15393								
Zotu11961								
Zotu12599								
Zotu6553								
Zotu19464								
Zotu2272		4	2	2	3		4	4
Zotu3258	2		1		2	1	1	1
Zotu19731				1				1
Zotu10093	1	1	5	2	6	2	4	4
Zotu12745			1	2	1	2		2
Zotu9086	1	1		3				1
Zotu12288	1				1	1		
Zotu19372					1		1	
Zotu16125						1	2	
Zotu16160						1		
Zotu10402			1	2			1	
Zotu11316		1					1	
Zotu16783					1			
Zotu5097		3	3	1	2		5	1
Zotu15256				2				
Zotu5624	2	2	5	2		9	2	3
Zotu8997	1		2		2		3	1
Zotu11598			1	1				2
Zotu19669	1				1	1		2
Zotu4894	1	1	3		4	2	1	1
Zotu2010								
Zotu2865								
Zotu3902								
Zotu5777								
Zotu2719								
Zotu8126								
Zotu9172								
Zotu8388								
Zotu7046	1			1			1	4
Zotu8943								
Zotu4606								
Zotu20349								
Zotu9775								1
Zotu3186								
Zotu20185					1			
Zotu10900								
Zotu5683								
Zotu5742								
Zotu7599								
Zotu7283								
Zotu5952								
Zotu5885								
Zotu6525								
Zotu9362								
Zotu9497								
Zotu491	5	7	3	5	4	4	6	7
Zotu8076		3						
Zotu13072						1	2	4
Zotu18500								
Zotu20541					1	1		
Zotu16740	1		1	1	2	1	2	
Zotu6336	1	1		1	3	1	4	
Zotu18129				2	1	1		
Zotu19437						2	1	2
Zotu4593	2	1	1	3	4	2	5	5
Zotu8907		2					6	1
Zotu7368			1	4	1	2	1	1
Zotu8582								
Zotu7575						3		2
Zotu1460								1
Zotu5991		2	6		1	4	3	2
Zotu1679	9	8	13	9	6	18	10	12
Zotu11039	3					1		4
Zotu10027	3		3	6	2	1		3
Zotu9746	8	9		1	3	8	3	5
Zotu16858								
Zotu19454								
Zotu17841								
Zotu664		1		1			2	
Zotu49	21	15	5	6	6	8	4	7
Zotu82	2	9	6	6	9	7	10	3
Zotu654	5			1	1	2	1	
Zotu103				3		1	3	
Zotu17960								
Zotu6272		2	1				1	
Zotu14924						1		
Zotu2966	2	1	2			1	1	1
Zotu10346								
Zotu6188				2		2	6	1
Zotu11431						1	1	
Zotu7623	1							
Zotu1771	1							
Zotu1441	4	1		1				
Zotu15592								
Zotu20762								
Zotu11261								
Zotu18689								
Zotu19627								
Zotu14468	2	2	1	2	2	1	4	4
Zotu16140			1	2		1		
Zotu7691	1	1		1	1	3	2	
Zotu13262			2				1	
Zotu5381	2		3	3	4	3	4	2
Zotu6590		1	1	1		2	4	
Zotu5405	2	1	4	2	12	3	3	
Zotu3032	2	3	1	7	4	6	7	1
Zotu9698			2	2	1		1	
Zotu7184		1	1	2	2		3	
Zotu14452						1		
Zotu10486	1		1				1	
Zotu13827							1	1
Zotu1127								
Zotu2048								
Zotu15255				1				
Zotu8162	3	2		2	2		1	4
Zotu11029					2			
Zotu19038	2		1			2	1	1
Zotu4240	1			1				2
Zotu19694								
Zotu5	207	57	75	63	84	87	89	71
Zotu14	113	38	48	35	78	75	61	41
Zotu8884				1	1			
Zotu17693	2							
Zotu16573	1	2	1					
Zotu17353						4		
Zotu6517								1
Zotu7931								
Zotu10484								
Zotu3315								
Zotu11613								
Zotu964								
Zotu2706								
Zotu5298		1						
Zotu16596								
Zotu8758			1					
Zotu10121								
Zotu6138						1		
Zotu7227								
Zotu13200								
Zotu3173								
Zotu6672								
Zotu7099								
Zotu2518								
Zotu3207								
Zotu5170								
Zotu899	1	4	3		4	5	5	4
Zotu8850								1
Zotu19600				2			1	
Zotu17525	3	1	1		1	1	1	2
Zotu18427	1	5	1		1	1		4
Zotu11480	9	1	1		6	1	1	2
Zotu879	11	1	1	1	3	1		1
Zotu3449	42	11	8	12	12	12	15	11
Zotu18381			1	2		2		
Zotu28	9	4	5	5	47	9	9	4
Zotu5790		1		1				
Zotu500					1	1		1
Zotu15019	7	6		1	2	2		
Zotu13944						1		
Zotu1001	1	4				2		
Zotu10123								
Zotu6163						1		
Zotu14189		1			2			
Zotu3008		1			2			
Zotu9468								
Zotu7663								1
Zotu8243								
Zotu13366			1		1		1	
Zotu20170		1						
Zotu18332	3				2	1		
Zotu12769		1		1		1	1	1
Zotu10277				1		3	2	
Zotu9500	1	1	1			2		2
Zotu6320				1			1	
Zotu14501						2		
Zotu8275	3		3	1	1		2	1
Zotu9853	1			1	1	2		1
Zotu13324	3				2			3
Zotu19069								
Zotu15874	1	1			1			2
Zotu16240							1	
Zotu14936	3	2	1	1	3		9	2
Zotu17726	2	1	1		2		1	
Zotu3736	3	2		3	1	9	11	2
Zotu5059	5	1	3	4	5	5	13	3
Zotu16451		2		1	2	3		1
Zotu8176		1		1			1	1
Zotu17587					1			
Zotu7582								
Zotu16041		2		2				
Zotu12608	3	1				1	2	1
Zotu20000								
Zotu1848								
Zotu131								
Zotu20424								
Zotu9105								
Zotu19903								
Zotu17736								
Zotu53	165	93	45	25	26	42	19	44
Zotu20090	1	1	1					2
Zotu1081	1					1		
Zotu5117								
Zotu3463	2	2	3		1		2	2
Zotu3281								
Zotu3093							1	
Zotu10879								
Zotu189		2						
Zotu4605	1	1						
Zotu1524	3	1	4			2		
Zotu6992								
Zotu15938								
Zotu7255	9		3	5	5	9	4	4
Zotu17209	7		1	1	1	1	2	1
Zotu1226	110	59	38	25	29	37	34	35
Zotu11744	13	4	1	1		2	8	1
Zotu5438	4	2	3	5	2	4		1
Zotu16674	1		1		3	1	1	1
Zotu15174		2						
Zotu15100	19	4	2	11	10	8	10	6
Zotu8694		1			2			
Zotu2936	5		1		5			
Zotu8979								
Zotu20706								
Zotu6280								1
Zotu6502								
Zotu20286		1				1		
Zotu4645	3	1	1	1	3	3	1	
Zotu8424	2	1	2					
Zotu17753								
Zotu8319	5							1
Zotu12432	1		2		1	1		
Zotu16632	4							
Zotu8028	8	6	2	1	1		1	1
Zotu6277	20	5	3	3	3	8	4	5
Zotu14106	1					1		
Zotu16524	2				1		1	1
Zotu3680	4	6	1	2	1	8	3	
Zotu8199	9	3	4	2	10	4	4	1
Zotu7265	11	6	5	7	4	10	8	1
Zotu9238	1	1	2		1		1	1
Zotu9563	1	4	1	4			2	1
Zotu1743	10	4	5	4	3	15	9	4
Zotu14933		1			1			
Zotu5129	4				1		1	
Zotu5327	3		1	4	2	2		2
Zotu14699	1	1		3		1	1	1
Zotu14443	2	3		1				1
Zotu12065	1			2	1			1
Zotu13655			2		1		1	
Zotu20	3	1	1	1	13	1	1	4
Zotu2970			3	1	1			
Zotu3106	2	1	1		2			
Zotu3361	13	6	4	1	4	4	1	2
Zotu6267	2	1	2		3	1		1
Zotu1287	38	20	10	7	16	8	9	7
Zotu1504	18	18	14	4	7	6	8	6
Zotu2739	8	1	5	2	3	6	2	2
Zotu9041	5	2	3		3	1	1	2
Zotu20419								1
Zotu11360	1	2	2			2	1	1
Zotu96	343	279	133	112	164	164	159	155
Zotu172	127	91	65	49	76	119	95	111
Zotu18581		1						
Zotu6179	5	8		5	5	3		4
Zotu723	5		2	2	3		5	1
Zotu17005	1							
Zotu10	1529	1032	655	591	672	981	820	688
Zotu95	225	135	89	78	73	115	115	95
Zotu9319	42	20	10	6	13	17	10	7
Zotu5940	6	3	4		6	6	3	3
Zotu8379	7	4	7	3	3	6	5	3
Zotu5293	1		1		1	3		2
Zotu13869			1	1				2
Zotu19906	6	1	3	1	7		3	4
Zotu395	17	20	11	10	16	15	15	16
Zotu2606	4	12	8		2	7	2	2
Zotu11373				2	1		5	
Zotu11406	1		4	2	1	2		1
Zotu20267					1			
Zotu838	17	4	5	1	5	4	10	13
Zotu2967	5	6	2	3	2	2	1	3
Zotu18562			1					
Zotu20318	7			2	1	3		2
Zotu5654		1	1	1			2	
Zotu18	1115	1140	718	529	574	859	760	589
Zotu85	296	259	167	127	102	198	165	161
Zotu2007	24	9	4	5	7	9	6	7
Zotu9931	1					1		1
Zotu4655	2	4	5	5		7	1	3
Zotu11072	1	3		1	1	1	4	
Zotu6989								
Zotu17093	26	7	4	2	5	10	5	1
Zotu18162	5	2			2	4	1	
Zotu848	55	23	27	14	14	16	25	22
Zotu903	12	13	4	9	87	6	9	7
Zotu6033	7	3	3	2	13	3		4
Zotu11	2	2	1	1		5	3	2
Zotu20243								
Zotu1724								
Zotu75	1	1		2			3	1
Zotu651								
Zotu142	1	1						2
Zotu207			1					
Zotu140								
Zotu5033								
Zotu756	3	1	1	1			2	2
Zotu20727								
Zotu14722								
Zotu20716			2					
Zotu1129								
Zotu8341								
Zotu18213								
Zotu488								
Zotu42	2	4	5	4	5	2	2	2
Zotu1268		1		1		2		
Zotu11533								
Zotu14547								
Zotu6757								
Zotu15258	65	22	15	5	25	23	9	8
Zotu92	304	264	142	103	140	234	105	108
Zotu2846	6	6	1		1	5	9	4
Zotu378	114	60	39	23	47	83	41	44
Zotu13661	2			2		1	2	
Zotu933	11	3	5	2	6	3	1	1
Zotu13381	24	4	2		2	8	2	4
Zotu13117	16	4	2	4	5	5	1	3
Zotu16527	11	2	1	3	1	1	1	2
Zotu69	82	36	34	4	23	47	28	11
Zotu4342	14	4	2	6	6	13	1	3
Zotu8488	3	2				3	5	2
Zotu539	118	42	21	16	26	30	25	18
Zotu1622	32	19	10	5	11	22	4	6
Zotu9419								
Zotu6633		1	5	3	2	1	2	
Zotu17650				1		4		
Zotu10764			4			1		1
Zotu15342								
Zotu5452								
Zotu17480				1	1			1
Zotu14880								1
Zotu11536					1			2
Zotu11587								
Zotu12485			1		1			
Zotu19556								
Zotu20102				1	1			1
Zotu17718							1	
Zotu13153								
Zotu15475								
Zotu6887								
Zotu16818	2		4	7	4	7	6	1
Zotu17080			2	3				1
Zotu17331				3		1		
Zotu11022	3	3			1	2	4	
Zotu13581	1	1					1	
Zotu16931		1	2					2
Zotu12146	1		1	1				
Zotu11752		1	2	1	2		1	1
Zotu3014	1	1	1		3	4	2	3
Zotu5424		1	1	5	3	7	2	5
Zotu20731		1	4	2	1			2
Zotu353	4	1	7	4	4	6	4	7
Zotu618	5	1	5	1	1	2	7	2
Zotu2357	1			1				
Zotu1835								
Zotu6475	2	2	3	1		2	3	1
Zotu13542	1	1				2		1
Zotu14233		1	1	2		1		
Zotu11171					1	1	1	
Zotu4434	2	4	4	3	3	6	5	4
Zotu974	10	17	28	24	16	22	30	24
Zotu3561	1	6	3	2	4	6	3	6
Zotu965	14	12	23	25	24	31	30	21
Zotu7364	8	7	4		3	2	3	1
Zotu10064						1		
Zotu4309		1	6	7	1	5	1	6
Zotu11516	21	20	7	7	4	11	7	5
Zotu5669	3		1			1	1	3
Zotu15930								
Zotu14029	7	5	11	6		6	8	10
Zotu12305		1					1	1
Zotu5427	1	1	2	2	1	2	3	1
Zotu7791		1		2	1	3	2	2
Zotu7494		2		1		2	1	1
Zotu18566								
Zotu17505								
Zotu30	1	1		3	10	1	2	4
Zotu20743								
Zotu16639								
Zotu11851	1	1					5	
Zotu11975								
Zotu19756								
Zotu225	7	17	25	20	13	16	15	12
Zotu15589		2	1				1	
Zotu9304			1		2	3	2	
Zotu14962		1					3	
Zotu15325				1				
Zotu10698	1	1		1	1	2	2	1
Zotu9104	1	4				1	1	1
Zotu11685			1			1	1	
Zotu15708		2		2			1	1
Zotu17121	1			4			1	2
Zotu18406		2	1		1			
Zotu17629	3	1	1	1	2		1	
Zotu7792								
Zotu17993								
Zotu1967								
Zotu6987								
Zotu8338		1		1				
Zotu3300				1				
Zotu17453								
Zotu16014		1		1		4	1	
Zotu16197		2				2	1	
Zotu14102		1	2	2			2	2
Zotu7003	2	2		2	1	2	2	2
Zotu18456								
Zotu19053	1	2	1	1		1	1	3
Zotu1803								
Zotu17395		1		1			1	
Zotu9056						2		
Zotu20824								2
Zotu15563							1	
Zotu20224								
Zotu20378								
Zotu3013	3				1	1	2	2
Zotu5243	1		1				2	1
Zotu10130								
Zotu739	3	3	3	8	6	2	1	2
Zotu5022								
Zotu17	5	7	10	12	4	5	3	16
Zotu10610								
Zotu1228	6	4	1	5		1	2	3
Zotu4361	1							2
Zotu15320								3
Zotu4573								
Zotu5377								
Zotu8872		1						2
Zotu16715								
Zotu17391	1		1					
Zotu4644	4	2	2				1	
Zotu9866	5		1		2	2		1
Zotu570								3
Zotu1272								
Zotu2226								
Zotu499								
Zotu148	1		1		1	2		
Zotu5914								
Zotu11774								
Zotu4218	2	1					1	
Zotu17875						1		
Zotu18143					1			
Zotu5792			1	4	4	1		3
Zotu8151		2						
Zotu16474				3				1
Zotu17634					1	1		
Zotu7523			2		1	2	1	3
Zotu16500						2		
Zotu18178				1		1		1
Zotu18619	2					1		
Zotu3050								
Zotu14908			1	1		1		
Zotu15987				1			2	
Zotu12853	4	2			1	1	3	1
Zotu5789	1					1	2	1
Zotu4632	21	10	7	14	2	9	11	6
Zotu18918	5	2	1	1	7	4		2
Zotu8057	1	3		1	2	3	3	
Zotu19416			2					
Zotu13994	3	2				1		
Zotu16739	4	2	1	3	3	3	1	3
Zotu17786	3			3			2	
Zotu20056			2	1	1			1
Zotu20412								1
Zotu16187		1	2	2		3	1	
Zotu15216			1	2	2	1	1	
Zotu14109	1	1	3	5		1	2	1
Zotu16589	5	2	1	1		1	1	2
Zotu8615		2	9	2		2	1	6
Zotu8674	8	4	5	6	2	2	3	3
Zotu16563						1		
