ID	bs_f_1	bs_f_2	bs_f_3	bs_f_4	bs_f_5	bs_f_6	bs_f_7	bs_f_8
Zotu2669	1	3	2	2	2	3	3	
Zotu16383	1							
Zotu17347								
Zotu14944								
Zotu12913								
Zotu19621								
Zotu15750	1	1					1	
Zotu14847	1							
Zotu8722		1						
Zotu8820	1	2		1	1			
Zotu15285		1		1				
Zotu13667	2	1					1	
Zotu18636		1	1					
Zotu3344	1	1			2	2	3	1
Zotu7318	1				1		3	
Zotu13989			1	3	2			
Zotu3356	2	2	4	3	5		5	3
Zotu14255		2		1	4			
Zotu10386		1		3	1	1	1	
Zotu17712			2				1	
Zotu3888	6	1	1	1	1	4	3	2
Zotu19124	2		2	1				
Zotu4659	2	1	2	1	10	4		1
Zotu4237	4	1	2	2	4	5	1	2
Zotu11740					1		1	
Zotu13054				1				1
Zotu1159	11	10	9	4	9	12	17	4
Zotu13064		2						
Zotu3446	8	1			1	1	1	4
Zotu1855		6	1	2	1	1		
Zotu7825			1		2	1		2
Zotu6770			1					
Zotu7642								
Zotu9797					2			
Zotu13360			1					
Zotu9407		2			4	1		1
Zotu3865	1							
Zotu4382		1	1		1	1	3	
Zotu3609	2				1			
Zotu5175	2		1					
Zotu2636	2		1	1				1
Zotu5139	1	1	1	2		2		3
Zotu16408								
Zotu14624			1	1				
Zotu3245		1			5	3	1	2
Zotu173	21	24	26	14	22	28	39	37
Zotu684	4	5	8	4	12	8	11	5
Zotu1676	3	1	3	1	3	3	7	8
Zotu2864	1	1	1	1	3	3		
Zotu9351	2		1					
Zotu3792			1	3			4	1
Zotu12431							1	
Zotu19364								
Zotu13410								
Zotu6614		8			1			
Zotu8359								1
Zotu9422								
Zotu20677								
Zotu9525								
Zotu12276								
Zotu12179								
Zotu5848								
Zotu18639								
Zotu19487					1	1		
Zotu16137								
Zotu16410	3	2						
Zotu15739								
Zotu4392		1	5		2	9	2	2
Zotu20495								
Zotu8512			1	3		1	1	2
Zotu15975		1						
Zotu14488			1					
Zotu19283		2					2	
Zotu11475					1	1		
Zotu4523	1	1			2			1
Zotu4637	1		1	1	1	3	5	
Zotu777	4	5	9	10	5	14	11	5
Zotu7077	1	1			1		1	1
Zotu4711	1		3	2	1	4		1
Zotu12218	1					2	1	1
Zotu7371		3	2					1
Zotu9666		1	1				4	
Zotu14360	1					3		
Zotu3697		2	8		1	2	10	3
Zotu1446		3	5	1	1	1	1	3
Zotu13964	3						3	
Zotu17979								
Zotu19004					2			
Zotu5697				1				1
Zotu6058					1			
Zotu18282							2	
Zotu13454								
Zotu476	16	36	37	20	13	30	23	50
Zotu15332								
Zotu4880						2		
Zotu11676			1					
Zotu11465						1		
Zotu15444							1	
Zotu20346			2					
Zotu8531							2	
Zotu7647		1		1	2	1	1	
Zotu16907								
Zotu1525	1	4	6	6	4	8	4	8
Zotu4317	1	9	4	1	4	8	3	6
Zotu12353	1							3
Zotu15678						1	1	
Zotu13939								
Zotu4442	1	1				2		
Zotu9962								
Zotu8490								
Zotu10440	2					1	1	1
Zotu17846					3			
Zotu15513								
Zotu18397							1	2
Zotu3291								
Zotu2866						1		
Zotu7100								
Zotu3259								
Zotu5089								
Zotu6773								
Zotu16324		1						1
Zotu11459								
Zotu7359		1					1	
Zotu14692								
Zotu6449								
Zotu5556								
Zotu15876								
Zotu20294								
Zotu3674								
Zotu9053								
Zotu15237								
Zotu15062								
Zotu7704								
Zotu9221								
Zotu6113								
Zotu2298								
Zotu3320								
Zotu3408								
Zotu3844								
Zotu16390	3	2			1			
Zotu10370								
Zotu3594								
Zotu19913								
Zotu5071								
Zotu4851								
Zotu8772	3		3	3	1	4	3	
Zotu19032		1			1			
Zotu5981								
Zotu12992								
Zotu11293								
Zotu14965								
Zotu17989				3				1
Zotu14405								
Zotu12670				3	2			
Zotu18386								
Zotu10674			1					1
Zotu16425					2		1	
Zotu6532								
Zotu8668								
Zotu18495								
Zotu15116								
Zotu8423								
Zotu16175								
Zotu12216	1				1		2	
Zotu778								
Zotu13339								
Zotu11970								
Zotu15408					1	2	1	
Zotu4563							1	5
Zotu17669		2						
Zotu19629					1			
Zotu18417								
Zotu5636		3	1			2	3	
Zotu10991								
Zotu5128			1					
Zotu11542								
Zotu19858			2	1				
Zotu5368			3			1	1	
Zotu9767								
Zotu16970								1
Zotu11437		1		1				1
Zotu19585						1		
Zotu10191				2				
Zotu13056		1	1		2		1	1
Zotu3867	1		2	1	2	2	2	2
Zotu12566		1			1		2	
Zotu9226				1	1		1	
Zotu17018		1					1	
Zotu16019								
Zotu1092	4	8	4	7	9	14	5	13
Zotu2660		2	2	3	1	2	4	3
Zotu6931			1		3	1		3
Zotu4374		3	2			3	2	3
Zotu3934		5	6	1	4	3	5	4
Zotu1820	3	5	6	5	4	3	7	7
Zotu5548		1	1		1		1	1
Zotu1014	10	6	10	10	8	8	10	9
Zotu1329	1	5	7	6	5	8	7	5
Zotu5101				1		4		2
Zotu19975								
Zotu5226		2	2	1			2	1
Zotu16362	7	4	3	4	9	7	7	3
Zotu16397	1	2	2		1	1		1
Zotu19198	1	1					2	
Zotu19911								
Zotu13061							1	
Zotu20336								
Zotu17692	82	61	35	26	39	37	36	42
Zotu20273								
Zotu18526								
Zotu13857	1							
Zotu20408								
Zotu17938								
Zotu20362								
Zotu14640								
Zotu14203					1			
Zotu19976								
Zotu19332								
Zotu19692								
Zotu14297	2							
Zotu17755								
Zotu18807								
Zotu19161								
Zotu19298	8	2		3	1	1	2	
Zotu19191								
Zotu20068								
Zotu13963		1						
Zotu6623	1	1	1		2	4	3	2
Zotu1466	7	15	15	14	4	12	11	4
Zotu7885								
Zotu6087								
Zotu13711								
Zotu20773								
Zotu19711		1				2		1
Zotu2950								
Zotu14156						1		1
Zotu7297								
Zotu16868								
Zotu17508								
Zotu11070								
Zotu14329				1				
Zotu3405								
Zotu9027								
Zotu2972		1	2		4		2	2
