ID	hps_ck_1	hps_ck_2	hps_ck_3	hps_ck_4	hps_ck_5	hps_ck_6	hps_ck_7	hps_ck_8
Zotu2700	1	2	3					
Zotu12351								
Zotu7203	4							
Zotu13357								
Zotu7067		1			6			
Zotu8315								
Zotu7006								
Zotu19983								
Zotu8395								
Zotu3677								
Zotu8104				6				12
Zotu10626			2					
Zotu1649								3
Zotu16367								
Zotu1897	47		5	4			8	3
Zotu3623								
Zotu4154							7	2
Zotu11568								
Zotu2622						10		6
Zotu4111					1			1
Zotu8987					1			
Zotu1888	35		1	1			1	
Zotu784	1					3	1	
Zotu5713		5			3			
Zotu1411		1	4			2	5	5
Zotu735	2		1					
Zotu584	1					1	1	
Zotu1695	1							
Zotu1506								1
Zotu3087	1		1					2
Zotu6844	2							3
Zotu5478								
Zotu10623								
Zotu217					1			
Zotu5553	1						5	
Zotu5729								1
Zotu8968								
Zotu7503								
Zotu1443								
Zotu7701							2	
Zotu16526								
Zotu6030								
Zotu8848								
Zotu11304								
Zotu17874								
Zotu7568					1			
Zotu8878								
Zotu18656								
Zotu8935			1				1	
Zotu7147	1	1	1	1	2	1	1	1
Zotu6006	3	5				1	1	
Zotu16110								
Zotu5705	1			1	1	1	2	1
Zotu13901								
Zotu9058		4					8	
Zotu19059		1				3	1	
Zotu20031								
Zotu19715	3							
Zotu8053					2		4	1
Zotu9988		1			1	1	1	
Zotu14192	1	1	1				1	
Zotu14632						2		
Zotu18094				1			1	
Zotu18589								
Zotu17992							1	
Zotu7488	2		1	2			6	1
Zotu17859		1	1					
Zotu4489								
Zotu5593								
Zotu3582	1			1	3			
Zotu8276								
Zotu1740								
Zotu3495								
Zotu20002								
Zotu11704								
Zotu14765								
Zotu11694		3						
Zotu19488								
Zotu17077								
Zotu9729								
Zotu19011								
Zotu18136								
Zotu13179								
Zotu1426	16	3				1		
Zotu11724								
Zotu10620	1			4				
Zotu15273			1				2	
Zotu7314								
Zotu7351		2	1	1	1			3
Zotu10581			2					1
Zotu11773			1	2				
Zotu14958	1							
Zotu17902							1	
Zotu14115			2			1		
Zotu6060			1		5			3
Zotu3306	2	1		2	3	2		4
Zotu7476	2	3		1	1			1
Zotu7938	1						2	
Zotu5027	6			1	5	1		2
Zotu6587		1		3	1			
Zotu14682								1
Zotu6080			5	2	1	1		1
Zotu10760								
Zotu18522								
Zotu1612								
Zotu16060								
Zotu17091	1							
Zotu5336				1		1		
Zotu5895	5	8		1		1		
Zotu14068								
Zotu10056		1						
Zotu19538								
Zotu2894	1	2		2	1	1	1	
Zotu5737	5	6			1	3		
Zotu20326								
Zotu8302		9						
Zotu11810	1	5						
Zotu5492			4			2		
Zotu16781								
Zotu19637	2							
Zotu19837					1			
Zotu11623	1	2	1	1				
Zotu11690		2						1
Zotu10547					1	3		
Zotu5399			1					
Zotu13126								
Zotu13422	1							1
Zotu14081								3
Zotu13534				1		2		3
Zotu9571		1						
Zotu15751								
Zotu3501	4	3	5	3	3	2		7
Zotu5017		1	1	1	4	2	1	1
Zotu3576	4	3	2	3	1	3	3	1
Zotu18484								
Zotu3443	5	7	5	1	1	3	4	1
Zotu2482	4	2		4	7	2	1	2
Zotu7484	2				1			
Zotu18745								
Zotu20443								
Zotu8323		2	1					1
Zotu3428				4		2	9	
Zotu6123		7						
Zotu9785		1		5				
Zotu9489				1		1	3	
Zotu11660								
Zotu8857								
Zotu19803			1					
Zotu6650					2			
Zotu4627	1	3		1		1		
Zotu14007	1			1				
Zotu2790								
Zotu2820								
Zotu6340		3		2				
Zotu5044		13					2	
Zotu9343						1	3	3
Zotu19704								
Zotu7633	2		1			4	2	
Zotu10888								
Zotu18872	1	1						
Zotu3643				3				
Zotu5387								
Zotu11758			1				1	
Zotu10710								
Zotu8351								
Zotu7248							1	1
Zotu15576		1						
Zotu14390			1			2		
Zotu4604	1	2	2	1	3		2	3
Zotu11815						2		
Zotu11395						1		
Zotu15349								
Zotu17111						1		
Zotu12106								
Zotu13300				1			1	
Zotu12939								
Zotu15643								
Zotu4390								
Zotu4204								
Zotu7798								
Zotu10237				1	1			
Zotu5944								
Zotu9659								
Zotu9680	2							
Zotu11735								
Zotu11688				1				
Zotu14816								
Zotu15963								
Zotu16709			2					
Zotu2353								
Zotu8255								
Zotu9736								
Zotu7974					1			2
Zotu12147			1					2
Zotu9332								
Zotu17828								
Zotu13825								
Zotu7835		1	2					
Zotu16958					1			
Zotu6797								
Zotu4401								
Zotu20012								
Zotu17019		1			1			
Zotu6187								
Zotu10904								
Zotu8795								
Zotu12972								1
Zotu6115								
Zotu4192					2		1	7
Zotu3500								
Zotu11942				2	1			
Zotu1882					1			
Zotu10897								
Zotu4951		8		1			2	
Zotu17661		4		1				
Zotu9409								
Zotu8629								
Zotu2957								
Zotu8800					1			
Zotu8561					5			
Zotu5858	3	1						
Zotu10383								
Zotu15508								
Zotu17705								
Zotu10665								
Zotu13089								
Zotu12039								
Zotu18599								
Zotu18739								1
Zotu1979								
Zotu3841								
Zotu8440								
Zotu19732								
Zotu13507		1						
Zotu10593								
Zotu5380		1				1		
Zotu13920								4
Zotu12667		1			2			1
Zotu9899				2	2	1		
Zotu15456						1		
Zotu6879		1			2	8		2
Zotu3670	2				8	3		
Zotu8642		3					2	
Zotu16388					2			
Zotu7981	2	1	1	2	3			1
Zotu5799	33				12	3		
Zotu6150	1							
Zotu17835						1		
Zotu13718		1				1		1
Zotu15935								
Zotu18509								
Zotu12937		1					1	
Zotu2282	1		1			2		
Zotu8568					1		1	
Zotu19882								
Zotu7996	1							1
Zotu10149								
Zotu19257								
Zotu11828								
Zotu5828								
Zotu8963								
Zotu7514		2		5				
Zotu16516				5				
Zotu13173			1				2	
Zotu18260								
Zotu8018				2	1	3		1
Zotu5577				1	1			
Zotu20160								
Zotu14250	2			4				
Zotu10843								
Zotu10613								
Zotu17404								
Zotu8119	1	1						
Zotu13203								
Zotu10322								
Zotu19447	1		1					
Zotu19024								
Zotu11605								1
Zotu15517		2						
Zotu8876								
Zotu11134			1					
Zotu12831			2					
Zotu1807								
Zotu5571								
Zotu6305		1						
Zotu14636			1			1		
Zotu3787								
Zotu2156								
Zotu10836						3		
Zotu12867		2	1			1		
Zotu9264	1							1
Zotu13378	1							
Zotu15272								
Zotu13234				1			1	
Zotu11894								
Zotu10832			1					
Zotu16974	1			2		1		
Zotu20124								
Zotu11944			9				1	
Zotu19413								
Zotu20194								
Zotu17020			1					
Zotu5151	3	2				2		4
Zotu8210			1					
Zotu1113	3	11	1	12	11	1	5	4
Zotu17953						1		
Zotu9013	1	1	1					
Zotu14824					2			
Zotu10154								
Zotu16335								
Zotu13636								
Zotu14630								
Zotu19638								
Zotu16776		2			1			
Zotu7610						1		
Zotu11657		6				2		
Zotu4183								
Zotu3921								
Zotu2494			4	5		3	14	3
Zotu8215			3	2		1		
Zotu17930							1	
Zotu12773				1		1	2	
Zotu18493							1	
Zotu5382								
Zotu1678		4						
Zotu508		1		1			1	
Zotu6431								
Zotu3473		1	1	8		4		
Zotu4986	1	3		5	3			
Zotu7656		2		1	1		1	
Zotu4289								
Zotu14719								
Zotu4906				1				
Zotu10032								
Zotu3649								
Zotu18687								
Zotu13242								
Zotu6615								
Zotu1430								
Zotu4774								
Zotu291			1	3		1	2	6
Zotu12205								
Zotu2223	1	1	1	11	8	4	6	3
Zotu7783								
Zotu557			3		12		1	
Zotu19259								
Zotu6537								
Zotu9519								
Zotu1829								
Zotu2757								
Zotu7493								
Zotu9456						3	1	
Zotu767								
Zotu769				1		1		
Zotu9523								
Zotu1030			7	5				
Zotu8093								
Zotu1261								2
Zotu15948								
Zotu10062								
Zotu14607								
Zotu11896								
Zotu1624								
Zotu374								
Zotu12020	1		4	2			1	4
Zotu7065								
Zotu5910								
Zotu10092								
Zotu5805								
Zotu671								
Zotu1084								
Zotu17883		1						
Zotu5970								
Zotu11949								
Zotu9588				1				
Zotu9217								
Zotu19310								
Zotu4037	1		1					
Zotu18442								
Zotu14752								
Zotu18196								
Zotu13194								
Zotu5747								
Zotu2541	9							
Zotu2122	2			2	1	1		
Zotu12979								
Zotu14423								
Zotu16322								
Zotu11869								
Zotu16260								
Zotu3054								1
Zotu7959			1		4	1		
Zotu901					1			
Zotu18013								
Zotu12425				2	4	1		
Zotu16081								
Zotu19179					1	1		2
Zotu15584								4
Zotu1248					1			
Zotu1058			1					
Zotu12427								
Zotu16480								
Zotu246		1			1		2	
Zotu2538								
Zotu4559								
Zotu3110								
Zotu4042					10			1
Zotu8638	1			1				
Zotu14861								
Zotu2628								
Zotu4928	1							2
Zotu5347							1	
Zotu1659	8	6	10	7	6	2	4	1
Zotu4828			1	1	1	3	5	
Zotu5056	1			1	1	1	5	1
Zotu15870								2
Zotu15263								
Zotu18577								2
Zotu1579	5	7	5	8	9	2	12	6
Zotu8828		1	3					
Zotu15222	1							
Zotu15729								
Zotu18757								
Zotu19760				1				
Zotu2495	3	23	3	10	10	6		4
Zotu12581								
Zotu12785			1			2	3	
Zotu6050		1						
Zotu13752		1						
Zotu10968								
Zotu12345						2		1
Zotu19052		2						
Zotu13361				1				1
Zotu1201	5	8	15	14	16	4	13	8
Zotu15669								
Zotu7829		4	1	4				
Zotu12968								2
Zotu4150								
Zotu10731								3
Zotu9310								1
Zotu9249								
Zotu11621			1					
Zotu10521								
Zotu10990				1				
Zotu9381	1	5						
Zotu4982								
Zotu14406								
Zotu5635	2	1				2		
Zotu3627								
Zotu5709						1		
Zotu9442								
Zotu6899								1
Zotu8346								
Zotu14010								
Zotu9564								
Zotu2433								
Zotu6251		1						
Zotu8984								
Zotu12199								
Zotu12859								
Zotu4536					17			
Zotu18355								
Zotu11718								
Zotu17679								
Zotu6692		1	1					
Zotu18900					1	1		
Zotu4005								
Zotu5764	14					1		
Zotu15052							3	
Zotu9704								
Zotu11493								
Zotu16455								
Zotu8929				2		3		
Zotu10780				1	2			
Zotu18224								1
Zotu9359		2	3	2		2		1
Zotu6165		1	1					
Zotu4259	6	2	2	1		3	2	3
Zotu11867						1		
Zotu18156						1	1	
Zotu19328								
Zotu16034								
Zotu17088								
Zotu5739								
Zotu16574								
Zotu12259								
Zotu2842	1				3			
Zotu10825								
Zotu7362					3			
Zotu19861								
Zotu17357								
Zotu11369				1				
Zotu3798		2	2	4		3	1	
Zotu20796								
Zotu3858	1	2		4				2
Zotu16655								
Zotu5316				2	1	1		
Zotu7577								1
Zotu6142								
Zotu6204								
Zotu17406		1			6			
Zotu17683								
Zotu1177	1				4	6	2	3
Zotu10306								
Zotu8318	1	3						
Zotu5422								3
Zotu18006								
Zotu2794	5		1	1	1	4	6	2
Zotu908	11	12	4	8	5	7	7	10
Zotu13439				1				
Zotu3917		1	4					
Zotu4330						2		
Zotu17477								
Zotu702	41	1	6			5	5	3
Zotu10381		4						
Zotu17343		3						
Zotu13544		1			1			1
Zotu3897	2							
Zotu15745								
Zotu7498								
Zotu15244								
Zotu9436								
Zotu5370				5				
Zotu20101								
Zotu1423	2	1			2	1		5
Zotu14117								
Zotu4256	2	1		1	2	1		1
Zotu5565					3		1	1
Zotu12981								
Zotu19541								
Zotu7374								
Zotu19224		1						
Zotu1203	1		1	2				1
Zotu8687			2					
Zotu4946		1			1	1	55	3
Zotu8347								
Zotu9932	1		1		3		1	
Zotu15566			3					
Zotu2944	1		1			2		1
Zotu1416	8	3	1		7	5	7	4
Zotu4879			1			1		2
Zotu9882								
Zotu16311		1						
Zotu6121	1				2			
Zotu6017	1	7		2		1		
Zotu8213		1				1		1
Zotu2124								
Zotu12821	2							2
Zotu6697								
Zotu17162								
Zotu19003								
Zotu17864								
Zotu18021								
Zotu1754								
Zotu8521								
Zotu16553								
Zotu1332	11	36	11	6	2	7	10	5
Zotu3275				3		1		
Zotu19663						1		
Zotu6916		2	1	1				
Zotu839	24	15	15	19	11	23	8	3
Zotu9460						3		
Zotu18650						1		
Zotu14275								
Zotu17234								
Zotu10872								
Zotu15649								
Zotu6498						4		
Zotu10860								
Zotu9176		1			2		1	1
Zotu8818	1					3		1
Zotu14955								
Zotu8075								
Zotu19579		1	1					
Zotu15139							1	
Zotu8264						1		1
Zotu13271						2		
Zotu18571		1						1
Zotu9470			4			2		
Zotu6759	1	3						1
Zotu2268	1	1	1	4	5	7	3	2
Zotu10294		1					3	
Zotu14035								
Zotu18280		1					1	
Zotu12122					2			
Zotu19875								
Zotu7146								
Zotu10577		1		1	1			3
Zotu18770			1		1			
Zotu5650				2	2			
Zotu7490				1	1		5	
Zotu17711								
Zotu3647	1	1	3	4		2	7	1
Zotu4840		2		3		3	7	1
Zotu9079						2		3
Zotu8482							1	
Zotu10509				1				
Zotu2066	2	6	8	5	2	8	8	3
Zotu3681	1		3	3	1	4		5
Zotu18047				1				
Zotu1405				2				
Zotu5563	3							
Zotu19142								
Zotu13424	1							
Zotu17526								
Zotu2369							4	
Zotu10442								
Zotu3750								
Zotu12949								
Zotu13819								
Zotu567						2		
Zotu1310								
Zotu9710								
Zotu16878								
Zotu12044								
Zotu3434	29			2		1		
Zotu3973								
Zotu20027								
Zotu14064								
Zotu883	7			15	4	5		13
Zotu17036								
Zotu15309								
Zotu7740								
Zotu11911								
Zotu13079								
Zotu5080	3			3	1			1
Zotu12589	1							
Zotu12802								
Zotu9915						1		
Zotu3567								
Zotu1302				2				
Zotu16939								
Zotu3982	2		2	2			3	1
Zotu12545								
Zotu6048	1							
Zotu2014								
Zotu17985				1				
Zotu12909	1	3					1	
Zotu16843								
Zotu18688								
Zotu14669	2							
Zotu10597								
Zotu7676				1				
Zotu14760				1				
Zotu10397								
Zotu5428								
Zotu16485								
Zotu5505		2	1	2			1	
Zotu12223								
Zotu4893		2					1	
Zotu18413								
Zotu11743								
Zotu4532							1	1
Zotu10691								
Zotu19347								
Zotu3843	3	2	1	8	6		3	
Zotu7940								
Zotu3336	3	1	3		6	5		1
Zotu1935	4				2	2	8	
Zotu13477						3		
Zotu18634								
Zotu13178								
Zotu9322	1				1			
Zotu9572	3		1		1			
Zotu13146								
Zotu18681								
Zotu8941	1							1
Zotu15450		2						
Zotu19343								
Zotu17565								
Zotu19006				1				
Zotu11636								
Zotu8854	1							
Zotu2615								3
Zotu14823								
Zotu20453								
Zotu20129								
Zotu8200			1					
Zotu14525								
Zotu11290								
Zotu15295								
Zotu18614								
Zotu11307								
Zotu18607								
Zotu3313			1					
Zotu19764						1		
Zotu15790		1						
Zotu1546	11	12	10	5	21	9	4	5
Zotu6876	1							3
Zotu5262	2	1	4		2	4		4
Zotu10966	2		2	3	1			
Zotu20175								
Zotu14631		1						1
Zotu17671								
Zotu8304		1						
Zotu9758	1				3		1	
Zotu11235					1			1
Zotu14421						1		
Zotu11719								
Zotu14082				1				
Zotu16483								
Zotu16458		1						
Zotu9679		1						
Zotu11795					2		1	
Zotu11596		1		2		1		
Zotu5359		3			3			
Zotu7628	1	1		1	1			
Zotu11553								
Zotu11599		4			1			
Zotu19135						1		
Zotu18243					2			
Zotu19869								
Zotu19912	3							
Zotu7566								5
Zotu2994	4	4	2	1	4		3	4
Zotu15370						1		
Zotu16354					1			
Zotu9530								
Zotu19358								
Zotu17369								
Zotu16486								
Zotu19823								
Zotu5696								
Zotu16198		2		1		1		
Zotu8983	1						1	
Zotu18120	1			2				
Zotu11170					1	1		1
Zotu15160								
Zotu12540								
Zotu7381								
Zotu9490								
Zotu10995								
Zotu8193	1			1				
Zotu12222								
Zotu14920								
Zotu18802								
Zotu10128	4		1	2			1	
Zotu12440								
Zotu20793								
Zotu1558	3	2	1		2			
Zotu1693			11	2				
Zotu10429								
Zotu1229	2	1			2			2
Zotu4464								
Zotu12369								
Zotu19990								
Zotu9706								
Zotu19218								
Zotu15268								
Zotu16470								
Zotu20526								
Zotu8365								
Zotu11381								
Zotu9268								
Zotu16415	1							
Zotu17034								
Zotu6284	1	1			1	1		
Zotu4837	3					1		
Zotu4930	1	4	1	1				
Zotu16099	2	2						
Zotu13190								1
Zotu2652	4	22			5	6		14
Zotu10745								
Zotu15793								1
Zotu15105		1						
Zotu11873					1	2	2	
Zotu19701								
Zotu20633								
Zotu3504	2	2	1	3	3	2		2
Zotu4170				1				2
Zotu7121		5			3	2	2	
Zotu12665		2				1	1	
Zotu18921								
Zotu19842								
Zotu4134					1	1		1
Zotu8861								
Zotu8460						2		
Zotu15145								
Zotu14061								
Zotu3483	2	3		6	10	3	4	6
Zotu12441		2				4		
Zotu17174								
Zotu5564	2	1	1	1	6			
Zotu9136								
Zotu10203		1						1
Zotu2875	4	5			5	2	3	3
Zotu6387	1				1	2		5
Zotu16273								
Zotu10668								
Zotu8348								
Zotu19993	1							
Zotu10542						2		
Zotu12287								
Zotu7049							1	
Zotu15556								
Zotu1536	4	7		8	28	6	5	3
Zotu11040								
Zotu8396								
Zotu5888	1	1						
Zotu3486						2		
Zotu4461		1						
Zotu18134								
Zotu19592								
Zotu18827				1				
Zotu13511	2					8		
Zotu7608	2					1	7	
Zotu8329		2					3	1
Zotu18640								
Zotu18781								
Zotu9087				1				1
Zotu9723					1			
Zotu18824								
Zotu1753	1	2		3	1			1
Zotu6206								
Zotu15605								
Zotu9485								
Zotu11627								
Zotu9584								
Zotu13236								
Zotu11321								
Zotu5156								
Zotu13719								
Zotu10213								
Zotu14499					1			
Zotu16905								
Zotu8350					1			
Zotu11377	2							
Zotu20156								
Zotu12076								
Zotu17150								
Zotu10067								
Zotu10351								
Zotu13352		2				1		
Zotu15294						1		
Zotu16891								
Zotu9517								
Zotu18784								
Zotu17457								
Zotu18071		3						
Zotu20828								
Zotu8094	2	6						2
Zotu10947	1						2	1
Zotu18777								
Zotu11283		2			2			
Zotu12768								
Zotu20799								1
Zotu11824		1					1	
Zotu19872								
Zotu6801								
Zotu6965	2	1			2			
Zotu9716		1						
Zotu15899								
Zotu6491								
Zotu18683								
Zotu16534	1							
Zotu5797	2							
Zotu11921	3				2			
Zotu8502						2		
Zotu9769								
Zotu15374								
Zotu3255								
Zotu3457				1		4		
Zotu7762								
Zotu9239					4	2		2
Zotu18545							2	
Zotu9636			1		2			
Zotu20497								
Zotu4272				1			1	
Zotu12349				1	1			
Zotu5808								
Zotu14548		3						
Zotu20555								
Zotu4648								
Zotu16947					1		1	
Zotu19567					6			
Zotu19516								
Zotu14332								
Zotu7794								
Zotu2702							1	
Zotu3224				1				
Zotu12442		3					3	
Zotu13633	1	6				1	1	1
Zotu19562		2						
Zotu13632		1		1		3		
Zotu12980					1	1		
Zotu13068							1	
Zotu18654								
Zotu13075				1	7		5	
Zotu4446								
Zotu19873	1				1			
Zotu17067								
Zotu1517								
Zotu7319								
Zotu17607								
Zotu3231								
Zotu6969								
Zotu2263								
Zotu1617								
Zotu4312								
Zotu5769								
Zotu3738								
Zotu125	21	10	4	9	28	1	44	4
Zotu730	23		3		1		38	10
Zotu187	34	1	7	4	10		80	1
Zotu518	17	5	1	3	2	5	322	11
Zotu141	1		7	9	17	10	194	6
Zotu2783	10						3	
Zotu16463								
Zotu4236								
Zotu13105					1			
Zotu329	6	6	10	6	4		4	5
Zotu12924								
Zotu8959					1			
Zotu2286								
Zotu11677								
Zotu7394								
Zotu14732								
Zotu15460								
Zotu9753								
Zotu9269								
Zotu18679								
Zotu16543								
Zotu6598							1	
Zotu8064								
Zotu580					10	13		2
Zotu2443								
Zotu1551	1					3		
Zotu1237	4					4		
Zotu1827	1	4		1		2	1	1
Zotu2619								
Zotu4173								
Zotu3340				1		1		3
Zotu2237								
Zotu6094				1				
Zotu13529								
Zotu11515								
Zotu7928								
Zotu9201								
Zotu1063								
Zotu317			4	2	1	2	10	
Zotu3915								
Zotu12633								
Zotu11243								
Zotu19736								
Zotu20169								
Zotu9832	1							
Zotu1057		1	3				1	
Zotu5896								
Zotu8801								
Zotu17616								
Zotu17068			1				1	
Zotu20860								
Zotu17627								
Zotu4571								
Zotu13593							1	1
Zotu10782								
Zotu12680								
Zotu7402								
Zotu11270								
Zotu1396	5				2	4		
Zotu11861	1							
Zotu15333			1					
Zotu2724	1					2		
Zotu3161	8	1		2		1	1	2
Zotu19682								
Zotu13948								
Zotu3832		4		1		2		3
Zotu18552								2
Zotu20281								
Zotu2484		1					1	1
Zotu19071								
Zotu4213					2		10	
Zotu8343								
Zotu13082								
Zotu13372								
Zotu12596								
Zotu5275					2			
Zotu4567			1					
Zotu10537								
Zotu12614								
Zotu6348								
Zotu6766							1	
Zotu843	13	1			1	1	64	2
Zotu15182								
Zotu3489								
Zotu19686		3						
Zotu13395								
Zotu864	16	1			5		12	2
Zotu5471	2				1		1	1
Zotu6210			2					
Zotu11344								
Zotu18206								
Zotu531	15		2		1	3	9	
Zotu2618	1				4			
Zotu589	29		1	2	3		4	1
Zotu2881	2			1			1	
Zotu3682	2				3			
Zotu13189								
Zotu12754								
Zotu9781								
Zotu300	20	2		4	6	1	29	9
Zotu1219	3				5		11	3
Zotu4831	1				2			
Zotu2174	2	1		5	1		20	2
Zotu18978		1						
Zotu14315								
Zotu19452								
Zotu19854								
Zotu6218								
Zotu2420	2						3	
Zotu7904								
Zotu4373								1
Zotu920	5		1	6			4	2
Zotu2189			3	1			4	1
Zotu1824	6				3		4	
Zotu581	25	4	1	2	2	1	9	
Zotu3545							2	
Zotu5288						1		1
Zotu11585								
Zotu1318	14	2		3	4		8	1
Zotu14720								
Zotu12546								
Zotu18615								1
Zotu11932								1
Zotu1645	5			1	2		8	1
Zotu1128	7	2		1	2	3	10	9
Zotu617	8			2		3	33	
Zotu13863								
Zotu349	23		1	2	3	5	67	6
Zotu587	7	2	3	3	5		6	1
Zotu7945								
Zotu11698	1							2
Zotu6026						1		
Zotu7557	1						2	
Zotu2062	5			1			1	1
Zotu1217	3		5	2	4		1	6
Zotu18388								3
Zotu111	123	7		15	9	8	84	32
Zotu653	22	10		2	13	3	3	19
Zotu2684	1		1		1			1
Zotu4052	1	1						
Zotu4615	7					1	2	2
Zotu18315								
Zotu15719							1	1
Zotu8293						1	11	
Zotu1483					1		18	1
Zotu1719	2	1		1	2		11	1
Zotu7807							21	
Zotu11501								
Zotu20095							2	
Zotu6092		1				3	2	
Zotu9169								
Zotu1970	1							
Zotu8404								
Zotu6639						1		
Zotu7618							36	
Zotu3595	8					1	25	
Zotu18012								
Zotu10544								
Zotu4688	7	2			1	6	8	
Zotu4721			1					
Zotu4952								
Zotu17490								
Zotu16981		1				1		
Zotu18135		1						
Zotu17180								
Zotu15527						2		
Zotu19367								
Zotu14989	2							
Zotu20092	1						1	1
Zotu3108				3			3	1
Zotu6516	2			1			1	1
Zotu13432				1			1	
Zotu15818				1				
Zotu15898		1						1
Zotu15265		1						
Zotu16875								
Zotu18829								
Zotu11796				1				
Zotu5230	1				2			1
Zotu19271								
Zotu13686		1			1			
Zotu3928								
Zotu9403	1						10	
Zotu14664	1							
Zotu2144	1			1			1	
Zotu2869								
Zotu273	24	3	3	9	14	10	161	17
Zotu19896				1				
Zotu18685							2	2
Zotu19474				2				1
Zotu20644		1					6	
Zotu860				3	1		2	
Zotu14855							1	
Zotu12419								
Zotu58			12	19	15	1	18	
Zotu873				1		2	1	
Zotu360			3	4	11	2	1	2
Zotu4214								
Zotu2648								
Zotu356	1	1	8	5	2	1	4	1
Zotu67			5	3	19		3	
Zotu5778					1			
Zotu7700								
Zotu7687								
Zotu9156								
Zotu3070								
Zotu881			1	1		2		
Zotu5570								
Zotu104		7	12	12	39	4	38	7
Zotu8089				2				
Zotu12148	2		2					
Zotu6922								
Zotu11765								
Zotu3012	10	13	6	7	2			
Zotu15940								
Zotu19080								
Zotu16975	4	2		1				
Zotu10599	4	3	1					
Zotu19258			1					
Zotu16612								
Zotu18066	1	1						
Zotu19231								
Zotu9613	1	1	2			3	1	
Zotu14584	1	3			1	5	1	
Zotu18308			2					
Zotu8084								
Zotu16255								
Zotu10502			2				1	
Zotu16213							1	
Zotu13036								
Zotu11854			4				2	
Zotu11778		1				1	3	
Zotu10763	2		3			1	4	
Zotu5216								
Zotu3287						1		
Zotu6851						2		
Zotu20593								
Zotu12814								
Zotu6395						4		1
Zotu12413	1			3				
Zotu4885		2	1		2	2		
Zotu6701	1	1	1	1				
Zotu2969			1		1			
Zotu8556				1	1		1	
Zotu11279			1	1				
Zotu18644	1		2					
Zotu8513			1			1		
Zotu17192								
Zotu10407								
Zotu10893								
Zotu11468			1					
Zotu2478	2	1	1	3	1			2
Zotu12393				2		1		
Zotu7474				2				
Zotu7167				1				
Zotu10619			1			1		
Zotu14364								
Zotu4430				1				
Zotu2910			1		1			
Zotu2051						1		
Zotu11168								
Zotu13877								
Zotu13991		2		3				
Zotu17819		1	1					
Zotu8563					1		2	1
Zotu20021				1		1		1
Zotu9533	1	1					1	1
Zotu16993		1	1					3
Zotu10988	4	2	1			2		
Zotu15893	1	3	1					
Zotu13238								
Zotu11021					1			
Zotu19708								
Zotu20797								
Zotu4327	3	5			1	1		10
Zotu9162	2						6	1
Zotu20167								
Zotu16599								
Zotu2300	2			1				
Zotu8127								
Zotu7667	1		1			3		
Zotu11049								
Zotu12605								
Zotu17185								
Zotu6792								
Zotu5694					2		3	
Zotu9391								
Zotu13419								
Zotu6715	3	1	7	1	2	2		4
Zotu12077	1	1		3				
Zotu7688								
Zotu5258					1	1		
Zotu10602								1
Zotu2848					1		2	
Zotu16996						1		
Zotu4966	2						2	
Zotu17926								
Zotu6890								
Zotu8090								
Zotu19316								
Zotu12361					1			
Zotu16955								
Zotu10365	1							
Zotu13779								
Zotu9153								
Zotu12704								
Zotu3959								1
Zotu17957								
Zotu10913								
Zotu12373								
Zotu9545	1	1		2				
Zotu9611		2	1	1		1	3	
Zotu8356	1			1	1			
Zotu14412								
Zotu18090								
Zotu8225		2				2		
Zotu14333						1		
Zotu14939							1	1
Zotu17885	1							
Zotu1482	3			4	4		32	2
Zotu13705						1		
Zotu20486								
Zotu12168							3	
Zotu9427						3		
Zotu13889				2				2
Zotu13260								
Zotu15075								
Zotu7373		1			1	1	3	
Zotu20007	3							
Zotu3566	1	3	2	3		3	5	1
Zotu14683								
Zotu20067								
Zotu10898								
Zotu8702								
Zotu4678								
Zotu1191	4	1			1	1	1	
Zotu2686	1			1	3	1	4	1
Zotu11215								
Zotu19490								
Zotu4974		6			1		7	
Zotu9835								1
Zotu10478								1
Zotu4759					1			
Zotu17728								
Zotu7282								2
Zotu10503							1	2
Zotu13646								
Zotu6002				1				
Zotu13951								
Zotu5213								
Zotu19107					1			
Zotu8010								
Zotu8467						2		
Zotu14450								
Zotu20420								
Zotu13196				1				
Zotu3065							1	
Zotu16710								
Zotu16805								
Zotu17103								
Zotu9793								1
Zotu15193								
Zotu11267								
Zotu19299								
Zotu7075				1				
Zotu8825								
Zotu2466	1	1		2	5	1	1	1
Zotu6938								
Zotu12152								
Zotu15503		1			1		1	
Zotu15887								
Zotu4640								
Zotu4994								
Zotu7518								2
Zotu6668								
Zotu3105					1	1		
Zotu7721			1				1	
Zotu2642	1	1	1	1				
Zotu1658	1				1	6		
Zotu5566		1						
Zotu8707								
Zotu8145								
Zotu19150							1	
Zotu2081			1		1			
Zotu5905			2					
Zotu2867					2	10	2	6
Zotu8890								
Zotu8833				1				
Zotu11186								
Zotu519			6	4	3		4	
Zotu19305				2				
Zotu6291			1			1		
Zotu5454					1			
Zotu3895			1	2	29	3	95	
Zotu2301			1	4	1		2	
Zotu14382				1				
Zotu15061					1			
Zotu17026								
Zotu9786								
Zotu3024								
Zotu4268								
Zotu546								
Zotu149								
Zotu392								
Zotu1231								
Zotu6683								
Zotu10756								
Zotu5998								
Zotu16209								
Zotu2677					1			
Zotu11020								
Zotu2916			2					
Zotu16712						2		
Zotu19266								
Zotu11397								
Zotu192		1	13	7	11	4	14	
Zotu763			2		1		3	
Zotu2583			1		1			
Zotu1295		3		1	2			2
Zotu2324					1		1	
