ID	hps_ck_1	hps_ck_2	hps_ck_3	hps_ck_4	hps_ck_5	hps_ck_6	hps_ck_7	hps_ck_8
Zotu4197		3		2	1	4	1	
Zotu20340		3			1			
Zotu19334						1		
Zotu4454							1	1
Zotu6052	1	3		2		2	2	
Zotu9186				3				1
Zotu15168						1		
Zotu3233	2	2	1	3		1		1
Zotu2669	11	8	1	1	1	3		4
Zotu16383		1						
Zotu17347	1							
Zotu14944		1						
Zotu12913								
Zotu19621								
Zotu15750				3				
Zotu14847		2	1	1	3			
Zotu8722								
Zotu8820	3		1		1		1	
Zotu15285				1				
Zotu13667		2						3
Zotu18636								2
Zotu3344		1	1	1		3	1	1
Zotu7318	1	3		1			2	
Zotu13989		2				1	3	1
Zotu3356		3	2	3	1	3	4	3
Zotu14255								
Zotu10386	1	1		1				
Zotu17712	1					2		2
Zotu3888	3	4		1	2	1	2	3
Zotu19124	1							
Zotu4659	3	5	2	5	1	3		1
Zotu4237			1	1			6	
Zotu11740	1		1					
Zotu13054			1				1	
Zotu1159	6	8	12	12	8	8	2	6
Zotu13064			1			2	1	2
Zotu3446				1			1	
Zotu1855	1			1	1	2		1
Zotu7825			1	1	1		1	
Zotu6770			1				1	
Zotu7642								
Zotu9797								
Zotu13360				1				
Zotu9407	1			2		1		
Zotu3865	1			2				
Zotu4382	3	1	1	2	1	3		1
Zotu3609		1					3	
Zotu5175								
Zotu2636	3	2	3			4	3	4
Zotu5139			2	3				
Zotu16408						1		
Zotu14624					1	1	1	1
Zotu3245	2	5	3	2		11	2	
Zotu173	31	25	38	29	11	29	21	15
Zotu684	5	4	9	13	4	11	4	9
Zotu1676	6	3	1	1	1	3	5	2
Zotu2864	1	3			1			2
Zotu9351		2				4		1
Zotu3792		2	1	2	2	1	1	
Zotu12431								
Zotu19364								
Zotu13410								
Zotu6614								2
Zotu8359					1			
Zotu9422								
Zotu20677								
Zotu9525								
Zotu12276								
Zotu12179								
Zotu5848								
Zotu18639								
Zotu19487				1				
Zotu16137								
Zotu16410								
Zotu15739		1						
Zotu4392	2	1	4	5	1			2
Zotu20495				1		1		
Zotu8512	1	1				1		1
Zotu15975								
Zotu14488		4					2	
Zotu19283			2					
Zotu11475				1		1		
Zotu4523	2	2	1	3			3	1
Zotu4637	6	1	4		2	1	5	2
Zotu777	5	5	10	6	1	7	4	3
Zotu7077						2		1
Zotu4711		2	1	2		3		
Zotu12218	2							
Zotu7371			1		1	1	3	
