ID	bs_ck_1	bs_ck_2	bs_ck_3	bs_ck_4	bs_ck_5	bs_ck_6	bs_ck_7	bs_ck_8
Zotu19025			2				1	
Zotu8514		1	1	1				1
Zotu10112				2	1			
Zotu14606	1					1		
Zotu2562	5	2	1	1	7	2	4	1
Zotu5105	3		4	4		1	4	
Zotu7619			1	4			2	
Zotu13322					1	2	2	
Zotu13393		1						1
Zotu15002					1	2		
Zotu9287		1		1	1	1	4	1
Zotu4352		1			2	2	4	
Zotu3359	4		6	6			7	3
Zotu11351	1		1		1			2
Zotu4564		3	3	1	1	1	3	
Zotu15327			1					
Zotu13109			2	1		1		
Zotu7053			1					
Zotu10840				1	2			
Zotu13699	1							
Zotu8520	2		1			1	1	2
Zotu16933						4		1
Zotu11456		1	1	1	1	1	1	
Zotu17445				1				
Zotu5140	1			4	1		2	3
Zotu12299	1							
Zotu13441			1				1	
Zotu8896	2			2				
Zotu15687				2	1			
Zotu16822			2					
Zotu7160	1			3	1	2		2
Zotu19273	1							
Zotu13034								
Zotu17354								
Zotu19057								
Zotu4030								
Zotu7593			1	1	6		3	2
Zotu16475								
Zotu19746				1				1
Zotu11479								
Zotu15048								
Zotu16650								
Zotu7289								
Zotu13280								
Zotu20664								2
Zotu5818								
Zotu4070								
Zotu18109								
Zotu15947								
Zotu18826								
Zotu15821								
Zotu12642								
Zotu13747								
Zotu16948								
Zotu11798								
Zotu13776								
Zotu5821								
Zotu18376								
Zotu18183								
Zotu16078								
Zotu17827								
Zotu12343								
Zotu8955								
Zotu13559								
Zotu12519								
Zotu9868	2				1	2	2	1
Zotu2879	2		4	4	1	1	6	1
Zotu9305								
Zotu16664							1	
Zotu10347				3	1	1		
Zotu17436					1			
Zotu14617	4							2
Zotu19515								1
Zotu15568	2			1		1	4	2
Zotu20489			1					
Zotu4001		5	9	5		5	5	1
Zotu6895				2			2	1
Zotu17903	1		2	2		1		
Zotu16621			2	2		3		
Zotu8471	2		1	1		1		1
Zotu15173								
Zotu3130	3	4	1	2	4	4		
Zotu5297		1				2		1
Zotu3650	2	3	4	3	5	4		1
Zotu4424	7	1	2	2	3		2	3
Zotu5461	3		2	3	1	3	3	3
Zotu17887								
Zotu12438								
Zotu14999					1			
Zotu16482						1		1
Zotu15983			1	2				
Zotu17798								
Zotu17444	3			1	1	1	1	
Zotu12461					2		1	4
Zotu12515	1		2		2	1		
Zotu11268				5	1	1	1	
Zotu18799								
Zotu11914			3				1	3
Zotu17276			1			1		
Zotu15334		10		1		2	2	
Zotu17062	3	7	2	2	1	4		
Zotu15654		1			2			
Zotu17532		2		3			1	
Zotu18149		5						
Zotu16453	5	18	2	1		1	6	1
Zotu15065		16	2	5		1	2	1
Zotu17624						1		
Zotu17598								
Zotu17695								
Zotu19864	2	1						
Zotu17685								
Zotu18169								
Zotu18849		1						
Zotu14693				1				
Zotu16363								
Zotu15892								
Zotu19625	3	1						
Zotu17865	8	45	2	7	4	8	6	6
Zotu15964				1		1	1	
Zotu13580							2	
Zotu19723								
Zotu20423								
Zotu8995	4	4		1		4	4	
Zotu14361	1				1		1	
Zotu20708			1	2			3	
Zotu20707								
Zotu8883	1		2					1
Zotu2946	4	7	2	2		2	5	4
Zotu12713		2		2				
Zotu15337		3				1	1	
Zotu10273			1					
Zotu9813					1		2	
Zotu11706	6			1		2	1	
Zotu10244	2		1					
Zotu11968						1		
Zotu13119								
Zotu12717		3					1	
Zotu15235							1	
Zotu10895								
Zotu18240		1						
Zotu17025		1					1	
Zotu16432							1	
Zotu788	33	98	8	29		21	11	15
Zotu6680	7	4	1					5
Zotu7372		2			1		3	2
Zotu20522			1				1	
Zotu9643				2	3		1	2
Zotu6219	1	2				1		
Zotu8775		1	1			2	1	
Zotu4349	2	1		1	3	3	1	2
Zotu8380	1	1		2		2		1
Zotu9165				1				
Zotu9458		2						
Zotu11248	1		2		1	1		6
Zotu18168	1							
Zotu979	28	6	8	10	4	9	10	7
Zotu2528	6	8	3	3	1		3	1
Zotu7606			1		1		1	
Zotu14232	1	1	1				1	
Zotu3913	2	5		3	1		1	
Zotu4491	2	1	1	4		4	1	4
Zotu7808							1	
Zotu10845								
Zotu12947		1		1				
Zotu6985		2		1		1	1	
Zotu15113		2						
Zotu18691		1						
Zotu10765				1	1			
Zotu11047								
Zotu14400	1			2				
Zotu4290	7	11	2			9	2	
Zotu15901	3	2		2		1		
Zotu3565	3	8	5	3		11	1	4
Zotu17746	1	1		1				
Zotu19706								
Zotu6975		3	1		2	4	1	
Zotu8505	1	3	1	1		5	1	
Zotu15764							2	
Zotu4997	5	7	3	4	3	6	4	2
Zotu12634		2	3	1	1	1	1	
Zotu7604	1	2	1	1	2			
Zotu14898		1		3				1
Zotu15788								
Zotu13465						3		
Zotu20406								
Zotu11010				4				
Zotu16535								
Zotu19426	1		1					
Zotu3724	3	11	2			1	3	1
Zotu16499								
Zotu18209					1		1	
Zotu14052								
Zotu18662								
Zotu7375	3							
Zotu18684								
Zotu19314								
Zotu7272	1	1	1	1	1	6	1	
Zotu18942	1	1						
Zotu19980								
Zotu10185		4			2	3		
Zotu12555	1	3		1				
Zotu9236		2				2	2	1
Zotu9982	1	3		1		2	1	
Zotu14478	1			2		2		
Zotu14040	1	1				1		
Zotu20480								
Zotu19269								
Zotu18429				1			1	1
Zotu16648		5	1	2			1	
Zotu19262		1						
Zotu8677	1	4			2	1		1
Zotu13201						3		
Zotu5093		3	1			2		4
Zotu13040	1					1		
Zotu7834		17	1	1	1		1	2
Zotu3328	2	3	2	1	4	4	1	1
Zotu12530	1	5	1					
Zotu3964	4	6		4	3	2	3	2
Zotu12604	1	1						
Zotu16507	1	2	1	1				
Zotu2844	9	9	3	6	1	5	3	5
Zotu9075	2				1			1
Zotu17339			1					
Zotu8098		2	1	2		3		2
Zotu11892	3							1
Zotu20363		2		3				
Zotu7879		1		1		2		
Zotu9182		2	2		2		1	1
Zotu9884		2			1			1
Zotu13131								
Zotu19359								
Zotu10189	1					2		1
Zotu11108			1	2		1		
Zotu6646	3	2				2	1	
Zotu7699	2	3		1	1			
Zotu8657					2	3		
Zotu8352		1						1
Zotu16391					1	1	1	
Zotu13546								1
Zotu8372								
Zotu11062						1		
Zotu13894								
Zotu19470								
Zotu5906	1	4	1		1	1	2	4
Zotu15888								
Zotu16223					1			
Zotu14377				1	1			
Zotu5804				1		1		
Zotu12977								
Zotu16191			1					
Zotu2181	3	2	1	1		6	4	1
Zotu8224		3			1			
Zotu3347		3		3	4	2	4	1
Zotu16611	2					1		
Zotu13675	2			1		1	2	1
Zotu15996								
Zotu5659		5						1
Zotu8627	2			2	1	1		
Zotu14092								
Zotu19214	1	1					1	
Zotu5629		1						
Zotu11800		3		2		1	2	2
Zotu12613		1						1
Zotu16062								
Zotu18738								
Zotu11447			3	1			1	
Zotu17834			2					1
Zotu20559								
Zotu6957					2			4
Zotu6107								
Zotu18476								
Zotu19000		1					1	
Zotu13684		1						
Zotu18912								
Zotu5708					1			
Zotu12292	1				1			1
Zotu19128								
Zotu17433							1	1
Zotu10658								
Zotu18137								
Zotu9959		3				3		
Zotu10079	1			4	1		3	
Zotu2663		9		3	1	2		
Zotu3131	3	6		1			2	
Zotu20381					3			
Zotu20786						2		1
Zotu17966			1			2	1	
Zotu12624	3	2		1	2	1	2	1
Zotu14701								
Zotu11218	1	1	1	5		2	3	4
Zotu15000	3			2	3	4		
Zotu17806	3	5				2		1
Zotu20385	4		2		2		3	1
Zotu12261				3		1		1
Zotu16120								
Zotu13400	2		1			3		2
Zotu18081	1					1		
Zotu18924	1	1					3	
Zotu9376		3		2				1
Zotu14316		1						
Zotu9194			1		3		1	1
Zotu6253	1	3		1				
Zotu17461								
Zotu4931	1	6		2	3		1	2
Zotu15676		1						
Zotu9923		2		1			1	
Zotu14186		1						
Zotu16464						1		
Zotu16986						1		
Zotu20666		1						
Zotu13996					1	2	1	
Zotu18004								
Zotu20204	2							
Zotu19132		1		1		1		1
Zotu14263	1	8						1
Zotu17035	1					1		
Zotu2646	1	2						
Zotu15753		3			2			
Zotu6549			1	2	1		1	3
Zotu10425								
Zotu2797	5	5			1		1	
Zotu7185		3		2				
Zotu10758								
Zotu18573								
Zotu5036		3		1		1	2	
Zotu20174								
Zotu16572				2				
Zotu6201		5				2	2	2
Zotu5875	2	3	2		4	1		
Zotu14661		3						
Zotu15103	2	3			1	1		
Zotu7765	2	5	2	2				
Zotu8527	1	2		1		3	1	
Zotu15968	2	1						
Zotu19522								
Zotu20082	1						2	
Zotu18235								
Zotu15912								
Zotu8603								
Zotu2423								
Zotu6293								
Zotu15400								
Zotu1455		1						
Zotu3829						1		
Zotu9473								
Zotu19772							1	
Zotu11451								
Zotu3064		2						
Zotu7221		1						
Zotu5872								
Zotu50			1			1		2
Zotu18598								
Zotu16433								
Zotu17052								
Zotu321					1		1	
Zotu1355								
Zotu77		6		3		3	1	1
Zotu469		4				2		2
Zotu18009		1						
Zotu4298	3	6		3		3	2	
Zotu18620						1		2
Zotu12944		2						1
Zotu11624		1		1				
Zotu4628	3	10	2	2		1	3	5
Zotu19094			2					
Zotu17104	4	2				1		
Zotu8744	1	5	3	2		1	3	
Zotu11620			1			1	1	
Zotu8609				1				
Zotu8905								
Zotu15619	1	5					1	
Zotu262	2	8						
Zotu642	3	9		2	1			
Zotu1333		3				1		
Zotu1926		30	1	4	1	1	5	2
Zotu11273							1	
Zotu18251								
Zotu18436	1							
Zotu1702								
Zotu1898								
Zotu1347								
Zotu3318								
Zotu544								
Zotu1544								
Zotu6564								
Zotu11193								
Zotu9280								
Zotu4910								
Zotu15680								
Zotu13266								
Zotu16147								
Zotu6088		7		4	2	2		1
Zotu14397		1		1				1
Zotu16096		1				2		
Zotu18791								
Zotu19160								
Zotu18702								
Zotu16340								
Zotu17168								
Zotu20086								
Zotu417								1
Zotu2870	1	15		6		3	2	1
Zotu3099	2	7		2	1	1	2	
Zotu7819	4	1		2		1		
Zotu8584		1		2		2		
Zotu10096		1	1	1	1	1	3	2
Zotu16877		1		1			2	
Zotu4609		6	1	1				
Zotu7084		6						
Zotu1147		3						
Zotu101	1	14					6	
Zotu266		7					1	
Zotu706		7	1					2
Zotu718		9	1	1			1	1
Zotu3266		7						
Zotu16598								
Zotu603								
Zotu2461								
Zotu1000					1			
Zotu2285								
Zotu17540		1						
Zotu14567								
Zotu8868		2			2			
Zotu5567		1		3				
Zotu3160								
Zotu926		1		1				
Zotu2737		3						
Zotu13531								1
Zotu177		3				1	1	1
Zotu10748		2						
Zotu5273	1	11		1			1	1
Zotu6973	5	9	2				3	3
Zotu13004	2				2		1	
Zotu4101	3	10	2	4	1	8	7	2
Zotu8439		2	1			2		
Zotu2924						1		
Zotu1080						1		
Zotu4539								
Zotu66						3		
Zotu99	2		2			1		1
Zotu893								
Zotu3431								
Zotu434				2				
Zotu20179								
Zotu4383								
Zotu3993	1	1						1
Zotu5691								
Zotu2017								
Zotu1721							1	
Zotu390	1							
Zotu9799								
Zotu14914								
Zotu18842						1		
Zotu12182								1
Zotu16241								
Zotu15603			1	1			1	
Zotu17374								
Zotu14285								
Zotu8704								
Zotu3941								
Zotu17777								
Zotu15451								
Zotu11832								
Zotu16168								
Zotu4549								
Zotu12402					1			
Zotu19878								
Zotu12929								
Zotu401								
Zotu9339								
Zotu17238								
Zotu12323							1	
Zotu17100		1						
Zotu16789								
Zotu18118	1		3			2	1	
Zotu15757								
Zotu10260								
Zotu17123		2			3			
Zotu15727								
Zotu20458								
Zotu17593						1		
Zotu17987		1						
Zotu14370	1	5	1			1	1	
Zotu14460		5				1		
Zotu16492								
Zotu16994								
Zotu18317		1					1	1
Zotu19494								
Zotu19260								
Zotu20478				2				
Zotu15895	1	11	1	1	2	1	2	2
Zotu19022	7	11	4	5	3	4	1	2
Zotu20778	14	8	3		3	6	5	3
Zotu13830	1			1		2		
Zotu20724	2	2	1		3	2		1
Zotu20030								
Zotu5912					1		1	
Zotu14083								
Zotu11823								
Zotu17751								
Zotu5749			1					
Zotu605	1		2	6		2		
Zotu968	3	1		3		1	9	3
Zotu296	6		2	8	1	1	4	8
Zotu5294								
Zotu5841	1							1
Zotu6402							1	
Zotu5152								
Zotu2403	1	1	1	4	3		3	
Zotu4485								
Zotu7695	1						1	
Zotu8101				1				
Zotu17870	1		1				1	5
Zotu13896								
Zotu4513			1				1	1
Zotu14380		1					1	
Zotu2545			3	2		6	1	2
Zotu4505	2					1		
Zotu11119							1	
Zotu12433								
Zotu17145				1		1		
Zotu5671		1		5		1	3	4
Zotu17898	1							
Zotu13706			1			3		2
Zotu17893								1
Zotu8837								
Zotu6751	2							1
Zotu8610	2		1					2
Zotu8893								
Zotu19657								
Zotu18017								
Zotu7826						1		
Zotu14169								
Zotu13698								
Zotu9501	2	1						
Zotu12850	4					1		
Zotu16671								
Zotu14243						1		
Zotu19149								
Zotu20240								
Zotu2365	2	6	3		10	2	1	1
Zotu1148	5	5	6	7	1	8	1	9
Zotu5035	2	2	1	2	2	1	2	4
Zotu14681	1		1					1
Zotu17988								
Zotu2284	6	2	5	6	5	5	2	3
Zotu3890	3	4	1	8	5		4	4
Zotu2796	2	1	1	2	5	3		4
Zotu6125	3		1		1	1		
Zotu1131	6	14	8	4	6	8	6	6
Zotu2905				1		2	1	
Zotu17014	1	2				2		
Zotu13475	4		2	3	1		2	
Zotu15630	3	10	1	2		1	1	1
Zotu19923	3	2		5		9	3	1
Zotu16512								
Zotu2496	3	1	5	1		2		5
Zotu4445	8	1	2	1	2	1	7	1
Zotu4440						1	1	1
Zotu18107		1		3	1	1	2	
Zotu5026		1	1	2	1	3	2	1
Zotu7193	1	3		1	1	1		1
Zotu7769	1				1		1	
Zotu12189			1	2	3	1		
Zotu18329	2			1			1	1
Zotu11256	5			1	1		1	
Zotu14176						1	5	1
Zotu18929						1	3	
Zotu4123	2	4	2	1	1	30	4	
Zotu4708	5	3	6	5	7	5	7	2
Zotu5901	1	8	1	3	2	5	3	3
Zotu13771					1		1	
Zotu12783	2	1			2		5	1
Zotu15966							2	
Zotu7936	2	3	1		6		3	1
Zotu13326							1	
Zotu19503								
Zotu2165		13	1	9	6	10	5	8
Zotu5876	10	5	2	1	3	1		
Zotu16570		3						
Zotu853		2	1			1	1	1
Zotu8138	1			1	1	2	1	
Zotu11967							1	
Zotu13644								
Zotu11879								
Zotu15546								
Zotu19558								
Zotu20581								
Zotu13493								
Zotu15318								
Zotu11996								
Zotu12111	1		1			1		2
Zotu3822			1					
Zotu569	2	1		3			2	1
Zotu2939	3	1				3		
Zotu216	6	4		1	4	5	4	3
Zotu16828								
Zotu15906						1		1
Zotu2903	38	9	3	6	3	8	1	4
Zotu743	7	9		7	3	10	6	3
Zotu4022	6	3	4	6		3	1	
Zotu7009		4	1	1		2	1	1
Zotu5049	1	5				1		1
Zotu465	17	25	9	20	16	28	14	20
Zotu1680	8	6	3	4	3	3	8	4
Zotu2395		5	1	4	3	6	5	4
Zotu16239								2
Zotu19201							2	
Zotu14331	2	1		5				
Zotu13886			2					4
Zotu7773		1						
Zotu8461		1						
Zotu9352								
Zotu5180	1	4				4	1	
Zotu3337	4	5				1	1	2
Zotu9303							3	
Zotu7426	2	1	1				1	2
Zotu1781	6	4		2	2	8	1	
Zotu14099		2					1	
Zotu3554	1	2		6		2	2	1
Zotu15491		2		2		2	2	
Zotu12556								
Zotu11355	1	2	1	2		2		1
Zotu19560	1	4		2	1			
Zotu1089		2	1			2		1
Zotu1120							1	
Zotu541	1		1	2		1		3
Zotu94	1	3	3			3		1
Zotu197								
Zotu1429		1		1			1	
Zotu6139	1		2	2	2		4	4
Zotu16835				1				1
Zotu18302								1
Zotu19166		3		1		1	1	1
Zotu155		1		1		1		
Zotu17237	1			1	1			2
Zotu12716				2	1			2
Zotu758		1						
Zotu391	1	5						
Zotu565			1				1	
Zotu1136	1	2				1	1	
Zotu2018	2	3		1	1		2	
Zotu3564								
Zotu2509								
Zotu2341								
Zotu3135	8	65		11		3	5	1
Zotu11986					1			
Zotu9224								
Zotu1502	1	1	2		1		1	
Zotu10309	1	1						
Zotu12707								
Zotu15341								
Zotu15393								
Zotu11961								
Zotu12599			1				1	
Zotu6553								
Zotu19464								
Zotu2272		2	3	5	3	2	2	5
Zotu3258	2	1	2	2	1	2	5	1
Zotu19731	1		3				5	
Zotu10093	6	4	2	5	2	4	3	1
Zotu12745	3	1		2	1	1	1	
Zotu9086	1		2			1	4	
Zotu12288				1	1		1	
Zotu19372								1
Zotu16125		1					1	
Zotu16160					1		3	
Zotu10402				2	3			2
Zotu11316	1	1		1				
Zotu16783				3				
Zotu5097	1			1			1	2
Zotu15256	1	1		1	1	1	1	
Zotu5624	3		4	7	2	2	5	3
Zotu8997	2	1	3				1	5
Zotu11598						1	1	
Zotu19669	1	2	1		1		1	
Zotu4894	3	1	1	4				1
Zotu2010								
Zotu2865								
Zotu3902								
Zotu5777								
Zotu2719								
Zotu8126								
Zotu9172								
Zotu8388								
Zotu7046	1					1		
Zotu8943								
Zotu4606								
Zotu20349	1							
Zotu9775				1				
Zotu3186								
Zotu20185								
Zotu10900								
Zotu5683				1				
Zotu5742								
Zotu7599								
Zotu7283								
Zotu5952								
Zotu5885								
Zotu6525								
Zotu9362								
Zotu9497								
Zotu491	7	2	1	5	3	2	5	
Zotu8076								
Zotu13072				2	2		2	3
Zotu18500								
Zotu20541		1		2	2			
Zotu16740	2		2	2			1	2
Zotu6336	2			3		1		3
Zotu18129				3	1	2	4	
Zotu19437		1				2	1	2
Zotu4593	4	3	5	6	1	2	6	
Zotu8907		1		1			1	
Zotu7368	1	5		1			4	
Zotu8582					1			
Zotu7575		3						
Zotu1460		1						
Zotu5991	3	7	1	3		3		1
Zotu1679	8	20	3	11	1	15	10	6
Zotu11039	5	5	1		1	2		1
Zotu10027	2	5	2	5	1	3	4	
Zotu9746	12	16		5	1	7	4	2
Zotu16858			1				1	
Zotu19454								
Zotu17841				1				
Zotu664	1	2		1			1	
Zotu49	9	27	6	12	2	6	13	9
Zotu82	9	5	4	8	6	6	5	7
Zotu654				2	2		2	
Zotu103	1	2	2					1
Zotu17960		1			1			
Zotu6272		4	1		2	1		1
Zotu14924								1
Zotu2966		11	1	1	2		2	
Zotu10346								
Zotu6188	1	1		1		2		3
Zotu11431							1	
Zotu7623				1			1	
Zotu1771	1	4		2				
Zotu1441		5	1		1		2	4
Zotu15592								
Zotu20762								
Zotu11261								
Zotu18689								
Zotu19627								
Zotu14468	4	3	3	3		2		3
Zotu16140	1	1						
Zotu7691	2		3	1		2	1	3
Zotu13262	1		3				1	1
Zotu5381	6	1	2	2	1		3	3
Zotu6590		1	1	1	1		2	3
Zotu5405	4	2	4	3	2	1	1	2
Zotu3032	1		8	8	2	1	2	2
Zotu9698	1	1	2				2	
Zotu7184	1		1		1			1
Zotu14452	3	3		1		2		
Zotu10486	1	2	3		1	1		1
Zotu13827	1				2	1		3
Zotu1127								
Zotu2048								
Zotu15255					2		1	
Zotu8162	6	9		5			3	1
Zotu11029		6		3				
Zotu19038	1	4			1		1	
Zotu4240		2		1		1		1
Zotu19694		1		1				
Zotu5	147	1311	80	231	52	79	287	90
Zotu14	104	717	43	145	35	54	144	52
Zotu8884	1	4			1			
Zotu17693		3		1				
Zotu16573	1	2				1	2	1
Zotu17353		2		1				1
Zotu6517		2	2					
Zotu7931								
Zotu10484								
Zotu3315	1	2						
Zotu11613			1					
Zotu964								
Zotu2706								
Zotu5298								
Zotu16596								1
Zotu8758		6						
Zotu10121		7						
Zotu6138	3	5			1			
Zotu7227								
Zotu13200								
Zotu3173								
Zotu6672								
Zotu7099								
Zotu2518			1					
Zotu3207								
Zotu5170								
Zotu899	14	3	2	5	2	1	2	5
Zotu8850	1	1	1				1	1
Zotu19600			1				1	
Zotu17525	1	25		1	1		1	
Zotu18427		9		1			5	2
Zotu11480	2	89	5	4	3	4	13	3
Zotu879	2	37		3		2	2	2
Zotu3449	28	192	8	27	9	17	42	18
Zotu18381	1	18		1		2		2
Zotu28	4	22	1	7	5	5	5	4
Zotu5790		3		1				
Zotu500		1			2			4
Zotu15019	2	3				5	1	2
Zotu13944		2			1			
Zotu1001	1	1	3	1				2
Zotu10123								
Zotu6163					2	1	1	2
Zotu14189								
Zotu3008								
Zotu9468								
Zotu7663								
Zotu8243								
Zotu13366	2	1			1	1	2	1
Zotu20170								1
Zotu18332				1				
Zotu12769			2					
Zotu10277		3	1	1		1	1	3
Zotu9500	1		3		1	1	1	1
Zotu6320	1			1	1	1	1	1
Zotu14501								
Zotu8275		1	2	5		3		
Zotu9853		3	1	1	1		1	2
Zotu13324		2	1		1			
Zotu19069		1				1		1
Zotu15874	3	1		1			2	1
Zotu16240	2			4	2			
Zotu14936	2	3	2	4	3	1		
Zotu17726		2	1	1	2	1		
Zotu3736	7	1	7		1	1	5	
Zotu5059	7	2			4	2	6	
Zotu16451	6	5	1	4	6	1	3	
Zotu8176	5	3	3		2	1	2	
Zotu17587	1		1				1	
Zotu7582								
Zotu16041				2		2	2	
Zotu12608	5	1						
Zotu20000				2				
Zotu1848								
Zotu131								
Zotu20424								
Zotu9105								1
Zotu19903								
Zotu17736								
Zotu53	81	155	33	33	20	30	29	36
Zotu20090	1				1		2	
Zotu1081								
Zotu5117								
Zotu3463	1	8	1	2				5
Zotu3281	2	1						
Zotu3093								
Zotu10879								
Zotu189				1	2			
Zotu4605								
Zotu1524	2	4	2	1			1	2
Zotu6992								
Zotu15938								
Zotu7255	7	15		13	4		1	2
Zotu17209	1	4		1		5	3	
Zotu1226	55	93	25	39	24	57	44	28
Zotu11744	5	28	2	3	2	5		1
Zotu5438	2	3	6	1	1	4	1	3
Zotu16674					1	5	2	2
Zotu15174							1	1
Zotu15100	19	118	1	24	5	7	15	7
Zotu8694		3					2	
Zotu2936	1	1	1	1	1		2	
Zotu8979								
Zotu20706								
Zotu6280	1							1
Zotu6502		1			1			
Zotu20286	1			1				
Zotu4645	1	8		4	1	2		
Zotu8424				1		1		
Zotu17753								
Zotu8319				3	1		1	
Zotu12432		1						
Zotu16632	1		3					
Zotu8028	6	9	2	9	2	4	2	1
Zotu6277	9	72	2	6	1	5	9	2
Zotu14106						1		
Zotu16524	1			1		1		
Zotu3680	4		1	7	1		1	
Zotu8199	2	3	1	3	1	3	5	3
Zotu7265	10	25		6		8	10	3
Zotu9238	2	5	2		1	3	4	
Zotu9563	3	2					1	1
Zotu1743	4	7	2	7	2	6	8	6
Zotu14933	1				1	1		1
Zotu5129		3	2			1		
Zotu5327	2	1	2	2	1	1		
Zotu14699	1	1	1		1		2	
Zotu14443	1	4		2		1	1	
Zotu12065	1		1	1				
Zotu13655			2		1		2	
Zotu20		2		2			4	
Zotu2970				1				
Zotu3106		2		2			1	1
Zotu3361	6	9	2	2		4	2	
Zotu6267	2	1				2	1	1
Zotu1287	7	3	3	18	7	13	11	9
Zotu1504	6	4	5	10	3	17	8	6
Zotu2739	2	4		7	4	8	3	1
Zotu9041	2			3	3	1	3	
Zotu20419		1	2			1		
Zotu11360	2	17	2	1	1	2	2	1
Zotu96	401	617	121	261	91	167	174	117
Zotu172	132	173	99	180	83	85	104	89
Zotu18581				1				
Zotu6179	4	8	4	6	3	3	4	12
Zotu723	2	1	1	7	5	1	5	5
Zotu17005								
Zotu10	1365	1830	526	1077	505	1024	1288	712
Zotu95	134	262	70	351	89	123	133	87
Zotu9319	22	24	20	20	11	26	17	13
Zotu5940	7	5	4	9	4	2	5	5
Zotu8379	4	7	6	9	2	7	1	3
Zotu5293	2		3	3	1	5	1	
Zotu13869	2		1	1	2			
Zotu19906	3	8	3	5		3	1	
Zotu395	17	53	13	16	9	9	16	15
Zotu2606	4	5	3	9	1	2	3	2
Zotu11373				2	2		2	
Zotu11406	3		3	1				
Zotu20267				2				
Zotu838	15	7	1	7	2	5	2	
Zotu2967	4	6	1	1	7	4	5	
Zotu18562	2			1	1		1	
Zotu20318	2		2	3	4	1	4	3
Zotu5654	1		1	1		1		
Zotu18	832	1210	647	815	373	991	850	521
Zotu85	213	338	124	160	87	212	204	118
Zotu2007	7	9	1	10	2	8	7	6
Zotu9931	1	3	1		1		2	
Zotu4655	2	3		4	3	2	2	1
Zotu11072		1			1	1		
Zotu6989								
Zotu17093	4	88	3	9	3	10	9	4
Zotu18162	5	26		4		2	3	2
Zotu848	49	150	23	25	13	28	35	33
Zotu903	5	14	5	15	4	5	11	8
Zotu6033	8	17	3	8	3	5	2	1
Zotu11	12	13	1	4	1	4	7	3
Zotu20243								
Zotu1724								1
Zotu75				1	1	1	1	
Zotu651								1
Zotu142		5		1	1	3		
Zotu207								
Zotu140						1		1
Zotu5033	1						1	1
Zotu756	2	13	1	4		4		3
Zotu20727		1						
Zotu14722				1				
Zotu20716	2	7		1	1		3	
Zotu1129								
Zotu8341								
Zotu18213								
Zotu488								
Zotu42	5	7	4	3	8	2	3	
Zotu1268		1		2	1		1	2
Zotu11533								
Zotu14547								
Zotu6757	1							
Zotu15258	20	36	12	24	13	23	21	4
Zotu92	176	248	79	187	76	285	219	135
Zotu2846	6	11	4	5	1	7	14	6
Zotu378	69	144	28	62	29	80	95	42
Zotu13661	1	3		1			5	4
Zotu933	2	104	2	8	1	3	11	5
Zotu13381	5	82	6	8	1	6	2	1
Zotu13117	6	68		8	4	10	3	2
Zotu16527	5	26	3	2		3	3	1
Zotu69	32	430	23	46	11	39	42	30
Zotu4342	8	29	6	5	4	5	9	7
Zotu8488	1	5				3	2	
Zotu539	33	82	19	37	15	51	39	11
Zotu1622	12	39	5	10	4	12	17	3
Zotu9419								
Zotu6633			3	3	3		3	4
Zotu17650	1							1
Zotu10764					4		1	3
Zotu15342	1	2	1					
Zotu5452		2	1	1		2		
Zotu17480	1	7		2			2	1
Zotu14880					1			
Zotu11536								
Zotu11587								
Zotu12485				1		1	1	
Zotu19556	2							
Zotu20102		5		1				2
Zotu17718	1	11		1		2	1	1
Zotu13153	1	1					2	1
Zotu15475				2		1		
Zotu6887								
Zotu16818	8	3	1	3	2	9	3	1
Zotu17080	1					1		
Zotu17331				2				2
Zotu11022				1			1	
Zotu13581								
Zotu16931						1		
Zotu12146	1	1	1	1	1	2	1	
Zotu11752			2	3	2	1	1	
Zotu3014		3	2	2		3	4	4
Zotu5424	6		7	3	3	5	1	5
Zotu20731			1	1		2	1	3
Zotu353	3	1	4	5		1	3	2
Zotu618	2	4	6	1	2	2	4	11
Zotu2357						1		
Zotu1835								1
Zotu6475	3	1	1	3		1	4	3
Zotu13542	2		1	1	3		1	1
Zotu14233							1	1
Zotu11171				3		2	1	1
Zotu4434	11	5	5	9	8	4	13	11
Zotu974	35	15	25	35	24	19	35	19
Zotu3561	4	2		6	2	2	5	3
Zotu965	45	11	23	28	31	16	21	25
Zotu7364	11	3	1	9	6	5	7	4
Zotu10064								
Zotu4309	4		2	1	1		6	3
Zotu11516	22	23	1	7	4	9	10	4
Zotu5669	4			3	1	5	2	2
Zotu15930			1	1				
Zotu14029	9	9	1	5	5	4	7	2
Zotu12305						1	1	
Zotu5427	2	2	4	3	4	1	4	5
Zotu7791						2	1	2
Zotu7494			4			1	3	2
Zotu18566								1
Zotu17505								
Zotu30	2		2	1				6
Zotu20743			3					
Zotu16639								
Zotu11851			1				1	1
Zotu11975								
Zotu19756								
Zotu225	12	22	12	26	6	11	12	10
Zotu15589			3			1	1	1
Zotu9304	2	1		6	1		2	
Zotu14962		1	2					
Zotu15325				2				1
Zotu10698			2	1			1	2
Zotu9104				1				
Zotu11685				1	1		1	
Zotu15708	1					1	2	
Zotu17121	1	1				2	1	2
Zotu18406	2			1	1			3
Zotu17629	1							2
Zotu7792								
Zotu17993								
Zotu1967								
Zotu6987								
Zotu8338								
Zotu3300	1		1			1		1
Zotu17453								
Zotu16014					2			1
Zotu16197					1			
