ID	bs_ck_1	bs_ck_2	bs_ck_3	bs_ck_4	bs_ck_5	bs_ck_6	bs_ck_7	bs_ck_8
Zotu16383					1			
Zotu17347		1	1	1		2	2	
Zotu14944								
Zotu12913								
Zotu19621								
Zotu15750		3	2					4
Zotu14847								1
Zotu8722								
Zotu8820				1			2	3
Zotu15285							1	
Zotu13667	1					1		
Zotu18636								
Zotu3344		2	2	2	2	4	3	1
Zotu7318	1	2			3	1		2
Zotu13989			1					1
Zotu3356	2	1	3	6		4	2	1
Zotu14255				1				
Zotu10386		1					1	1
Zotu17712								
Zotu3888		2	2	4	5	2	2	3
Zotu19124		1					2	
Zotu4659	1			10				3
Zotu4237	4	1	2	4	3	1	3	
Zotu11740	2	1		1				
Zotu13054		1						
Zotu1159	10	9	8	14	7	10	6	10
Zotu13064								
Zotu3446	1	3		4				
Zotu1855	1			2	1		1	
Zotu7825					1	1	1	1
Zotu6770						1		
Zotu7642								
Zotu9797								
Zotu13360							1	
Zotu9407	1	3	1	2		1		
Zotu3865								
Zotu4382	1		2	1		4		
Zotu3609		1					1	
Zotu5175		1			1			1
Zotu2636	1		2	1	2		2	
Zotu5139	2		1	1	1	1		
Zotu16408						3	1	
Zotu14624							1	
Zotu3245		1		1	1		1	3
Zotu173	22	30	28	25	11	39	38	22
Zotu684	9	6	7	7	2	15	1	8
Zotu1676	2	2	2	4	1	1	2	2
Zotu2864	2	1	2		1			
Zotu9351				2	1	1	1	3
Zotu3792		1		2				1
Zotu12431								
Zotu19364								
Zotu13410								
Zotu6614		1			1			
Zotu8359		1						
Zotu9422								
Zotu20677								
Zotu9525								
Zotu12276								
Zotu12179								
Zotu5848								
Zotu18639								
Zotu19487					1			
Zotu16137								
Zotu16410								
Zotu15739			1					2
Zotu4392	3	5		5			6	3
Zotu20495			1		1		1	
Zotu8512	1						3	1
Zotu15975							1	
Zotu14488		1			1			
Zotu19283								
Zotu11475			2	2				
Zotu4523	3		2		5	3	3	2
Zotu4637	1	1	4	1		1	4	2
Zotu777	3	4	3	4	6	11	7	6
Zotu7077								1
Zotu4711					4	3		3
Zotu12218		2			1	1		
Zotu7371		3				3	1	
Zotu9666			1		1	1		2
Zotu14360			1					
Zotu3697	1			6	5	1	5	1
Zotu1446	1	2				2		1
Zotu13964								
Zotu17979				2				
Zotu19004				1			2	
Zotu5697								
Zotu6058		1						1
Zotu18282								
Zotu13454	2		1				8	
Zotu476	37	26	18	24	15	28	43	42
Zotu15332								
Zotu4880						1		3
Zotu11676								
Zotu11465	1	1						2
Zotu15444		1						
