ID	rs_ck_1	rs_ck_2	rs_ck_3	rs_ck_4	rs_ck_5	rs_ck_6	rs_ck_7	rs_ck_8
Zotu12745		1				1		
Zotu9086				1				1
Zotu12288								
Zotu19372								
Zotu16125								
Zotu16160						1		
Zotu10402		1						1
Zotu11316								
Zotu16783								
Zotu5097			1	2				
Zotu15256								
Zotu5624		2	1	2		2		
Zotu8997				1				
Zotu11598								
Zotu19669								
Zotu4894			3	2			1	
Zotu2010	1		2	2		1		
Zotu2865	1	2	1				1	
Zotu3902			2					
Zotu5777								
Zotu2719								
Zotu8126								
Zotu9172								
Zotu8388			2					
Zotu7046	2					1		
Zotu8943								
Zotu4606	2				1			
Zotu20349								
Zotu9775					1			
Zotu3186								
Zotu20185								
Zotu10900								
Zotu5683	1				7		1	
Zotu5742								
Zotu7599								
Zotu7283								
Zotu5952								
Zotu5885								
Zotu6525								
Zotu9362								
Zotu9497								
Zotu491				1		1		1
Zotu8076		2						
Zotu13072								
Zotu18500								
Zotu20541								
Zotu16740				2				
Zotu6336				3		1		
Zotu18129								
Zotu19437								
Zotu4593		1			1	3		
Zotu8907					1			
Zotu7368								
Zotu8582								
Zotu7575								2
Zotu1460	1							
Zotu5991	1				2	1		
Zotu1679	6		1		2	3		
Zotu11039							1	
Zotu10027		1						
Zotu9746	5	4	4	2			8	1
Zotu16858		1					3	1
Zotu19454								
Zotu17841								
Zotu664	1		1		1	1	5	1
Zotu49	42	33	26	8	26	20	77	6
Zotu82	2	3			2	1	2	
Zotu654	2	2				2	2	
Zotu103	1				2		16	3
Zotu17960								
Zotu6272	5				1	1	4	
Zotu14924								
Zotu2966	2							
Zotu10346	1		1		1		1	1
Zotu6188						1	1	
Zotu11431								
Zotu7623								
Zotu1771		3	1	3		1	19	20
Zotu1441	9			1	8	1	13	5
Zotu15592								
Zotu20762								
Zotu11261	3							
Zotu18689								
Zotu19627								
Zotu14468				1				
Zotu16140								
Zotu7691				1	1			
Zotu13262			1					
Zotu5381			1				2	
Zotu6590								
Zotu5405				1		1	1	1
Zotu3032		3	1					1
Zotu9698								
Zotu7184								
Zotu14452								
Zotu10486					1			1
Zotu13827			1					
Zotu1127		14						
Zotu2048		6						
Zotu15255								
Zotu8162								
Zotu11029			2					
Zotu19038			2			1	1	3
Zotu4240	2						1	
Zotu19694								1
Zotu5	35	14	9	10	11	13	23	10
Zotu14	49	10	8	6	8	20	9	16
Zotu8884								
Zotu17693								
Zotu16573								
Zotu17353								
Zotu6517						21	1	1
Zotu7931								
Zotu10484								
Zotu3315				1				
Zotu11613								
Zotu964	1	4		15				
Zotu2706							2	
Zotu5298							13	
Zotu16596						1		1
Zotu8758							1	
Zotu10121								
Zotu6138						1		1
Zotu7227				1				
Zotu13200								
Zotu3173								
Zotu6672								
Zotu7099								
Zotu2518	1	2	2			1	54	
Zotu3207		7						
Zotu5170								
Zotu899	67	40	136	146	88	13	124	114
Zotu8850	8		5	8	3		9	12
Zotu19600								
Zotu17525	1				1			
Zotu18427								
Zotu11480		2		1		1		
Zotu879				1		1	4	
Zotu3449	2	2	1	1	1			1
Zotu18381			1					
Zotu28	6			2	1			
Zotu5790			1					
Zotu500	7			1				
Zotu15019		1						
Zotu13944								
Zotu1001		2	2	1	2			
Zotu10123								
Zotu6163					3	1		
Zotu14189			6					
Zotu3008								
Zotu9468								
Zotu7663								
Zotu8243								
Zotu13366						1		
Zotu20170								
Zotu18332								
Zotu12769								
Zotu10277							1	
Zotu9500								
Zotu6320								
Zotu14501								
Zotu8275	1						1	2
Zotu9853		1						
Zotu13324								
Zotu19069						1		1
Zotu15874								
Zotu16240								
Zotu14936				2				
Zotu17726		1						
Zotu3736								
Zotu5059								
Zotu16451								
Zotu8176								
Zotu17587								
Zotu7582								
Zotu16041						1		
Zotu12608		1						
Zotu20000								
Zotu1848								
Zotu131								
Zotu20424								
Zotu9105								
Zotu19903								
Zotu17736								
Zotu53	32	9	12	9	12	3	81	5
Zotu20090					1		1	2
Zotu1081								
Zotu5117								
Zotu3463	1							
Zotu3281								
Zotu3093								
Zotu10879								
Zotu189		61						8
Zotu4605							4	
Zotu1524	4	3	18				3	1
Zotu6992								
Zotu15938								
Zotu7255							1	1
Zotu17209		1						
Zotu1226	5	1	4	2	2	1	1	
Zotu11744								2
Zotu5438	4			2	2	1	6	
Zotu16674							10	3
Zotu15174								
Zotu15100						1		
Zotu8694								
Zotu2936			1					
Zotu8979								
Zotu20706								
Zotu6280								
Zotu6502								
Zotu20286								
Zotu4645			1					2
Zotu8424	2	1		1				
Zotu17753								
Zotu8319								
Zotu12432			1		1			
Zotu16632							3	
Zotu8028			1		1			
Zotu6277	1	1	1					
Zotu14106								
Zotu16524			1					
Zotu3680	3		3	2		1	5	3
Zotu8199	7	9	33	8	8	2	19	10
Zotu7265	2	2	2			1	2	2
Zotu9238			1					
Zotu9563								
Zotu1743		2	3	1			7	7
Zotu14933						1		
Zotu5129								
Zotu5327							1	
Zotu14699			1		1			
Zotu14443	1							
Zotu12065								
Zotu13655								
Zotu20	94	7	642	1	12	7	20	1
Zotu2970		3	2		8	8	26	
Zotu3106		5	1		5	2	11	
Zotu3361	2		2				5	
Zotu6267		2	1		2			1
Zotu1287	7	10	2		1	3	4	1
Zotu1504	2	5	1		5			6
Zotu2739		1			1		4	
Zotu9041	1							
Zotu20419	5		3			1	7	
Zotu11360							1	
Zotu96	8	25	33	11	10	10	36	43
Zotu172	2	19	16	22	1	1	19	24
Zotu18581								
Zotu6179	1	2	3		1			1
Zotu723	4		5	1	1	2	8	2
Zotu17005								
Zotu10	238	253	368	363	426	152	447	488
Zotu95	21	19	12	22	16	6	25	47
Zotu9319	1	3	7	4	6	3	8	14
Zotu5940	2	3	3	4			3	6
Zotu8379		1						1
Zotu5293						1		
Zotu13869		2						
Zotu19906	1		1	1	1			
Zotu395		3	8	3	8	4	4	1
Zotu2606	1	1	3	2	1	2	3	4
Zotu11373	1							
Zotu11406								
Zotu20267								
Zotu838	3	4	2	2	3	3	5	1
Zotu2967							1	1
Zotu18562			1					
Zotu20318					1			1
Zotu5654			1		1			
Zotu18	59	64	55	44	23	29	46	105
Zotu85	18	26	20	14	10	8	15	43
Zotu2007	4	5	19		2	4	1	4
Zotu9931					1			3
Zotu4655	2	6		1				1
Zotu11072								
Zotu6989								
Zotu17093		2	1		1	1	2	1
Zotu18162	1						3	1
Zotu848		1	1	3	2	1	1	2
Zotu903	6	5	1		2	1	15	2
Zotu6033	1						8	1
Zotu11	16	12	17	13	1		1	3
Zotu20243	1							1
Zotu1724								
Zotu75								
Zotu651								
Zotu142								1
Zotu207						1		1
Zotu140								
Zotu5033								
Zotu756			1					
Zotu20727								
Zotu14722								
Zotu20716								
Zotu1129	1							
Zotu8341								
Zotu18213								
Zotu488		1			2		13	
Zotu42	6	3	2	1	1			2
Zotu1268					1			
Zotu11533								
Zotu14547								
Zotu6757								
Zotu15258	1			1	1			1
Zotu92	13	19	8	4	11	12	6	6
Zotu2846		14			6	4	5	1
Zotu378	8	28	4	4	7	6	8	6
Zotu13661		1					3	
Zotu933						1	2	1
Zotu13381		1			1		4	
Zotu13117	1	3			3	1	2	
Zotu16527		1					1	
Zotu69	21	32	13	9	20	20	39	13
Zotu4342	3						2	1
Zotu8488								
Zotu539	1	1		1	2	1	1	4
Zotu1622		1		1			3	
Zotu9419								
Zotu6633								
Zotu17650								
Zotu10764								
Zotu15342								
Zotu5452								
Zotu17480								
Zotu14880								
Zotu11536								
Zotu11587								
Zotu12485			2					1
Zotu19556								
Zotu20102								
Zotu17718						1		
Zotu13153								
Zotu15475	1							
Zotu6887								
Zotu16818	2	1	1	1			2	1
Zotu17080								
Zotu17331	1							
Zotu11022		2	2				1	
Zotu13581	2					1		
Zotu16931								
Zotu12146					2			
Zotu11752								
Zotu3014	1		2	1		2		
Zotu5424		3			1		1	
Zotu20731		1						
Zotu353	2	1				1	11	
Zotu618	3		4		1	1	2	2
Zotu2357					2		2	
Zotu1835								
Zotu6475		1	2		1			1
Zotu13542								
Zotu14233								2
Zotu11171			1	1				
Zotu4434						1	1	
Zotu974	5		8	3	6	2	3	3
Zotu3561			6	1		1	1	
Zotu965	2	2	1	1	12	2	2	5
Zotu7364			1					2
Zotu10064								
Zotu4309	1		1		1			
Zotu11516		4	1				2	
Zotu5669								2
Zotu15930							1	
Zotu14029	2		1			1	3	
Zotu12305								1
Zotu5427	1			1				2
Zotu7791			2					
Zotu7494	1		1			1		1
Zotu18566								
Zotu17505	1							1
Zotu30	94	15	39	5				1
Zotu20743								
Zotu16639								
Zotu11851					1			
Zotu11975								
Zotu19756								
Zotu225	3	2	1	3	3	4	1	7
Zotu15589		2						
Zotu9304			1	1				1
Zotu14962								
Zotu15325								1
Zotu10698		1		1				
Zotu9104	1		1					
Zotu11685								
Zotu15708				1				
Zotu17121						1		
Zotu18406	1	1						
Zotu17629								
Zotu7792								
Zotu17993								
Zotu1967								
Zotu6987								
Zotu8338								
Zotu3300				1			1	
Zotu17453								
Zotu16014								
Zotu16197			1					
Zotu14102								
Zotu7003								
Zotu18456			1		2			
Zotu19053							2	
Zotu1803	1		2					
Zotu17395								
Zotu9056								
Zotu20824								
Zotu15563								
Zotu20224								
Zotu20378							1	
Zotu3013				1				
Zotu5243			1					
Zotu10130								
Zotu739	5	1			2			
Zotu5022			1					
Zotu17	6	4	7	7	1	4	2	5
Zotu10610	3	2						
Zotu1228				1		1		1
Zotu4361								
Zotu15320								
Zotu4573								
Zotu5377								
Zotu8872	1				2		3	
Zotu16715								
Zotu17391								
Zotu4644	2	2			1		1	
Zotu9866								
Zotu570	65							
Zotu1272	3	2		1				
Zotu2226	9							
Zotu499	8	4	5	10				
Zotu148	19	9	40	16			2	
Zotu5914	1		5					
Zotu11774								
Zotu4218								
Zotu17875								
Zotu18143								
Zotu5792				1				
Zotu8151		2						
Zotu16474								
Zotu17634		1						
Zotu7523	1							
Zotu16500		1						
Zotu18178								
Zotu18619						1		
Zotu3050								
Zotu14908		2		2				
Zotu15987								
Zotu12853		1						
Zotu5789								
Zotu4632	18	10	32	17	19	1	26	37
Zotu18918	3	6	5	9	9	1	13	11
Zotu8057			1	1				
Zotu19416								
Zotu13994			2				2	2
Zotu16739						2	4	2
Zotu17786							1	
Zotu20056	1		1					
Zotu20412								
Zotu16187			1					
Zotu15216		1		1				
Zotu14109	2		1	1		1		
Zotu16589								
Zotu8615	2			2	2			1
Zotu8674	1		1	1	1	1		
Zotu16563								
Zotu6780				1				1
Zotu15797								
Zotu18253					1			
Zotu12857								
Zotu18166								
Zotu4045	1				4			11
Zotu6789		1	2		1			1
Zotu6398								1
Zotu20682								
Zotu13154								
Zotu20814								
Zotu7916						1		
Zotu14391								
Zotu10792							1	
Zotu16692		1		1				
Zotu14387								
Zotu18005								
Zotu19380								
Zotu10480								1
Zotu7070	1							
Zotu4815					1			
Zotu7085					1			
Zotu6416								
Zotu6234			1					
Zotu11048		1		1				
Zotu17601								
Zotu4744			1	1				
Zotu14257								
Zotu13512		1			2			
Zotu7445	1							
Zotu16813						1		
Zotu13092			2	1				2
Zotu9657								
Zotu16594								
Zotu16404								
Zotu17327								
Zotu13903						1		
Zotu17923					1			
Zotu20084								
Zotu19964								
Zotu20407		1						
Zotu13513								
Zotu4913		5	1			2		
Zotu710	1	1	1	2	8	4		1
Zotu5809		1		2		1		
Zotu16756							1	
Zotu17332								
Zotu18025								
Zotu18152					1			
Zotu20323								
Zotu3672								
Zotu5883	1			2				
Zotu17664							1	
Zotu18229								
Zotu6588								
Zotu7438			1					
Zotu15794								1
Zotu19892								
Zotu15396								
Zotu16387			1					
Zotu17161								
Zotu19773			1					
Zotu20394	2		4					
Zotu19408								
Zotu20199								
Zotu20024								
Zotu20756								
Zotu9872								
Zotu10784		1						
Zotu12386								
Zotu14303								
Zotu4942					2			
Zotu10750								1
Zotu18217		1						
Zotu579			2					
Zotu8889								
Zotu3372								
Zotu12629								
Zotu14368								
Zotu1706	2	3	5	4			1	5
Zotu2553			1			1		
Zotu12784								
Zotu14513								
Zotu18956								
Zotu5047								
Zotu14149								
Zotu7090						1		
Zotu412		4	5	10	1	1	1	2
Zotu19783								
Zotu20205								
Zotu17630								
Zotu9276				1				
Zotu5924	1		1			1	3	1
Zotu16341								
Zotu8114					1			1
Zotu3642		1				2		
Zotu9117								
Zotu12770		1						
Zotu16867								2
Zotu17513								
Zotu10550						1		
Zotu11433		1	1					
Zotu5951		3	1			3		
Zotu13618								
Zotu8014						1		
Zotu20543							1	
Zotu5859				2				
Zotu16721		1						
Zotu20684								
Zotu15601								
Zotu15973								
Zotu6762								3
Zotu14403			1	1				
Zotu9116		1	2			1	2	1
Zotu12851				2		1		1
Zotu13734								
Zotu10336						1		1
Zotu20094								
Zotu1280		2						
Zotu8807			1					
Zotu7677		1						
Zotu8882								
Zotu3035								
Zotu5607								
Zotu3739							1	
Zotu20729						2		
Zotu13807								
Zotu18485								
Zotu8137						4		
Zotu16264		2						
Zotu15980								
Zotu17224								
Zotu3519	1	2		5	2	1	1	1
Zotu5061								
Zotu10740								
Zotu14498								
Zotu16229								
Zotu11816								
Zotu20011		1						
Zotu13427								
Zotu16145								
Zotu15014								
Zotu7270	1					1		2
Zotu17997								
Zotu15446								
Zotu17511								
Zotu17288								
Zotu15894		2			1			
Zotu12878								
Zotu18340								
Zotu18657								
Zotu8475								
Zotu7565								
Zotu17260								
Zotu12807								
Zotu14635				1				
Zotu15017								
Zotu11132								
Zotu10151								
Zotu20574								
Zotu19429								
Zotu16205								
Zotu14648								
Zotu6682								
Zotu15542								
Zotu6479								
Zotu5641		1					2	
Zotu10852					3			
Zotu18969			2				1	
Zotu7888				1				
Zotu3197	1			2			1	
Zotu11707								2
Zotu490	5	11	5	3		19	3	12
Zotu11900		1					1	
Zotu3407			1					
Zotu12476								
Zotu15054								
Zotu16366		1						
Zotu7926								
Zotu10595								
Zotu10787								
Zotu7102								
Zotu10385		1		1				
Zotu18414								1
Zotu8383				1				
Zotu11257		5				1		
Zotu7021								
Zotu12248								
Zotu9507		2						
Zotu13938								
Zotu6213	2	4	1			2		
Zotu5903				1				
Zotu16047		1			2			
Zotu7114								
Zotu10992								
Zotu4335								
Zotu13049								
Zotu18622								
Zotu19829								
Zotu5503								
Zotu15476					1			
Zotu18682						1		
Zotu13347								
Zotu15620								
Zotu11481								
Zotu14088						1		
Zotu5074			1		2			
Zotu19927								
Zotu17089		1				1		2
Zotu3855			2					2
Zotu11046		2						
Zotu20087								
Zotu13255								
Zotu3987				2				
Zotu4092		1		1		1		
Zotu7968			2			2		
Zotu6572						3		
Zotu2115	3			2		4		
Zotu12587								
Zotu14372								
Zotu10131								
Zotu7562	3					1		
Zotu15202								1
Zotu19238								1
Zotu7357						1		
Zotu17738	2	1				1		
Zotu18115								2
Zotu2486								
Zotu12069								
Zotu16727								
Zotu6265								
Zotu18379								
Zotu5481		1	1	1				
Zotu2379	1		1					
Zotu11927								
Zotu14574						1		
Zotu10430								
Zotu15195						1		
Zotu16102								
Zotu1789	1							
Zotu2064		2						
Zotu20303								
Zotu16558								
Zotu8838								
Zotu5578								
Zotu17383								
Zotu18499								
Zotu14217	1					1		
Zotu20217		3						
Zotu5623								
Zotu17559						1		
Zotu7605								
Zotu10686								
Zotu20329								
Zotu1767								
Zotu4003								
Zotu11547								
Zotu19433								
Zotu15939								
Zotu14520								
Zotu20849								
Zotu5330								
Zotu13093								
Zotu6046								
Zotu8218								
Zotu10030								
Zotu10829								
Zotu3777								
Zotu8663								
Zotu10615								
Zotu16585								
Zotu12169								
Zotu15245								
Zotu5518								
Zotu11152						1		
Zotu2649								
Zotu16386								
Zotu9078								
Zotu11385							1	
Zotu17499								
Zotu16424								
Zotu14863								
Zotu12157								1
Zotu13455								
Zotu4178								
Zotu6610								
Zotu7612								
Zotu15328								
Zotu16731								
Zotu18980								
Zotu16302								
Zotu20278		2						
Zotu11449	1							
Zotu5271								
Zotu14992								
Zotu19738								
Zotu14960								
Zotu17700								
Zotu18674								
Zotu2292	1		1					
Zotu12405								
Zotu15224								
Zotu13584		1						
Zotu12895								
Zotu19018								
Zotu18625								
Zotu17268								
Zotu17455								
Zotu18853								
Zotu16510								
Zotu14045								
Zotu16199								
Zotu12176		1						
Zotu11297				1	1	2		
Zotu10161								
Zotu17567								
Zotu20485								
Zotu8091								
Zotu11537								
Zotu906								
Zotu2828								
Zotu14666								
Zotu15497								
Zotu18242								
Zotu5462								
Zotu9363								
Zotu4235		1						
Zotu4398			1					
Zotu14822								
Zotu9741		1						
Zotu10059								
Zotu10571			1					
Zotu12578								
Zotu12994								
Zotu17809								
Zotu11878								
Zotu3283					6			1
Zotu10308		1		1				
Zotu15789			2					
Zotu5385								
Zotu18079								
Zotu18887								
Zotu10604								
Zotu14469								
Zotu17965								
Zotu18769								
Zotu20468								
Zotu20171								
Zotu16718								
Zotu4462		1	1					
Zotu4787								
Zotu19325								
Zotu17175								
Zotu18779								
Zotu17392		2						
Zotu7035								
Zotu11732								
Zotu7754			1					
Zotu9739								
Zotu15454								
Zotu7061								
Zotu1457	1			3		1		1
Zotu15324								
Zotu15712								2
Zotu6346								
Zotu15956						1		
Zotu17426								3
Zotu3265						3	1	2
Zotu8454						1		2
Zotu14892								
Zotu15006								
Zotu13928								
Zotu16418								
Zotu10211		3				1		1
Zotu13256						1		
Zotu19438								
Zotu4066	2							
Zotu4119			1			1		
Zotu19635								
Zotu13141								
Zotu13802								
Zotu8750	1			1		1		
Zotu11299								1
Zotu9749	1							
Zotu12108								
Zotu14966								
Zotu9424					1			
Zotu18165								
Zotu8727								
Zotu12510								
Zotu20449								
Zotu9486								
Zotu13502	1			2				
Zotu8115				2				
Zotu7253								
Zotu12706								1
Zotu20127								
Zotu15144								
Zotu20439								
Zotu10063								
Zotu17191								
Zotu16027								
Zotu4252								
Zotu6927								
Zotu20383								
Zotu18433								
Zotu12220								
Zotu14797								
Zotu10918								
Zotu18809		1						
Zotu7780			1					
Zotu19265								
Zotu10296								
Zotu16094								
Zotu10367								
Zotu10507		2						
Zotu17725								
Zotu9651								
Zotu20377					3			
Zotu16949								1
Zotu2352								
Zotu18211								
Zotu13917								
Zotu13959								
Zotu17246								
Zotu9625								
Zotu16593								
Zotu18572								
Zotu7634		1				1		
Zotu20159								
Zotu10259								
Zotu8266								
Zotu5672								
Zotu12660				1				
Zotu9830								
Zotu19848								
Zotu8198								
Zotu17071								
Zotu18089								
Zotu10242								
Zotu16748								
Zotu19076								
Zotu9163								
Zotu13855								
Zotu7432		1						
Zotu19478		1						
Zotu14552								
Zotu16165							1	
Zotu17112								
Zotu19654								
Zotu9090								
Zotu15163								
Zotu11946							1	
Zotu18342								1
Zotu15365								
Zotu13397								
Zotu20218								
Zotu9215								
Zotu6873								
Zotu12061								
Zotu8043							1	
Zotu11962								
Zotu4764			1					
Zotu5720			1	1				
Zotu12657								
Zotu10048								
Zotu9860								
Zotu17869								
Zotu19905								
Zotu11857								
Zotu10369								
Zotu13434								
Zotu5236		3	1			1		
Zotu17301								
Zotu15801								
Zotu9546								
Zotu14231								
Zotu17056								
Zotu3912		2		2		2		2
Zotu11330								
Zotu10330		3	1			1		
Zotu11111								
Zotu17474								
Zotu7980			1				2	1
Zotu16627						1		
Zotu12961								
Zotu2054				2		1	1	
Zotu11680								
Zotu11414								
Zotu13574								
Zotu13402								
Zotu18226		2						
Zotu18477		1						
Zotu15713								
Zotu15003								
Zotu20572								
Zotu13524								
Zotu9134		1						
Zotu17348						3		
Zotu2765								
Zotu17405								
Zotu19287								
Zotu15220								
Zotu17576								
Zotu18919								
Zotu11198	1							
Zotu19196								
Zotu11231								
Zotu11563								
Zotu3422								
Zotu16300		1						
Zotu15803								
Zotu13429								
Zotu15684								
Zotu10083		1	1			1		
Zotu18789								
Zotu18993								
Zotu10492								
Zotu12191								
Zotu15321								
Zotu12738								
Zotu14881								
Zotu15631								
Zotu6356								
Zotu9949								
Zotu11466								
Zotu15652				1				1
Zotu13879						1		
Zotu16401								
Zotu14865								
Zotu9859								
Zotu12593		1					1	1
Zotu17556								
Zotu2980	2	1	1		1			1
Zotu18366				1				
Zotu7244		2						
Zotu15931	1							
Zotu13037								
Zotu8765								
Zotu20861								2
Zotu9644								
Zotu9954			2					6
Zotu14731								
Zotu13480								
Zotu745			8					2
Zotu5943				1			1	
Zotu15922								
Zotu10284								
Zotu5415						1		
Zotu1002	1		7			1		2
Zotu8742				2				
Zotu11906					1			
Zotu19317								
Zotu11401								
Zotu17384								
Zotu12177						1	1	
Zotu5974								1
Zotu17984		1						
Zotu15805			4					
Zotu884		2		1	1			
Zotu13923								
Zotu2427								
Zotu13567		1						
Zotu20177								
Zotu10095	1					1		
Zotu3517	1	2	2			2		
Zotu13715								
Zotu3118			1		1			
Zotu3537			1					
Zotu9067				2				
Zotu19681								
Zotu14519								
Zotu15579								
Zotu1793	1			3		1	2	1
Zotu594		4	2	3	1	1		
Zotu3331				1				
Zotu4250								
Zotu14694								
Zotu7276						1		1
Zotu5576						1		
Zotu10116								
Zotu1029	1	4	2			3	1	3
Zotu8058								1
Zotu16259								
Zotu16803		1						
Zotu5702						2		1
Zotu13278								
Zotu18341								
Zotu20130		1						
Zotu6536								
Zotu9446						1		1
Zotu3540	1	1					1	
Zotu12860	1		1					
Zotu16613								
Zotu7579								
Zotu18531								
Zotu11105	1	2	1			1		
Zotu11916								1
Zotu15058	1			1				
Zotu10057								
Zotu11302								
Zotu18262								
Zotu19100								
Zotu6670								
Zotu19113								
Zotu6840								
Zotu12882								
Zotu10798				3				
Zotu15055								1
Zotu12732								
Zotu11090					1			2
Zotu19480								
Zotu8733								1
Zotu15097								
Zotu9150								
Zotu2511						1		
Zotu10196		3						
Zotu1023	1	3		5	2	6	8	
Zotu3946			1					
Zotu2313		1	3	1			10	
Zotu4576				5	1			
Zotu18056				6				
Zotu2125	1			1		1	2	18
Zotu20821	1	5						
Zotu11139								
Zotu7367				2	1	1		1
Zotu5281								
Zotu15759			1					
Zotu6867	2				1			
Zotu3583	8	27		4			3	1
Zotu4686			2			5		1
Zotu15306				1				
Zotu18762								1
Zotu20823								
Zotu13240						1		
Zotu2716		2			1		2	
Zotu2487	28		12		2	1		1
Zotu226	33	43	40	34	39	78	30	117
Zotu344	5	73	94	56	19	64	8	66
Zotu19471								
Zotu15795								
Zotu14947						3		
Zotu19727						6		1
Zotu10020		1				2		
Zotu1044	26	43	9	12	27	16		12
Zotu9677		1						
Zotu6271				1				
Zotu7660								
Zotu20429		1						
Zotu2581		7						
Zotu18200								
Zotu5081			1					
Zotu7386								
Zotu15941								
Zotu15552								
Zotu4467								
Zotu5353	8					1		4
Zotu15489								
Zotu11114					1			
Zotu10204	1							
Zotu4581		13	5		2			
Zotu18867								
Zotu20037	1							
Zotu9191					1			
Zotu17983								
Zotu10150		2		1				
Zotu1461		7	8	1	3	5	1	
Zotu4087	3		1	1				
Zotu13315								
Zotu3992								
Zotu2927	5	5		4	14		1	
Zotu8728	2							2
Zotu8522						1		3
Zotu403				6	5	1	4	
Zotu98	7	13	7	20	4	6	1	11
Zotu230	8	15	13	39	11	20	10	11
Zotu17682								2
Zotu10017	1	1					1	1
Zotu834	4	3		2	2	8		6
Zotu9631		2		2	4	1		
Zotu10028		2		3	4		2	1
Zotu1134	4	2	2	6	1	1		
Zotu588	3	6	2	22	7		14	1
Zotu3221	1	2	4	1	2		2	
Zotu1919		4		4	5	2	3	1
Zotu612	42	2	6	3	10	4	2	8
Zotu1110		3						
Zotu1802		2						
Zotu313			2	11	2	8	1	19
Zotu6904				1			1	
Zotu2954	3			2	6		1	
Zotu284	8	72	35	85	51	37	36	12
Zotu4295	1	2		13	1	2	3	4
Zotu1163	6		3	110	11	4	12	6
Zotu14490								
Zotu366	28	21	8	234	26	18	34	5
Zotu3494					3		1	
Zotu8937		2						
Zotu3388						1		1
Zotu9174				1				
Zotu8363								
Zotu14132								
Zotu15448								
Zotu5403					2			
Zotu3358	2					1		
Zotu2752	4			2			1	1
Zotu17385								
Zotu1585						1	1	
Zotu9002								
Zotu1433	3	1	2	1	9	7		5
Zotu1944		1			2		2	
Zotu2134	7	1	2					
Zotu8476								
Zotu7072			1					
Zotu14896								
Zotu10997								
Zotu4186		3					3	6
Zotu8378		1			1	7	1	2
Zotu783	4	4	1	22	4	4		4
Zotu2884	2							
Zotu4991								
Zotu15175		1						
Zotu14698					5	3		
Zotu17765							2	
Zotu14399							1	2
Zotu6892			3	1				4
Zotu10302				2	4	1	1	5
Zotu4083		1	1	2	1	2		
Zotu4845			2		2	19	4	1
Zotu8047								
Zotu13642								
Zotu644	14	77	15	26	15	32	7	48
Zotu14619								
Zotu6966		1	2			1		2
Zotu5289						1		
Zotu5823					1			3
Zotu18038								
Zotu15588	3					1		
Zotu10870		1			1		2	
Zotu15201						1	2	
Zotu15949								
Zotu8618			2				7	1
Zotu5719	1	5	3	30		5		5
Zotu14309						1		
Zotu659	2	11	14	71	34	13	4	3
Zotu4008			1	10	2	1	1	
Zotu19184		3	1					
Zotu6227		1		1	2	2	1	
Zotu7486								
Zotu14162			7				1	2
Zotu11884								
Zotu12644					2		2	
Zotu4396				2				
Zotu980					1			
Zotu20315								
Zotu6016	1	1					1	2
Zotu10212								
Zotu7257								
Zotu5690					1			5
Zotu7108		2						
Zotu11345			1			1		
Zotu14745		1						
Zotu3919	5							
Zotu18307		1				2		1
Zotu206	8	35	12	12	2	14	15	5
Zotu6037	1			2				
Zotu78	33	61	47	35	16	95	14	167
Zotu10567								
Zotu1783				3			2	14
Zotu2700		1						
Zotu12351	1							
Zotu7203							1	
Zotu13357						9		
Zotu7067	1			2		2	1	
Zotu8315						1		
Zotu7006								
Zotu19983						1		
Zotu8395		3						
Zotu3677	1	3		3	1	1		
Zotu8104								
Zotu10626								
Zotu1649		26		7				2
Zotu16367						1		
Zotu1897	1			3		3		
Zotu3623		3						
Zotu4154	1		1			3		
Zotu11568								
Zotu2622	1					8	1	5
Zotu4111		1	2		3	2	1	
Zotu8987	1							
Zotu1888	1	4	1					
Zotu784		1	2	1				
Zotu5713	2	3			1			
Zotu1411		1	4		1	2	1	
Zotu735	3		2	11	1	5	1	1
Zotu584	4	33	11	5	3	22	35	
Zotu1695	1	1	4	2	1	2	1	
Zotu1506				12	2	1	5	
Zotu3087				1				
Zotu6844					1			
Zotu5478					1	1		
Zotu10623								
Zotu217	2	4	23	5	2	4	3	28
Zotu5553				5	2			
Zotu5729	1		2	4	3			2
Zotu8968	2							
Zotu7503								
Zotu1443					1			
Zotu7701								
Zotu16526								
Zotu6030				4	1	1		2
Zotu8848					2		1	
Zotu11304		1						1
Zotu17874			1		1			
Zotu7568		4			2	2		
Zotu8878	1	1				1		
Zotu18656								
Zotu8935								
Zotu7147						1		
Zotu6006						1		
Zotu16110								
Zotu5705	1	4			2	3		1
Zotu13901								
Zotu9058								
Zotu19059								
Zotu20031								
Zotu19715								
Zotu8053	1				1		1	
Zotu9988								
Zotu14192								
Zotu14632								
Zotu18094								1
Zotu18589				1				
Zotu17992				1				
Zotu7488						2		
Zotu17859								
Zotu4489		9	1			2		15
Zotu5593		5	1	4		1		6
Zotu3582	2		2	4		2		5
Zotu8276								
Zotu1740	1	5	3	1	3	9	1	16
Zotu3495		1	1					2
Zotu20002						1		1
Zotu11704		3	1			1		
Zotu14765								2
Zotu11694			2					4
Zotu19488						1		
Zotu17077								
Zotu9729								
Zotu19011								
Zotu18136								
Zotu13179								
Zotu1426								
Zotu11724								
Zotu10620	1							
Zotu15273						1	1	
Zotu7314		1						
Zotu7351		1						
Zotu10581				1				
Zotu11773			1					
Zotu14958								
Zotu17902								
Zotu14115								
Zotu6060								
Zotu3306	3	2				3	2	4
Zotu7476								
Zotu7938	1	2					1	
