ID	rs_ck_1	rs_ck_2	rs_ck_3	rs_ck_4	rs_ck_5	rs_ck_6	rs_ck_7	rs_ck_8
Zotu19334								
Zotu4454	1	1	2	1	1	1		2
Zotu6052		1					1	
Zotu9186		1					1	
Zotu15168			1					
Zotu3233	1							1
Zotu2669	1	1		1	2	2		2
Zotu16383								
Zotu17347								
Zotu14944			1					1
Zotu12913	2							4
Zotu19621								
Zotu15750							1	
Zotu14847								
Zotu8722								
Zotu8820					1			
Zotu15285								
Zotu13667		1		1				
Zotu18636	1						1	
Zotu3344	5	1	2	2	3	1	2	2
Zotu7318								
Zotu13989				1				
Zotu3356		2		1	5	1	1	1
Zotu14255								
Zotu10386				2	1			
Zotu17712			1					
Zotu3888	2	1			3	1		3
Zotu19124	1					1		1
Zotu4659				1				
Zotu4237			1		5	2		
Zotu11740								
Zotu13054							3	
Zotu1159	5	3	5	4	3	9	3	5
Zotu13064						1		3
Zotu3446	3	1	2	1	2		1	
Zotu1855			2		1		1	
Zotu7825				1				
Zotu6770								
Zotu7642								4
Zotu9797								
Zotu13360								
Zotu9407			1					
Zotu3865		2			1	1	2	
Zotu4382	1	2	2	1	1	1	2	
Zotu3609	4	1	3	2	1	1	1	
Zotu5175		1		1	2			
Zotu2636		3		2		2	3	
Zotu5139				1				
Zotu16408								
Zotu14624					1			
Zotu3245	1	2	3			1		
Zotu173	27	28	27	36	34	31	38	25
Zotu684	11	1	6	8	6	6	12	10
Zotu1676		3		2	1	4	2	6
Zotu2864	1	2	1	1			1	
Zotu9351				1	4			
Zotu3792	2						1	1
Zotu12431							1	1
Zotu19364		1		1				
Zotu13410		1						
Zotu6614					2	1		2
Zotu8359		1						
Zotu9422								
Zotu20677		1						
Zotu9525								
Zotu12276								
Zotu12179								1
Zotu5848								
Zotu18639								
Zotu19487								
Zotu16137								
Zotu16410								
Zotu15739								
Zotu4392								
Zotu20495								
Zotu8512			1					
Zotu15975		1						
Zotu14488								
Zotu19283								
Zotu11475	1							
Zotu4523	1	2					1	2
Zotu4637		3		1			1	5
Zotu777	4	1	6	2				2
Zotu7077		2		1				
Zotu4711		4						6
Zotu12218	1			1			1	
Zotu7371				1				
Zotu9666						1		
Zotu14360	1							
Zotu3697								
Zotu1446		3						
Zotu13964	1			1				
Zotu17979								
Zotu19004								
Zotu5697	2	1						
Zotu6058						3		
Zotu18282								
Zotu13454	1	1						
Zotu476	3	1	3	2				2
Zotu15332								
Zotu4880	1							
Zotu11676								
Zotu11465								
Zotu15444								
Zotu20346								
Zotu8531								
Zotu7647	1	2			1			
Zotu16907								
Zotu1525	1			1				
Zotu4317	1							1
Zotu12353								
Zotu15678				1				
Zotu13939								
Zotu4442	3	1		1	1	1		3
Zotu9962			1				1	6
Zotu8490								
Zotu10440					1			
Zotu17846		1						
Zotu15513						1		
Zotu18397		1						
Zotu3291								
Zotu2866								
Zotu7100								
Zotu3259			1					
Zotu5089								
Zotu6773			2					
Zotu16324								
Zotu11459								4
Zotu7359						1		1
Zotu14692							2	
Zotu6449			1					
Zotu5556								
Zotu15876								
Zotu20294								
Zotu3674		3						
Zotu9053		4						
Zotu15237								
Zotu15062								
Zotu7704								
Zotu9221								
Zotu6113			2			1		
Zotu2298				1				
Zotu3320								
Zotu3408								
Zotu3844								
Zotu16390								
Zotu10370					1			
Zotu3594								
Zotu19913								
Zotu5071								
Zotu4851								
Zotu8772						1		
Zotu19032								
Zotu5981								
Zotu12992								
Zotu11293								
Zotu14965			1				1	
Zotu17989								
Zotu14405								
Zotu12670								
Zotu18386								
Zotu10674								
Zotu16425								
Zotu6532							2	
Zotu8668								
Zotu18495								
Zotu15116								
Zotu8423								2
Zotu16175								
Zotu12216		1				2		
Zotu778								
Zotu13339								
Zotu11970								
Zotu15408								
Zotu4563		1				2		
Zotu17669			1		1			
Zotu19629								
Zotu18417	1			1			1	
Zotu5636			1				2	
Zotu10991			1					
Zotu5128								
Zotu11542	1					1		
Zotu19858								
Zotu5368		1						
Zotu9767			1					
Zotu16970	1							1
Zotu11437				1		2		
Zotu19585								
Zotu10191				1				
Zotu13056			1			1		
Zotu3867			2	1				2
Zotu12566			1					
Zotu9226			1				1	
Zotu17018		1						
Zotu16019							1	
Zotu1092		2	1	6	2		1	1
Zotu2660		1	2					
Zotu6931								1
Zotu4374		1	1			1	1	
Zotu3934					1	1		
Zotu1820		4	3	1	5		1	
Zotu5548	2		2	1		3	1	
Zotu1014	2	2	2	1	1	1	1	2
Zotu1329	5	4	2	4	7	4	1	6
Zotu5101		2	2		1			
Zotu19975								
Zotu5226						2		1
Zotu16362	4	3	4	1		2	10	3
Zotu16397	7	1	2	1	3	6	4	
Zotu19198	1	1	4			1		
Zotu19911								
Zotu13061	1	5						
Zotu20336								
Zotu17692	24	23	35	34	31	17	33	46
Zotu20273								
Zotu18526	1		1					
Zotu13857	5	1	2	3	4		2	1
Zotu20408								
Zotu17938			1					
Zotu20362								
Zotu14640								
Zotu14203					1			
Zotu19976								
Zotu19332								
Zotu19692								
Zotu14297	1		1					
Zotu17755								
Zotu18807								
Zotu19161								
Zotu19298	17	8	2	4	5	3	4	11
Zotu19191								
Zotu20068								
Zotu13963								
Zotu6623							1	
Zotu1466		2	1	1		2		
Zotu7885	2			1		1		
Zotu6087								3
Zotu13711								
Zotu20773								
Zotu19711								
Zotu2950					1	1	1	
Zotu14156								
Zotu7297								
Zotu16868								
Zotu17508	1							
Zotu11070								
Zotu14329								
Zotu3405					2			
Zotu9027	1	1						
Zotu2972	2	1	1	1	3	2		1
Zotu621	6	8	7	12	8	5	6	5
Zotu1586	1		2	2	2	2		
Zotu3619			1		4	3	1	2
Zotu5333								2
Zotu950	3	3		6	1	4	6	
Zotu15367								
Zotu19209							2	
Zotu1381	2		2	2		2		
Zotu11635				1			1	
Zotu18222								
Zotu15350								
Zotu17534								
Zotu2963								
Zotu10535	2			1				
Zotu2371					1			
Zotu3084	1							
Zotu6203					1			
Zotu13290	2							
Zotu6009		2	1		1	1	3	1
Zotu8449		1		1			1	
Zotu18337								
Zotu1762	4	1		4		1	4	
Zotu16706								
Zotu13762								
Zotu8536								
Zotu7540		2					1	
Zotu10977			1	2				
Zotu1284	1		4	4	7	5	8	3
Zotu14146	2							
Zotu1677	2		2		1		1	1
Zotu11004			1					
Zotu3808		2		1	2			
Zotu7347								
Zotu11616		1						
Zotu2389		2	2	5				
Zotu8715	2							
Zotu12184								1
Zotu7125								
Zotu15875								
Zotu6338		3						
Zotu19960								
Zotu9139				1				
Zotu6093								
Zotu14236				1				
Zotu18668					1			
Zotu4654						1	1	
Zotu17351								2
Zotu17950								
Zotu13553					2			
Zotu18508								
Zotu11849								1
Zotu11882								
Zotu18774				1				1
Zotu13220								
Zotu14978								
Zotu14895								
Zotu6097	1			1		1		
Zotu11945							1	3
Zotu16411								
Zotu19031							1	
Zotu8858	1				2			
Zotu20565								
Zotu11238								
Zotu11860								
Zotu13751								
Zotu10768								
Zotu12127								
Zotu6486								
Zotu885				2	1	1	2	
Zotu4756								
Zotu17478								
Zotu13055								
Zotu16157		1	2					1
Zotu5238	4	2	5	2				1
Zotu15094		2		1	1	1		
Zotu19026								
Zotu9240				2			1	1
Zotu13121		1		1	1	1	7	1
Zotu13583	2	2		2		1	3	1
Zotu17626							1	
Zotu11957								1
Zotu17655				1				
Zotu17673								
Zotu3825					2			
Zotu10810				1				
Zotu17341						1		
Zotu3133	1			2	1	1		
Zotu6707				1			1	1
Zotu16124								
Zotu19649								
Zotu9784								
Zotu13663				1				
Zotu14982				1				
Zotu11444								
Zotu8874								
Zotu7734				3	1	1		
Zotu17514								
Zotu16513								
Zotu10724								
Zotu7342								
Zotu19319								
Zotu12450				1				
Zotu13970								
Zotu13338								
Zotu12174								
Zotu6364								
Zotu8957								
Zotu7800								
Zotu13998								
Zotu7011								
Zotu3289		1	1					1
Zotu7871								
Zotu13002								
Zotu9504							1	
Zotu4277			2					
Zotu7117								
Zotu10040							2	
Zotu10833			1					
Zotu10788								
Zotu16396								
Zotu20753								
Zotu19821								
Zotu5919		1		1				
Zotu5354								
Zotu10197								
Zotu1555	1						1	
Zotu7356		1					2	
Zotu17308								
Zotu14242								
Zotu9495				1				2
Zotu6408	4			1				1
Zotu2878								
Zotu6687								
Zotu5255		1	1					
Zotu14003								
Zotu13984								
Zotu17024								
Zotu6834	1					1		
Zotu16902					1			
Zotu19045								
Zotu13980								
Zotu2380	1							
Zotu6490								
Zotu15816								
Zotu10556	3							
Zotu3733			2				2	
Zotu7191							2	1
Zotu7715								
Zotu20466								
Zotu14553								
Zotu18399								
Zotu18910								
Zotu18510								
Zotu4039								
Zotu10761		1						
Zotu16211								
Zotu10434								
Zotu9318		1						
Zotu10549								
Zotu6667	1			1				
Zotu10219					1			
Zotu11391								
Zotu6703		1					1	
Zotu3193								
Zotu9390								
Zotu11797								
Zotu1400	1	3	2	4	5		1	
Zotu13456								
Zotu1340				4				
Zotu5793			1					1
Zotu14282						1		
Zotu7233								
Zotu9697								
Zotu13251								
Zotu7473	1		1				1	
Zotu14049								
Zotu19484								
Zotu886	1	1	8	2	2	2	11	7
Zotu602	6	7	12	4	12	3	36	4
Zotu477	4	19	7	7	16	7	26	10
Zotu19793								
Zotu18673								
Zotu19261								
Zotu6815		1	2				2	
Zotu18915								
Zotu6483			1		1		1	
Zotu7463		1			1			
Zotu7041			1		1			
Zotu4926							3	
Zotu19467								
Zotu11779					1	2	1	2
Zotu16269	1	1						2
Zotu19331								
Zotu15482								
Zotu20018								
Zotu17942								
Zotu4198	2					1		
Zotu8387			1		1			
Zotu2597		1	3	2			4	
Zotu17194	1							
Zotu14835						1		
Zotu20732								
Zotu19529								
Zotu6353								
Zotu9384				2				
Zotu17358								
Zotu2202		2		7	2	1	2	1
Zotu18975						2		1
Zotu15606				1				2
Zotu18299					1			
Zotu14428								1
Zotu7187	9				1			
Zotu20791					1			1
Zotu5379								
Zotu13578								
Zotu1351	2	3	7	8	1		1	3
Zotu1893	2	2	2	4	4	3	2	
Zotu20700								
Zotu9290	2				2			
Zotu6421	2							
Zotu16176	1	1						
Zotu13880		1			2	1		
Zotu9811				1				
Zotu18383								
Zotu6796								
Zotu11544								
Zotu19264								
Zotu15838							1	
Zotu10993							4	
Zotu19945								
Zotu13952								
Zotu10007								
Zotu20474								
Zotu16519	1							
Zotu5191		1				1		
Zotu9928								
Zotu1508	4		1	3	1		1	
Zotu17362								
Zotu5795				3	1			
Zotu9014								
Zotu11305								
Zotu6101	6				1	1		
Zotu17446				1				
Zotu8494								
Zotu7076								
Zotu19108						1		
Zotu7659								
Zotu11122			1				1	
Zotu3998				3				
Zotu17230								
Zotu6241								
Zotu564	9	17	26	16	12	21	20	18
Zotu9774			2					2
Zotu5969								
Zotu10850		1				1		
Zotu13175							3	
Zotu629	5	3	4	3	3	6	1	3
Zotu953	4	12	6	2	1	7	6	
Zotu7595								
Zotu3597					1			
Zotu2520	3	3				1	1	1
Zotu10341								
Zotu6514	1						2	10
Zotu8183	2						1	3
Zotu20841								1
Zotu10985			1	1	1			
Zotu362	15	19	38	20	19	15	31	20
Zotu890	7	6	7	4	2	3	2	
Zotu548	13	12	13	14	8	11	9	4
Zotu3134	1		1	6	5	1	1	1
Zotu4812	1			1			1	1
Zotu13892			1					
Zotu830	7	3	8	7	6	3	5	2
Zotu274	11	13	20	16	20	25	35	15
Zotu1640	3	2	3	2	2	3	4	2
Zotu4310			1		3	2		
Zotu2208	6	2	5	5	2	4	6	1
Zotu432	14	7	17	20	30	19	21	7
Zotu2687		1		3	1		1	1
Zotu823	7	2	4	12	11	4	7	1
Zotu4594	1		1	1	1		3	
Zotu20763								
Zotu11178								
Zotu15780								
Zotu2238	1		2	5	3	1	2	
Zotu8708	1	1		1			1	
Zotu8038		1			2			2
Zotu11843			1					
Zotu2499	3		3			1		
Zotu14075								
Zotu17787								
Zotu1052	1		1	4	1			
Zotu7129								1
Zotu17398						1		
Zotu137	6	3	14	11	10	5	9	8
Zotu1776	1							1
Zotu5123								
Zotu5162		5		1			1	3
Zotu8550								
Zotu8557								
Zotu1294	1	4	1	3	2	1	4	
Zotu17852								
Zotu6819	1	1						
Zotu7733	1							
Zotu11615				1				
Zotu16870								
Zotu2132	1	3	2			1	4	2
Zotu6301								
Zotu6161			1				1	
Zotu12637								1
Zotu16071								
Zotu16579								
Zotu10184								
Zotu17269								
Zotu15410								
Zotu20527								
Zotu15902	2							
Zotu18663								
Zotu2424				1				
Zotu18676								
Zotu19506								
Zotu14448								
Zotu17597					1			
Zotu12437					2			
Zotu14585								
Zotu20266								
Zotu16711								1
Zotu6727							4	
Zotu18473								
Zotu18256								
Zotu18712								
Zotu17656								
Zotu18844								
Zotu20369								
Zotu12074								
Zotu18670								
Zotu20004						2		
Zotu15082								
Zotu4048						1	1	
Zotu13854						2		
Zotu13676						1		
Zotu20107								
Zotu10297								
Zotu2697			2					
Zotu17928								
Zotu13228								
Zotu13491								1
Zotu17802								
Zotu6886		2						
Zotu16005								
Zotu1727			11					
Zotu10640								
Zotu7229	1							
Zotu1750								
Zotu2907			2					
Zotu3396								
Zotu18170								
Zotu17920							1	
Zotu11300								
Zotu12400								
Zotu17039								
Zotu20588								
Zotu17170								
Zotu12805								
Zotu12137								2
Zotu15343								
Zotu16238								
Zotu17982								
Zotu993	5	4	5	5	9	4	35	
Zotu9173	1							
Zotu20134								
Zotu16018								
Zotu5583		1			1	1	1	
Zotu8841	2				1	1	1	
Zotu17732	1							
Zotu3011	1		1	2	1		2	
Zotu5765								
Zotu6240		1						1
Zotu7961				1				
Zotu11511								
Zotu19491				1				
Zotu8463					1			
Zotu7658		2					2	2
Zotu12921		1						
Zotu13277	1	1	2			1		
Zotu14952	1							
Zotu15982				1	1			
Zotu9990								
Zotu13620								
Zotu11813		1		1				
Zotu19700								
Zotu7385								
Zotu3085	1	1	1				3	
Zotu14032								
Zotu13198								
Zotu17583		1						
Zotu13975			1					
Zotu12317								
Zotu7882	1	1					4	
Zotu3657				1	1	1		
Zotu9423						1		
Zotu9734	1					1	1	
Zotu16172								
Zotu481	1	2	7	5	1	3	4	
Zotu1375	2	2	1		1	1		
Zotu9414			1	1	1		2	
Zotu7416								1
Zotu1322		1	1	2			1	
Zotu1144	3	3	5	2	2	2	4	3
Zotu869	3	5	4	1	2	4	3	8
Zotu5561		1				1		
Zotu1614		3						
Zotu11137		1						
Zotu2792	4	1	2	3	1	1	5	1
Zotu3593								
Zotu6691				1				
Zotu59	77	70	86	139	57	75	95	90
Zotu7465				1				
Zotu1846		2	4	3	2	2	3	2
Zotu1939	1			1				
Zotu4102				2				
Zotu7965								
Zotu3417	3	1	1	1			3	1
Zotu10803		1						
Zotu6000								3
Zotu7098				2		1		
Zotu5193			1					
Zotu1153		2		3	1	1		1
Zotu15740								
Zotu14576			1					
Zotu10479								
Zotu19206								
Zotu2281	1	1	1	2	1	1	3	2
Zotu7239			1			1		
Zotu4263	1	2					2	
Zotu7235							2	
Zotu15967								
Zotu13217								1
Zotu12741								
Zotu4500								
Zotu8736								
Zotu3930	1	1	1			3		3
Zotu9368								1
Zotu7376							1	
Zotu2787	1			2		1		
Zotu18567								
Zotu7186			1					
Zotu18336								
Zotu8370								
Zotu12448	1							
Zotu17050								
Zotu13482								
Zotu18313								
Zotu12621								
Zotu4772							1	
Zotu13569								
Zotu13576								
Zotu19888								
Zotu10166								
Zotu15916								
Zotu2024						1		
Zotu5580			1					
Zotu10566								
Zotu11303								
Zotu12951		2						
Zotu7920			1					
Zotu5621			1					
Zotu16352								
Zotu13486				1			2	
Zotu18954								
Zotu7757								
Zotu11205		1						
Zotu10466							1	
Zotu14137								
Zotu17618								
Zotu4909			1					
Zotu2512	1	1	1		2	2	2	2
Zotu7788				1				
Zotu9712			1					
Zotu9342							1	
Zotu10526	1							
Zotu5448	1			1				1
Zotu12326			1			1		
Zotu8717								2
