ID	hps_cd_1	hps_cd_2	hps_cd_3	hps_cd_4	hps_cd_5	hps_cd_6	hps_cd_7	hps_cd_8
Zotu20383				3				
Zotu18433								
Zotu12220	1							
Zotu14797								
Zotu10918				1				
Zotu18809					1			
Zotu7780								
Zotu19265								
Zotu10296								
Zotu16094								
Zotu10367								
Zotu10507								
Zotu17725								
Zotu9651			1		1			
Zotu20377								
Zotu16949					1			
Zotu2352								
Zotu18211								
Zotu13917								
Zotu13959								
Zotu17246		3						
Zotu9625								
Zotu16593								
Zotu18572								
Zotu7634	1							
Zotu20159		1						
Zotu10259				1				
Zotu8266								
Zotu5672								
Zotu12660								2
Zotu9830								
Zotu19848								
Zotu8198	1							
Zotu17071								
Zotu18089								
Zotu10242	1				1			
Zotu16748								
Zotu19076								
Zotu9163					1			
Zotu13855								
Zotu7432							4	2
Zotu19478								
Zotu14552								
Zotu16165								
Zotu17112								
Zotu19654								
Zotu9090								
Zotu15163								
Zotu11946	2							
Zotu18342								
Zotu15365								
Zotu13397					3			
Zotu20218								
Zotu9215	2							6
Zotu6873		2						
Zotu12061								
Zotu8043	2		7		1	1		
Zotu11962					7			
Zotu4764				1	7		1	
Zotu5720					1			
Zotu12657							1	
Zotu10048								
Zotu9860								
Zotu17869								
Zotu19905								
Zotu11857					1	1		3
Zotu10369								
Zotu13434								
Zotu5236								4
Zotu17301						2		
Zotu15801								
Zotu9546					2			
Zotu14231					1			
Zotu17056								
Zotu3912	1							
Zotu11330	26							
Zotu10330								
Zotu11111						1		1
Zotu17474	2				1			
Zotu7980								
Zotu16627								
Zotu12961								
Zotu2054					3			1
Zotu11680				1				
Zotu11414				1				
Zotu13574	1							
Zotu13402								
Zotu18226								
Zotu18477	1							
Zotu15713	5		1					
Zotu15003								
Zotu20572								
Zotu13524		1			3			
Zotu9134					1			1
Zotu17348								
Zotu2765		1		2		1		
Zotu17405								
Zotu19287								
Zotu15220								
Zotu17576								
Zotu18919								
Zotu11198								
Zotu19196								
Zotu11231				1			1	1
Zotu11563				2				
Zotu3422		1			1			
Zotu16300						2		
Zotu15803								
Zotu13429							2	
Zotu15684								
Zotu10083					3			
Zotu18789			3		9			
Zotu18993								
Zotu10492								
Zotu12191				2				
Zotu15321								
Zotu12738								
Zotu14881								
Zotu15631								
Zotu6356								
Zotu9949						1	1	
Zotu11466		6						
Zotu15652							1	
Zotu13879			2					
Zotu16401					3			1
Zotu14865								2
Zotu9859			1					
Zotu12593	2							
Zotu17556						1		
Zotu2980								
Zotu18366								
Zotu7244					1	1		1
Zotu15931								
Zotu13037							1	
Zotu8765								
Zotu20861								
Zotu9644		9						
Zotu9954								
Zotu14731						2		
Zotu13480	2							
Zotu745								
Zotu5943		2						
Zotu15922							1	
Zotu10284	1					2		
Zotu5415		1		14		6		
Zotu1002	9	1		2		5	4	2
Zotu8742	1	2			1		1	1
Zotu11906								
Zotu19317								
Zotu11401				1			1	
Zotu17384		1			1			
Zotu12177								
Zotu5974		1				1		
Zotu17984								
Zotu15805								
Zotu884		1		1	2	7		
Zotu13923								
Zotu2427			2			3		
Zotu13567	1					1		
Zotu20177								
Zotu10095								
Zotu3517	1	1		1		4		
Zotu13715	1	1			2			
Zotu3118		4	2		7	8	3	
Zotu3537	2	19	1	6	4	1		25
Zotu9067					1	2		
Zotu19681								
Zotu14519		2						
Zotu15579		1				2		
Zotu1793	7	4	5	1	2	5	3	3
Zotu594	15	11	10	8	15	23	13	8
Zotu3331	1	1	1	2	1	2		4
Zotu4250	1	2	2	2		2	2	1
Zotu14694		1						
Zotu7276								
Zotu5576					2			
Zotu10116				3				
Zotu1029	13	2	2		5	9		
Zotu8058						1		
Zotu16259								
Zotu16803								
Zotu5702	1				1			
Zotu13278	1			2				
Zotu18341								
Zotu20130								
Zotu6536		1						
Zotu9446	1							
Zotu3540					4	2		
Zotu12860								1
Zotu16613								
Zotu7579	1				1			1
Zotu18531								
Zotu11105							1	
Zotu11916	1							
Zotu15058								
Zotu10057								
Zotu11302		1						
Zotu18262				1	2			
Zotu19100		1		2				
Zotu6670		1						
Zotu19113								
Zotu6840								
Zotu12882								
Zotu10798		1				1	6	
Zotu15055		7						
Zotu12732				1				
Zotu11090								
Zotu19480								
Zotu8733								
Zotu15097								
Zotu9150								
Zotu2511		1						
Zotu10196								
Zotu1023				2				2
Zotu3946								
Zotu2313	1							
Zotu4576								
Zotu18056								
Zotu2125								
Zotu20821								
Zotu11139								
Zotu7367								
Zotu5281								
Zotu15759				1				
Zotu6867								
Zotu3583						2		
Zotu4686						1		
Zotu15306								
Zotu18762								
Zotu20823								
Zotu13240								
Zotu2716								
Zotu2487								
Zotu226		4				1	2	
Zotu344			1					
Zotu19471								
Zotu15795								
Zotu14947								
Zotu19727								
Zotu10020								
Zotu1044								
Zotu9677								
Zotu6271								
Zotu7660								
Zotu20429								
Zotu2581					2			
Zotu18200								
Zotu5081						1		
Zotu7386								
Zotu15941								
Zotu15552								
Zotu4467								
Zotu5353								
Zotu15489							1	
Zotu11114	1							
Zotu10204						1		
Zotu4581								
Zotu18867								
Zotu20037								
Zotu9191						1		
Zotu17983								
Zotu10150								
Zotu1461								
Zotu4087					2			
Zotu13315								
Zotu3992								
Zotu2927	1				2			
Zotu8728								
Zotu8522								
Zotu403								
Zotu98								
Zotu230								
Zotu17682								
Zotu10017		3						
Zotu834	2	65	1		2	1		
Zotu9631			1					
Zotu10028								
Zotu1134							1	
Zotu588	3							
Zotu3221		5						
Zotu1919			1					
Zotu612	1							
Zotu1110								
Zotu1802								
Zotu313								
Zotu6904							2	2
Zotu2954								
Zotu284		1			1	1	1	
Zotu4295		3		1			1	1
Zotu1163	2	1						1
Zotu14490								
Zotu366					1	1	4	
Zotu3494								
Zotu8937								
Zotu3388								
Zotu9174								
Zotu8363								
Zotu14132								
Zotu15448								
Zotu5403								
Zotu3358								1
Zotu2752								
Zotu17385								
Zotu1585		5						
Zotu9002								
Zotu1433								
Zotu1944								
Zotu2134		1						
Zotu8476								
Zotu7072								
Zotu14896								
Zotu10997								
Zotu4186								
Zotu8378								
Zotu783								
Zotu2884		28			1			1
Zotu4991								1
Zotu15175								
Zotu14698								
Zotu17765					1			
Zotu14399								
Zotu6892						1		
Zotu10302								
Zotu4083								
Zotu4845								
Zotu8047								
Zotu13642								
Zotu644	1	12					11	3
Zotu14619								
Zotu6966								
Zotu5289								
Zotu5823								
Zotu18038								
Zotu15588						1	2	
Zotu10870	1							2
Zotu15201								
Zotu15949								
Zotu8618								
Zotu5719								
Zotu14309								
Zotu659		3						
Zotu4008								
Zotu19184								
Zotu6227	3							
Zotu7486								
Zotu14162								
Zotu11884								
Zotu12644								
Zotu4396		3				1		
Zotu980		2				2		1
Zotu20315								
Zotu6016								1
Zotu10212						1		
Zotu7257								
Zotu5690		1		1			2	
Zotu7108		2	3		1		2	1
Zotu11345				4				1
Zotu14745								
Zotu3919								
Zotu18307								
Zotu206		1		1				
Zotu6037	10	2			3			
Zotu78			2		3			
Zotu10567								
Zotu1783							6	
Zotu2700		4		1	4		5	3
Zotu12351								
Zotu7203								
Zotu13357								
Zotu7067		1						
Zotu8315								
Zotu7006								
Zotu19983								
Zotu8395						1		
Zotu3677				3				
Zotu8104								
Zotu10626				1				
Zotu1649		9						
Zotu16367								
Zotu1897				47	23	1	1	3
Zotu3623			2					
Zotu4154					1			
Zotu11568								
Zotu2622	1		24	2				5
Zotu4111							3	
Zotu8987								
Zotu1888								
Zotu784	1		37			4	1	
Zotu5713								
Zotu1411	6	18	5		6	3	5	
Zotu735								
Zotu584				1		1		
Zotu1695				1				
Zotu1506								
Zotu3087					2			
Zotu6844	1		1					
Zotu5478								
Zotu10623								
Zotu217			2	1				
Zotu5553								
Zotu5729								
Zotu8968								
Zotu7503				5				
Zotu1443								
Zotu7701			1					
Zotu16526								
Zotu6030								
Zotu8848								
Zotu11304								
Zotu17874								
Zotu7568		1						
Zotu8878								
Zotu18656								
Zotu8935	2							
Zotu7147		1				1	1	
Zotu6006	2				1			1
Zotu16110								
Zotu5705	2			2		3		
Zotu13901	1	1						
Zotu9058								
Zotu19059		2						
Zotu20031								
Zotu19715								
Zotu8053	2		1					
Zotu9988		3						
Zotu14192		2			2			1
Zotu14632								
Zotu18094			2					
Zotu18589								
Zotu17992								
Zotu7488	3							
Zotu17859			2					
Zotu4489	1							
Zotu5593	1							
Zotu3582					1			
Zotu8276								
Zotu1740						1		
Zotu3495								
Zotu20002								
Zotu11704								
Zotu14765								
Zotu11694					1			1
Zotu19488								
Zotu17077								
Zotu9729								
Zotu19011				3				
Zotu18136								
Zotu13179					1			
Zotu1426		13	1	2	6	4	6	1
Zotu11724						3	1	
Zotu10620						1		
Zotu15273						1		
Zotu7314	1	3	2	2				
Zotu7351		1		2				1
Zotu10581		1						
Zotu11773					1			
Zotu14958								
Zotu17902								
Zotu14115						1	1	2
Zotu6060	1	1			2	1	1	
Zotu3306						1		
Zotu7476	1				1	2	2	
Zotu7938			2	1				
Zotu5027	1		1		1			
Zotu6587	1				1	3	2	2
Zotu14682		1				1	1	
Zotu6080						1	2	
Zotu10760								
Zotu18522								
Zotu1612								
Zotu16060								
Zotu17091								
Zotu5336			1			2	1	
Zotu5895	1				1			
Zotu14068								
Zotu10056						1		
Zotu19538								
Zotu2894	1			5				
Zotu5737								
Zotu20326								
Zotu8302								
Zotu11810								
Zotu5492								
Zotu16781								
Zotu19637							1	
Zotu19837				1				
Zotu11623								
Zotu11690								
Zotu10547								
Zotu5399		2	3			1		1
Zotu13126								
Zotu13422								
Zotu14081					1			1
Zotu13534								
Zotu9571		2					1	
Zotu15751								
Zotu3501		1	1		1			
Zotu5017								
Zotu3576		2						
Zotu18484								
Zotu3443	1	1	1	1		7		1
Zotu2482	1	3		4	1	3		
Zotu7484		4	2		1			
Zotu18745								
Zotu20443								
Zotu8323								
Zotu3428	1	1						
Zotu6123								
Zotu9785						3		
Zotu9489								
Zotu11660								
Zotu8857	1			1				
Zotu19803								
Zotu6650	1				3			
Zotu4627						1		1
Zotu14007								
Zotu2790								
Zotu2820								
Zotu6340						5		
Zotu5044		1			1	2		
Zotu9343								
Zotu19704								
Zotu7633		2						
Zotu10888								
Zotu18872	1			1				
Zotu3643							1	
Zotu5387						1		
Zotu11758						1		1
Zotu10710	1							
Zotu8351								
Zotu7248								
Zotu15576		1	1					
Zotu14390								
Zotu4604	2		1	3	1	4	1	
Zotu11815								
Zotu11395							1	
Zotu15349						3		5
Zotu17111								
Zotu12106	1							
Zotu13300								
Zotu12939								
Zotu15643								
Zotu4390								
Zotu4204								
Zotu7798								
Zotu10237								
Zotu5944								
Zotu9659								
Zotu9680								
Zotu11735								
Zotu11688								
Zotu14816								
Zotu15963			1					1
Zotu16709								
Zotu2353								
Zotu8255								
Zotu9736								
Zotu7974			1	2				
Zotu12147								
Zotu9332								
Zotu17828								
Zotu13825					1			
Zotu7835								
Zotu16958								
Zotu6797								
Zotu4401								
Zotu20012								
Zotu17019								
Zotu6187								
Zotu10904								
Zotu8795								
Zotu12972			7					
Zotu6115								
Zotu4192		2						
Zotu3500								4
Zotu11942	1							
Zotu1882			1					
Zotu10897								
Zotu4951								
Zotu17661								
Zotu9409								
Zotu8629								
Zotu2957	1			1				
Zotu8800					1			
Zotu8561								
Zotu5858					1			
Zotu10383								
Zotu15508								
Zotu17705								
Zotu10665								
Zotu13089								
Zotu12039								
Zotu18599								
Zotu18739					1			
Zotu1979								
Zotu3841								
Zotu8440								
Zotu19732								
Zotu13507								
Zotu10593								
Zotu5380			1					
Zotu13920								
Zotu12667	2						3	
Zotu9899	2				2			
Zotu15456	1							
Zotu6879	1			1				
Zotu3670		14	1	1		3		3
Zotu8642								
Zotu16388								
Zotu7981								
Zotu5799		2				1		
Zotu6150								
Zotu17835								
Zotu13718			1	1				
Zotu15935								
Zotu18509								
Zotu12937								
Zotu2282	2	3					1	1
Zotu8568								1
Zotu19882								
Zotu7996		1						
Zotu10149								
Zotu19257								
Zotu11828								
Zotu5828								
Zotu8963								
Zotu7514						1		
Zotu16516							1	
Zotu13173	1							
Zotu18260								
Zotu8018	4		4		1	1		
Zotu5577								
Zotu20160								
Zotu14250			2					1
Zotu10843								
Zotu10613							2	
Zotu17404								
Zotu8119								
Zotu13203								
Zotu10322								
Zotu19447	1							
Zotu19024								
Zotu11605						1		
Zotu15517						1		
Zotu8876			1				2	1
Zotu11134					1			
Zotu12831			1					
Zotu1807								
Zotu5571			4					
Zotu6305			6		1			
Zotu14636							1	
Zotu3787								
Zotu2156								
Zotu10836								
Zotu12867					1			
Zotu9264								2
Zotu13378				1				
Zotu15272		3			1			
Zotu13234					1			
Zotu11894								
Zotu10832								
Zotu16974					1			1
Zotu20124						2		
Zotu11944								
Zotu19413							1	
Zotu20194								
Zotu17020			1					
Zotu5151						1		
Zotu8210								
Zotu1113	1			1		1		
Zotu17953	1			1				
Zotu9013				2				
Zotu14824								
Zotu10154					1			
Zotu16335								
Zotu13636								
Zotu14630								
Zotu19638								
Zotu16776								
Zotu7610							1	
Zotu11657				1			3	
Zotu4183								
Zotu3921	3			9				
Zotu2494					3	1		2
Zotu8215		2				1		
Zotu17930			2					
Zotu12773								1
Zotu18493								
Zotu5382							1	
Zotu1678								
Zotu508		6		2				
Zotu6431								
Zotu3473						1		
Zotu4986								
Zotu7656								
Zotu4289							1	
Zotu14719								
Zotu4906								
Zotu10032								
Zotu3649								
Zotu18687								
Zotu13242								
Zotu6615								
Zotu1430								
Zotu4774								
Zotu291		5		2				
Zotu12205						1		
Zotu2223						2		
Zotu7783								
Zotu557	7	4	3	1	5	1069	2	
Zotu19259								
Zotu6537						3		
Zotu9519								
Zotu1829								
Zotu2757								
Zotu7493								
Zotu9456								
Zotu767							1	
Zotu769								
Zotu9523								
Zotu1030			3					
Zotu8093								
Zotu1261								
Zotu15948								
Zotu10062				1				
Zotu14607					1			
Zotu11896								
Zotu1624			1					
Zotu374								
Zotu12020					1			
Zotu7065								
Zotu5910								
Zotu10092								
Zotu5805						2		1
Zotu671	1				2			
Zotu1084		1						
Zotu17883							2	
Zotu5970								
Zotu11949								
Zotu9588		1		1				
Zotu9217								
Zotu19310								
Zotu4037						2	4	2
Zotu18442								
Zotu14752								
Zotu18196		1						
Zotu13194								
Zotu5747				1		6	3	
Zotu2541	1				1	4	4	5
Zotu2122		3	3	1	1			2
Zotu12979								
Zotu14423								
Zotu16322								
Zotu11869								
Zotu16260								
Zotu3054					1			
Zotu7959								
Zotu901								
Zotu18013								2
Zotu12425	4	1						
Zotu16081								
Zotu19179								
Zotu15584								
Zotu1248								
Zotu1058					5			
Zotu12427								
Zotu16480								
Zotu246				1				
Zotu2538								
Zotu4559								
Zotu3110								
Zotu4042		3		1	3			3
Zotu8638	2							
Zotu14861								
Zotu2628	3							
Zotu4928								
Zotu5347								
Zotu1659	3	4	10	5	2	11	7	3
Zotu4828	2	6			4		2	2
Zotu5056		1		1	3		2	3
Zotu15870								
Zotu15263								
Zotu18577						1		
Zotu1579			1				2	
Zotu8828		1	1					
Zotu15222						4		
Zotu15729								
Zotu18757								
Zotu19760								
Zotu2495								
Zotu12581	1			1				
Zotu12785								
Zotu6050	1	4	1		1	2		
Zotu13752			1		2	1		
Zotu10968								
Zotu12345			1	2				
Zotu19052								
Zotu13361				1		1		
Zotu1201		2	1	6	2	5	3	3
Zotu15669								
Zotu7829								
Zotu12968								
Zotu4150								
Zotu10731								
Zotu9310	1						1	
Zotu9249								
Zotu11621	1							
Zotu10521								
Zotu10990								
Zotu9381								
Zotu4982								
Zotu14406								
Zotu5635		7				1	2	
Zotu3627						1		
Zotu5709								
Zotu9442								
Zotu6899								
Zotu8346								
Zotu14010								
Zotu9564								
Zotu2433				1				
Zotu6251	1	1						
Zotu8984								
Zotu12199								
Zotu12859			1					
Zotu4536								
Zotu18355								
Zotu11718								
Zotu17679								
Zotu6692								
Zotu18900		1		3				
Zotu4005							4	1
Zotu5764					1			4
Zotu15052						1		
Zotu9704		10						
Zotu11493	1							
Zotu16455								
Zotu8929								
Zotu10780			1		4			2
Zotu18224								
Zotu9359								
Zotu6165	1							
Zotu4259		2			2			
Zotu11867					1			1
Zotu18156	4							
Zotu19328								
Zotu16034								
Zotu17088								
Zotu5739								
Zotu16574								
Zotu12259								
Zotu2842	1	2	4	2	1			
Zotu10825								
Zotu7362								
Zotu19861								
Zotu17357								
Zotu11369						2	3	
Zotu3798			3	1	1	2		4
Zotu20796								
Zotu3858	3			1		9		
Zotu16655						1		
Zotu5316			2		2			
Zotu7577								
Zotu6142								
Zotu6204								
Zotu17406								
Zotu17683								
Zotu1177	3	10		4	1	4	2	
Zotu10306								
Zotu8318	1							
Zotu5422	5				1			1
Zotu18006								
Zotu2794	1	3			2		3	
Zotu908	1	9			3	6	9	1
Zotu13439								
Zotu3917						16		
Zotu4330								
Zotu17477			4			3		
Zotu702		2		9	7	5	1	2
Zotu10381								
Zotu17343					1			
Zotu13544					2	2		
Zotu3897								
Zotu15745								
Zotu7498								1
Zotu15244								
Zotu9436					1		1	2
Zotu5370		1					1	
Zotu20101		2						
Zotu1423	1	14	6		1	1	3	3
Zotu14117								
Zotu4256	2	3			3	2	2	
Zotu5565	2		2	1				5
Zotu12981		1						
Zotu19541								
Zotu7374				7				
Zotu19224				1				
Zotu1203		2	2	2	2	9	7	3
Zotu8687		2						
Zotu4946								
Zotu8347								
Zotu9932	1							
Zotu15566								1
Zotu2944			1			22		
Zotu1416	10	3	14	3	27	16	6	3
Zotu4879					4	2	1	
Zotu9882								
Zotu16311								
Zotu6121								
Zotu6017								
Zotu8213	10				1	1		
Zotu2124			1					
Zotu12821		3				1		
Zotu6697								
Zotu17162								
Zotu19003								
Zotu17864								
Zotu18021								
Zotu1754		1						
Zotu8521								
Zotu16553								
Zotu1332	4	3	5	3	3	9		3
Zotu3275		1						
Zotu19663								
Zotu6916								1
Zotu839	5	2	3	4	6	6	1	16
Zotu9460								
Zotu18650								
Zotu14275								
Zotu17234								1
Zotu10872								
Zotu15649								
Zotu6498								
Zotu10860								
Zotu9176	1	1		1		2		
Zotu8818	1					1		1
Zotu14955								
Zotu8075				1				
Zotu19579							1	
Zotu15139					1			
Zotu8264						1		1
Zotu13271					1			
Zotu18571		2						
Zotu9470	4	1	1	1				
Zotu6759	1		2					
Zotu2268	9	2	6		1	4	2	
Zotu10294					2			
Zotu14035								
Zotu18280					1	3		
Zotu12122				3				
Zotu19875					1			
Zotu7146								
Zotu10577			3					
Zotu18770								
Zotu5650	1							
Zotu7490		1		2				
Zotu17711						1		
Zotu3647	4	5			1	1	1	4
Zotu4840	1	2					3	
Zotu9079								2
Zotu8482	4							
Zotu10509						1		1
Zotu2066		1						
Zotu3681							1	
Zotu18047								
Zotu1405	1							
Zotu5563	1			1				
Zotu19142								1
Zotu13424								
Zotu17526								
Zotu2369			2					
Zotu10442								
Zotu3750								
Zotu12949								
Zotu13819								
Zotu567							2	
Zotu1310								
Zotu9710								
Zotu16878								
Zotu12044								
Zotu3434				6				
Zotu3973								
Zotu20027								
Zotu14064	1			1				
Zotu883	1	32	2	324	1	2	31	2
Zotu17036								
Zotu15309				3				
Zotu7740								
Zotu11911								
Zotu13079								
Zotu5080								
Zotu12589		6						
Zotu12802								
Zotu9915					1			
Zotu3567	1							
Zotu1302	2			1			2	
Zotu16939								
Zotu3982								
Zotu12545						1		
Zotu6048	1							1
Zotu2014								
Zotu17985		1	3					
Zotu12909			1			1		
Zotu16843								
Zotu18688								
Zotu14669							1	
Zotu10597					1			
Zotu7676								
Zotu14760								
Zotu10397				1				
Zotu5428								1
Zotu16485								
Zotu5505					1			
Zotu12223								
Zotu4893					1			
Zotu18413								
Zotu11743				1		5		
Zotu4532				7				
Zotu10691								
Zotu19347					1			
Zotu3843	2	1		1	1			
Zotu7940		4			2	3	3	
Zotu3336		8	1	3	3	5		
Zotu1935		16			3	10	2	5
Zotu13477		2						
Zotu18634								
Zotu13178								2
Zotu9322								
Zotu9572						1	2	
Zotu13146			2					
Zotu18681								
Zotu8941		2					2	
Zotu15450								
Zotu19343								
Zotu17565								
Zotu19006								
Zotu11636								
Zotu8854								
Zotu2615				1				
Zotu14823								1
Zotu20453								
Zotu20129								
Zotu8200								
Zotu14525								
Zotu11290		2						
Zotu15295								
Zotu18614								
Zotu11307								
Zotu18607								
Zotu3313				1				
Zotu19764								
Zotu15790								
Zotu1546		2			1	5		6
Zotu6876						1		3
Zotu5262	1	10		1		2		1
Zotu10966								
Zotu20175					1			2
Zotu14631			1	2				
Zotu17671								
Zotu8304	1			1		1		
Zotu9758								
Zotu11235	1							
Zotu14421								
Zotu11719								
Zotu14082		1						
Zotu16483								
Zotu16458								
Zotu9679							1	
Zotu11795					1			
Zotu11596								
Zotu5359	2		1		2		1	
Zotu7628				1	1	1		
Zotu11553				2				
Zotu11599								
Zotu19135					1			
Zotu18243					3			
Zotu19869								
Zotu19912								
Zotu7566								
Zotu2994		1	6	2		3	1	
Zotu15370								
Zotu16354								
Zotu9530								
Zotu19358								
Zotu17369								
Zotu16486				1				
Zotu19823								
Zotu5696				5				
Zotu16198								
Zotu8983					1	1		2
Zotu18120								
Zotu11170								
Zotu15160								
Zotu12540								
Zotu7381								
Zotu9490								
Zotu10995								
Zotu8193				3	1	1		
Zotu12222								
Zotu14920								
Zotu18802								
Zotu10128								
Zotu12440								
Zotu20793								
Zotu1558	1		2		2			
Zotu1693			1	3		1		
Zotu10429								
Zotu1229	1	10	9	7	1			1
Zotu4464								
Zotu12369								
Zotu19990								
Zotu9706								
Zotu19218								
Zotu15268								
Zotu16470								
Zotu20526								
Zotu8365								
Zotu11381								
Zotu9268								
Zotu16415				1				
Zotu17034								
Zotu6284								
Zotu4837						3		7
Zotu4930	5			1	12	7	1	
Zotu16099								
Zotu13190								
Zotu2652	1		1			2		
Zotu10745		5						
Zotu15793	1	10						
Zotu15105								
Zotu11873		1			1	1	1	
Zotu19701		1						
Zotu20633							11	
Zotu3504					5			
Zotu4170					1			1
Zotu7121			1					
Zotu12665					2	4		
Zotu18921								
Zotu19842				2				
Zotu4134								
Zotu8861					2			
Zotu8460					1			
Zotu15145								
Zotu14061					4			
Zotu3483	1	1	2			4		
Zotu12441								4
Zotu17174					1			
Zotu5564		1	1	1	1	8	1	
Zotu9136							1	
Zotu10203		1	2					
Zotu2875		3		1	1	4		
Zotu6387								
Zotu16273								
Zotu10668								
Zotu8348								
Zotu19993		2				1		
Zotu10542		1			1	1	1	
Zotu12287								
Zotu7049								
Zotu15556								
Zotu1536	5	3	2		4	4	2	1
Zotu11040								
Zotu8396								1
Zotu5888	2	1		1		6		1
Zotu3486	1			1	8	2		5
Zotu4461								
Zotu18134								
Zotu19592								
Zotu18827				1				
Zotu13511								
Zotu7608								
Zotu8329			3					
Zotu18640								
Zotu18781								
Zotu9087								
Zotu9723				1				
Zotu18824								
Zotu1753			2	2		1		
Zotu6206								
Zotu15605								
Zotu9485								
Zotu11627								
Zotu9584								
Zotu13236								
Zotu11321								
Zotu5156								
Zotu13719								
Zotu10213								
Zotu14499								
Zotu16905								
Zotu8350					2	1		
Zotu11377								
Zotu20156								
Zotu12076			1				1	
Zotu17150				2				
Zotu10067								
Zotu10351								
Zotu13352								
Zotu15294								
Zotu16891	3							
Zotu9517		1						
Zotu18784								
Zotu17457								
Zotu18071								
Zotu20828				1				
Zotu8094				2				
Zotu10947								
Zotu18777								
Zotu11283				1				
Zotu12768								
Zotu20799								
Zotu11824				2				
Zotu19872								
Zotu6801			1	1				
Zotu6965					1			
Zotu9716								2
Zotu15899								
Zotu6491								
Zotu18683								
Zotu16534		2						
Zotu5797					2	4	1	
Zotu11921								
Zotu8502								
Zotu9769			1	1		2	1	
Zotu15374								
Zotu3255								
Zotu3457								
Zotu7762								1
Zotu9239		1						1
Zotu18545								
Zotu9636								1
Zotu20497								
Zotu4272			1					
Zotu12349		21					1	
Zotu5808		1	1	1				
Zotu14548			2	2				
Zotu20555		1				1	3	
Zotu4648			1					
Zotu16947							2	
Zotu19567	1		1			1		
Zotu19516								
Zotu14332					1			
Zotu7794				1				
Zotu2702								
Zotu3224			2					
Zotu12442								1
Zotu13633	2					1		
Zotu19562								
Zotu13632							3	1
Zotu12980	1							
Zotu13068								
Zotu18654								
Zotu13075								
Zotu4446				1				
Zotu19873						1		
Zotu17067								
Zotu1517								
Zotu7319								
Zotu17607								
Zotu3231								
Zotu6969								
Zotu2263		1						
Zotu1617		2						
Zotu4312								
Zotu5769								
Zotu3738							2	
Zotu125	1	14	6	3	3		14	2
Zotu730	2	1	6					
Zotu187	6	131	5	29	1	3	33	7
Zotu518	1	14	4	72		1	4	2
Zotu141	1		5	46		6	34	6
Zotu2783								
Zotu16463								1
Zotu4236								
Zotu13105								
Zotu329		2	1	5			98	
Zotu12924								
Zotu8959					1			2
Zotu2286			1				24	
Zotu11677								
Zotu7394								
Zotu14732								
Zotu15460								
Zotu9753								
Zotu9269								
Zotu18679								
Zotu16543								
Zotu6598		6		1	1			
Zotu8064		1						
Zotu580		1	3	249	1	1	4	7
Zotu2443			3	8	1		9	2
Zotu1551	1	154	1		1		1	2
Zotu1237	1	168	3	13	1	17	10	3
Zotu1827		12			1	1	3	
Zotu2619		1		1				
Zotu4173								
Zotu3340		5						
Zotu2237		4		2				
Zotu6094								
Zotu13529				3			9	
Zotu11515								
Zotu7928								
Zotu9201								
Zotu1063					2			1
Zotu317		5		17	1			7
Zotu3915	1							
Zotu12633								
Zotu11243								
Zotu19736								
Zotu20169								
Zotu9832	1							
Zotu1057	1	2	1	42	1	1	3	1
Zotu5896								
Zotu8801								
Zotu17616						1		
Zotu17068		2	2		1	3		
Zotu20860						4		
Zotu17627								
Zotu4571								2
Zotu13593								
Zotu10782								
Zotu12680								
Zotu7402								
Zotu11270								
Zotu1396		3			3		10	1
Zotu11861								
Zotu15333								
Zotu2724		151						
Zotu3161	1	31				2	1	
Zotu19682								
Zotu13948								
Zotu3832				1			2	3
Zotu18552		2						
Zotu20281								
Zotu2484			1					
Zotu19071								
Zotu4213								1
Zotu8343								
Zotu13082						1	1	
Zotu13372		1					1	
Zotu12596							1	
Zotu5275		1	2				1	1
Zotu4567								
Zotu10537								
Zotu12614								
Zotu6348								
Zotu6766								
Zotu843							4	
Zotu15182								
Zotu3489				2				
Zotu19686								
Zotu13395								
Zotu864		2		2		1		1
Zotu5471								
Zotu6210								
Zotu11344								
Zotu18206				3				1
Zotu531		7	2	36		1		1
Zotu2618								
Zotu589		1		6			1	1
Zotu2881								
Zotu3682		2						1
Zotu13189							1	
Zotu12754								1
Zotu9781								
Zotu300	2	28	3	51	2		41	3
Zotu1219		3		10	2		17	3
Zotu4831				3				
Zotu2174		7					2	
Zotu18978								
Zotu14315								
Zotu19452				2				
Zotu19854								
Zotu6218		1					1	
Zotu2420		7		5			2	
Zotu7904								
Zotu4373							2	
Zotu920		1	1	5			3	2
Zotu2189				3				
Zotu1824	1	14		4			3	1
Zotu581		23		21	2		5	1
Zotu3545		9					25	
Zotu5288							2	
Zotu11585							1	
Zotu1318		3		8	1		1	
Zotu14720								
Zotu12546								
Zotu18615								
Zotu11932				1				
Zotu1645		2	4	12		1		4
Zotu1128	1	2	2	7			4	4
Zotu617	1	26		17	1		6	
Zotu13863								
Zotu349		60	3	49	2	1	16	2
Zotu587		34	1	25			15	1
Zotu7945								
Zotu11698				1			3	
Zotu6026								
Zotu7557		3		2			10	
Zotu2062	1	1	1	3			4	2
Zotu1217		3	1	23			12	3
Zotu18388								
Zotu111	4	186	1	260	7	7	127	7
Zotu653	1	16	4	221	3	9	67	7
Zotu2684		1	1	20				1
Zotu4052				2				
Zotu4615		7		2			14	
Zotu18315				2				
Zotu15719								
Zotu8293								
Zotu1483	1	41	1	3				
