ID	hp_f_1	hp_f_2	hp_f_3	hp_f_4	hp_f_5	hp_f_6	hp_f_7	hp_f_8
Zotu18636				2	4			
Zotu3344	3	2		2		1		
Zotu7318								
Zotu13989							2	
Zotu3356				2			3	
Zotu14255								
Zotu10386					2			
Zotu17712								
Zotu3888							7	
Zotu19124		1						
Zotu4659	3		2		1	3		
Zotu4237				2	2		1	1
Zotu11740							1	
Zotu13054		1						
Zotu1159	2	3	2	1		2	5	
Zotu13064				1				
Zotu3446				1				
Zotu1855	1	2	1	1		1		
Zotu7825					1			
Zotu6770			1					
Zotu7642								
Zotu9797								
Zotu13360						2		
Zotu9407								
Zotu3865	1							
Zotu4382	2				1			
Zotu3609		2				2	1	
Zotu5175								
Zotu2636				1	1		4	
Zotu5139		4					1	2
Zotu16408								
Zotu14624								
Zotu3245	2	5		1	3	2		2
Zotu173	13	7	7	9	17	14	4	18
Zotu684		2	3	2	6	2	3	2
Zotu1676			2	3				1
Zotu2864	3	1		4		1		1
Zotu9351		2				1		1
Zotu3792								2
Zotu12431								
Zotu19364								
Zotu13410			1			1		
Zotu6614				2				
Zotu8359								
Zotu9422								
Zotu20677							1	
Zotu9525							1	
Zotu12276								
Zotu12179								
Zotu5848								
Zotu18639								
Zotu19487								
Zotu16137								
Zotu16410								
Zotu15739	1		1					
Zotu4392	1	8	2	1	2	5	2	30
Zotu20495				2				
Zotu8512	7	1	1	3				9
Zotu15975								
Zotu14488		1				1	1	
Zotu19283								
Zotu11475	1					3		
Zotu4523	1	1	1	1		1		23
Zotu4637	9	6	4	1		3	1	1
Zotu777	9	1	6	6	3	11	9	3
Zotu7077			2		2	1	1	1
Zotu4711	2	3	1	3		1	1	2
Zotu12218								6
Zotu7371			1	2		1		1
Zotu9666			1				2	20
Zotu14360								
Zotu3697		3	4		2	3	7	1
Zotu1446			1	1		1	2	
Zotu13964								
Zotu17979								1
Zotu19004	4							4
Zotu5697								2
Zotu6058								
Zotu18282					1			
Zotu13454				5			3	4
Zotu476	20	9	36	13	15	31	24	15
Zotu15332								
Zotu4880			1					
Zotu11676								26
Zotu11465		1		3			1	1
Zotu15444							2	
Zotu20346	1							
Zotu8531	3		5					
Zotu7647		4				1		
Zotu16907			2					
Zotu1525	3	8	10	2	13		2	
Zotu4317	3	1	9	4	6	5		6
Zotu12353	1		7					
Zotu15678	4							
Zotu13939						3		
Zotu4442					3			
Zotu9962	1							
Zotu8490								
Zotu10440								
Zotu17846								
Zotu15513								
Zotu18397								
Zotu3291								
Zotu2866								
Zotu7100								
Zotu3259								
Zotu5089	1							
Zotu6773								
Zotu16324								
Zotu11459								
Zotu7359								
Zotu14692								
Zotu6449								
Zotu5556								
Zotu15876								
Zotu20294								
Zotu3674								
Zotu9053								
Zotu15237	1							
Zotu15062								
Zotu7704								
Zotu9221								
Zotu6113								
Zotu2298		1						
Zotu3320	1							
Zotu3408								
Zotu3844								
Zotu16390								
Zotu10370		1						
Zotu3594							1	
Zotu19913	1		3				1	
Zotu5071								
Zotu4851			1					
Zotu8772								
Zotu19032								
Zotu5981								
Zotu12992								
Zotu11293								
Zotu14965						2		
Zotu17989	1		3			1		
Zotu14405								
Zotu12670							1	
Zotu18386		2						
Zotu10674								
Zotu16425	2						4	
Zotu6532								
Zotu8668								
Zotu18495								
Zotu15116								
Zotu8423								
Zotu16175								
Zotu12216								
Zotu778								
Zotu13339								
Zotu11970								
Zotu15408		1	1	2				9
Zotu4563	1			1	1	1		
Zotu17669						1		
Zotu19629								3
Zotu18417			1			1		1
Zotu5636				1	2	2	1	
Zotu10991	1				1			
Zotu5128			2	3	2		6	96
Zotu11542			2					4
Zotu19858								1
Zotu5368		1	4	1	3	2		21
Zotu9767			6					
Zotu16970								
Zotu11437			1	1				
Zotu19585								1
Zotu10191					3		1	
Zotu13056	1							
Zotu3867			1			1	5	
Zotu12566	3	6	1					
Zotu9226					1			
Zotu17018			2	1				
Zotu16019								
Zotu1092	7	12	4	8	8		6	1
Zotu2660	2	4	3	5		2	6	1
Zotu6931	2			4				
Zotu4374	6	3	2			1	4	
Zotu3934		2	6	2	2	5	1	
Zotu1820	3	3	8	5	4	3	3	
Zotu5548	3		1	2	6			1
Zotu1014	2	6	4	6	11	2	5	
Zotu1329	2	1	1	3	9	3	11	
Zotu5101			1	1				
Zotu19975								
Zotu5226				2		2	2	
Zotu16362	17	9	20	16	10	14	16	3
Zotu16397	10	3	3	5	5	2	2	1
Zotu19198							1	2
Zotu19911								
Zotu13061								
Zotu20336								
Zotu17692	89	71	60	88	55	61	83	4
Zotu20273						8		
Zotu18526		1		1				
Zotu13857	4			2		1	2	
Zotu20408								
Zotu17938								
Zotu20362								
Zotu14640								
Zotu14203								
Zotu19976								
Zotu19332								
Zotu19692								
Zotu14297		1						
Zotu17755								
Zotu18807								
Zotu19161								
Zotu19298	1	1		8	1	2	1	1
Zotu19191								
Zotu20068								
Zotu13963				1				
Zotu6623		2	2			2	3	
Zotu1466	12	12	7	9	11	5	15	6
Zotu7885					2			
Zotu6087								
Zotu13711								
Zotu20773					2			
Zotu19711								
Zotu2950								
Zotu14156								
Zotu7297								
Zotu16868								
Zotu17508	1							
Zotu11070								
Zotu14329								
Zotu3405								
Zotu9027								
Zotu2972				1	2			
Zotu621	20	7	13	11	17	6	12	1
Zotu1586	1	2		2	3		2	
Zotu3619	4	2	2	1	4	1		1
Zotu5333	2	1	1	4			3	
Zotu950				2	1	2		5
Zotu15367								
Zotu19209	1						1	
Zotu1381			1			1		
Zotu11635	1							
Zotu18222								
Zotu15350		3				2	1	
Zotu17534								
Zotu2963		1						1
Zotu10535								
Zotu2371								
Zotu3084		1						
Zotu6203								
Zotu13290								
Zotu6009								
Zotu8449		1	1				3	
Zotu18337								
Zotu1762	3	2	5	6	4	2		8
Zotu16706							2	
Zotu13762								
Zotu8536							2	
Zotu7540		4		2				
Zotu10977								2
Zotu1284	1	4	1	3	2	2		
Zotu14146				1	1			
Zotu1677	6	7	4	4	5	9	7	2
Zotu11004		3				1	2	
Zotu3808	1		4	2	1	2		
Zotu7347		2	1		4	1	4	
Zotu11616							1	
Zotu2389	4	6	2	2	7	5		
Zotu8715			1					
Zotu12184								
Zotu7125					2		3	
Zotu15875		1						3
Zotu6338	2					1		
Zotu19960								
Zotu9139		1		2		3		
Zotu6093		4	1	1		2		
Zotu14236							1	
Zotu18668	1					1		
Zotu4654	2	1			1	3		
Zotu17351								
Zotu17950								
Zotu13553		2		1		1		1
Zotu18508								
Zotu11849								
Zotu11882							1	1
Zotu18774								
Zotu13220						1		
Zotu14978								
Zotu14895				1				
Zotu6097	1				1	2	1	4
Zotu11945								
Zotu16411							2	
Zotu19031								
Zotu8858				2		1		
Zotu20565								
Zotu11238								
Zotu11860		2		1				
Zotu13751						1		
Zotu10768								
Zotu12127								
Zotu6486								
Zotu885				4				
Zotu4756								
Zotu17478								
Zotu13055						1		
Zotu16157								
Zotu5238	1							
Zotu15094								
Zotu19026				1		3		
Zotu9240		2		2				
Zotu13121	2							
Zotu13583		2						
Zotu17626			4					
Zotu11957			1					
Zotu17655								
Zotu17673								
Zotu3825		7			4	2	3	
Zotu10810					1		2	1
Zotu17341			1				1	2
Zotu3133	2	4	2		3	4	3	
Zotu6707					5			
Zotu16124			3	1				
Zotu19649								
Zotu9784					4	1		
Zotu13663	2		1			1		
Zotu14982			1	1				2
Zotu11444		3	1	1	2			
Zotu8874						2	3	
Zotu7734		1	6		3		4	
Zotu17514		2					4	
Zotu16513								1
Zotu10724						1		
Zotu7342		1	5		1	2	6	
Zotu19319								
Zotu12450								
Zotu13970				2	1			
Zotu13338								
Zotu12174								
Zotu6364	7	3	1	1				
Zotu8957								
Zotu7800								
Zotu13998								
Zotu7011							2	
Zotu3289			1	2	2	1		
Zotu7871	2				2			
Zotu13002								
Zotu9504	4		5					
Zotu4277	3	3	1	8	4	2	12	4
Zotu7117				1				
Zotu10040					1		1	
Zotu10833								
Zotu10788							1	
Zotu16396								
Zotu20753								
Zotu19821								
Zotu5919		2		1	2		1	
Zotu5354	1				2	2		1
Zotu10197							1	
Zotu1555	1	8	13	8	9	4	12	7
Zotu7356				1		1	1	
Zotu17308		1						1
Zotu14242								
Zotu9495								
Zotu6408			2	1			3	
Zotu2878	2			4	3	4	1	
Zotu6687		3	1					
Zotu5255		2		2	1		2	1
Zotu14003								1
Zotu13984				1				
Zotu17024								
Zotu6834		1	4					
Zotu16902		1					1	1
Zotu19045		1					1	
Zotu13980				2		1	5	1
Zotu2380	1	4	3	1	2	2	4	
Zotu6490		2		1			1	
Zotu15816							2	
Zotu10556	1	1						
Zotu3733						1		
Zotu7191				1		2		
Zotu7715					2		1	
Zotu20466								
Zotu14553	1	1			2		1	
Zotu18399	2			1				
Zotu18910						1		
Zotu18510								
Zotu4039				2				1
Zotu10761	2					1	4	2
Zotu16211		4		2				
Zotu10434	1	1				2		
Zotu9318		1	2	2			4	
Zotu10549								
Zotu6667								
Zotu10219								
Zotu11391				1				
Zotu6703	4		1				4	2
Zotu3193								
Zotu9390								
Zotu11797								
Zotu1400	14	10	3	1	5	5	3	9
Zotu13456			1			1		1
Zotu1340				1		2		1
Zotu5793	3		1					
Zotu14282	4							
Zotu7233								
Zotu9697								
Zotu13251								
Zotu7473					6			
Zotu14049	2			1				1
Zotu19484	1		2					
Zotu886	5	2		2	3	4	2	5
Zotu602	3		1		1	1	1	4
Zotu477	5	5	2	2	7	5	2	2
Zotu19793						4		
Zotu18673								
Zotu19261								
Zotu6815								9
Zotu18915								
Zotu6483		3						
Zotu7463								
Zotu7041							1	
Zotu4926						1		
Zotu19467								
Zotu11779								
Zotu16269								1
Zotu19331			1					2
Zotu15482								
Zotu20018								4
Zotu17942			2					
Zotu4198	4	2	1					
Zotu8387	1	2			4	8		
Zotu2597	2	1	2	3	3	1	1	1
Zotu17194								
Zotu14835								1
Zotu20732								
Zotu19529								
Zotu6353								
Zotu9384								
Zotu17358	3							
Zotu2202							2	
Zotu18975								
Zotu15606						1		
Zotu18299	1							
Zotu14428					1	1	1	
Zotu7187								
Zotu20791								
Zotu5379								
Zotu13578				1				
Zotu1351	2	5	8	7	4	12	8	4
Zotu1893	3	4	2	2	4	4	4	5
Zotu20700								
Zotu9290								
Zotu6421								1
Zotu16176								
Zotu13880		2						
Zotu9811	1	2	3					
Zotu18383								
Zotu6796								
Zotu11544							1	
Zotu19264								
Zotu15838			1		1			
Zotu10993								
Zotu19945								
Zotu13952		2	1	5				
Zotu10007	4		1			4		
Zotu20474						1		
Zotu16519								
Zotu5191		1			5		2	
Zotu9928								
Zotu1508	3	2	5	5		1	6	1
Zotu17362			1	1			1	
Zotu5795			1					1
Zotu9014								
Zotu11305	4	1						
Zotu6101	4				1	2	3	1
Zotu17446	2				1	2	1	
Zotu8494	1	2	3			1	1	
Zotu7076		1	1		1	1		
Zotu19108								
Zotu7659								
Zotu11122					1			
Zotu3998								
Zotu17230								1
Zotu6241				1			4	
Zotu564	9	10	10	12	5	11		8
Zotu9774								
Zotu5969	6			2				
Zotu10850			1	2	2			
Zotu13175						1		
Zotu629	23	13	11	8	10	5	5	4
Zotu953	2	4	17	3	7	20	9	2
Zotu7595								
Zotu3597			1		1			
Zotu2520	6	1	1		2	1		3
Zotu10341				3	1			
Zotu6514					2			2
Zotu8183	1	2					2	
Zotu20841								
Zotu10985		1		1			1	
Zotu362	15	12	12	10	18	4	9	4
Zotu890	4	1	2	1	1	1	2	3
Zotu548	5	9	8	3	12	2		4
Zotu3134		2	1	1		1	1	
Zotu4812	1	1		1				
Zotu13892	3			2				
Zotu830	5	9	3		7	5	1	1
Zotu274	16	24	10	6	17	12	6	
Zotu1640	1	1	3	3	1	3		
Zotu4310	3	2			2		1	
Zotu2208		4	2			7		1
Zotu432	20	19	21	9	29	17	18	2
Zotu2687		4	2	3	1	1	1	
Zotu823	2	9	12	7	9	14	3	6
Zotu4594			1	1	1	1		
Zotu20763						1		
Zotu11178	5							
Zotu15780								
Zotu2238		3	7	3	1			1
Zotu8708			1					
Zotu8038		1	2					
Zotu11843								
Zotu2499				2	2			
Zotu14075							2	
Zotu17787								
Zotu1052	1	7	1	9	2	2	1	
Zotu7129			1	1				
Zotu17398								
Zotu137	14	9	7	12	13	12	6	7
Zotu1776								
Zotu5123					1			
Zotu5162						1		
Zotu8550	1				2			
Zotu8557			3					
Zotu1294	5	5	10	2	3	9	8	1
Zotu17852		3			1			1
Zotu6819	2	1	1		4	1	1	1
Zotu7733	1							
Zotu11615								
Zotu16870							1	
Zotu2132		3	1	1	3	2	1	4
Zotu6301				3	1		2	
Zotu6161		3	1	1				
Zotu12637								
Zotu16071								
Zotu16579								
Zotu10184		1						
Zotu17269								
Zotu15410								1
Zotu20527								
Zotu15902					1			
Zotu18663							1	
Zotu2424	6	4						
Zotu18676		1				1	1	
Zotu19506								
Zotu14448		1	1					
Zotu17597					1			
Zotu12437	2				2	1		2
Zotu14585		2						
Zotu20266								
Zotu16711								
Zotu6727								
Zotu18473								
Zotu18256					1			
Zotu18712								
Zotu17656			1			1		
Zotu18844								
Zotu20369								
Zotu12074								
Zotu18670		1	1					
Zotu20004								
Zotu15082	1		1			1	4	
Zotu4048								
Zotu13854								
Zotu13676		1	3					
Zotu20107								
Zotu10297								
Zotu2697								
Zotu17928								
Zotu13228								
Zotu13491								
Zotu17802	1	1						
Zotu6886	1	1		2	6	2	1	
Zotu16005								
Zotu1727								
Zotu10640		1	2		2	1	1	
Zotu7229								
