ID	bs_f_cd_1	bs_f_cd_2	bs_f_cd_3	bs_f_cd_4	bs_f_cd_5	bs_f_cd_6	bs_f_cd_7	bs_f_cd_8
Zotu12913								
Zotu19621								
Zotu15750								
Zotu14847								
Zotu8722								
Zotu8820		2		1		1		
Zotu15285		2			1			
Zotu13667			1		2			1
Zotu18636	1						1	1
Zotu3344	2	4	1	1	2	3	2	1
Zotu7318						1		2
Zotu13989			1					
Zotu3356		2	2	2	1	1	1	1
Zotu14255								
Zotu10386								1
Zotu17712		4						
Zotu3888	2	2	2	2	3	1	5	3
Zotu19124	1							
Zotu4659	3	1	1	3	2	4	1	2
Zotu4237	1	3	5	5	3	4	2	1
Zotu11740							1	
Zotu13054	1	1						
Zotu1159	11	10	4	7	13	11	13	9
Zotu13064	1					1		
Zotu3446		1		3				
Zotu1855	2				1	1	2	1
Zotu7825	2		1			2	2	
Zotu6770	1				1			
Zotu7642								
Zotu9797								
Zotu13360				3				
Zotu9407	3			1				
Zotu3865				1		4		
Zotu4382	2	3		1			1	1
Zotu3609	1	1	1	1			1	
Zotu5175						1		1
Zotu2636			2	1	6	1	1	
Zotu5139	1		2	3	2			2
Zotu16408							1	
Zotu14624			1					1
Zotu3245	1	6		2	1	2	2	2
Zotu173	33	22	39	17	30	29	37	22
Zotu684	9	10	7	10	7	8	5	10
Zotu1676	2	8	10	5	3	2	12	3
Zotu2864	1	2	3	1		1		1
Zotu9351					2			1
Zotu3792					2			
Zotu12431								
Zotu19364				1				
Zotu13410								
Zotu6614	2	1						
Zotu8359							2	
Zotu9422								
Zotu20677								
Zotu9525						1		
Zotu12276					1		1	
Zotu12179								
Zotu5848								
Zotu18639							1	
Zotu19487	1	1						
Zotu16137					1			
Zotu16410								1
Zotu15739				2	2			
Zotu4392			2		4		1	
Zotu20495							1	
Zotu8512								
Zotu15975			3		1			
Zotu14488	1			1				
Zotu19283								
Zotu11475		2						
Zotu4523	1	9	1	1			1	
Zotu4637	1	2						
Zotu777	4	8	13	4	13		5	8
Zotu7077							2	
Zotu4711			1		4			1
Zotu12218	1		1				1	2
Zotu7371		1						
Zotu9666								
Zotu14360						1		
Zotu3697	3		2					
Zotu1446		3	4	2	1	1		
Zotu13964								
Zotu17979								
Zotu19004								
Zotu5697	1							
Zotu6058		4						1
Zotu18282								
Zotu13454								
Zotu476	23	26	27	8	22	19	19	40
Zotu15332	3							
Zotu4880					1	1		
Zotu11676								
Zotu11465				1				2
Zotu15444			1					
Zotu20346								
Zotu8531	4	1				5	1	1
Zotu7647		4			1		1	
Zotu16907								
Zotu1525	8	8	11	8	5	6	22	15
Zotu4317		2	6		3			1
Zotu12353	1							
Zotu15678								
Zotu13939								
Zotu4442		1					2	
Zotu9962								
Zotu8490								
Zotu10440					1			
Zotu17846		1				1		
Zotu15513								
Zotu18397								
Zotu3291								
Zotu2866		1						
Zotu7100								
Zotu3259							4	
Zotu5089						34	27	1
Zotu6773								
Zotu16324	2		1					1
Zotu11459		2			4			
Zotu7359	2		1			6		2
Zotu14692					2		1	1
Zotu6449								
Zotu5556								
Zotu15876								
Zotu20294								
Zotu3674								
Zotu9053								
Zotu15237								
Zotu15062								
Zotu7704				2				
Zotu9221								
Zotu6113								
Zotu2298					1			
Zotu3320								
Zotu3408								
Zotu3844								
Zotu16390			1		2			
Zotu10370							18	
Zotu3594								
Zotu19913								
Zotu5071								
Zotu4851		2						
Zotu8772	2	3			2		2	2
Zotu19032								
Zotu5981								
Zotu12992								
Zotu11293								
Zotu14965								
Zotu17989		1	1			1		
Zotu14405								
Zotu12670								
Zotu18386								
Zotu10674								
Zotu16425								
Zotu6532								
Zotu8668								
Zotu18495								
Zotu15116								
Zotu8423								
Zotu16175								
Zotu12216				1			1	
Zotu778					1			
Zotu13339								
Zotu11970								
Zotu15408								2
Zotu4563	2	1	2		5			1
Zotu17669								
Zotu19629								2
Zotu18417							2	
Zotu5636	1	1	1		2	1	1	
Zotu10991		1						
Zotu5128				1	3			2
Zotu11542	1							
Zotu19858								
Zotu5368				2	2			
Zotu9767		1						
Zotu16970				1				
Zotu11437					2			
Zotu19585								
Zotu10191	1						1	1
Zotu13056								
Zotu3867	4		3	2	4	2	3	2
Zotu12566			1	1	4			
Zotu9226	1							
Zotu17018						2		1
Zotu16019								
Zotu1092	15	2	6	7	2	5	8	4
Zotu2660		4		2	5	1	3	2
Zotu6931	3					2		
Zotu4374	2	1	1	3	6	2	2	1
Zotu3934	2	4	1	3	1	6	3	3
Zotu1820	8	3	2	4	4	2	3	1
Zotu5548	4			3	1	1		2
Zotu1014	8	6	7	9	7	12	5	10
Zotu1329	11	5	3	10	10	7	8	13
Zotu5101	1	1	1	4	1	1		
Zotu19975								
Zotu5226	1	1		3		2		
Zotu16362	2	6	4	2	1	8	5	2
Zotu16397	3			3	1	1	3	1
Zotu19198	1			1		3		
Zotu19911								
Zotu13061			1					1
Zotu20336								
Zotu17692	44	30	27	24	32	37	49	27
Zotu20273								
Zotu18526								
Zotu13857							2	
Zotu20408								
Zotu17938								
Zotu20362								
Zotu14640								
Zotu14203				1				
Zotu19976								
Zotu19332								
Zotu19692								
Zotu14297						1		
Zotu17755								
Zotu18807								
Zotu19161								
Zotu19298	2	1	2		4	4	1	1
Zotu19191								
Zotu20068								
Zotu13963		1			1	1		2
Zotu6623						1	5	1
Zotu1466	7	4	6		4		8	11
Zotu7885	2					1	6	
Zotu6087								
Zotu13711				1				
Zotu20773								
Zotu19711								
Zotu2950								
Zotu14156	1		1		1			
Zotu7297								
Zotu16868								
Zotu17508								
Zotu11070								
Zotu14329		2						
Zotu3405								
Zotu9027								
Zotu2972	2	1	1	1	2	4		2
Zotu621	10	12	10	18	10	17	6	10
Zotu1586	2	1	2	4	3	3	7	
Zotu3619			1	3	3		1	
Zotu5333	1	2	2	1				1
Zotu950	2	1	1	5		2	2	2
Zotu15367								
Zotu19209	1		1					
Zotu1381	2	3	2	2	3	3	2	3
Zotu11635								
Zotu18222								1
Zotu15350								
Zotu17534								
Zotu2963								
Zotu10535	2	2					1	
Zotu2371		1						
Zotu3084								
Zotu6203								
Zotu13290								
Zotu6009	1		1	1		1		
Zotu8449				1	1			
Zotu18337					1			
Zotu1762	11	4	4	1	5	3	1	2
Zotu16706	1							
Zotu13762		1	1			1		
Zotu8536			1					
Zotu7540			1				1	4
Zotu10977		1			2		1	
Zotu1284	5		2	7	1	7	7	2
Zotu14146								
Zotu1677	6	4	5	5	4	3	8	8
Zotu11004	2	1	1		2			
Zotu3808	3	3	3	1	2	1	1	
Zotu7347	3		1		2			
Zotu11616				1			1	
Zotu2389	5	4	5	3	2	3	6	2
Zotu8715					3			
Zotu12184				1		4		
Zotu7125	2	1			1			
Zotu15875			1			1		
Zotu6338		3		2		3		
Zotu19960								
Zotu9139	1				1	1		
Zotu6093	1	1		3	3	1	2	3
Zotu14236	1			1		3		
Zotu18668	2		2					
Zotu4654				2			2	
Zotu17351								
Zotu17950								
Zotu13553		3	1	3			1	
Zotu18508								
Zotu11849							1	
Zotu11882								
Zotu18774			1					
Zotu13220	1		2					
Zotu14978		2			1			
Zotu14895								
Zotu6097	1							
Zotu11945		1				3		
Zotu16411								1
Zotu19031								
Zotu8858								
Zotu20565								
Zotu11238								
Zotu11860								
Zotu13751								
Zotu10768					1			
Zotu12127								
Zotu6486								
Zotu885								
Zotu4756								
Zotu17478								
Zotu13055						2		
Zotu16157								
Zotu5238	2	1	2		1			
Zotu15094								
Zotu19026								
Zotu9240								
Zotu13121								
Zotu13583								
Zotu17626				1				
Zotu11957					1	1		
Zotu17655								
Zotu17673					1			
Zotu3825	1	2	1	1		2	1	
Zotu10810								
Zotu17341								
Zotu3133	2	1	4	8	1		2	2
Zotu6707		2	1		1	1		
Zotu16124								
Zotu19649							1	
Zotu9784		3			1	1	1	
Zotu13663		1	1					
Zotu14982								
Zotu11444			1	1	1			
Zotu8874			1			2		
Zotu7734	3							
Zotu17514								
Zotu16513	1							
Zotu10724	2		4	1		1	3	1
Zotu7342	2			1				
Zotu19319						2		
Zotu12450	1	2	1	1			1	
Zotu13970	1		1			2		
Zotu13338								
Zotu12174								
Zotu6364				1	4			
Zotu8957			1				2	
Zotu7800							1	
Zotu13998								
Zotu7011			1				3	
Zotu3289	2			1	1	3	3	1
Zotu7871					1		1	1
Zotu13002								
Zotu9504				1				
Zotu4277		4	1	1		2	1	1
Zotu7117		1						
Zotu10040								1
Zotu10833						2		
Zotu10788	1	1		1		1	1	
Zotu16396								
Zotu20753	2			1				
Zotu19821								
Zotu5919	4			1		1		1
Zotu5354				1	1	1		2
Zotu10197		2	2	1	2		1	
Zotu1555	4	6	7	5	4	5	2	2
Zotu7356	2	1				1	1	1
Zotu17308								
Zotu14242								
Zotu9495	1			2		1		
Zotu6408		2			2	3	1	1
Zotu2878	3	2	4	1	2	3	2	2
Zotu6687							5	1
Zotu5255			2	1	3		1	
Zotu14003	1		1		1			
Zotu13984				1		1		
Zotu17024								
Zotu6834		3	1		1	1		
Zotu16902				1				
Zotu19045								
Zotu13980								
Zotu2380	14	7	3	5	10	2	3	7
Zotu6490	2							
Zotu15816					1			
Zotu10556				1	1			
Zotu3733			1	1			1	
Zotu7191	2		2		1		1	
Zotu7715	3		1			1		1
Zotu20466								
Zotu14553	1							
Zotu18399			1			1		
Zotu18910								
Zotu18510								
Zotu4039	2	1		1		1		
Zotu10761			2	1		2		
Zotu16211					1		1	
Zotu10434								
Zotu9318	1						1	
Zotu10549		2						
Zotu6667		2		1				2
Zotu10219	2	1	1	1	2		1	2
Zotu11391			1					
Zotu6703		1				1		
Zotu3193								
Zotu9390					1			
Zotu11797					3		1	
Zotu1400	9	7	5	4	3		10	11
Zotu13456								1
Zotu1340	1	2	2	2	4		4	1
Zotu5793		1	1		1		3	
Zotu14282								
Zotu7233	1		4				2	
Zotu9697	1	1	1					1
Zotu13251								
Zotu7473							2	2
Zotu14049				1			1	
Zotu19484								
Zotu886	8	3	3	1	3	4	4	2
Zotu602	5	9		2	1	38	6	2
Zotu477	9	7	1	1	2	26	9	2
Zotu19793					3			
Zotu18673								
Zotu19261								
Zotu6815	1			3				1
Zotu18915								
Zotu6483	1		3			1	2	
Zotu7463	1							
Zotu7041								2
Zotu4926								
Zotu19467								
Zotu11779	1					1		
Zotu16269								
Zotu19331						1		
Zotu15482							2	
Zotu20018								
Zotu17942	2				1			
Zotu4198		2	1	1	2	1	4	4
Zotu8387								
Zotu2597	1		1	1	1	3	2	1
Zotu17194								
Zotu14835		1				1	3	
Zotu20732	1		1					1
Zotu19529								
Zotu6353								
Zotu9384								
Zotu17358								
Zotu2202					2			
Zotu18975								
Zotu15606		1			1		1	
Zotu18299								
Zotu14428								
Zotu7187								
Zotu20791								
Zotu5379								
Zotu13578								
Zotu1351	5	6	1	6	7	14	4	5
Zotu1893	4	4	6	5	6	7	4	1
Zotu20700								1
Zotu9290								
Zotu6421								
Zotu16176				2				
Zotu13880				1			2	
Zotu9811				1	1			
Zotu18383			1				1	
Zotu6796								
Zotu11544	1		1				4	
Zotu19264								
Zotu15838		1						
Zotu10993	1					1		
Zotu19945				1				
Zotu13952	4		2			2		
Zotu10007					2			
Zotu20474		1		2				
Zotu16519					1		1	
Zotu5191	1	2	1	1		5		
Zotu9928		2						
Zotu1508	9	7	2	4	5	8	5	5
Zotu17362	3							
Zotu5795					1			
Zotu9014								
Zotu11305	2				1			
Zotu6101	3	1	1	2				
Zotu17446	1							2
Zotu8494			1					
Zotu7076				1				
Zotu19108								
Zotu7659						1		
Zotu11122	2							
Zotu3998								
Zotu17230								
Zotu6241	3						2	1
Zotu564	5	5	9	10	14	9	13	10
Zotu9774	1							
Zotu5969	1			1				2
Zotu10850	2		1			1		
Zotu13175				1	1		1	
Zotu629	8	6	2	2			6	1
Zotu953	10	6	2	4	2	3	4	
Zotu7595								
Zotu3597	2		2				1	1
Zotu2520	1	1	1				11	
Zotu10341				1		1	9	
Zotu6514		6					1	
Zotu8183				2				
Zotu20841								3
Zotu10985				1				
Zotu362	21	10	15	27	19	26	19	19
Zotu890	5	5	5		2	3	16	1
Zotu548	21	27	15	8	7	8	39	17
Zotu3134	1	1	3	1	3	1	12	
Zotu4812	2	1		1	1		1	
Zotu13892			1					
Zotu830	6	5	3	3	5	3	6	3
Zotu274	13	29	21	8	22	21	20	16
Zotu1640	1	3	4	2	3			5
Zotu4310	2	1		2		1	1	
Zotu2208		1			2		2	1
Zotu432	19	20	21	8	22	10	16	13
Zotu2687	3	2	3	3	2	3		3
Zotu823	4	5	4	12	8	13	8	4
