ID	bs_f_cd_1	bs_f_cd_2	bs_f_cd_3	bs_f_cd_4	bs_f_cd_5	bs_f_cd_6	bs_f_cd_7	bs_f_cd_8
Zotu16470								
Zotu20526								
Zotu8365								
Zotu11381								
Zotu9268								
Zotu16415						1	1	
Zotu17034								
Zotu6284								4
Zotu4837	1	13						28
Zotu4930		2	3	1	6		1	14
Zotu16099						1		
Zotu13190		1						1
Zotu2652	2		6		1	2	3	5
Zotu10745								
Zotu15793								
Zotu15105			1					
Zotu11873					2			
Zotu19701	1		2					
Zotu20633								
Zotu3504			3		1	2	2	1
Zotu4170		3					2	1
Zotu7121					3		1	
Zotu12665			1	2				
Zotu18921				4				
Zotu19842								
Zotu4134	4							
Zotu8861								
Zotu8460			1					
Zotu15145								
Zotu14061					2			3
Zotu3483	3		3		7		3	1
Zotu12441								
Zotu17174	1							
Zotu5564		2	1	2	3	1		2
Zotu9136	2		1	1				1
Zotu10203	1				1			
Zotu2875		3	3	7	5	4	1	12
Zotu6387	2	1	1			1	1	
Zotu16273							1	
Zotu10668								
Zotu8348	4		1		1			
Zotu19993								
Zotu10542		2			1			3
Zotu12287				2				
Zotu7049		1						
Zotu15556								
Zotu1536	1	4	8	2	3	3	10	8
Zotu11040								
Zotu8396		16						
Zotu5888			7		8		1	7
Zotu3486	4	3	23		15		3	1
Zotu4461			1				3	
Zotu18134								
Zotu19592								
Zotu18827		1						2
Zotu13511								
Zotu7608						10		
Zotu8329					4	1		
Zotu18640								
Zotu18781			2					
Zotu9087			1	1				
Zotu9723		1		1				
Zotu18824								
Zotu1753	5	1	9	10	3	4	4	1
Zotu6206								
Zotu15605								
Zotu9485								
Zotu11627								
Zotu9584								
Zotu13236								
Zotu11321								
Zotu5156								
Zotu13719								
Zotu10213								
Zotu14499								
Zotu16905								
Zotu8350	2		1		1			
Zotu11377	1							
Zotu20156								
Zotu12076				2				
Zotu17150								
Zotu10067								
Zotu10351								
Zotu13352								1
Zotu15294	4	1						
Zotu16891								
Zotu9517		1						
Zotu18784					2			
Zotu17457		1						
Zotu18071								
Zotu20828								
Zotu8094								
Zotu10947								
Zotu18777		1						
Zotu11283								
Zotu12768								
Zotu20799								
Zotu11824								
Zotu19872								
Zotu6801								
Zotu6965					1			
Zotu9716				1				1
Zotu15899								
Zotu6491								
Zotu18683								
Zotu16534								
Zotu5797			1	1	8		3	3
Zotu11921								
Zotu8502								
Zotu9769		1						
Zotu15374								
Zotu3255								
Zotu3457								
Zotu7762								
Zotu9239	2			4			2	1
Zotu18545								
Zotu9636	3	1		1				
Zotu20497								
Zotu4272								
Zotu12349	1	2	2	1				
Zotu5808						1		
Zotu14548						1		
Zotu20555								
Zotu4648					2			
Zotu16947	2				1			
Zotu19567								
Zotu19516								
Zotu14332								
Zotu7794								
Zotu2702								
Zotu3224								
Zotu12442								
Zotu13633								
Zotu19562								
Zotu13632				4	1	2		
Zotu12980					3			
Zotu13068						1		
Zotu18654								1
Zotu13075		1		1				
Zotu4446							1	
Zotu19873							1	
Zotu17067								
Zotu1517								
Zotu7319								
Zotu17607								
Zotu3231								
Zotu6969								
Zotu2263								
Zotu1617								
Zotu4312					1			
Zotu5769								
Zotu3738	1	3	1			2		
Zotu125	26	88	1	4	7	22	3	4
Zotu730	24	21				2	4	1
Zotu187	20	45	7		27	32	25	5
Zotu518	9	36	1	5	3	32	11	3
Zotu141	13	58	1	4	4	57	34	
Zotu2783		7	1	1			35	1
Zotu16463						1		
Zotu4236			1			129	1	1
Zotu13105								
Zotu329		3	1			296	21	4
Zotu12924								
Zotu8959		2		1				
Zotu2286			2				4	
Zotu11677		3					1	
Zotu7394								
Zotu14732								
Zotu15460								
Zotu9753								
Zotu9269								
Zotu18679								
Zotu16543								
Zotu6598		1				2	2	
Zotu8064								
Zotu580	1	1		6		8	37	
Zotu2443						1	1	
Zotu1551				4		22	78	1
Zotu1237		3	4		1	6	17	
Zotu1827	10	36		2	3	9	10	2
Zotu2619			1					
Zotu4173							2	
Zotu3340	2	15		1				
Zotu2237	1	2			1			
Zotu6094		7	1			1	4	
Zotu13529							1	
Zotu11515								
Zotu7928								
Zotu9201								
Zotu1063							1	
Zotu317				1		1	2	
Zotu3915								
Zotu12633	2						2	
Zotu11243							3	
Zotu19736								
Zotu20169	1							
Zotu9832								
Zotu1057					2	1	5	
Zotu5896								
Zotu8801								
Zotu17616								
Zotu17068	2	2		1				
Zotu20860							1	
Zotu17627								
Zotu4571						1	1	2
Zotu13593								
Zotu10782		1			2	2		2
Zotu12680								
Zotu7402								
Zotu11270						13		
Zotu1396				6	2	6	1	1
Zotu11861			1					
Zotu15333								
Zotu2724								
Zotu3161		4				1	1	1
Zotu19682								
Zotu13948								
Zotu3832	1	12				2		2
Zotu18552								2
Zotu20281								
Zotu2484		72			2			
Zotu19071								
Zotu4213		39				1		
Zotu8343		2						
Zotu13082							1	
Zotu13372		1				2		8
Zotu12596		1				4		
Zotu5275		1			1	1		
Zotu4567								
Zotu10537			1					
Zotu12614	2							
Zotu6348								
Zotu6766								
Zotu843	6	42	2				2	
Zotu15182		4			1			
Zotu3489		1						
Zotu19686								
Zotu13395								
Zotu864	17	74	5	3	3	3	29	1
Zotu5471	1	2						
Zotu6210		6						
Zotu11344							7	
Zotu18206		2				1		
Zotu531	15	95	1	1	12	9	35	1
Zotu2618	1	59		1		10	12	
Zotu589	6	40	1	4		12	10	
Zotu2881	1						2	
Zotu3682		2					2	
Zotu13189								
Zotu12754		1				1		
Zotu9781								
Zotu300	25	35	6	2	20	37	44	7
Zotu1219	5	9	1	2	4	10	13	
Zotu4831	3	5					4	
Zotu2174	5	2			2	1	3	
Zotu18978								
Zotu14315		5						
Zotu19452								
Zotu19854								
Zotu6218				1		5		
Zotu2420	3	1	2		2	4	6	1
Zotu7904		2					1	
Zotu4373		4						
Zotu920	2	6				4	5	7
Zotu2189								
Zotu1824	1	4	1	1	2	2	2	1
Zotu581	7	32	5	1	23	31	13	2
Zotu3545	6	9	2		5	2	10	
Zotu5288								
Zotu11585								
Zotu1318	4	18		2	2	7	4	1
Zotu14720	1	1						
Zotu12546		1					2	
Zotu18615								
Zotu11932				1				
Zotu1645		6					6	
Zotu1128	8	12	2	3	5	7	7	1
Zotu617		30	5		7	14	17	4
Zotu13863								
Zotu349	13	93	7	4	9	48	31	4
Zotu587	3	46	7		10	10	13	5
Zotu7945		2	3					
Zotu11698	1	1			1	1		
Zotu6026						2		
Zotu7557		2				4	4	
Zotu2062			2			3	2	
Zotu1217	1	9	3	1	1	36	10	2
Zotu18388					2		1	
Zotu111	94	55	45	10	116	211	105	29
Zotu653	3	6	8	5	1	9	19	6
Zotu2684				1	2	1	2	1
Zotu4052		1					4	
Zotu4615		1	1				4	
Zotu18315				1				
Zotu15719								
Zotu8293								
Zotu1483	3			1		25	3	
Zotu1719	1	1				4		
Zotu7807							2	
Zotu11501								
Zotu20095	1							
Zotu6092		1				2	1	1
Zotu9169	1	2				1		
Zotu1970	23	9	3	10	4	8	15	8
Zotu8404	1							
Zotu6639	1	2	3				5	
Zotu7618								
Zotu3595	1		1					
Zotu18012	1		1					
Zotu10544	1		1	1			1	1
Zotu4688	3	1	1	3	2	3	4	4
Zotu4721								
Zotu4952								
Zotu17490								
Zotu16981		1		2				
Zotu18135						2		
Zotu17180		1	1				6	
Zotu15527								
Zotu19367			1					
Zotu14989		1						
Zotu20092		1				1		
Zotu3108		3	2			2	1	
Zotu6516	1		1			1		
Zotu13432								
Zotu15818	1	3						
Zotu15898				1		1	1	
Zotu15265						1		4
Zotu16875			1					
Zotu18829								
Zotu11796			2					
Zotu5230			2	2		1		
Zotu19271								
Zotu13686	1							
Zotu3928								
Zotu9403		1				1	1	
Zotu14664		1			2			
Zotu2144								
Zotu2869								
Zotu273	9	10	7	10	8	13	4	9
Zotu19896		1		1				
Zotu18685				1				
Zotu19474	1							
Zotu20644								
Zotu860								
Zotu14855		1						
Zotu12419								
Zotu58	1							
Zotu873								
Zotu360		3		3	1	1		
Zotu4214								1
Zotu2648								
Zotu356		2	1	1	2		1	
Zotu67	3							
Zotu5778								
Zotu7700								
Zotu7687								
Zotu9156								
Zotu3070								
Zotu881								
Zotu5570								
Zotu104					1	1	3	6
Zotu8089								
Zotu12148	1						11	
Zotu6922								
Zotu11765								
Zotu3012	4	8	9	9	5	8	10	4
Zotu15940								
Zotu19080								
Zotu16975	1	2	2	1	2	1		
Zotu10599	3			2	1	3	2	
Zotu19258						2	2	
Zotu16612		1	1		1		2	
Zotu18066			1				1	1
Zotu19231								
Zotu9613							1	
Zotu14584								
Zotu18308								
Zotu8084								
Zotu16255					1			
Zotu10502								
Zotu16213								
Zotu13036					1			
Zotu11854							1	
Zotu11778								
Zotu10763								
Zotu5216								1
Zotu3287								
Zotu6851						1		
Zotu20593	1							
Zotu12814								
Zotu6395								
Zotu12413						2		
Zotu4885	1					1	1	
Zotu6701								
Zotu2969			4		1	1	1	
Zotu8556								
Zotu11279								
Zotu18644								
Zotu8513								
Zotu17192							1	
Zotu10407								
Zotu10893								
Zotu11468								
Zotu2478	2	4	1	1	1	1		
Zotu12393					2			
Zotu7474	1							
Zotu7167								
Zotu10619								
Zotu14364								
Zotu4430			1					
Zotu2910					2			
Zotu2051	1	1						
Zotu11168			2					
Zotu13877								1
Zotu13991				1			1	
Zotu17819								
Zotu8563							1	
Zotu20021								
Zotu9533	1				1		1	
Zotu16993								
Zotu10988								
Zotu15893					1			
Zotu13238								
Zotu11021								
Zotu19708								
Zotu20797								
Zotu4327		2					3	4
Zotu9162								
Zotu20167								
Zotu16599								
Zotu2300					2			1
Zotu8127								
Zotu7667							1	
Zotu11049								
Zotu12605						2		
Zotu17185								
Zotu6792								
Zotu5694			1		3	4	5	
Zotu9391								
Zotu13419								
Zotu6715								
Zotu12077								
Zotu7688								
Zotu5258	2		2		1			
Zotu10602		1						
Zotu2848		2	1	2		3		1
Zotu16996	2							
Zotu4966	1			3		2		
Zotu17926								
Zotu6890								
Zotu8090								
Zotu19316								
Zotu12361				1				
Zotu16955								
Zotu10365								
Zotu13779								1
Zotu9153	2			1	1			
Zotu12704								
Zotu3959								
Zotu17957								
Zotu10913	1						1	
Zotu12373								
Zotu9545				1				1
Zotu9611					3			1
Zotu8356	1			1				
Zotu14412				1				
Zotu18090								
Zotu8225								
Zotu14333							2	
Zotu14939								
Zotu17885								
Zotu1482	22	11	1	1	2		6	
Zotu13705								
Zotu20486								
Zotu12168				1				2
Zotu9427								
Zotu13889								
Zotu13260								3
Zotu15075				1				
Zotu7373		1	1	2	6		1	6
Zotu20007					1			
Zotu3566	5		1			3	2	6
Zotu14683								
Zotu20067			1					
Zotu10898								
Zotu8702								
Zotu4678								
Zotu1191	2	2	2		5	21	9	
Zotu2686	4	1	5		5	4		
Zotu11215						1		
Zotu19490								
Zotu4974			3	1			1	3
Zotu9835			1					
Zotu10478					1			
Zotu4759	1							
Zotu17728								
Zotu7282		1	1					2
Zotu10503	1			1				
Zotu13646								
Zotu6002								
Zotu13951								
Zotu5213								
Zotu19107								
Zotu8010			2					
Zotu8467								
Zotu14450								
Zotu20420								
Zotu13196								
Zotu3065								
Zotu16710								
Zotu16805								
Zotu17103								
Zotu9793								
Zotu15193								
Zotu11267								
Zotu19299								
Zotu7075					1			
Zotu8825						1		
Zotu2466	38						1	
Zotu6938								
Zotu12152								
Zotu15503	8		1	1		4		
Zotu15887								
Zotu4640								
Zotu4994								
Zotu7518	2		2					
Zotu6668								
Zotu3105	3		1					
Zotu7721	7					2		
Zotu2642	7		2	1	1			
Zotu1658	23	4	8	4	1	28	1	7
Zotu5566	10	1		1		3		1
Zotu8707								
Zotu8145								
Zotu19150								
Zotu2081								
Zotu5905								
Zotu2867					1			
Zotu8890		1				1		
Zotu8833								
Zotu11186								
Zotu519		1	1			1		
Zotu19305			1					
Zotu6291								
Zotu5454			1			1		
Zotu3895								
Zotu2301								
Zotu14382								
Zotu15061								
Zotu17026								
Zotu9786								
Zotu3024								
Zotu4268								
Zotu546								
Zotu149								
Zotu392								
Zotu1231								
Zotu6683								
Zotu10756								
Zotu5998								
Zotu16209								
Zotu2677								
Zotu11020								
Zotu2916								
Zotu16712								
Zotu19266		1						
Zotu11397								
Zotu192	4			2				
Zotu763								
Zotu2583								
Zotu1295	84		5	2	1	3		3
Zotu2324	17		4	4				2
Zotu15724								
Zotu12145								
Zotu19041								
Zotu15731								
Zotu20041								
Zotu3293				2				
Zotu18649		1	1	4	3			1
Zotu17517								
Zotu12262							1	
Zotu6534	2	2	2	2	2		1	5
Zotu18498								
Zotu20523								
Zotu20121	1							
Zotu20506				1		2		
Zotu12213	3		1		1			
Zotu13097				2				
Zotu13729						3		
Zotu12467	2				1			
Zotu12846								
Zotu13202			1	1				
Zotu10428	2	3	1		1			2
Zotu11325								
Zotu20808								
Zotu20036						2		
Zotu6329	1	2	2		1	1	1	1
Zotu20519								
Zotu20571	1				2			
Zotu12623			2	1				
Zotu9457						2		
Zotu6720						2	1	2
Zotu8693								
Zotu20201								
Zotu7472								
Zotu11498	1		1					
Zotu8426								
Zotu6182								
Zotu6443	1		1					
Zotu15981								
Zotu41					2			
Zotu4830	2				1		1	2
Zotu15934								
Zotu7008								
Zotu3999	3	1		1		1		
Zotu6116	1		1	1		1	2	1
Zotu17952	1			1		2	1	
Zotu8953			1				1	
Zotu16985								
Zotu16959								
Zotu16724								
Zotu8577								
Zotu5337				2				
Zotu7444								
Zotu14610								
Zotu9814								
Zotu12149								
Zotu12787								
Zotu6185								
Zotu15141								
Zotu20246	1	1					1	
Zotu15704	1				1			
Zotu6485		2		1	1	4	1	
Zotu9570	1		1				1	1
Zotu8575	2				1	2		
Zotu2198								
Zotu11162			1		1		1	1
Zotu16615								1
Zotu6854								
Zotu15593								
Zotu10387								
Zotu15754								
Zotu16427								
Zotu13685				1		1		
Zotu18265								
Zotu14313				1			1	
Zotu19696			1					
Zotu7654	1	1	1	3	2		3	
Zotu20493								
Zotu17873								
Zotu3918								
Zotu18618								
Zotu18104								
Zotu17617								
Zotu18813			1					
Zotu1778	1	1	1	2	1		1	1
Zotu636		5	1	1		1		
Zotu7231					2			
Zotu10540		1						
Zotu11859								
Zotu9267				1				
Zotu20578								
Zotu15190								
Zotu14981								
Zotu15266							2	
Zotu17890								
Zotu18410								
Zotu19034								
Zotu6951								
Zotu12330								
Zotu10945								
Zotu16983								
Zotu12341								
Zotu18073								
Zotu14784								
Zotu4719								
Zotu2548								
Zotu11805								
Zotu10876		2			1			
Zotu8950								
Zotu13161								
Zotu12156								
Zotu9197								
Zotu16743			1		1			
Zotu16775	1							
Zotu3143								
Zotu6289								
Zotu18655								
Zotu6943								
Zotu11099								
Zotu15598								
Zotu7458								
Zotu3904							1	
Zotu12022								
Zotu20604				2	1			1
Zotu4128					1		1	
Zotu10738	3							
Zotu12711								
Zotu7330								
Zotu9934							1	
Zotu3031								
Zotu14668								
Zotu11964					1			
Zotu15418					1			
Zotu18778								
Zotu4014		1	3		3		2	
Zotu12854	1							
Zotu13681			2		1		2	
Zotu5502		3			2			2
Zotu8659					1	1		
Zotu9955	2			1			1	
Zotu11470	1							
Zotu13862					2			
Zotu2288					1	2		
Zotu10649	1							1
Zotu14814								
Zotu7492	1							
Zotu8217	1		1	1				1
Zotu4631		1					2	1
Zotu20337						1		
Zotu6855			3			2	1	1
Zotu1915	5	6	9	4	7	12	2	8
Zotu7517			1		2	1		
Zotu8888						3		1
Zotu10172	2				2	3		
Zotu10315					1			
Zotu4368	1		1	1	1	1		
Zotu12197					1			
Zotu1412			1	2	3			1
Zotu6765								
Zotu909	6	5	6	5	12	7	7	10
Zotu5390		2		1	2	1	1	
Zotu6169			1		1		2	1
Zotu20848								
Zotu17569								
Zotu712		2	3	6	3	1	6	
Zotu2383	1	1		6		1	2	1
Zotu12963								
Zotu2116	2				1	3	1	
Zotu2297	2							
Zotu5442				1		1		
Zotu3624				1			1	
Zotu3104	1	1			1	1	1	
Zotu9066								
Zotu11514		1				1		
Zotu1209	1	1	3		3	4	1	2
Zotu677	3	3	1	3	3	3	2	1
Zotu746	4	7	1	3	2		4	4
Zotu19547							1	
Zotu5675								
Zotu17603								
Zotu3241	1	2		3	1	1	2	3
Zotu2099		2		2	4	5	3	6
Zotu2135	3	2	1		1	6	2	1
Zotu4677								
Zotu11628								
Zotu15092					1			
Zotu16121		1						
Zotu1373	1			1	1		1	1
Zotu8493				2				
Zotu4492			1					
Zotu12749								
Zotu13130				1	2			
Zotu1216	5	4	4	9	9	3	7	6
Zotu4780		2	1					
Zotu17329	1			2				
Zotu1338							1	
Zotu3779		2						
Zotu12363								
Zotu5947				1	2			1
Zotu6926						1		
Zotu20674					1			
Zotu15989						2		
Zotu19499				1				
Zotu11317		2			1			
Zotu12930	1	1						
Zotu1836	3	6	5		5	1	3	8
Zotu3261	1						1	
Zotu13363								
Zotu3304	1	3	6	1	3	1		2
Zotu5021		1		1				1
Zotu8227				1	3			
Zotu5091								1
Zotu3477	4							
Zotu13205						1		
Zotu4078								
Zotu320	3	1	1	3	7	9	2	2
Zotu2167	2				2	1		
Zotu20856								1
Zotu8382	2			1		1		
Zotu5490	1							
Zotu7418	2							
Zotu1674					1	2	1	
Zotu1436		1		1	1	1		
Zotu3690			1			1	2	2
Zotu8633			2		1		1	1
Zotu13353			1					1
Zotu3416	2	3		2	1	1	1	4
Zotu1786		1	2	2	1	1		2
Zotu3003		3		1		3	2	
Zotu6830						2		
Zotu11334	1	3		1	2			
Zotu6679	1							1
Zotu18208		2		1				
Zotu12447							1	
Zotu9377			1			1		1
Zotu11870						1		
Zotu17118	1	2						
Zotu8203	1					4	2	
Zotu16925		2		2				
Zotu9159		1					1	
Zotu9190								
Zotu6734					1	2		
Zotu15844						1		
Zotu13185								
Zotu11066								
Zotu2679	3	3	1	2	1	5	3	5
Zotu513	11	12	9	2	9	3	4	11
Zotu3905		1		3		5	1	1
Zotu8500			1	3	1			
Zotu6828							1	
Zotu9204		1						
Zotu10463			1			1	1	
Zotu3277	3		2	1		3		1
Zotu20820						3		
Zotu4976			2					
Zotu10159			1	2				
Zotu9974								
Zotu5606			2	1	2	1	1	
Zotu4320			1	1			1	1
Zotu7236	2	1				1	1	
Zotu12364								
Zotu7197			3	1		1	2	
Zotu13548								
Zotu1467								
Zotu8813	1		1			1		1
Zotu15755			1			1		
Zotu18108						2		
Zotu3630								
Zotu12997								
Zotu5468								
Zotu5187								
Zotu19920								
Zotu14496				1	1			
Zotu20502			2					
Zotu16371								
Zotu16642								
Zotu9790	1					1	1	
Zotu20764	1							
Zotu17748								
Zotu20595								
Zotu18228								
Zotu12304								
Zotu13722								
Zotu19575								
Zotu19678				1				
Zotu18185								
Zotu3112			1	1				
Zotu5637								
Zotu5663							1	
Zotu12641								
Zotu13268								
Zotu16532								
Zotu4029								
Zotu6888							1	
Zotu3071	2							
Zotu3952								
Zotu15798								
Zotu13118								
Zotu10639								
Zotu14409								
Zotu11262						1		
Zotu16493			1					
Zotu9071								
Zotu18288								
Zotu20223								
Zotu11037								
Zotu404								
Zotu1357								
Zotu20382								
Zotu203								
Zotu4621								
Zotu11230								
Zotu18759								
Zotu18686								
Zotu17494								
Zotu16617								
Zotu16990								
Zotu18874								
Zotu19141								
Zotu14555								
Zotu16968								
Zotu8037								
Zotu147								
Zotu215								
Zotu11711				1				
Zotu8832						1		
Zotu19405								
Zotu596								
Zotu3272								
Zotu15471	1			2		1	1	1
Zotu3632								
Zotu577								
Zotu2747								
Zotu6791		1				1	1	
Zotu16896						3		
Zotu14684						1		
Zotu10494								
Zotu18837								
Zotu11323			1					2
Zotu1028						1		1
Zotu10285								
Zotu20608								
Zotu19028								
Zotu20639		1				1		
Zotu14677								
Zotu7210	1	1						2
Zotu11524								
Zotu8282								1
Zotu4673			1			1		
Zotu19710						1		
Zotu6994								
Zotu16282								
Zotu9802	1							
Zotu4316								
Zotu1387								
Zotu3995						1		
Zotu13462								
Zotu10313								
Zotu14871						1		
Zotu16871								
Zotu6375								
Zotu15369								
Zotu10061				1				1
Zotu14716								
Zotu12729		1						
Zotu12414								
Zotu13015	1	2						
Zotu816								
Zotu380								
Zotu3951								
Zotu2414								
Zotu3948								
Zotu6946								
Zotu7581								
Zotu17628						1		
Zotu10394								
Zotu7419								
Zotu11091			1			1		
Zotu10483								
Zotu13983								
Zotu12648								
Zotu18124								
Zotu14314								
Zotu10363								
Zotu16414								
Zotu9967				1				
Zotu20247								
Zotu15578								
Zotu17862								
Zotu4776	2	3		2	5		2	2
Zotu7343	3		1			1		
Zotu17134								
Zotu19365				1				
Zotu18147								
Zotu15978								
Zotu14935								
Zotu17491								
Zotu20265								
Zotu8699					1			
Zotu19550								
Zotu13416					1			
Zotu15677								
Zotu18506		1						
Zotu20409								
Zotu6214								
Zotu10058								
Zotu10482								
Zotu17382								
Zotu11538				1				
Zotu20015								
Zotu12610								1
Zotu17181								
Zotu18272								
Zotu12822								1
Zotu14353								
Zotu8600				1			3	
Zotu6327								
Zotu20811								
Zotu4550				1		1		
Zotu10047								
Zotu7000								
Zotu6450				1		1		
Zotu12196								
Zotu7761	1							
Zotu15330								
Zotu13704								
Zotu12925								
Zotu18490								
Zotu6424								
Zotu16777								
Zotu20197								
Zotu10513								
Zotu14942		2						2
Zotu13404		1						
Zotu15125								
Zotu8146					1			
Zotu20333		1					3	
Zotu18823								
Zotu14301								
Zotu20795								
Zotu11220								
Zotu12133								
Zotu18145								
Zotu12308								
Zotu14362								
Zotu15068								
Zotu6705	2					1		
Zotu7113								
Zotu6884	1						1	
Zotu16831								1
Zotu11494		1		1				
Zotu17933		1		1				
Zotu9413								
Zotu18045								
Zotu19197						2		1
Zotu17267					1			
Zotu20513	3							
Zotu14870								
Zotu3038								
Zotu17366						1		1
Zotu16787						3		
Zotu18225								
Zotu15857								
Zotu11564								
Zotu15722								
Zotu18765								
Zotu11566								
Zotu7056								1
Zotu20148								
Zotu14874								
Zotu10371								
Zotu2992								
Zotu1804								
Zotu5222								
Zotu3404								
Zotu1323								
Zotu158			2					
Zotu8485								
Zotu4630								
Zotu12731								
Zotu4876								
Zotu13106								
Zotu1856								
Zotu20501								
Zotu17604								
Zotu875								
Zotu996								
Zotu19836								
Zotu15361								
Zotu5682								
Zotu9454								
Zotu19217								
Zotu10527								
Zotu11079		1						
Zotu6718								
Zotu9867								
Zotu11191								
Zotu13985					2			
Zotu7216								
Zotu14505								
Zotu13561								
Zotu6333								
Zotu10942								
Zotu11934		1				2		
Zotu17822		1				4		
Zotu14932								
Zotu6417								
Zotu18612								
Zotu16738							1	
Zotu11467	1							
Zotu17590								
Zotu15157				1				
Zotu18586								
Zotu15298								
Zotu19840								1
Zotu20212								
Zotu18349					1			
Zotu13832								
Zotu7532								
Zotu12381								
Zotu12771								
Zotu11298								
Zotu16976								
Zotu12516					1			
Zotu13335								
Zotu18255								
Zotu20298			1					
Zotu19477								
Zotu14852			1					
Zotu10481								
Zotu19146								
Zotu12935				1				
Zotu20843								
Zotu19505								
Zotu16917								
Zotu13731								
Zotu16814								
Zotu12357								
Zotu12387								
Zotu7632		1						
Zotu16214								
Zotu15289								
Zotu16372								
Zotu20564								
Zotu18344								
Zotu18734								
Zotu9048								
Zotu19119								
Zotu18409								
Zotu13974							1	
Zotu13643								
Zotu18461								
Zotu12368				1				
Zotu20515								
Zotu8406								
Zotu20512								
Zotu7930								1
Zotu19117								
Zotu20774								
Zotu14337								
Zotu14828								
Zotu16212								
Zotu17135		1			1			
Zotu8996	1		1	2	1			1
Zotu13430			1					
Zotu7013	2		1			1	2	1
Zotu7513						2	1	
Zotu13314								
Zotu9721								
Zotu19652								
Zotu5186	1			1		1		
Zotu12036								
Zotu8430								
Zotu7196	1		1				1	1
Zotu11561		1				2		4
Zotu7310	4	1	2	2	1			
Zotu3351							1	
Zotu8613		2						
Zotu9094								
Zotu9130					1		2	1
Zotu7711				1				1
Zotu15561								
Zotu14543								
Zotu20775		1				1		
Zotu2034								
Zotu20216								
Zotu16063								
Zotu14002		1						
Zotu4937	2			1			1	
Zotu7864					1			
Zotu2073								
Zotu1335								
Zotu16924								
Zotu9840								
Zotu13692								
Zotu2254								
Zotu18051								
Zotu13520								
Zotu11654								
Zotu16331								
Zotu14613								
Zotu19486								
Zotu5269						1		
Zotu14219								
Zotu20190								
Zotu19634								
Zotu12382				1	1	1	2	
Zotu16901								
Zotu6337	1		1				1	1
Zotu18988			1					1
Zotu12163					2			
Zotu4217	3			4	1	1		3
Zotu12590				1		1		
Zotu9672		3			1			
Zotu19953			1					1
Zotu16531								
Zotu13398				1				
Zotu18445		1	1	1	2	1		
Zotu16641								
Zotu17016		1						
Zotu17158								
Zotu18179								1
Zotu8051		1	1		1			
Zotu11885								
Zotu1947	1	4	5	7	3		1	6
Zotu2629	2	3	3	1	5			4
Zotu7322	1							
Zotu8459	1							1
Zotu9179							1	
Zotu10936				1				
Zotu10536			1					
Zotu3922		3		1	1	3	1	
Zotu4184								
Zotu3456	5	4	1	3	4	1		1
Zotu10129	1				1	3		
Zotu3614	2	2	1	3			4	3
Zotu10682			1				1	
Zotu3581			5	2	1	11	1	3
Zotu5599	1			5			1	3
Zotu10523				1				2
Zotu12339	3				2			
Zotu8046			1					
Zotu13614								
Zotu19341								
Zotu12480								
Zotu3605	2	1		7	2	4	3	1
Zotu13443				1	1		1	
Zotu16026				1				
Zotu12389			2					
Zotu9089					1		2	
Zotu19630								
Zotu9453	1	2	1					
Zotu18604								
Zotu5268	3			1		2	1	
Zotu17973		1						
Zotu11939	1				1			
Zotu10676		1		1				
Zotu16122								
Zotu7546		1						
Zotu10225								
Zotu15953	2							
Zotu11507	2			3			1	
Zotu1222	15	13	10	21	7	6	10	7
Zotu529	18	23	26	38	14	32	14	17
Zotu1170	16	7	8	18	8	10	6	10
Zotu3393	4	5	6	5	1	4	3	2
Zotu9309		3	1		1		1	
Zotu2510	5	3	2	3	1	4	1	1
Zotu7062	1	1				3	2	1
Zotu12428				2			1	1
Zotu9924		1					1	1
Zotu9542	1	1	1	1		1	2	
Zotu13007								
Zotu18267	1							
Zotu19747	1							
Zotu9732		2				1		
Zotu16649				1				
Zotu2758	1	4	4	6	2	6	2	1
Zotu10001	1		1		1	1		1
Zotu4458	1	1		2	3	3		1
Zotu4814	1	1	2	2	1	1	4	1
Zotu18979						1	1	
Zotu9506	1		1	1				
Zotu16909								
Zotu5598	1			2	3	1		
Zotu12708	1			1	1	1	2	
Zotu3801	2	2	2	2	1	1	4	
Zotu2255	1	4	3	3	1	4	5	5
Zotu6207	1	1		2	2	3		
Zotu20310	1			1				
Zotu5147	3	4	2	1	1	2	3	2
Zotu20338								
Zotu8632		1	2	2	3			1
Zotu11535			1	1				1
Zotu14603	1							
Zotu913	12	7	16	12	9	7	18	14
Zotu4544	1	2	5	6	5	1		3
Zotu20006								
Zotu20397				1				
Zotu6383	1	5		1	1		5	
Zotu13550			1			2		
Zotu6073	1	1	1			3		
Zotu9971		1	1		2		1	1
Zotu16093				2				
Zotu3284	2	1	4	1	2	2		1
Zotu20301								
Zotu12602								
Zotu7107	2	3	1	3	1	3		
Zotu12282			1				1	
Zotu8160				3	1			
Zotu10959					2			
Zotu12750								
Zotu20488								
Zotu10909				1				
Zotu17614								
Zotu11155	2		1			2	1	
Zotu14111	1							
Zotu9623								4
Zotu14260		1						
Zotu9539	2	1						
Zotu6216	1	3		1				
Zotu17241			1					
Zotu1639	6	6	12	13	2	1	5	3
Zotu10560				1		1	1	1
Zotu11846	1					1	1	
Zotu16539				2		1		
Zotu10938			1				2	1
Zotu9050	1	2	2		1		3	
Zotu16633								1
Zotu3978	3	2	6	2	2	3	1	
Zotu1991	9	5	8	1	10	2	1	2
Zotu6199	2	4	1	2	1		3	
