ID	rs_f_1	rs_f_2	rs_f_3	rs_f_4	rs_f_5	rs_f_6	rs_f_7	rs_f_8
Zotu13421								
Zotu9505								
Zotu9544						1		
Zotu14355								
Zotu14114								
Zotu3243					5			
Zotu2203	3			3				
Zotu11275	1							
Zotu11838								
Zotu3997		1		1	4			
Zotu18753								
Zotu12119								
Zotu2920		1	1	3				
Zotu12726								
Zotu20557								
Zotu6562								
Zotu2256					1			
Zotu15087								
Zotu4366					1			
Zotu4537		2	1	1				
Zotu7869								
Zotu8061					1			
Zotu15015						1		
Zotu4734	1	2			1			
Zotu14836				1				
Zotu16123								
Zotu5008							1	2
Zotu2689		3			1			
Zotu12725				1				
Zotu8451				1	1			1
Zotu17850						1		
Zotu12603								
Zotu17143								
Zotu14514								
Zotu17595								
Zotu16839				1				
Zotu18810								
Zotu8545			2		1	1		
Zotu18906		1						
Zotu6488			1			1	2	
Zotu10752								
Zotu5247								
Zotu3986								
Zotu10531								
Zotu15985								
Zotu11756			1			1		
Zotu17403			1					
Zotu18945								
Zotu3625					1			
Zotu8134								
Zotu12090								
Zotu3859								
Zotu4019							1	
Zotu15526					1			
Zotu17235	1	3						
Zotu18289				1	2	1		
Zotu19517								1
Zotu11734								1
Zotu16185			1					
Zotu16343				1				
Zotu7779				1				1
Zotu7209		1		1	1			
Zotu16029								
Zotu20744								
Zotu17612								
Zotu5734				1				
Zotu13193								
Zotu4161		1	1	1				
Zotu18487								1
Zotu15716			1					1
Zotu11172			1	1				1
Zotu18438					1			
Zotu10139								
Zotu17263								
Zotu5231		1	2	1	1			
Zotu13035				1			1	
Zotu3683			2	2				1
Zotu12795				1				
Zotu9151						1		
Zotu7018								
Zotu12888						1		
Zotu6877				1				1
Zotu13798								
Zotu6248			1	1			1	
Zotu17773								
Zotu17548					1			
Zotu19390			1					2
Zotu16808								
Zotu20242	1						2	
Zotu12033								
Zotu3878			1	1	3	2		
Zotu11675								
Zotu16194								
Zotu19063								
Zotu19574								
Zotu3294				2				
Zotu4972		1	1			1		1
Zotu12337								
Zotu9824								
Zotu14085				1				
Zotu18064						1		
Zotu20771								
Zotu6275							1	
Zotu9887								
Zotu12399								
Zotu19569								
Zotu5723						1		
Zotu14454					1			
Zotu11365								
Zotu10311						2		
Zotu19220					3			
Zotu13514								
Zotu11803	1				1			
Zotu486	7	5	4	13	4	1	7	28
Zotu6893								
Zotu15129								
Zotu13615								
Zotu11731								
Zotu14371								
Zotu3454	2	3	4	2	2		3	1
Zotu13216								1
Zotu19761	1			2				
Zotu8219		1						
Zotu13442								2
Zotu20142			2			1		
Zotu12190								
Zotu16344								
Zotu13797						1		
Zotu8509		2	1					
Zotu13158								
Zotu18754								
Zotu17667						1		
Zotu10511								
Zotu14078					2	1		1
Zotu20500								
Zotu10867								
Zotu12923	1							
Zotu20181								
Zotu12809								
Zotu4985				2		1	3	
Zotu17236								
Zotu11641								1
Zotu12861	1				1			
Zotu17365								
Zotu20320	1							
Zotu18271								
Zotu19887								
Zotu17048				1				
Zotu17734								3
Zotu13755								
Zotu2504	1							
Zotu14740					1			
Zotu9951								
Zotu19462				1				
Zotu3612	1				2			
Zotu16419								1
Zotu8856								
Zotu15303								1
Zotu19096							1	1
Zotu18519								
Zotu18546								
Zotu9891		1						
Zotu18556								
Zotu20460							1	
Zotu13269								
Zotu15976								
Zotu17006								
Zotu19504			1					
Zotu17719								
Zotu19740								
Zotu9513							1	
Zotu9358					1			
Zotu16973				1				
Zotu4124						2		4
Zotu15467								2
Zotu10026								
Zotu17115				1				
Zotu4543					1			1
Zotu14727				2				1
Zotu15036								
Zotu13237								
Zotu5154				1				
Zotu20398								
Zotu13594								
Zotu14251								
Zotu17797								
Zotu2159	1	1	1		1	1		1
Zotu16337								
Zotu11541								
Zotu18968								
Zotu14299					1			
Zotu17303						1		
Zotu17147								
Zotu6439								
Zotu8307								
Zotu20590								
Zotu11188								
Zotu20638								
Zotu16625								
Zotu8886								2
Zotu7859				2	1		1	1
Zotu8852			2					
Zotu16790				2				
Zotu9669								
Zotu13145						1		
Zotu6838								1
Zotu17448								
Zotu18574			1					
Zotu15691	1	1						
Zotu17419		1				1		
Zotu18087								
Zotu15150					1			
Zotu15500								
Zotu15600							1	
Zotu17109								
Zotu18343	1							
Zotu18730				1		2		
Zotu9355								
Zotu12139								
Zotu11424								
Zotu13967								
Zotu4841					1			1
Zotu3584			3					
Zotu4284		2		2				1
Zotu4770		1		1			1	
Zotu1350		1		1		3		5
Zotu11234			1	1		1		
Zotu5767						1		
Zotu11455								
Zotu11725								
Zotu10127				1				
Zotu3608	1					1		1
Zotu8369		1		1		1	1	
Zotu11559				3	1			
Zotu8973								
Zotu18543								
Zotu18044								
Zotu18539								
Zotu9317								
Zotu18583				2				
Zotu5851				1		1		
Zotu17934								
Zotu5227	1				2	3	3	3
Zotu3718	1				2			
Zotu20508								
Zotu6932		1	1					
Zotu7552			1			1		1
Zotu17003								
Zotu4943		1					2	
Zotu9992						1		
Zotu2594		2			6			
Zotu4542								2
Zotu14578								
Zotu10607								
Zotu15127								
Zotu20698		1						1
Zotu4551	1			2	1	2		1
Zotu8867								
Zotu13358								
Zotu12444	1							
Zotu3660	1		1	1		4	1	5
Zotu11902			1	3	1		1	
Zotu12454					1			
Zotu7571	2				4			
Zotu2348	3	9	1	2	10	3	2	4
Zotu2211	4	4	1	10	10	4	4	7
Zotu2236	1	2	2	3	11	3	1	9
Zotu5814			1	2		4	1	
Zotu14366				1				
Zotu1273	3		7	3	12	3	6	5
Zotu17434			1					
Zotu18630								
Zotu11356		4						
Zotu5136		1	2	2	1	3		1
Zotu10570								
Zotu4903			1		1		1	
Zotu5840							1	
Zotu2136	2	1	2	1	6	4		
Zotu5241			1	1	3			
Zotu9512								
Zotu2058	1			1	4		1	1
Zotu5046			1		1		2	
Zotu14193			1					
Zotu7907								
Zotu4468		1			3	3	1	
Zotu10231					1			
Zotu8261		2	1		3		1	
Zotu20431								
Zotu1279	7	4	1	4	5		4	
Zotu2004		2	2	2	2			3
Zotu13337								1
Zotu4896		1		1		2		
Zotu4378				1	1		1	
Zotu1690	1	1		4	2	2	9	8
Zotu6464		2		1				2
Zotu13029								
Zotu5483					2			1
Zotu17994					1			
Zotu8288	1			1				3
Zotu5212								
Zotu19942						1		
Zotu8598								
Zotu16852								
Zotu2161		3	4	2	4	1	4	1
Zotu7603					3		1	
Zotu13899								1
Zotu4143				2	2		1	
Zotu2312	1			1	2	1	3	
Zotu4646								
Zotu13582								
Zotu13979								
Zotu13461								
Zotu13972			1		2			
Zotu15493							1	
Zotu9230				1				
Zotu4098	1	2	1	2				
Zotu14601								
Zotu10883			1					
Zotu17242					1			
Zotu20725								
Zotu16284			1			1		
Zotu17662								
Zotu5879		1					1	
Zotu13212				1			2	
Zotu17126			1			1		
Zotu3717	1	1	1	2	2			1
Zotu2258	6		1		3		3	3
Zotu1419	2	7	4	4	8	3		4
Zotu385	10	22	12	20	23	11	20	29
Zotu1842	1	4	2	5	5	1	5	2
Zotu4950	2		3	1	1	1	2	3
Zotu11389	1					1		
Zotu8551					1		1	2
Zotu12781								
Zotu8295					1		2	
Zotu13252								
Zotu6863				5			1	
Zotu8564								
Zotu18400								
Zotu19025		1				1		
Zotu8514					1			1
Zotu10112								
Zotu14606								
Zotu2562		1	2					
Zotu5105		2				1	1	1
Zotu7619		2						
Zotu13322					1	1		
Zotu13393								
Zotu15002		1				1		
Zotu9287		1	1					
Zotu4352			1	1		1	1	2
Zotu3359				2				
Zotu11351				1				
Zotu4564	3	1			2			
Zotu15327								
Zotu13109			1					
Zotu7053								
Zotu10840								
Zotu13699		1				1		
Zotu8520								
Zotu16933								
Zotu11456		1		2	1			
Zotu17445								
Zotu5140				1	1			
Zotu12299								
Zotu13441								
Zotu8896								
Zotu15687								
Zotu16822								
Zotu7160		1		2				1
Zotu19273								
Zotu13034				2			1	
Zotu17354						1		
Zotu19057	1							
Zotu4030								
Zotu7593								
Zotu16475						1		
Zotu19746								
Zotu11479	1					3	4	
Zotu15048							1	
Zotu16650								
Zotu7289				2		2	2	
Zotu13280								
Zotu20664		1						
Zotu5818								
Zotu4070	1	1	2					3
Zotu18109	1							
Zotu15947	2					1		
Zotu18826						1		
Zotu15821								
Zotu12642							1	1
Zotu13747	1			2			1	
Zotu16948								
Zotu11798		4		1		1		
Zotu13776		2	1					
Zotu5821	3			2		3	2	4
Zotu18376						2		
Zotu18183							1	
Zotu16078	1							
Zotu17827		1					1	
Zotu12343				1		2	5	
Zotu8955								
Zotu13559						1		
Zotu12519								
Zotu9868	1	1					1	
Zotu2879		1	1					
Zotu9305					1	1		
Zotu16664								
Zotu10347								
Zotu17436		2						
Zotu14617								
Zotu19515								
Zotu15568								1
Zotu20489								
Zotu4001		3		3				
Zotu6895	1			14		2		3
Zotu17903						1		
Zotu16621						1		
Zotu8471			2					
Zotu15173								
Zotu3130		1		1				1
Zotu5297								
Zotu3650		1				2		3
Zotu4424	1	1						
Zotu5461		1		1				
Zotu17887					1			
Zotu12438		2		1		9	1	2
Zotu14999								
Zotu16482								
Zotu15983	1							
Zotu17798								
Zotu17444		1						
Zotu12461		4	1					
Zotu12515								
Zotu11268							1	
Zotu18799								
Zotu11914								
Zotu17276								
Zotu15334								
Zotu17062	5			3				1
Zotu15654				3				
Zotu17532								
Zotu18149								
Zotu16453				2		2		
Zotu15065	1	1		3				1
Zotu17624	1							
Zotu17598								
Zotu17695								
Zotu19864								
Zotu17685								
Zotu18169								
Zotu18849				1				
Zotu14693								
Zotu16363								
Zotu15892								
Zotu19625				1				
Zotu17865	1	1		4		2	1	1
Zotu15964								
Zotu13580								
Zotu19723								
Zotu20423				3				
Zotu8995	3							
Zotu14361	1							
Zotu20708								
Zotu20707								
Zotu8883								
Zotu2946	4			2		1		1
Zotu12713	1							
Zotu15337	2					1		
Zotu10273								
Zotu9813								
Zotu11706								
Zotu10244								
Zotu11968								
Zotu13119								
Zotu12717				1				
Zotu15235								
Zotu10895								
Zotu18240								
Zotu17025								
Zotu16432								
Zotu788	26	4		6	1	1		
Zotu6680	1							
Zotu7372	1							
Zotu20522								
Zotu9643				1				
Zotu6219	1			8				
Zotu8775				1				
Zotu4349	3	1	1	20	2	5		
Zotu8380	2			2				
Zotu9165				6				
Zotu9458				14				
Zotu11248		2				2		
Zotu18168				1				
Zotu979	9		1	46		35		
Zotu2528		1		3	1	5		
Zotu7606				2		3		
Zotu14232						2		
Zotu3913	1			36				
Zotu4491	1			7		4	1	
Zotu7808	4			10		3		
Zotu10845		1		4				
Zotu12947		1		3				
Zotu6985				16	2	4		
Zotu15113				1		1		
Zotu18691								
Zotu10765		2			1			
Zotu11047								
Zotu14400			1					
Zotu4290				1				
Zotu15901	1			1				1
Zotu3565	1			1				
Zotu17746				3				
Zotu19706								
Zotu6975								
Zotu8505		1			1	1		
Zotu15764	1					1		
Zotu4997								
Zotu12634		1						
Zotu7604				6				1
Zotu14898								
Zotu15788	2			1				
Zotu13465	28		1				1	
Zotu20406								
Zotu11010	2							
Zotu16535								
Zotu19426		1						
Zotu3724	5	1						
Zotu16499								
Zotu18209					1			
Zotu14052								
Zotu18662								
Zotu7375								
Zotu18684								
Zotu19314								
Zotu7272		3						
Zotu18942								
Zotu19980								
Zotu10185				3				
Zotu12555				1				
Zotu9236				2				
Zotu9982								
Zotu14478		1						
Zotu14040								
Zotu20480								
Zotu19269								
Zotu18429								
Zotu16648								
Zotu19262								
Zotu8677	1							
Zotu13201			1				1	
Zotu5093	3			19				
Zotu13040								
Zotu7834				2				
Zotu3328			1	1				
Zotu12530	1			1				
Zotu3964	5			4				
Zotu12604								
Zotu16507				1				
Zotu2844	5			6	1	1		
Zotu9075				1				
Zotu17339								
Zotu8098				1		2		
Zotu11892	2							
Zotu20363								
Zotu7879								
Zotu9182	1	2		2				
Zotu9884				1				
Zotu13131								
Zotu19359								
Zotu10189				1	1			
Zotu11108								
Zotu6646				3				
Zotu7699				2		1		
Zotu8657						1		
Zotu8352				1				2
Zotu16391		1		1		1		
Zotu13546		2		3				
Zotu8372	1					2		
Zotu11062								
Zotu13894								
Zotu19470								
Zotu5906								
Zotu15888								
Zotu16223								
Zotu14377		1		1				
Zotu5804					1			
Zotu12977								
Zotu16191	1			2				
Zotu2181	2	1	3		1	1		
Zotu8224	1					1		
Zotu3347	3	2		1				
Zotu16611	1							
Zotu13675			2			2		
Zotu15996								
Zotu5659								
Zotu8627		4						
Zotu14092								
Zotu19214	1							
Zotu5629		1	2	1				
Zotu11800	2	1						
Zotu12613					1			1
Zotu16062				1				
Zotu18738					1			
Zotu11447				2				
Zotu17834								
Zotu20559								
Zotu6957								
Zotu6107								
Zotu18476								
Zotu19000						1		
Zotu13684					1			
Zotu18912								
Zotu5708						1		
Zotu12292								1
Zotu19128			1					
Zotu17433		1						
Zotu10658	2		1	54		3		
Zotu18137								
Zotu9959						1		
Zotu10079								
Zotu2663								
Zotu3131	2							1
Zotu20381	2		1	2		1	1	
Zotu20786				1		1		
Zotu17966			1	1				
Zotu12624						3		
Zotu14701				2				
Zotu11218				1				
Zotu15000	1		1		3			
Zotu17806						1		
Zotu20385								
Zotu12261				5	1			
Zotu16120								
Zotu13400								
Zotu18081	3			1				
Zotu18924	1			3				
Zotu9376	1	4	5			1		2
Zotu14316		2		2				
Zotu9194	2					1	1	
Zotu6253	1	1				14		
Zotu17461	1				1	8		
Zotu4931	2							
Zotu15676	1							
Zotu9923								
Zotu14186								
Zotu16464	3							
Zotu16986								
Zotu20666						1		
Zotu13996						5		
Zotu18004	1			7				
Zotu20204				17				
Zotu19132				1				
Zotu14263								
Zotu17035		1						
Zotu2646								
Zotu15753								
Zotu6549	2	2				1	1	
Zotu10425								
Zotu2797								
Zotu7185				9				
Zotu10758				9				
Zotu18573				2				
Zotu5036	1			28		1	1	1
Zotu20174				1				
Zotu16572								
Zotu6201	6	2		7	3	1		
Zotu5875	8	2		5	2	3		
Zotu14661				1				
Zotu15103				2				
Zotu7765		1						
Zotu8527					1			1
Zotu15968				1				
Zotu19522								
Zotu20082				1				
Zotu18235					1			
Zotu15912								
Zotu8603								
Zotu2423								
Zotu6293								
Zotu15400								
Zotu1455		1						
Zotu3829								
Zotu9473								
Zotu19772								
Zotu11451								
Zotu3064	12	2		5				1
Zotu7221								
Zotu5872	1							
Zotu50								1
Zotu18598								
Zotu16433								
Zotu17052								
Zotu321								
Zotu1355								
Zotu77		1		2			1	3
Zotu469								
Zotu18009				7				
Zotu4298	3		1	60	1	2	2	
Zotu18620	1		1	1				
Zotu12944	2			11				
Zotu11624				7		1		
Zotu4628	5			64		6	2	
Zotu19094				3	1			
Zotu17104	1		1	4		2		1
Zotu8744	2		2	8		1		
Zotu11620				1				
Zotu8609								
Zotu8905								
Zotu15619	1			13		3		
Zotu262								
Zotu642				2				
Zotu1333						1		
Zotu1926	1		2	1				
Zotu11273								
Zotu18251								
Zotu18436				2				
Zotu1702								
Zotu1898								
Zotu1347								
Zotu3318								
Zotu544								
Zotu1544								
Zotu6564								
Zotu11193								
Zotu9280								
Zotu4910								
Zotu15680								
Zotu13266								
Zotu16147								
Zotu6088								
Zotu14397								
Zotu16096						1		
Zotu18791								
Zotu19160								
Zotu18702								
Zotu16340								
Zotu17168								
Zotu20086								
Zotu417								
Zotu2870		1	1			1		
Zotu3099								
Zotu7819								
Zotu8584				1				
Zotu10096				3				
Zotu16877								
Zotu4609								
Zotu7084		1					1	1
Zotu1147								
Zotu101	1							1
Zotu266				6				
Zotu706				1				
Zotu718				1	1			
Zotu3266								
Zotu16598								
Zotu603			1	1				
Zotu2461								
Zotu1000								
Zotu2285								
Zotu17540								
Zotu14567								
Zotu8868								
Zotu5567				1		1		1
Zotu3160								
Zotu926								
Zotu2737		1						
Zotu13531								
Zotu177				1	2			
Zotu10748								
Zotu5273	2							
Zotu6973				1				
Zotu13004								
Zotu4101								
Zotu8439								
Zotu2924								
Zotu1080								
Zotu4539								
Zotu66								
Zotu99								
Zotu893								
Zotu3431								
Zotu434								1
Zotu20179								
Zotu4383								
Zotu3993								
Zotu5691								
Zotu2017								
Zotu1721								
Zotu390								
Zotu9799								
Zotu14914								
Zotu18842								
Zotu12182								
Zotu16241	2			1				
Zotu15603				1				
Zotu17374								
Zotu14285								
Zotu8704								
Zotu3941								
Zotu17777								
Zotu15451								
Zotu11832								
Zotu16168								
Zotu4549	1			1				
Zotu12402								
Zotu19878								
Zotu12929								
Zotu401								
Zotu9339								
Zotu17238								
Zotu12323								
Zotu17100								
Zotu16789								
Zotu18118					2	2		
Zotu15757								
Zotu10260								
Zotu17123								
Zotu15727								
Zotu20458								
Zotu17593								
Zotu17987								
Zotu14370								
Zotu14460				1				
Zotu16492								
Zotu16994								
Zotu18317								
Zotu19494								
Zotu19260								
Zotu20478								1
Zotu15895	1		1	1	1	1		
Zotu19022	2				1			
Zotu20778	1							
Zotu13830				2				
Zotu20724								
Zotu20030								
Zotu5912								
Zotu14083								
Zotu11823								
Zotu17751								
Zotu5749								
Zotu605		1		2				
Zotu968		2				1		
Zotu296							1	
Zotu5294								
Zotu5841								
Zotu6402								
Zotu5152								
Zotu2403								
Zotu4485								
Zotu7695	2							
Zotu8101						2		
Zotu17870								
Zotu13896		1				3		
Zotu4513		2		3	2			
Zotu14380								
Zotu2545					2			
Zotu4505				1				
Zotu11119								
Zotu12433								
Zotu17145								
Zotu5671								
Zotu17898								
Zotu13706								
Zotu17893								
Zotu8837								
Zotu6751								
Zotu8610		1			1			
Zotu8893								
Zotu19657								
Zotu18017								
Zotu7826						1		
Zotu14169								
Zotu13698								
Zotu9501								
Zotu12850								
Zotu16671								
Zotu14243								
Zotu19149								
Zotu20240								
Zotu2365								
Zotu1148						3		
Zotu5035		2						
Zotu14681								
Zotu17988								
Zotu2284	1					1		
Zotu3890			1					
Zotu2796								
Zotu6125								
Zotu1131	2		2					
Zotu2905								
Zotu17014								
Zotu13475								
Zotu15630								
Zotu19923								
Zotu16512								
Zotu2496	2					1		
Zotu4445		1	1	2	2	1		
Zotu4440								
Zotu18107				1				
Zotu5026	6			11		3		
Zotu7193	1					1		
Zotu7769	7			5		2		2
Zotu12189				1		1		
Zotu18329								
Zotu11256								
Zotu14176								
Zotu18929								
Zotu4123					2			
Zotu4708					1	1		
Zotu5901								1
Zotu13771								
Zotu12783	2					1		
Zotu15966								
Zotu7936								
Zotu13326	1							
Zotu19503								
Zotu2165	1	2		1		2	1	
Zotu5876					3		1	
Zotu16570								
Zotu853				1	1	1		
Zotu8138		1	1			1		
Zotu11967								
Zotu13644								
Zotu11879								
Zotu15546								
Zotu19558								
Zotu20581								
Zotu13493								
Zotu15318								
Zotu11996								3
Zotu12111		1						
Zotu3822		1				1		
Zotu569								
Zotu2939	1		4					
Zotu216			1	2				
Zotu16828	2							
Zotu15906								
Zotu2903		3	1		1	2		
Zotu743	2	2		1	1	4	2	
Zotu4022			1		1		1	
Zotu7009					1			
Zotu5049		1	2		1			
Zotu465	3	1	4	1	2	2		2
Zotu1680	1	1						1
Zotu2395	1			2				
Zotu16239								
Zotu19201								
Zotu14331					1			
Zotu13886	1							
Zotu7773	4	3		7		7		
Zotu8461						4		
Zotu9352	1	1		2		1		
Zotu5180	3		3	8	2	8		1
Zotu3337	6	3	1	9		5		2
Zotu9303		1		1		3		
Zotu7426	2		11	8		7		
Zotu1781	7			33	1	34		1
Zotu14099						2		
Zotu3554	6	3		9	3	4		
Zotu15491				1				
Zotu12556								
Zotu11355	1			3				
Zotu19560						1		
Zotu1089								1
Zotu1120								
Zotu541	2		3	2		2	1	2
Zotu94	2				1	4		2
Zotu197								
Zotu1429								
Zotu6139				1		2		1
Zotu16835								
Zotu18302								
Zotu19166								
Zotu155								
Zotu17237								
Zotu12716	1							1
Zotu758								
Zotu391								
Zotu565		1						
Zotu1136								
Zotu2018								
Zotu3564								
Zotu2509								
Zotu2341								
Zotu3135								1
Zotu11986								
Zotu9224				2				
Zotu1502		1						1
Zotu10309								
Zotu12707								
Zotu15341								
Zotu15393								
Zotu11961	1							
Zotu12599								
Zotu6553		2						1
Zotu19464								
Zotu2272			3					4
Zotu3258			1		1			
Zotu19731								
Zotu10093				1				
Zotu12745		2						
Zotu9086		1				1		
Zotu12288								
Zotu19372								
Zotu16125		1						
Zotu16160								
Zotu10402								
Zotu11316								
Zotu16783		1			1			
Zotu5097								
Zotu15256		2			1			1
Zotu5624			1		2			
Zotu8997								
Zotu11598								1
Zotu19669								
Zotu4894		1	2		1			
Zotu2010								
Zotu2865								
Zotu3902			1		1	1		
Zotu5777								
Zotu2719								
Zotu8126								
Zotu9172								
Zotu8388								
Zotu7046								
Zotu8943								
Zotu4606								
Zotu20349								
Zotu9775								1
Zotu3186								
Zotu20185								
Zotu10900								
Zotu5683								
Zotu5742								
Zotu7599								
Zotu7283								
Zotu5952								
Zotu5885								
Zotu6525								
Zotu9362								
Zotu9497								
Zotu491	1	4	1	2	3		2	
Zotu8076						1		
Zotu13072								
Zotu18500								
Zotu20541								
Zotu16740					1			
Zotu6336					2			
Zotu18129	1							
Zotu19437								
Zotu4593		3	1		1			
Zotu8907					2	2		
Zotu7368		1						
Zotu8582								
Zotu7575								
Zotu1460								
Zotu5991		1		1				1
Zotu1679		4	5	1	5	3	1	4
Zotu11039							1	
Zotu10027								
Zotu9746			1	1	1	2		6
Zotu16858				1				
Zotu19454								
Zotu17841								
Zotu664			1	7	2	1	1	1
Zotu49	6	4	5	9	6	3	2	36
Zotu82	2	2	3	1	4	2	2	3
Zotu654		2				1		4
Zotu103			1		1		1	7
Zotu17960								1
Zotu6272		2						
Zotu14924								
Zotu2966		1			1			
Zotu10346								
Zotu6188		1						
Zotu11431								
Zotu7623								
Zotu1771	2		2	47		8		9
Zotu1441			1			2		1
Zotu15592								
Zotu20762								
Zotu11261				1				
Zotu18689								
Zotu19627								
Zotu14468	2	2			1	1		
Zotu16140								
Zotu7691				1				
Zotu13262			1					
Zotu5381	1		2		1	1		1
Zotu6590						1		1
Zotu5405					2	1		
Zotu3032		1	3		2			2
Zotu9698					1			
Zotu7184		1						
Zotu14452								
Zotu10486	1		1					2
Zotu13827								1
Zotu1127								
Zotu2048								
Zotu15255								
Zotu8162								
Zotu11029								
Zotu19038								2
Zotu4240								3
Zotu19694								
Zotu5	9	11	11	11	5	8	4	119
Zotu14	4	5	6	2	6	6	8	74
Zotu8884					1			1
Zotu17693								
Zotu16573								
Zotu17353								1
Zotu6517								
Zotu7931								
Zotu10484								
Zotu3315								
Zotu11613								
Zotu964							2	
Zotu2706								
Zotu5298	1			2	2			
Zotu16596				22				2
Zotu8758								
Zotu10121								
Zotu6138		1	1					
Zotu7227								
Zotu13200								
Zotu3173								
Zotu6672								
Zotu7099								
Zotu2518		1		4		1		
Zotu3207								
Zotu5170								
Zotu899	46	15	32	319	14	72	8	153
Zotu8850	1		4	16	3	9		12
Zotu19600			1					
Zotu17525	1							3
Zotu18427								1
Zotu11480	1	1						4
Zotu879								2
Zotu3449	1							1
Zotu18381								
Zotu28		2	1	5	2	1	2	
Zotu5790								1
Zotu500								2
Zotu15019	1							
Zotu13944								
Zotu1001	1				1	3		
Zotu10123								
Zotu6163					1			
Zotu14189								
Zotu3008		1						
Zotu9468								
Zotu7663								
Zotu8243								
Zotu13366								
Zotu20170								
Zotu18332		1			1			
Zotu12769			1					
Zotu10277	1					1		3
Zotu9500				1				
Zotu6320				1				1
Zotu14501								
Zotu8275	1				2	1		
Zotu9853								
Zotu13324								
Zotu19069			1					1
Zotu15874								
Zotu16240								
Zotu14936								
Zotu17726		1						
Zotu3736								
Zotu5059			1					
Zotu16451								
Zotu8176		1						
Zotu17587								
Zotu7582								
Zotu16041			2					
Zotu12608						1		2
Zotu20000								
Zotu1848								
Zotu131								
Zotu20424								
Zotu9105					1			
Zotu19903								
Zotu17736								
Zotu53	28	18	7	6	1	12	2	28
Zotu20090							1	
Zotu1081								
Zotu5117								
Zotu3463	1					1		
Zotu3281								
Zotu3093								
Zotu10879								
Zotu189								
Zotu4605								
Zotu1524	1	3	2					
Zotu6992								
Zotu15938								
Zotu7255				4				
Zotu17209								
Zotu1226	1			5			2	3
Zotu11744	1							
Zotu5438				14		2		
Zotu16674						1		2
Zotu15174		1						
Zotu15100					1	1		
Zotu8694								1
Zotu2936								
Zotu8979								
Zotu20706								
Zotu6280								
Zotu6502								
Zotu20286								
Zotu4645						1		
Zotu8424						1		
Zotu17753								
Zotu8319				3				
Zotu12432								
Zotu16632				1				
Zotu8028								
Zotu6277						1	1	1
Zotu14106								
Zotu16524								
Zotu3680	1			1		1		
Zotu8199		2	4	8	1	1		1
Zotu7265	3				1	1		1
Zotu9238								
Zotu9563								
Zotu1743	5	4			3	7	8	3
Zotu14933				1				
Zotu5129								
Zotu5327								
Zotu14699						1		
Zotu14443								
Zotu12065				3	1			
Zotu13655								
Zotu20	2		1	4				
Zotu2970				4				
Zotu3106		1	1	2	1	2		
Zotu3361	1		2	2				
Zotu6267								1
Zotu1287	4	1		1				
Zotu1504				1		1		
Zotu2739	1			2				
Zotu9041						1		
Zotu20419		1	1					
Zotu11360								
Zotu96	18	21	13	11	7	25	7	12
Zotu172	10	11	16	9	7	14	7	10
Zotu18581								
Zotu6179						2		
Zotu723			1		2			5
Zotu17005								
Zotu10	195	147	149	192	141	226	32	117
Zotu95	33	16	7	11	7	17	5	18
Zotu9319	6	6	3	8	2	5		3
Zotu5940		1			1		2	2
Zotu8379			1					
Zotu5293					1			
Zotu13869								
Zotu19906					2			
Zotu395	2	4	2	6	2	1	1	5
Zotu2606	1		1		1	4	1	3
Zotu11373								
Zotu11406								
Zotu20267								
Zotu838	1	3		4		2		
Zotu2967	2				1			
Zotu18562								
Zotu20318		1		2				1
Zotu5654								
Zotu18	31	31	21	32	34	45	4	28
Zotu85	12	14	3	11	8	7	1	8
Zotu2007	2			4				
Zotu9931								
Zotu4655	3	2						
Zotu11072			1					
Zotu6989								
Zotu17093				1	1			2
Zotu18162								2
Zotu848	7				1	3		
Zotu903	1	1						1
Zotu6033			1					
Zotu11		1			1			6
Zotu20243								
Zotu1724								
Zotu75		1	1		1			1
Zotu651								
Zotu142								
Zotu207							1	
Zotu140								
Zotu5033				1				
Zotu756			1					1
Zotu20727								
Zotu14722								1
Zotu20716								
Zotu1129								
Zotu8341								
Zotu18213								
Zotu488								
Zotu42		3	2		1	2		12
Zotu1268								
Zotu11533								
Zotu14547								
Zotu6757								
Zotu15258	1							
Zotu92	13	3		4	2	11	2	3
Zotu2846				2	1	3		
Zotu378	5	1	5	6	8	4		5
Zotu13661								
Zotu933								5
Zotu13381								3
Zotu13117		1		2	1	1		
Zotu16527					1			
Zotu69	18	4	4	10	11	8	8	30
Zotu4342	1	1	2		3	1		1
Zotu8488								
Zotu539	1							
Zotu1622	1				1			
Zotu9419								
Zotu6633	1					1		
Zotu17650				1			1	
Zotu10764	1							
Zotu15342								
Zotu5452								1
Zotu17480								
Zotu14880				1				
Zotu11536								
Zotu11587								
Zotu12485								
Zotu19556								
Zotu20102								
Zotu17718								
Zotu13153								
Zotu15475								
Zotu6887								
Zotu16818								
Zotu17080								
Zotu17331								
Zotu11022				4		1		
Zotu13581								
Zotu16931								
Zotu12146				1				
Zotu11752		1						
Zotu3014		1		1				
Zotu5424		2	1	1			1	2
Zotu20731								
Zotu353	1	2		1	2			3
Zotu618			1			1		1
Zotu2357					1			
Zotu1835								
Zotu6475	1	1		1			1	
Zotu13542								
Zotu14233		1						
Zotu11171			1					
Zotu4434	1							
Zotu974	1	2	5	6	7	4	2	7
Zotu3561		1	1			1		
Zotu965	5	1	5	6	5	4		7
Zotu7364	1		1					
Zotu10064								
Zotu4309		2					1	
Zotu11516				2		1		
Zotu5669		1		1				
Zotu15930								
