ID	rs_cd_1	rs_cd_2	rs_cd_3	rs_cd_4	rs_cd_5	rs_cd_6	rs_cd_7	rs_cd_8
Zotu14619		1						
Zotu6966								
Zotu5289	4		4	1				
Zotu5823	10		4					
Zotu18038								
Zotu15588								
Zotu10870				1				
Zotu15201	1							
Zotu15949	3			2				
Zotu8618		3		3				
Zotu5719					5			
Zotu14309	1				1			
Zotu659	3	9		10	3	5	3	1
Zotu4008	1	7						
Zotu19184								
Zotu6227				1				
Zotu7486		1						
Zotu14162					1			
Zotu11884								
Zotu12644								
Zotu4396		2			1	1		
Zotu980	1							
Zotu20315								
Zotu6016					1		1	
Zotu10212			5					
Zotu7257		1			4		1	1
Zotu5690	1							
Zotu7108								
Zotu11345			1				2	1
Zotu14745	1							
Zotu3919								
Zotu18307		1						
Zotu206	1	9	1	2	11	5	11	50
Zotu6037	3							
Zotu78	22	16	34	14	10	24	34	11
Zotu10567								
Zotu1783								1
Zotu2700	3					1	1	
Zotu12351								2
Zotu7203					1			
Zotu13357							3	
Zotu7067		1			1			
Zotu8315								
Zotu7006		1						
Zotu19983								
Zotu8395				3				
Zotu3677			4	1	16		1	3
Zotu8104								
Zotu10626		3						
Zotu1649		5			3			
Zotu16367								
Zotu1897		1			1			
Zotu3623				1				
Zotu4154					2			
Zotu11568								
Zotu2622	3	1	4	5	3		4	2
Zotu4111		3			3		1	
Zotu8987								
Zotu1888			16			1		
Zotu784		134				9	1	
Zotu5713					2			
Zotu1411	21	1	1	2		4		
Zotu735			2	13		1		2
Zotu584	1		1	1	6		2	
Zotu1695		3		3	2	1		7
Zotu1506	1					4		2
Zotu3087		1			1			
Zotu6844		1						
Zotu5478								
Zotu10623			1					
Zotu217	20	6	6	6	4	9	10	17
Zotu5553	1		1		1	2	1	
Zotu5729	4							
Zotu8968								
Zotu7503						5		
Zotu1443								
Zotu7701								1
Zotu16526								
Zotu6030		9	1		2		4	
Zotu8848				1				
Zotu11304	3		1				1	1
Zotu17874							1	
Zotu7568	2			3	2	2		1
Zotu8878								
Zotu18656								
Zotu8935				2				
Zotu7147	1							
Zotu6006								
Zotu16110								
Zotu5705	1			2	1	2	1	
Zotu13901				1				
Zotu9058		1		2				
Zotu19059								
Zotu20031								
Zotu19715		1						
Zotu8053						1		
Zotu9988								
Zotu14192								
Zotu14632								
Zotu18094								
Zotu18589								
Zotu17992							1	
Zotu7488		1						
Zotu17859								
Zotu4489	4			1			3	
Zotu5593	1	2	2				3	3
Zotu3582	5				2	2	12	
Zotu8276								
Zotu1740	9		5	5	1	3	9	
Zotu3495	2		4		1	8	2	
Zotu20002								1
Zotu11704			1		3		2	
Zotu14765	1			2	1	1	5	
Zotu11694	3		1		1		1	
Zotu19488								2
Zotu17077								
Zotu9729								
Zotu19011								
Zotu18136								
Zotu13179		1	2				1	4
Zotu1426								
Zotu11724								
Zotu10620								
Zotu15273								
Zotu7314								
Zotu7351							1	
Zotu10581								
Zotu11773								
Zotu14958							2	
Zotu17902				1				
Zotu14115								
Zotu6060								
Zotu3306	4	9	5	11	6	9	4	4
Zotu7476	1		2			2		
Zotu7938		1						1
Zotu5027	5	1	2	3	2	2	2	4
Zotu6587	2		1	1	1		1	1
Zotu14682						1		
Zotu6080				1		1		
Zotu10760					1	1		6
Zotu18522	1							
Zotu1612	3	7	17	2	1	2		294
Zotu16060		1						
Zotu17091								
Zotu5336								
Zotu5895		2						
Zotu14068								
Zotu10056								
Zotu19538								
Zotu2894		1						
Zotu5737								
Zotu20326								
Zotu8302			1		3		1	
Zotu11810								
Zotu5492					4		1	5
Zotu16781			1					
Zotu19637	1							
Zotu19837								
Zotu11623		1						
Zotu11690								
Zotu10547								
Zotu5399								
Zotu13126								
Zotu13422								
Zotu14081								
Zotu13534	2					1		
Zotu9571								
Zotu15751				2				
Zotu3501		1		1			3	2
Zotu5017							1	
Zotu3576	3			1			1	1
Zotu18484						1		
Zotu3443	2	1						
Zotu2482	1	1	1	1	1	2	1	1
Zotu7484	2							
Zotu18745						3		
Zotu20443								
Zotu8323	1	1	2		7			1
Zotu3428		4		10	4			
Zotu6123	2			1				2
Zotu9785								
Zotu9489				1		2		
Zotu11660		1		1			1	1
Zotu8857		1			1		1	4
Zotu19803	1							
Zotu6650	3	10	2	3			4	3
Zotu4627				12	3		4	5
Zotu14007								
Zotu2790	5	16		1	6	1		9
Zotu2820	2	1	2		24		1	2
Zotu6340		1	1	1	3	1	5	1
Zotu5044	1			2	1			
Zotu9343	1	1			1			
Zotu19704	5		1	1		2		
Zotu7633					1			
Zotu10888								
Zotu18872								
Zotu3643	4	1	3	2	3	1	4	6
Zotu5387	1			3	1			3
Zotu11758						1		
Zotu10710				5		4	1	
Zotu8351	1	2	1	1		2	6	
Zotu7248		1		5			3	
Zotu15576								
Zotu14390				2	1	2		
Zotu4604	1							
Zotu11815								
Zotu11395	1	2		6				
Zotu15349								
Zotu17111						1		
Zotu12106		1					4	
Zotu13300	1					2	2	
Zotu12939							2	
Zotu15643								
Zotu4390	5	6	2	4	5		10	1
Zotu4204	2	1	2	2				
Zotu7798	1			1				
Zotu10237	1						1	
Zotu5944				1				13
Zotu9659		5						
Zotu9680		3		2			1	
Zotu11735								
Zotu11688		6						
Zotu14816								1
Zotu15963	3	1				1		
Zotu16709			1					
Zotu2353	4	120			8	1		36
Zotu8255				2			1	
Zotu9736	1			2			2	
Zotu7974					1			1
Zotu12147		1				2	1	1
Zotu9332						3	5	
Zotu17828				2		2	1	
Zotu13825				4	1	3		1
Zotu7835	1	2			4	1	2	
Zotu16958								
Zotu6797								
Zotu4401			37		1	19		22
Zotu20012								
Zotu17019		3				2		
Zotu6187			1	1		44		
Zotu10904	1							1
Zotu8795								
Zotu12972	6							
Zotu6115								
Zotu4192		1						
Zotu3500	1				1	1		
Zotu11942								
Zotu1882								
Zotu10897								
Zotu4951					1			1
Zotu17661							1	
Zotu9409			2	2		3		4
Zotu8629		1	3	3		1	2	
Zotu2957	8	1	20	20	1	16	8	7
Zotu8800						2	1	2
Zotu8561		1						1
Zotu5858		3	1	1		1	1	1
Zotu10383		1		4		5		8
Zotu15508	2					1		
Zotu17705						1		
Zotu10665		2		7	1			
Zotu13089								
Zotu12039				1				
Zotu18599								
Zotu18739								
Zotu1979	2		36					257
Zotu3841				1	1			75
Zotu8440	1		2		24			
Zotu19732					1			2
Zotu13507					1	5		
Zotu10593	1							6
Zotu5380	1	7	7	4	11		1	1
Zotu13920				1	1			2
Zotu12667			1	1			1	
Zotu9899						1		
Zotu15456								
Zotu6879		1			1	2		
Zotu3670			3					
Zotu8642		1						
Zotu16388								
Zotu7981								
Zotu5799								
Zotu6150	1			5	1			
Zotu17835				1			1	
Zotu13718	2		1			1		
Zotu15935								
Zotu18509								
Zotu12937		3						
Zotu2282	8	5	7	16	16	2	5	13
Zotu8568	2		4	3	1	2		1
Zotu19882					2			
Zotu7996					5			
Zotu10149				3	3			
Zotu19257								
Zotu11828							1	
Zotu5828								
Zotu8963			1					
Zotu7514				1		1	1	
Zotu16516					1			
Zotu13173	1	2				2		
Zotu18260		1		1		1	3	
Zotu8018		1	1	1				1
Zotu5577		1		1	1			
Zotu20160				2			1	3
Zotu14250		1						
Zotu10843					1			4
Zotu10613								
Zotu17404		1						
Zotu8119				2	1	3		1
Zotu13203	2	1	11				2	5
Zotu10322	2	1	33			1	3	2
Zotu19447								
Zotu19024			1					
Zotu11605								1
Zotu15517								
Zotu8876								
Zotu11134	1							
Zotu12831			2		1			
Zotu1807	4					1	2	
Zotu5571		1	1		1	3		
Zotu6305	2						1	
Zotu14636		2						
Zotu3787	18	4		8	3	9	2	
Zotu2156	36	3	24	14	3	21	27	2
Zotu10836								
Zotu12867			1					
Zotu9264	2	1				2		1
Zotu13378						2		
Zotu15272								
Zotu13234		2			4			
Zotu11894								
Zotu10832			1					3
Zotu16974		1	1					
Zotu20124				3				
Zotu11944								
Zotu19413								
Zotu20194								
Zotu17020								
Zotu5151								
Zotu8210		1		1	4			
Zotu1113						1		
Zotu17953								
Zotu9013		1	2	3	2	2		
Zotu14824								
Zotu10154			1					
Zotu16335								
Zotu13636								
Zotu14630								
Zotu19638	2							
Zotu16776								
Zotu7610		1			4	1	4	1
Zotu11657								
Zotu4183								
Zotu3921								
Zotu2494	6	6		5	12		9	3
Zotu8215						1	1	
Zotu17930								
Zotu12773					3			1
Zotu18493					1			
Zotu5382		3		2		1	1	
Zotu1678	2			2			1	
Zotu508	1	4	8	9	26	7	2	10
Zotu6431								
Zotu3473				1				
Zotu4986								
Zotu7656								
Zotu4289			2	2	1		1	2
Zotu14719								
Zotu4906			1			1		6
Zotu10032								
Zotu3649	2		3	3				
Zotu18687								
Zotu13242								
Zotu6615								
Zotu1430		1			3		2	
Zotu4774		4	1					
Zotu291	21	21	25	19	7	7	6	2
Zotu12205				2				
Zotu2223		4	2		2	8	5	
Zotu7783					1			
Zotu557		1					2	3
Zotu19259								
Zotu6537				2	5	1		1
Zotu9519	1							
Zotu1829								
Zotu2757			3		1	3	1	
Zotu7493								
Zotu9456	1	2				1		
Zotu767	1				4	1		1
Zotu769	2	5	1	2	13	1	4	1
Zotu9523								
Zotu1030	4	3			4	5		2
Zotu8093		1						
Zotu1261	2			1		15	2	
Zotu15948								
Zotu10062		1		1		2		
Zotu14607								
Zotu11896								
Zotu1624	2	1	1	1	3	1	1	1
Zotu374	2	3	20		3	78	1	2
Zotu12020		1						
Zotu7065								
Zotu5910		3	2	7	1		1	1
Zotu10092			1	4			3	1
Zotu5805	5	7	10	14	8		10	5
Zotu671	18	28	44	114	11	9	37	68
Zotu1084	12	22	29	24	9	14	26	14
Zotu17883								
Zotu5970			12	12			6	20
Zotu11949								1
Zotu9588	2	1		1		2	2	1
Zotu9217						2		
Zotu19310								
Zotu4037	2	2	1	6	1			
Zotu18442							1	
Zotu14752								
Zotu18196								
Zotu13194				3				
Zotu5747	1			1			1	2
Zotu2541				4	17			2
Zotu2122	2	3	9	15	17	4		8
Zotu12979				1	1			
Zotu14423	1			1				
Zotu16322					1		1	6
Zotu11869	7		1					
Zotu16260	1						3	
Zotu3054		3	6	10				
Zotu7959								
Zotu901	4	2	5		4		2	2
Zotu18013								
Zotu12425					2	4	1	1
Zotu16081								
Zotu19179								
Zotu15584								
Zotu1248			1					3
Zotu1058	5		2	1	11	2	3	5
Zotu12427								
Zotu16480								
Zotu246	10	18	2	6		29	7	6
Zotu2538	1	1		1				
Zotu4559				5	2		1	
Zotu3110			3		6	1		
Zotu4042					1		1	3
Zotu8638				3				
Zotu14861								
Zotu2628						1		
Zotu4928				1				
Zotu5347			1	1			1	
Zotu1659	1		1			1	3	2
Zotu4828		1				2	1	
Zotu5056								
Zotu15870							1	
Zotu15263							1	
Zotu18577		1						
Zotu1579	2		2			3	1	2
Zotu8828						1		
Zotu15222								
Zotu15729								
Zotu18757								
Zotu19760								
Zotu2495			2	1				
Zotu12581	1		1		2	1	2	
Zotu12785								
Zotu6050								1
Zotu13752								
Zotu10968				2				
Zotu12345								
Zotu19052								
Zotu13361								
Zotu1201	8		3		2	6	2	3
Zotu15669								
Zotu7829								1
Zotu12968								
Zotu4150								
Zotu10731					1		1	1
Zotu9310								
Zotu9249								
Zotu11621				1				
Zotu10521								
Zotu10990							1	
Zotu9381								
Zotu4982								14
Zotu14406								2
Zotu5635							1	
Zotu3627	1	1		6	11		5	27
Zotu5709				1	4	2		27
Zotu9442	2				11			9
Zotu6899								
Zotu8346					2			
Zotu14010								
Zotu9564								1
Zotu2433		4	5	4	1	1	2	38
Zotu6251	1	1	4		2	1		10
Zotu8984								1
Zotu12199			5					6
Zotu12859			2					
Zotu4536	6	2	2	10			1	1
Zotu18355								
Zotu11718				1			1	1
Zotu17679				1				
Zotu6692				1	2	1	1	4
Zotu18900				2				
Zotu4005	1	1	7	7			2	29
Zotu5764								
Zotu15052							2	
Zotu9704				1				
Zotu11493	1							
Zotu16455								
Zotu8929	1				6			2
Zotu10780	1							
Zotu18224								
Zotu9359								
Zotu6165	1		1		2	2		
Zotu4259				1	1		1	1
Zotu11867								
Zotu18156								
Zotu19328								
Zotu16034								
Zotu17088		3		1	1			1
Zotu5739			2			1		7
Zotu16574								
Zotu12259								
Zotu2842	1	1	1		9			
Zotu10825	1		2					
Zotu7362	1	1						
Zotu19861								
Zotu17357								
Zotu11369								
Zotu3798	2							
Zotu20796								
Zotu3858	1					5		
Zotu16655								
Zotu5316					1		1	
Zotu7577	1							
Zotu6142					1			8
Zotu6204					5			
Zotu17406								
Zotu17683								
Zotu1177	3	1	3	2	4	2	1	1
Zotu10306	1		2	1		1		1
Zotu8318	1		1			1		1
Zotu5422		1						
Zotu18006								1
Zotu2794		1	15		3	3	1	3
Zotu908	12	2	20	5	1	3	4	24
Zotu13439								
Zotu3917	1		1		5	2	1	
Zotu4330	1		1		10			5
Zotu17477								
Zotu702		1			2		3	1
Zotu10381								
Zotu17343								
Zotu13544	1		1	2	1			3
Zotu3897					10			
Zotu15745								
Zotu7498					2			
Zotu15244					1			
Zotu9436			5					
Zotu5370								
Zotu20101								
Zotu1423		2	1	5	3	2	3	3
Zotu14117	1							
Zotu4256	2	3	11	2	1	4	1	18
Zotu5565								
Zotu12981					1			
Zotu19541								
Zotu7374								
Zotu19224			1					
Zotu1203	3	5	8	2	9	6	3	9
Zotu8687			3		4			
Zotu4946								
Zotu8347								
Zotu9932								
Zotu15566								
Zotu2944	2	1	1	1	3		1	1
Zotu1416	5	2			1	1	1	
Zotu4879			1			1		
Zotu9882								
Zotu16311	1	1						
Zotu6121	1	1	1	2		3	1	2
Zotu6017								
Zotu8213	1	4		2		1	1	2
Zotu2124	15	3	8	5		2	3	
Zotu12821								
Zotu6697	9	9						4
Zotu17162								
Zotu19003								
Zotu17864	2							
Zotu18021	1							
Zotu1754	47	2	19	15	6	5	22	3
Zotu8521	6		2	3			6	
Zotu16553	3	2		1				
Zotu1332		5	6	2	3	2	7	3
Zotu3275		1	2	6	10		1	34
Zotu19663	2				1			
Zotu6916				3	1	1	1	
Zotu839	5	2	2	3	4		6	4
Zotu9460		1					1	2
Zotu18650								1
Zotu14275								
Zotu17234					2			2
Zotu10872		1	2	2		3	1	2
Zotu15649								
Zotu6498				1	2	1	2	7
Zotu10860							4	
Zotu9176				1	1			
Zotu8818	1		1	1	1			1
Zotu14955		2			2			1
Zotu8075				1	2			2
Zotu19579								
Zotu15139								
Zotu8264			3	1		1		2
Zotu13271								
Zotu18571								1
Zotu9470								
Zotu6759				1	4	1		3
Zotu2268	2	8	3	5	8		2	6
Zotu10294							1	
Zotu14035			1		4			
Zotu18280			1					2
Zotu12122								1
Zotu19875		1			5			1
Zotu7146								2
Zotu10577						1		
Zotu18770								
Zotu5650								
Zotu7490				4				
Zotu17711	1							
Zotu3647				1			8	1
Zotu4840	1		2	6			2	
Zotu9079				1				
Zotu8482	1	3		8				
Zotu10509				4			1	
Zotu2066	1	3		2		3	2	
Zotu3681							1	
Zotu18047	1							
Zotu1405			10	1	6		2	5
Zotu5563	1		3	2	3		2	2
Zotu19142								
Zotu13424	2	1		1		1		1
Zotu17526		1						
Zotu2369			1					
Zotu10442								
Zotu3750		3	1		1			1
Zotu12949								
Zotu13819					4			
Zotu567	31	39	101	2	253	8	7	45
Zotu1310	2	1		2	171		2	51
Zotu9710			1					
Zotu16878								1
Zotu12044						1	1	
Zotu3434	1		1					
Zotu3973		1		1				
Zotu20027								
Zotu14064	3			1	1			1
Zotu883								
Zotu17036			5					4
Zotu15309								
Zotu7740								
Zotu11911		1						
Zotu13079				1				
Zotu5080								
Zotu12589	1	1						
Zotu12802	1							1
Zotu9915			1		5		1	1
Zotu3567	4	3	3	2	32	1	1	3
Zotu1302	11	7	3	16	65	6	9	46
Zotu16939				1		1		1
Zotu3982			3		7		1	10
Zotu12545			1					1
Zotu6048			2	1				1
Zotu2014			8		1			6
Zotu17985								
Zotu12909								
Zotu16843								
Zotu18688								
Zotu14669					2			1
Zotu10597								
Zotu7676		1			4			
Zotu14760		2		1				2
Zotu10397		1			1			
Zotu5428					3			6
Zotu16485								
Zotu5505			1	2			2	
Zotu12223	1							
Zotu4893	1							
Zotu18413					1	1		
Zotu11743					2	1		
Zotu4532	1		1			1		4
Zotu10691				2	1			2
Zotu19347	4				1	2		
Zotu3843								
Zotu7940		1						
Zotu3336		1					1	
Zotu1935	1				8	2	2	
Zotu13477								3
Zotu18634								
Zotu13178								
Zotu9322		1			1		1	
Zotu9572					2			2
Zotu13146			1					1
Zotu18681					2			
Zotu8941								
Zotu15450								
Zotu19343								
Zotu17565					2			
Zotu19006								
Zotu11636								
Zotu8854								
Zotu2615		1			3	1	3	
Zotu14823								
Zotu20453								1
Zotu20129								
Zotu8200								
Zotu14525								
Zotu11290								
Zotu15295								
Zotu18614								
Zotu11307			1					
Zotu18607								
Zotu3313					1			1
Zotu19764								
Zotu15790								
Zotu1546								
Zotu6876								
Zotu5262								
Zotu10966								
Zotu20175					1			
Zotu14631								
Zotu17671								
Zotu8304								
Zotu9758				2				
Zotu11235								
Zotu14421								
Zotu11719								2
Zotu14082								
Zotu16483								
Zotu16458								
Zotu9679								
Zotu11795								
Zotu11596								
Zotu5359								
Zotu7628								
Zotu11553								
Zotu11599								
Zotu19135								
Zotu18243								
Zotu19869								
Zotu19912								2
Zotu7566				1				
Zotu2994			1		3	1		4
Zotu15370								
Zotu16354				2				
Zotu9530								
Zotu19358								
Zotu17369								
Zotu16486		4						
Zotu19823								
Zotu5696								
Zotu16198								
Zotu8983								
Zotu18120				2				
Zotu11170								
Zotu15160								
Zotu12540								
Zotu7381				2		5	3	3
Zotu9490								2
Zotu10995	3			3	1		1	
Zotu8193								
Zotu12222								
Zotu14920								
Zotu18802	1						1	4
Zotu10128								
Zotu12440		2			15			
Zotu20793								
Zotu1558			2	5	20	5	9	5
Zotu1693		1						
Zotu10429								
Zotu1229		1	1	2	42		1	8
Zotu4464				2	9	1		
Zotu12369			1		3		3	3
Zotu19990					1			
Zotu9706					1	1		
Zotu19218								
Zotu15268								
Zotu16470								
Zotu20526	3				1			2
Zotu8365	10		3		1			2
Zotu11381			1		1			6
Zotu9268	1	1	5		3		1	2
Zotu16415								
Zotu17034	1	1	1		1			
Zotu6284								
Zotu4837							2	
Zotu4930								
Zotu16099							1	
Zotu13190								
Zotu2652								
Zotu10745								
Zotu15793								
Zotu15105						1		
Zotu11873								
Zotu19701								
Zotu20633								
Zotu3504	2	2			2	2		
Zotu4170	2		1	2	7			1
Zotu7121							1	
Zotu12665		1						
Zotu18921								
Zotu19842		3						
Zotu4134								
Zotu8861			3		1	1		
Zotu8460					1			
Zotu15145								
Zotu14061								
Zotu3483								
Zotu12441								
Zotu17174								
Zotu5564			1		1			
Zotu9136								
Zotu10203								
Zotu2875	1							
Zotu6387	1							
Zotu16273								
Zotu10668					1			
Zotu8348		1			1			
Zotu19993								
Zotu10542								
Zotu12287								
Zotu7049			2		3			
Zotu15556								
Zotu1536	3	2	3	5	4	2	4	2
Zotu11040								2
Zotu8396								
Zotu5888								
Zotu3486								1
Zotu4461								
Zotu18134					1			2
Zotu19592								
Zotu18827								
Zotu13511								
Zotu7608				1			1	
Zotu8329							2	
Zotu18640								
Zotu18781	2							2
Zotu9087	3			2		4		
Zotu9723	1			2				
Zotu18824								
Zotu1753			1		1			
Zotu6206								
Zotu15605								
Zotu9485							2	
Zotu11627								1
Zotu9584								
Zotu13236								
Zotu11321								
Zotu5156	1							
Zotu13719					6			
Zotu10213					1			
Zotu14499								
Zotu16905						1		2
Zotu8350								
Zotu11377								
Zotu20156	1			2	3			1
Zotu12076								1
Zotu17150	1				1			
Zotu10067					1			
Zotu10351						1		
Zotu13352								
Zotu15294								
Zotu16891				1				
Zotu9517								
Zotu18784								
Zotu17457								
Zotu18071								1
Zotu20828							1	
Zotu8094								
Zotu10947								
Zotu18777						1		
Zotu11283								
Zotu12768								1
Zotu20799								
Zotu11824								
Zotu19872								
Zotu6801					1			
Zotu6965		2						
Zotu9716								
Zotu15899								
Zotu6491						1	4	
Zotu18683								
Zotu16534								
Zotu5797					1			
Zotu11921								
Zotu8502								
Zotu9769						3		1
Zotu15374								
Zotu3255								
Zotu3457								
Zotu7762								
Zotu9239								
Zotu18545								
Zotu9636								
Zotu20497								
Zotu4272								
Zotu12349								
Zotu5808			1					
Zotu14548						2		
Zotu20555								
Zotu4648								
Zotu16947								
Zotu19567								
Zotu19516					1			
Zotu14332								
Zotu7794								
Zotu2702								
Zotu3224								
Zotu12442								
Zotu13633			1					
Zotu19562								
Zotu13632								
Zotu12980		1			1			
Zotu13068								
Zotu18654								
Zotu13075				1	2			
Zotu4446					1			
Zotu19873					1			
Zotu17067	1		1					
Zotu1517								
Zotu7319								
Zotu17607								
Zotu3231							1	
Zotu6969	8							
Zotu2263	1		1					
Zotu1617		2				1	2	
Zotu4312						1		1
Zotu5769	18							
Zotu3738				10	1		1	1
Zotu125	6		4	29			5	1
Zotu730	8		1	9	1	1		
Zotu187			17	10	4	6	3	
Zotu518	2		4	4			4	
Zotu141	7	1	7	13	2		1	5
Zotu2783								
Zotu16463								
Zotu4236								
Zotu13105								
Zotu329								
Zotu12924								
Zotu8959								1
Zotu2286		3						2
Zotu11677								
Zotu7394								
Zotu14732								
Zotu15460								
Zotu9753	3							
Zotu9269						1		
Zotu18679								
Zotu16543								
Zotu6598				3	3			
Zotu8064								
Zotu580	2		1					
Zotu2443								
Zotu1551			1		6			2
Zotu1237			2		4			
Zotu1827	5		1	2	4	4		
Zotu2619			2		3		2	
Zotu4173					2	1		
Zotu3340			1	1	1	2		
Zotu2237								
Zotu6094	1		1	2				
Zotu13529								
Zotu11515								
Zotu7928					3			
Zotu9201								
Zotu1063	1		1	2	8		1	4
Zotu317	3	6	5	11	9	2	3	5
Zotu3915								
Zotu12633								
Zotu11243			1					
Zotu19736								
Zotu20169			2					
Zotu9832								
Zotu1057	1	1	3	23	10	2		5
Zotu5896		1		1				
Zotu8801					11			
Zotu17616			2					
Zotu17068								
Zotu20860			1					
Zotu17627								
Zotu4571					1	2		
Zotu13593								
Zotu10782								
Zotu12680	1						1	
Zotu7402			1					
Zotu11270								
Zotu1396								
Zotu11861								
Zotu15333		1			3			
Zotu2724								
Zotu3161		1	2	3	2			1
Zotu19682								
Zotu13948								
Zotu3832	7	1	1	8	3			
Zotu18552								
Zotu20281								
Zotu2484		1						
Zotu19071								
Zotu4213								
Zotu8343					2			
Zotu13082								
Zotu13372								
Zotu12596								
Zotu5275		1						
Zotu4567								
Zotu10537								
Zotu12614								
Zotu6348								
Zotu6766								
Zotu843			10		1	2	1	
Zotu15182								
Zotu3489		1						
Zotu19686								
Zotu13395			2					
Zotu864	5	1	5	2	5	1		
Zotu5471								2
Zotu6210								
Zotu11344								
Zotu18206					3			
Zotu531		1	1	5	2	2		2
Zotu2618						1		
Zotu589	3		3	1	1			
Zotu2881			1			2		
Zotu3682							2	
Zotu13189			1				1	
Zotu12754			2					
Zotu9781								
Zotu300	4		8	2	7	2	2	2
Zotu1219	1	1	1	3	2	1		
Zotu4831	1		2		2			
Zotu2174				1	4			
Zotu18978								
Zotu14315								
Zotu19452								
Zotu19854								
Zotu6218					1			
Zotu2420	1	2	1			2	1	
Zotu7904								
Zotu4373								
Zotu920	1		3					
Zotu2189								
Zotu1824	2	2	1		4	1		
Zotu581	6	1	3	2	2	2	2	1
Zotu3545								
Zotu5288	1							
Zotu11585								
Zotu1318				4	2	1		2
Zotu14720								
Zotu12546								
Zotu18615								
Zotu11932					1			
Zotu1645					1			
Zotu1128			5	1				
Zotu617			1		4	1	1	2
Zotu13863								
Zotu349	3	1	6	4	7	2		2
Zotu587	8	2	3	5	5	1		1
Zotu7945	2							
Zotu11698								
Zotu6026								
Zotu7557	1				1			1
Zotu2062								
Zotu1217			2	1	1			
Zotu18388								
Zotu111	18		9	16	17	3	3	7
Zotu653			2		1			1
Zotu2684								
Zotu4052			2					
Zotu4615								
Zotu18315								
Zotu15719								
Zotu8293						1		
Zotu1483	2			1			1	
Zotu1719			3					
Zotu7807								
Zotu11501								
Zotu20095								
Zotu6092								
Zotu9169								
Zotu1970								
Zotu8404								
Zotu6639								
Zotu7618								
Zotu3595								
Zotu18012								
Zotu10544								
Zotu4688	2							
Zotu4721								
Zotu4952		1						
Zotu17490								
Zotu16981						2		
Zotu18135							1	
Zotu17180								
Zotu15527								
Zotu19367	1							
Zotu14989								
Zotu20092								
Zotu3108			1	1		1		
Zotu6516						3		
Zotu13432								
Zotu15818					2			
Zotu15898				1				
Zotu15265								
Zotu16875								
Zotu18829			1					
Zotu11796								
Zotu5230					2			
Zotu19271								
Zotu13686						2		
Zotu3928								
Zotu9403								
Zotu14664								
Zotu2144	1							1
Zotu2869				1				
Zotu273	6	3	10	5	15	7	4	1
Zotu19896								
Zotu18685								1
Zotu19474								
Zotu20644								
Zotu860			4	2				
Zotu14855								
Zotu12419			1					
Zotu58				1	1		2	
Zotu873	1							
Zotu360		2			1	1		
Zotu4214								
Zotu2648								
Zotu356	1							
Zotu67			7	4				
Zotu5778								
Zotu7700								
Zotu7687								
Zotu9156								
Zotu3070	1	1	2	1				
Zotu881								
Zotu5570						1		
Zotu104								
Zotu8089					1			
Zotu12148								1
Zotu6922		2	3	1				
Zotu11765							1	
Zotu3012					1		1	1
Zotu15940								
Zotu19080								
Zotu16975								
Zotu10599								
Zotu19258								
Zotu16612								
Zotu18066								
Zotu19231								
Zotu9613								
Zotu14584							1	
Zotu18308		3						2
Zotu8084	3					1		3
Zotu16255								1
Zotu10502	1				1			
Zotu16213								
Zotu13036								1
Zotu11854							1	
Zotu11778								
Zotu10763								
Zotu5216								1
Zotu3287					1		1	
Zotu6851								
Zotu20593		2	1			1	1	3
Zotu12814		3					1	
Zotu6395	6	9	2			2	2	18
Zotu12413		1	1	1				
Zotu4885	2	2	4			6	4	14
Zotu6701	1	5	1		2		2	9
Zotu2969	7	34	6		1	3	8	46
Zotu8556	1	2						3
Zotu11279			1			2	1	
Zotu18644				1		1		
Zotu8513	2				3	1	2	10
Zotu17192		4						
Zotu10407			3					1
Zotu10893		1	2	1				2
Zotu11468		2	2			5	1	
Zotu2478	4	21	4		3	2		
Zotu12393								
Zotu7474	2		2			2		
Zotu7167	4	6			1	2		
Zotu10619		17		1				
Zotu14364		1				2		1
Zotu4430			1	2			6	
Zotu2910	3	33	9	2	1	3	4	1
Zotu2051		13		117	2	44	36	1
Zotu11168		1						
Zotu13877								
Zotu13991								1
Zotu17819								2
Zotu8563						1		
Zotu20021	1				1			
Zotu9533	1							
Zotu16993				2			2	1
Zotu10988	1	2						
Zotu15893							3	
Zotu13238							1	
Zotu11021	1	2		1				
Zotu19708								
Zotu20797		2				2		
Zotu4327								
Zotu9162	2							
Zotu20167								
Zotu16599								
Zotu2300	3	3	2		6		7	6
Zotu8127								
Zotu7667			1		1			
Zotu11049		1			1			
Zotu12605								
Zotu17185								1
Zotu6792								
Zotu5694				2				
Zotu9391								
Zotu13419	2							
Zotu6715								
Zotu12077								
Zotu7688	4		10	1	1			4
Zotu5258			1					3
Zotu10602								
Zotu2848	1	4	54		1	1	1	5
Zotu16996								
Zotu4966			2					
Zotu17926								
Zotu6890								
Zotu8090			1					
Zotu19316								
Zotu12361	1	2	2			1		2
Zotu16955								
Zotu10365				1				1
Zotu13779			1					
Zotu9153							2	2
Zotu12704					1			
Zotu3959								3
Zotu17957								3
Zotu10913					2			
Zotu12373			1		1			
Zotu9545								1
Zotu9611								
Zotu8356								
Zotu14412								
Zotu18090								
Zotu8225								
Zotu14333								
Zotu14939								
Zotu17885	1							
Zotu1482								1
Zotu13705			4					
Zotu20486					3			1
Zotu12168								
Zotu9427								
Zotu13889						1		
Zotu13260								
Zotu15075		2						
Zotu7373								
