ID	rs_cd_1	rs_cd_2	rs_cd_3	rs_cd_4	rs_cd_5	rs_cd_6	rs_cd_7	rs_cd_8
Zotu7318		1		1		1	1	
Zotu13989				1				
Zotu3356		3	1		2	1		
Zotu14255								
Zotu10386								
Zotu17712								
Zotu3888			1		2		2	
Zotu19124				1			1	
Zotu4659								
Zotu4237		5	1	1	2		1	
Zotu11740								
Zotu13054								
Zotu1159	5	6	6	3	5	7	5	
Zotu13064					1			
Zotu3446	1	1	1			1	2	
Zotu1855	1	1	1				2	
Zotu7825					1	1		
Zotu6770				3		1		
Zotu7642								
Zotu9797								
Zotu13360								
Zotu9407								
Zotu3865	2		1	1	6	2	1	
Zotu4382	3					1		
Zotu3609				1	1			
Zotu5175	1					1	3	
Zotu2636	1			1	5	1	3	
Zotu5139		1		1		2		
Zotu16408								
Zotu14624								
Zotu3245		3	3	1		1	2	1
Zotu173	14	4	13	12	27	12	24	16
Zotu684	10	5	4	6	7	3	7	3
Zotu1676	2		2	5	3		8	5
Zotu2864	1		2	2	2			
Zotu9351				1		1		
Zotu3792		1	2		1	1		1
Zotu12431								
Zotu19364								
Zotu13410	3							
Zotu6614	2	1	1		2	2	2	
Zotu8359								1
Zotu9422							2	2
Zotu20677						1		
Zotu9525	1	1			1			1
Zotu12276	1							
Zotu12179							1	
Zotu5848								
Zotu18639								
Zotu19487								
Zotu16137								
Zotu16410								
Zotu15739								
Zotu4392					1			3
Zotu20495					1			
Zotu8512								
Zotu15975								
Zotu14488								
Zotu19283								
Zotu11475								
Zotu4523	1				2			
Zotu4637					1		1	
Zotu777	2	1			2			2
Zotu7077								
Zotu4711	1				2	1		
Zotu12218								
Zotu7371								
Zotu9666								
Zotu14360								
Zotu3697								
Zotu1446	2							
Zotu13964								
Zotu17979								
Zotu19004								
Zotu5697								
Zotu6058					2			1
Zotu18282								
Zotu13454	1				1			
Zotu476			2	1	6		1	3
Zotu15332								
Zotu4880								
Zotu11676								
Zotu11465		1						
Zotu15444								
Zotu20346								
Zotu8531		1						
Zotu7647			1		1			2
Zotu16907					1			
Zotu1525								
Zotu4317								
Zotu12353			1					
Zotu15678								1
Zotu13939								
Zotu4442	2				4	5		
Zotu9962					2			
Zotu8490								
Zotu10440					2		1	
Zotu17846								
Zotu15513								
Zotu18397			1					1
Zotu3291								
Zotu2866				1				
Zotu7100								
Zotu3259								
Zotu5089					2			
Zotu6773								
Zotu16324		1						
Zotu11459								
Zotu7359					3			
Zotu14692								
Zotu6449								
Zotu5556								
Zotu15876								
Zotu20294					1			
Zotu3674								
Zotu9053								
Zotu15237								
Zotu15062								
Zotu7704								
Zotu9221								
Zotu6113								
Zotu2298	1	10		1	1	1		
Zotu3320								
Zotu3408								
Zotu3844								
Zotu16390								
Zotu10370								
Zotu3594								
Zotu19913								
Zotu5071								
Zotu4851								
Zotu8772					1			
Zotu19032								
Zotu5981								
Zotu12992								
Zotu11293								
Zotu14965	1	1						
Zotu17989					1	1		
Zotu14405								
Zotu12670								
Zotu18386								
Zotu10674						1		
Zotu16425								
Zotu6532		1					1	
Zotu8668								
Zotu18495								
Zotu15116								
Zotu8423					1			
Zotu16175								
Zotu12216				2				
Zotu778	1					1		6
Zotu13339								
Zotu11970								
Zotu15408				1				
Zotu4563			1		2	1		
Zotu17669								
Zotu19629								
Zotu18417								
Zotu5636								
Zotu10991								
Zotu5128								
Zotu11542								
Zotu19858								
Zotu5368								
Zotu9767	1		1					
Zotu16970								
Zotu11437				1				
Zotu19585								
Zotu10191				1			1	
Zotu13056								
Zotu3867	1		1		1			
Zotu12566				1			1	
Zotu9226								
Zotu17018								
Zotu16019								
Zotu1092	5	2	4	4	4	3	3	1
Zotu2660		1	1					1
Zotu6931				1		2	2	1
Zotu4374		1		2	1	1		
Zotu3934	1		2	1	1	2		
Zotu1820	3	3			1	2	1	1
Zotu5548						4		
Zotu1014		2		1	1	1	3	1
Zotu1329	2	3		2	4	2	1	2
Zotu5101					1			1
Zotu19975								
Zotu5226	1		2					
Zotu16362	4	3		3	4	2	3	
Zotu16397	3	2	2	3			1	
Zotu19198	4	2		1	7		3	2
Zotu19911								
Zotu13061							1	
Zotu20336								
Zotu17692	25	23	15	15	24	24	24	10
Zotu20273								
Zotu18526								
Zotu13857	1			1				
Zotu20408								
Zotu17938								
Zotu20362								
Zotu14640								
Zotu14203						2		
Zotu19976								
Zotu19332								
Zotu19692								
Zotu14297								
Zotu17755								
Zotu18807								
Zotu19161								
Zotu19298		1				2	1	
Zotu19191		1						
Zotu20068								
Zotu13963								
Zotu6623								
Zotu1466	4	1	1	3	3	1	5	3
Zotu7885								2
Zotu6087			1		1			
Zotu13711					1			
Zotu20773	1				1			2
Zotu19711								
Zotu2950	2		5	2	11	1	2	1
Zotu14156								
Zotu7297			1					
Zotu16868								
Zotu17508								
Zotu11070					1			
Zotu14329				2				
Zotu3405		1	1		1			2
Zotu9027		1			1			
Zotu2972	1	2	1	1	1	1		
Zotu621	7	5	9	8	5	5	8	3
Zotu1586			1		3	5		1
Zotu3619					1	1		
Zotu5333		3			1		1	
Zotu950	1	3	1		9	2	1	7
Zotu15367								
Zotu19209								
Zotu1381		1	6	3	5		1	3
Zotu11635						1		2
Zotu18222								
Zotu15350								
Zotu17534								
Zotu2963					1			
Zotu10535								
Zotu2371			1		4			
Zotu3084		1			4	1		
Zotu6203								
Zotu13290					1			
Zotu6009	2			1	1	3	1	2
Zotu8449								
Zotu18337								
Zotu1762	1	2			7	3		2
Zotu16706								
Zotu13762								
Zotu8536				1				
Zotu7540	1	1	1		3			
Zotu10977								
Zotu1284	2		1	1		3		1
Zotu14146								
Zotu1677	3	1	2	1		4	1	
Zotu11004								
Zotu3808		2			2			
Zotu7347		2					1	1
Zotu11616				1				
Zotu2389				1			2	
Zotu8715				1				
Zotu12184							1	
Zotu7125								
Zotu15875								
Zotu6338								
Zotu19960								
Zotu9139			1		2			
Zotu6093								
Zotu14236								
Zotu18668								
Zotu4654		2						
Zotu17351								
Zotu17950						1		
Zotu13553		1	1					
Zotu18508				1				
Zotu11849			1					
Zotu11882	1		1				1	
Zotu18774								
Zotu13220				2				
Zotu14978								
Zotu14895								
Zotu6097								
Zotu11945						1		1
Zotu16411					2			
Zotu19031				1				
Zotu8858		3						
Zotu20565				1				
Zotu11238								
Zotu11860	1						1	
Zotu13751		2						
Zotu10768								1
Zotu12127								
Zotu6486								
Zotu885	4						3	1
Zotu4756								
Zotu17478				5		2		
Zotu13055								
Zotu16157	1		3					
Zotu5238	1		2					
Zotu15094					1			1
Zotu19026								
Zotu9240			2	1	1			1
Zotu13121	1				4	1	1	
Zotu13583				1	1	1		
Zotu17626		3		1				
Zotu11957			1			1		
Zotu17655			1					
Zotu17673								
Zotu3825								
Zotu10810								
Zotu17341								
Zotu3133	2		1				3	
Zotu6707				1				
Zotu16124								
Zotu19649								
Zotu9784								
Zotu13663								
Zotu14982								
Zotu11444								
Zotu8874								
Zotu7734	2		1					
Zotu17514								
Zotu16513								
Zotu10724								
Zotu7342	1							
Zotu19319							2	
Zotu12450								
Zotu13970							1	
Zotu13338								
Zotu12174								
Zotu6364		3				1	1	
Zotu8957								
Zotu7800					1			
Zotu13998						1		
Zotu7011	1							
Zotu3289		3	1					1
Zotu7871								
Zotu13002								
Zotu9504								
Zotu4277						1		
Zotu7117								
Zotu10040								
Zotu10833								
Zotu10788								
Zotu16396								
Zotu20753	1							
Zotu19821								
Zotu5919	1					1		
Zotu5354	2						1	
Zotu10197		1						
Zotu1555	3					1	1	
Zotu7356						1		
Zotu17308								
Zotu14242								
Zotu9495								
Zotu6408				1		1		
Zotu2878		1						
Zotu6687	2					3		
Zotu5255								
Zotu14003								
Zotu13984								
Zotu17024								
Zotu6834						1		
Zotu16902								
Zotu19045								
Zotu13980								
Zotu2380		2						
Zotu6490				1	1		1	
Zotu15816								
Zotu10556								1
Zotu3733								
Zotu7191					3			1
Zotu7715				2				
Zotu20466					1			
Zotu14553								
Zotu18399						1		
Zotu18910								
Zotu18510								
Zotu4039							2	
Zotu10761								
Zotu16211								
Zotu10434								
Zotu9318								1
Zotu10549								
Zotu6667	1							
Zotu10219								1
Zotu11391								
Zotu6703	2			2			1	
Zotu3193								
Zotu9390					1	1	1	1
Zotu11797								
Zotu1400	3		3	1	2		3	4
Zotu13456								
Zotu1340					1			
Zotu5793			1				1	3
Zotu14282	1			1				
Zotu7233			1		2	2		1
Zotu9697		1			1			1
Zotu13251								
Zotu7473								
Zotu14049								
Zotu19484								1
Zotu886		1	2	7	4		2	1
Zotu602	3		14	2	5	1	1	
Zotu477	3	8	7	1	4	2	2	3
Zotu19793								
Zotu18673								
Zotu19261					1			
Zotu6815								2
Zotu18915								
Zotu6483					5	1		1
Zotu7463					1			1
Zotu7041			1		1			
Zotu4926					2	2	2	
Zotu19467								
Zotu11779			1					1
Zotu16269								
Zotu19331				1				
Zotu15482							2	
Zotu20018								
Zotu17942	1			1				
Zotu4198		1					1	
Zotu8387								
Zotu2597			2	1	1	1		
Zotu17194	1							
Zotu14835								
Zotu20732		2						
Zotu19529								
Zotu6353								
Zotu9384								
Zotu17358					1			
Zotu2202					1			
Zotu18975	1							
Zotu15606					1			
Zotu18299					3			
Zotu14428	1							
Zotu7187	1	2	1					
Zotu20791		1	1		2			
Zotu5379								
Zotu13578								
Zotu1351				2				1
Zotu1893		1		3	1		3	
Zotu20700								
Zotu9290				1				
Zotu6421				1	2	1		
Zotu16176								
Zotu13880								
Zotu9811							1	1
Zotu18383								
Zotu6796								
Zotu11544				1				
Zotu19264								
Zotu15838								
Zotu10993								
Zotu19945								
Zotu13952								
Zotu10007		1						
Zotu20474								
Zotu16519					2			
Zotu5191					2			1
Zotu9928								
Zotu1508			1	1	7		2	
Zotu17362			1					
Zotu5795		1			1		1	
Zotu9014								
Zotu11305								
Zotu6101			1					
Zotu17446						1		
Zotu8494				1		1		1
Zotu7076		1		2				
Zotu19108								
Zotu7659								
Zotu11122				1	4			1
Zotu3998								
Zotu17230					2		1	
Zotu6241								
Zotu564	14	27	15	6	17	5	12	14
Zotu9774			1		2	1		1
Zotu5969					1		1	
Zotu10850								
Zotu13175								
Zotu629	2	1	6	4	7	3		1
Zotu953	5	7	2	4	13		3	7
Zotu7595								
Zotu3597					1			1
Zotu2520		2			3	1		
Zotu10341								
Zotu6514								
Zotu8183								
Zotu20841								
Zotu10985				2				
Zotu362	3	8	79	15	21	20	17	17
Zotu890	3		22		1	1		3
Zotu548	3	5	19	1	15	4	4	5
Zotu3134		1	5	3	3	1	2	
Zotu4812					1		1	
Zotu13892								
Zotu830	3	4	5	3	7	1	3	10
Zotu274	10	16	27	12	53	11	22	37
Zotu1640	2	1	7		11	3	2	5
Zotu4310	1				1	1	2	1
Zotu2208	1	6	16		4			5
Zotu432	10	7	19	10	4	10	22	8
Zotu2687		1	1			1	1	
Zotu823	4	2	4	2	1	3	2	6
Zotu4594	1					1		
Zotu20763								
Zotu11178								1
Zotu15780								
Zotu2238	1	1		1	3	1	1	3
Zotu8708		1						
Zotu8038								1
Zotu11843								
Zotu2499		1				1		5
Zotu14075								
Zotu17787						1		
Zotu1052			2	1	2	1	1	
Zotu7129						2		
Zotu17398								
Zotu137	5	6	10	4	6	5	8	4
Zotu1776				1		2		
Zotu5123							2	
Zotu5162			1	1				
Zotu8550		1						1
Zotu8557				4				
Zotu1294		2	2	2	2	7	3	2
Zotu17852								
Zotu6819						1		1
Zotu7733								
Zotu11615								
Zotu16870								1
Zotu2132	4	4	4	1	6	1	2	4
Zotu6301			1		3		4	2
Zotu6161					1			
Zotu12637								
Zotu16071								
Zotu16579								
Zotu10184								
Zotu17269								
Zotu15410								
Zotu20527								
Zotu15902								
Zotu18663								
Zotu2424			1		1			2
Zotu18676	1				1			
Zotu19506								
Zotu14448				1				
Zotu17597				1				
Zotu12437								
Zotu14585								
Zotu20266		1						
Zotu16711					1			
Zotu6727		20				1		
Zotu18473		7				1		
Zotu18256		1						
Zotu18712		2						
Zotu17656								
Zotu18844								
Zotu20369								2
Zotu12074								
Zotu18670								
Zotu20004								
Zotu15082								1
Zotu4048		4	2		2	87		1
Zotu13854						2		
Zotu13676					2			
Zotu20107								
Zotu10297								
Zotu2697								
Zotu17928					1			
Zotu13228			1					
Zotu13491								
Zotu17802					1			1
Zotu6886								
Zotu16005								
Zotu1727								
Zotu10640								
Zotu7229								
Zotu1750								
Zotu2907								
Zotu3396								
Zotu18170							1	
Zotu17920	1						1	
Zotu11300								
Zotu12400								
Zotu17039								
Zotu20588								
Zotu17170								
Zotu12805								
Zotu12137								
Zotu15343								3
Zotu16238								
Zotu17982						2		1
Zotu993		2	6	7	12	1	1	2
Zotu9173								
Zotu20134								
Zotu16018								
Zotu5583							4	
Zotu8841		1						
Zotu17732						1		3
Zotu3011					1	1		2
Zotu5765				1		1		
Zotu6240	1							
Zotu7961			1					1
Zotu11511								
Zotu19491								
Zotu8463								
Zotu7658								
Zotu12921								
Zotu13277				1				
Zotu14952			1			1		
Zotu15982				1		1		
Zotu9990								
Zotu13620			1					
Zotu11813	1	2			2	1	1	
Zotu19700		1			1			
Zotu7385				1				
Zotu3085	1	1						
Zotu14032		1	1					
Zotu13198							1	
Zotu17583								
Zotu13975								
Zotu12317								
Zotu7882			2					
Zotu3657			3		2			
Zotu9423								2
Zotu9734								
Zotu16172					1			
Zotu481	4	3	2	2			2	
Zotu1375	1		2		1			
Zotu9414	1	2		2		1	1	
Zotu7416								
Zotu1322							1	
Zotu1144	2	1	3	10	5	3	5	4
Zotu869	1	6	5	8	6	4	3	12
Zotu5561		2		2			1	
Zotu1614								
Zotu11137								
Zotu2792	1			1	4	1	1	5
Zotu3593			2			2		
Zotu6691					5			
Zotu59	50	100	90	54	72	74	68	38
Zotu7465								
Zotu1846		4	1	3	1		3	1
Zotu1939					1			
Zotu4102	1		1		1			1
Zotu7965					1			
Zotu3417					5		3	1
Zotu10803								
Zotu6000						1	1	
Zotu7098					4			
Zotu5193								
Zotu1153	1	2	4	2	1	1	2	
Zotu15740								
Zotu14576								
Zotu10479								
Zotu19206								
Zotu2281		2	1					
Zotu7239							1	
Zotu4263	1		1					
Zotu7235								
Zotu15967								
Zotu13217	3			2				
Zotu12741								
Zotu4500	1						1	
Zotu8736			1					
Zotu3930		1	3	1		6	2	
Zotu9368								
Zotu7376								
Zotu2787							4	
Zotu18567								
Zotu7186								
Zotu18336								
Zotu8370								
