ID	bs_cd_1	bs_cd_2	bs_cd_3	bs_cd_4	bs_cd_5	bs_cd_6	bs_cd_7	bs_cd_8
Zotu9358		4	1			1		
Zotu16973			1					
Zotu4124	6		4	6	2	3	1	6
Zotu15467	3						2	
Zotu10026			1			1		2
Zotu17115						1		2
Zotu4543			1					
Zotu14727								
Zotu15036			1			1		
Zotu13237	1					1		1
Zotu5154	4	5	1	3	1	6	2	2
Zotu20398			1					
Zotu13594	1							
Zotu14251		2	2					2
Zotu17797							1	
Zotu2159	1		2	2		2	2	2
Zotu16337								
Zotu11541					1	1		
Zotu18968				1			1	
Zotu14299		1				1	1	
Zotu17303		1				1		
Zotu17147		1						
Zotu6439				1				
Zotu8307	3		1					1
Zotu20590								
Zotu11188						1	1	
Zotu20638								
Zotu16625								
Zotu8886	5		1	1		5	1	
Zotu7859	2					2		
Zotu8852	2		2	1			3	2
Zotu16790								
Zotu9669					1	3	3	5
Zotu13145					1			1
Zotu6838	1	1	1	4		2	3	4
Zotu17448			1					1
Zotu18574			1					
Zotu15691					2			
Zotu17419						2		1
Zotu18087						1	1	
Zotu15150		1		1				1
Zotu15500		3						
Zotu15600	1		1	1				
Zotu17109						1		
Zotu18343		1					1	1
Zotu18730				1	1			3
Zotu9355		1				3	1	
Zotu12139							1	
Zotu11424	1	5	1			2		1
Zotu13967	1							
Zotu4841	4	3		1	2	3	2	3
Zotu3584	9	10	5	4	4	3	7	8
Zotu4284	5	11	2	2		9	3	2
Zotu4770	4	1	3		1	4	1	4
Zotu1350	13	18	8	11	3	22	13	16
Zotu11234				1	2		1	1
Zotu5767	3	3	2		2	2	1	
Zotu11455	1	1	1	1		3		
Zotu11725		1		1		2		1
Zotu10127	1	2				2	1	1
Zotu3608	3	7	1	4	1	8	6	8
Zotu8369		1		1		2		
Zotu11559	1		2	2		1		
Zotu8973	1			1		2	2	2
Zotu18543	2				1			1
Zotu18044		1						
Zotu18539		1			1			
Zotu9317	1	1		2	1	1	1	1
Zotu18583			1					
Zotu5851	7	1		1		5	1	2
Zotu17934	1	1	1	1		2		
Zotu5227	2	4	2	1	2	3	1	6
Zotu3718	3	1		3	2	7		3
Zotu20508				1				
Zotu6932		4	4	1		2	2	
Zotu7552		1	4	3		4	2	1
Zotu17003								1
Zotu4943	1	2	3	2	2	2	5	
Zotu9992	1	1					1	
Zotu2594	7	8		2	4	7	2	5
Zotu4542	2	4	3	4	2	1	4	7
Zotu14578		1			4	1		
Zotu10607	1			2				
Zotu15127						1	1	
Zotu20698	4		2					
Zotu4551	4	8			3	3		1
Zotu8867	3	1	3			1		
Zotu13358			1				1	1
Zotu12444				1				
Zotu3660	1	9	3	3	5	6	3	3
Zotu11902								1
Zotu12454				1				1
Zotu7571	1	4	1	1	2	1	1	4
Zotu2348	3	6	3	3	1	6	6	8
Zotu2211		7	2	5	2	5	4	7
Zotu2236	4	6	2	4	1	4	1	2
Zotu5814			1			6	2	
Zotu14366							1	1
Zotu1273	6	13	9	15	23	18	14	8
Zotu17434	1		2					
Zotu18630	1		1					
Zotu11356		2		1		1		
Zotu5136	1	2		1	1		2	4
Zotu10570	1			1				
Zotu4903	2	6	1	1		5		
Zotu5840	2			6		1	3	1
Zotu2136	3	5	3	5	6	8	5	7
Zotu5241	2	3	3	7	2		3	1
Zotu9512				1		3		1
Zotu2058	2	10	1	8	4	9	5	8
Zotu5046			4	2	1	1		
Zotu14193				1				
Zotu7907				2		1	1	
Zotu4468	1	1	2	5		5	4	7
Zotu10231								1
Zotu8261								
Zotu20431		2						
Zotu1279	12	10	8	18	5	19	8	9
Zotu2004	14	14	6	8	5	18	9	11
Zotu13337	1	1					1	
Zotu4896	1	1	1		1	1	4	3
Zotu4378	1					3	2	1
Zotu1690	4	4	10	5	2	9	3	3
Zotu6464		1	2					4
Zotu13029	2	1						
Zotu5483				3		2	1	2
Zotu17994		1						
Zotu8288							2	
Zotu5212	1							
Zotu19942								
Zotu8598		1		1	1		1	1
Zotu16852			1					
Zotu2161	3	1	1	1	8	7	6	3
Zotu7603	2	1	1	1				
Zotu13899			3					1
Zotu4143	5	1		1	3	1	1	1
Zotu2312	10	12	3	8	3	6	1	2
Zotu4646	1	2	5				1	2
Zotu13582	2			1				6
Zotu13979		1					1	
Zotu13461	1					2	4	
Zotu13972			1					
Zotu15493								
Zotu9230	1	2					1	
Zotu4098		4		1	2		4	
Zotu14601		1					2	1
Zotu10883				2	2		1	
Zotu17242		1						
Zotu20725								
Zotu16284					1			
Zotu17662		1		1				
Zotu5879	2	1		1			1	1
Zotu13212					1			
Zotu17126								
Zotu3717	4	4		6	3	4	5	4
Zotu2258	4	1	5	2	2	11	2	3
Zotu1419	4	15	5	8	3	13	3	9
Zotu385	29	40	38	35	20	53	30	36
Zotu1842	11	5	8	4	9	7	4	6
Zotu4950		2	2	1	3	2	1	2
Zotu11389					4	1		2
Zotu8551			1			1	1	
Zotu12781	4					1		
Zotu8295	1	1					1	2
Zotu13252		1						
Zotu6863	1	1	1	1	3	7		4
Zotu8564		1	1			1	1	1
Zotu18400		2						
Zotu19025	1	1			1	1		
Zotu8514	5	1		1	4	3	2	4
Zotu10112						2	1	
Zotu14606					1	3		1
Zotu2562	3	11	9	11	7	11	3	9
Zotu5105	3		3	3	3	4		1
Zotu7619	1	1						1
Zotu13322		2				1	1	
Zotu13393	1	1	2	1	1			
Zotu15002		2		2				1
Zotu9287		1	1	1		1	1	
Zotu4352	3	6		2		3		2
Zotu3359	5	8		4		4	5	7
Zotu11351		1			2			
Zotu4564	4	1	1	1		4	4	2
Zotu15327	1					1		1
Zotu13109	1	1				2		3
Zotu7053								
Zotu10840				1			2	1
Zotu13699	1	4			1		2	
Zotu8520		2			1		1	
Zotu16933							2	
Zotu11456	3						1	1
Zotu17445		1						
Zotu5140	1	1		1		4	2	1
Zotu12299	2					1		
Zotu13441				1	1		1	
Zotu8896	5					1	3	
Zotu15687						2	1	
Zotu16822								
Zotu7160			1			2		3
Zotu19273	2							
Zotu13034								
Zotu17354			1	2				
Zotu19057			1					
Zotu4030								
Zotu7593	3	1				2		
Zotu16475					1			
Zotu19746								1
Zotu11479								
Zotu15048								
Zotu16650								
Zotu7289								
Zotu13280								
Zotu20664	1					1		
Zotu5818								
Zotu4070								
Zotu18109								
Zotu15947		1						
Zotu18826								
Zotu15821								
Zotu12642								
Zotu13747								
Zotu16948								
Zotu11798								
Zotu13776								
Zotu5821								
Zotu18376								
Zotu18183								
Zotu16078								
Zotu17827								
Zotu12343								
Zotu8955								
Zotu13559								
Zotu12519								
Zotu9868		1	1				1	
Zotu2879	3	7	1	1	3	1	9	3
Zotu9305	1	1						1
Zotu16664							1	
Zotu10347						2		1
Zotu17436						2		
Zotu14617					1			
Zotu19515								
Zotu15568	2		1	1	2		1	1
Zotu20489	2							
Zotu4001	2	1	2			2	2	1
Zotu6895			1		1			3
Zotu17903							1	1
Zotu16621		1						4
Zotu8471	1		2	2	3	1	1	3
Zotu15173	1							
Zotu3130	1	1		1	1	1	6	
Zotu5297		1					2	
Zotu3650	3	9	5	2	3	8	5	12
Zotu4424	4	2			8	3	3	6
Zotu5461	3	2	2		2	1	3	2
Zotu17887								2
Zotu12438								
Zotu14999		1				1		
Zotu16482	1							1
Zotu15983	3	1		3	1		2	1
Zotu17798		1						
Zotu17444		3	1		1	1	4	1
Zotu12461	2	1			2			
Zotu12515	3	1	1		2			3
Zotu11268				3	1			3
Zotu18799		2						
Zotu11914					1			
Zotu17276					1	1	2	
Zotu15334	2		1			1		
Zotu17062			3	2	5	2		
Zotu15654					1	2		
Zotu17532								1
Zotu18149								
Zotu16453		3	3	1	2		3	4
Zotu15065			2	1	1	1	4	2
Zotu17624		2	2		1		2	1
Zotu17598								
Zotu17695								
Zotu19864		1	1				1	
Zotu17685				1				
Zotu18169								
Zotu18849								
Zotu14693								
Zotu16363								
Zotu15892								
Zotu19625							1	
Zotu17865	3	1	9	8	2	2	11	3
Zotu15964				1		1		
Zotu13580				4		1		
Zotu19723						1		1
Zotu20423			1					
Zotu8995	1		5	1	1	1	1	
Zotu14361		1		2		1		1
Zotu20708								
Zotu20707								
Zotu8883	3	3	2		2		1	2
Zotu2946	1	4	2	1	4	3		1
Zotu12713			2			2		
Zotu15337								
Zotu10273	1							
Zotu9813		1			3			
Zotu11706	1			2	2	2	1	
Zotu10244							1	
Zotu11968	1							
Zotu13119								
Zotu12717								
Zotu15235		1					2	
Zotu10895								
Zotu18240						1		
Zotu17025								
Zotu16432								2
Zotu788	5	3	14	9	25	13	20	10
Zotu6680				1		2	2	
Zotu7372		4	1	1	1	5	2	3
Zotu20522					2		1	
Zotu9643			3			1		1
Zotu6219		3	1	2				
Zotu8775		1	1					
Zotu4349				2			2	
Zotu8380			1		2	1		
Zotu9165								
Zotu9458								1
Zotu11248		1	1	1			1	
Zotu18168					1	2		
Zotu979	10	16	14	11	8	14	6	14
Zotu2528	4	9	4	3	10	3	11	5
Zotu7606	1							1
Zotu14232								
Zotu3913	2	1	5	2	3			2
Zotu4491	1	3	2	1	2	2	1	2
Zotu7808								
Zotu10845								
Zotu12947								
Zotu6985		1		1	1			
Zotu15113								
Zotu18691								
Zotu10765								
Zotu11047								
Zotu14400					1			
Zotu4290		2		5	5	4	4	
Zotu15901								
Zotu3565	1		2	2	4	2	3	1
Zotu17746								
Zotu19706								
Zotu6975	2	1	3	1	1		3	
Zotu8505			3	2	3			3
Zotu15764		1	1	1		1		
Zotu4997	1		2			3	2	
Zotu12634			2		3	3	3	1
Zotu7604			3	2				
Zotu14898								
Zotu15788								
Zotu13465	1	1			1			
Zotu20406				1			1	1
Zotu11010				2		1		1
Zotu16535								
Zotu19426								1
Zotu3724		1	4	1	3	2	1	
Zotu16499	1		1					
Zotu18209		1						1
Zotu14052	1							
Zotu18662				2				
Zotu7375	1							
Zotu18684					4			
Zotu19314								
Zotu7272	2			1	1	4	1	2
Zotu18942						1		1
Zotu19980								
Zotu10185					1			
Zotu12555	1						1	
Zotu9236			1	2	2			
Zotu9982			3	1			1	2
Zotu14478				2		1	1	
Zotu14040	1			5		1	1	
Zotu20480						1		
Zotu19269						1		1
Zotu18429		1		1				2
Zotu16648	1						1	1
Zotu19262								
Zotu8677	1	1	3			4	5	2
Zotu13201		1					2	1
Zotu5093		5	3		2	1	2	1
Zotu13040								
Zotu7834			2		2		2	
Zotu3328	4	11	6	4	3	3	4	5
Zotu12530	1	2	1	1	1			
Zotu3964	1	1	2		1	4	4	
Zotu12604			1			1		
Zotu16507		1		1				
Zotu2844	1	1	2	2	8	3	2	6
Zotu9075							1	1
Zotu17339								
Zotu8098			1			1	1	
Zotu11892			2		1	1		
Zotu20363								
Zotu7879	2	1	1		1	2	1	1
Zotu9182					2			1
Zotu9884		1	1		3			
Zotu13131		3	1		1			3
Zotu19359				1	4			
Zotu10189		1	1		4	2	1	1
Zotu11108			1			1		
Zotu6646	2	2	2		4	4	1	4
Zotu7699	1		3	1	1	2	2	3
Zotu8657	2				6	1		2
Zotu8352				2		1		
Zotu16391	1				1			
Zotu13546							1	
Zotu8372				1	1		1	
Zotu11062		2						
Zotu13894	3						1	
Zotu19470						1		
Zotu5906					3			
Zotu15888								
Zotu16223								1
Zotu14377		1	1					
Zotu5804	1	1		1		3		2
Zotu12977	1						1	
Zotu16191			1		1			
Zotu2181	1	1	3		5	2	1	2
Zotu8224			1	1	1			
Zotu3347		1		2	3	3		1
Zotu16611			1				1	
Zotu13675	2	1			2	1		1
Zotu15996								
Zotu5659								
Zotu8627		1						
Zotu14092					1	2		
Zotu19214								
Zotu5629			1		2			
Zotu11800		2			1			
Zotu12613			1					
Zotu16062								
Zotu18738								
Zotu11447	1	2	1	2		1	2	2
Zotu17834	1	3			1			1
Zotu20559								
Zotu6957							2	
Zotu6107								
Zotu18476								
Zotu19000					1			
Zotu13684								
Zotu18912								
Zotu5708				1				
Zotu12292			1	1		2	1	
Zotu19128								
Zotu17433								
Zotu10658								
Zotu18137								
Zotu9959		1	1	1	1			
Zotu10079	1	1	1			1		
Zotu2663					2	1	2	2
Zotu3131			1	1		2	1	
Zotu20381								
Zotu20786								
Zotu17966	1		2	1		1		1
Zotu12624					1	2		2
Zotu14701		2			1			
Zotu11218		2	1			2		1
Zotu15000	1	2		7			1	
Zotu17806			1		1		1	
Zotu20385	2		1		1	1		
Zotu12261								
Zotu16120								
Zotu13400				1	2	2		
Zotu18081					1		1	1
Zotu18924			1					
Zotu9376		1	1		1			1
Zotu14316				1				
Zotu9194			2	2	2	2	1	
Zotu6253						1		3
Zotu17461								
Zotu4931	2		8	1	2	2	2	1
Zotu15676					1		2	
Zotu9923		3			3		1	
Zotu14186							1	
Zotu16464		2			2			
Zotu16986			1				1	
Zotu20666				1	2		1	
Zotu13996		2			1	2		1
Zotu18004						1		
Zotu20204								
Zotu19132					2			
Zotu14263			1				1	
Zotu17035	2	1	2		1	1		2
Zotu2646	1		1		1			
Zotu15753	1							
Zotu6549			2	1	1		1	4
Zotu10425								
Zotu2797	1				1			2
Zotu7185	1							
Zotu10758	1		1					
Zotu18573			2					
Zotu5036	1		2	2				2
Zotu20174			1					
Zotu16572								
Zotu6201	1		3	3	2		1	3
Zotu5875	1		6	2	2	3	1	3
Zotu14661			1					
Zotu15103			2				1	
Zotu7765		1	1			2		
Zotu8527				1				1
Zotu15968								1
Zotu19522								
Zotu20082	2				2		1	
Zotu18235								
Zotu15912								
Zotu8603								
Zotu2423								
Zotu6293								
Zotu15400								
Zotu1455								
Zotu3829								
Zotu9473								
Zotu19772								
Zotu11451								
Zotu3064	1							
Zotu7221								
Zotu5872								
Zotu50	1	1			1	1	1	
Zotu18598								
Zotu16433								
Zotu17052								
Zotu321								
Zotu1355								
Zotu77	3	4	6	2	3	1	2	1
Zotu469		1	2		1	1		
Zotu18009				1				
Zotu4298					1			3
Zotu18620								
Zotu12944				1		1	1	
Zotu11624				1				
Zotu4628		4	1	6	1		1	2
Zotu19094					1			
Zotu17104			1		2	1	3	1
Zotu8744	1	1	1		5	3	1	1
Zotu11620							1	
Zotu8609								
Zotu8905								
Zotu15619								
Zotu262								
Zotu642	1	1	2	1				
Zotu1333	1					1		1
Zotu1926			1	4	1		2	2
Zotu11273							1	
Zotu18251								
Zotu18436								
Zotu1702								
Zotu1898								
Zotu1347								
Zotu3318			1					
Zotu544						1		
Zotu1544								
Zotu6564								
Zotu11193								
Zotu9280								
Zotu4910								
Zotu15680								
Zotu13266								
Zotu16147								
Zotu6088	1		2		4	1	2	2
Zotu14397						3	1	1
Zotu16096			1					
Zotu18791								
Zotu19160								
Zotu18702								
Zotu16340								
Zotu17168								
Zotu20086								
Zotu417	1							
Zotu2870			4	1	3		5	2
Zotu3099	1					4	5	3
Zotu7819			2	3				
Zotu8584	2	1						
Zotu10096					1		1	
Zotu16877		1					1	
Zotu4609					1			
Zotu7084	1	1			2			
Zotu1147					2			
Zotu101		2	3		1	1	1	
Zotu266			1		1		1	
Zotu706	2				1		1	
Zotu718			1	1	3			
Zotu3266	1	2	1		2			
Zotu16598								
Zotu603								
Zotu2461								
Zotu1000								
Zotu2285								
Zotu17540					1			
Zotu14567								
Zotu8868		1	2			1	1	
Zotu5567			3	1				
Zotu3160								
Zotu926						1		
Zotu2737								
Zotu13531	1				1			
Zotu177		1					2	
Zotu10748								
Zotu5273			4		1	1	3	1
Zotu6973				2		1		4
Zotu13004								
Zotu4101	1	1	3	2	4	1	1	
Zotu8439					1			
Zotu2924	1							
Zotu1080								
Zotu4539								
Zotu66	1			1			2	
Zotu99	1		1			3		
Zotu893								
Zotu3431								
Zotu434								
Zotu20179								
Zotu4383								
Zotu3993								
Zotu5691								
Zotu2017								
Zotu1721								
Zotu390								
Zotu9799								
Zotu14914								
Zotu18842								
Zotu12182	1	1		1				
Zotu16241			1					
Zotu15603	1				1		1	
Zotu17374								
Zotu14285								
Zotu8704								
Zotu3941								
Zotu17777								
Zotu15451								
Zotu11832								
Zotu16168								
Zotu4549	1							
Zotu12402								
Zotu19878								
Zotu12929								
Zotu401				1				
Zotu9339								
Zotu17238								
Zotu12323							1	
Zotu17100								
Zotu16789								
Zotu18118				2		1	1	1
Zotu15757								
Zotu10260								
Zotu17123	1							
Zotu15727								
Zotu20458								
Zotu17593								
Zotu17987					1			
Zotu14370			2	1	1		1	
Zotu14460			1	1				
Zotu16492					1			
Zotu16994								
Zotu18317								
Zotu19494								
Zotu19260								
Zotu20478								
Zotu15895	1						1	3
Zotu19022	4	3	3		8		4	5
Zotu20778	6	2	4	4	7		8	2
Zotu13830		2						
Zotu20724	3	2	2		6	1	4	11
Zotu20030								
Zotu5912					1		1	1
Zotu14083	1						1	2
Zotu11823				1	2	1		
Zotu17751	3	4	2	3	1			1
Zotu5749						6		
Zotu605	7	6	4	1	2	13	10	5
Zotu968	4	4	6	1	5	3	2	11
Zotu296	19	11	8	8	8	8	6	14
Zotu5294			4					
Zotu5841	2	1	1	2				
Zotu6402		1	2					
Zotu5152				1				
Zotu2403						1		
Zotu4485	2							
Zotu7695							1	
Zotu8101							1	1
Zotu17870	1		1					1
Zotu13896								
Zotu4513					1			1
Zotu14380								
Zotu2545		1			1			
Zotu4505			1					
Zotu11119			2		1			1
Zotu12433					1			2
Zotu17145							1	
Zotu5671	1	2		2	8	2	3	2
Zotu17898			4		1			
Zotu13706							4	1
Zotu17893		2	2	1				
Zotu8837		2						
Zotu6751			1	1				
Zotu8610					1	1		
Zotu8893								
Zotu19657								
Zotu18017								
Zotu7826						1		
Zotu14169								
Zotu13698								
Zotu9501						2		
Zotu12850							1	
Zotu16671				1				
Zotu14243								
Zotu19149								
Zotu20240	1				2			1
Zotu2365	3	8	2	3	10	7	8	19
Zotu1148	19	9	5	3	54	8	20	68
Zotu5035	5	5	1	5	6	5	4	7
Zotu14681		1				4	3	1
Zotu17988	1							
Zotu2284	3	4	2	3	3	4	8	6
Zotu3890		1		2	2		3	5
Zotu2796	5	2			4	2		3
Zotu6125			1		4		3	1
Zotu1131	13	14	13	7	31	13	19	21
Zotu2905	5	5		1	1		2	
Zotu17014	1				1			2
Zotu13475	1				2			
Zotu15630	2		1		2			6
Zotu19923		1	3	4	1	4	1	1
Zotu16512								
Zotu2496	1	5	1	1	1	1		
Zotu4445	2		4			3	2	1
Zotu4440						1		1
Zotu18107	1			1	3		2	
Zotu5026								3
Zotu7193							1	
Zotu7769		1						
Zotu12189					1		1	
Zotu18329	2							
Zotu11256		1				1	1	1
Zotu14176					1			
Zotu18929	1				1			
Zotu4123	5	10	2	1	4	9	3	11
Zotu4708	11	5	3	2	14	5	6	12
Zotu5901	1	1	1		6	5	4	1
Zotu13771		1	1		1	3	1	
Zotu12783			1		1		2	
Zotu15966			1		2			
Zotu7936	1	1	4				2	
Zotu13326								
Zotu19503								
Zotu2165	14		11	3	5	3	6	5
Zotu5876	1	1		4	3	1	1	2
Zotu16570			1					
Zotu853			2		2			
Zotu8138	2	1			2		1	4
Zotu11967								
Zotu13644								
Zotu11879								
Zotu15546								
Zotu19558								
Zotu20581								1
Zotu13493								
Zotu15318								
Zotu11996	1		3					
Zotu12111				2		4		
Zotu3822	1	2	1	3	1	2	1	2
Zotu569				1			2	
Zotu2939	2		6	3	1	1		1
Zotu216	1	1	3	1			3	3
Zotu16828								
Zotu15906				1				
Zotu2903	1	1	5	1	2	1	7	2
Zotu743	1	2	2	2	13	6	11	4
Zotu4022	2	2	1	1	2	1	1	1
Zotu7009					2	2	2	
Zotu5049		1		1	4		3	3
Zotu465	12	11	14	18	13	15	11	10
Zotu1680	1	4	5	2	5	5	5	3
Zotu2395	3	1	2	5	3	4	2	3
Zotu16239		2			1			
Zotu19201		1	2	3		2		
Zotu14331	3	2	2	2				
Zotu13886								
Zotu7773								
Zotu8461					1		1	
Zotu9352						1		
Zotu5180	1	2		3	2	1	3	
Zotu3337			2	1	1			1
Zotu9303								
Zotu7426	3		1	2			1	2
Zotu1781	3	6	6	3	1	4	6	2
Zotu14099						1	1	
Zotu3554				3	1	4		1
Zotu15491				2				
Zotu12556								
Zotu11355		1					5	1
Zotu19560		1				1		
Zotu1089	1		1					
Zotu1120	1							
Zotu541	3		3	3		1	2	3
Zotu94			3		2	1	5	2
Zotu197								1
Zotu1429								1
Zotu6139	2	4	7	1	1	4		
Zotu16835								3
Zotu18302								
Zotu19166		1					1	1
Zotu155						1		
Zotu17237	1					1		
Zotu12716		2	1			1		2
Zotu758						1		
Zotu391		1	1	1				2
Zotu565	1							
Zotu1136		3				3	4	
Zotu2018	1		1			2	3	
Zotu3564								
Zotu2509								
Zotu2341								
Zotu3135	4	6	9	3	1	3	1	3
Zotu11986		2						
Zotu9224								
Zotu1502	4		1		1			3
Zotu10309				2				
Zotu12707								
Zotu15341								
Zotu15393				1			2	
Zotu11961		1					2	
Zotu12599								
Zotu6553								
Zotu19464								
Zotu2272	2	8	3	3		5	1	2
Zotu3258	2	3	1	1	1	1	1	
Zotu19731								
Zotu10093	5	4	1		1	4	1	3
Zotu12745	1		1				1	2
Zotu9086			1					1
Zotu12288							1	1
Zotu19372	1							
Zotu16125						1		
Zotu16160							1	
Zotu10402	4	4		1				2
Zotu11316			1	1				1
Zotu16783								
Zotu5097	1	2		1	4	3	3	3
Zotu15256	1		1					5
Zotu5624	1	2	4	1		1		1
Zotu8997	2		2	1				1
Zotu11598	2				1		1	
Zotu19669	1		1					
Zotu4894	1	1	2	3	3	4		2
Zotu2010								
Zotu2865								
Zotu3902							1	
Zotu5777								
Zotu2719								
Zotu8126								
Zotu9172								
Zotu8388								
Zotu7046			1	1				
Zotu8943								
Zotu4606								
Zotu20349	2							
Zotu9775	1							
Zotu3186								
Zotu20185								
Zotu10900								
Zotu5683					1			
Zotu5742								
Zotu7599								
Zotu7283								
Zotu5952								
Zotu5885								
Zotu6525								
Zotu9362								
Zotu9497								
Zotu491	6	8		5	3	2	5	1
Zotu8076			3					
Zotu13072				1		1		
Zotu18500								
Zotu20541	1							
Zotu16740			1				1	1
Zotu6336	1	3		3				
Zotu18129		1					1	
Zotu19437	1	1	1		1			1
Zotu4593	1	6	4	3		1	3	2
Zotu8907	2	1	4			1	1	
Zotu7368		1	2		1	1	2	
Zotu8582								
Zotu7575			2		1	1	1	1
Zotu1460								
Zotu5991	1	4		1		3		
Zotu1679	9	8	6	8	13	21	6	5
Zotu11039	1	1	1	1	2		2	
Zotu10027	3	1	1	3	2	1		
Zotu9746	2	3	3	6	4	4	5	1
Zotu16858			2					
Zotu19454			1					
Zotu17841								
Zotu664			1				1	2
Zotu49	2	2	6	2	4	4	3	2
Zotu82	13	7	1	2	8	4	3	4
Zotu654	1	1	1			1	1	
Zotu103				2	1		3	1
Zotu17960								
Zotu6272		3	1		2		2	
Zotu14924								
Zotu2966	1		2	1	1			
Zotu10346					1			
Zotu6188	2	1	1	1			1	1
Zotu11431								1
Zotu7623								
Zotu1771		1						1
Zotu1441			2				1	
Zotu15592								
Zotu20762								
Zotu11261								
Zotu18689								
Zotu19627								
Zotu14468	3	3	1		2	1	4	3
Zotu16140	1				1			1
Zotu7691		6		1		3	2	2
Zotu13262	1	2	1					
Zotu5381		9	1	1	3	1	1	
Zotu6590	1	5			2	2	2	3
Zotu5405	3	2		3	2	1	2	3
Zotu3032	3	3		4	3	5	7	3
Zotu9698		3			2		2	
Zotu7184	1	1			1	1		1
Zotu14452				1				
Zotu10486	3	2	3			1		
Zotu13827	1		2	1	3	2	3	
Zotu1127								
Zotu2048								
Zotu15255		1						
Zotu8162	2	1						1
Zotu11029								
Zotu19038	1	1	1	1		1		2
Zotu4240	2	1	2					
Zotu19694								
Zotu5	135	110	191	75	114	127	100	91
Zotu14	77	71	114	46	57	80	51	60
Zotu8884			1	1				
Zotu17693	1				1			
Zotu16573	1							1
Zotu17353								
Zotu6517								
Zotu7931								
Zotu10484								
Zotu3315								
Zotu11613								
Zotu964				1				
Zotu2706								1
Zotu5298			1					
Zotu16596	1							
Zotu8758								
Zotu10121								
Zotu6138		1						
Zotu7227								
Zotu13200								
Zotu3173								
Zotu6672								
Zotu7099								
Zotu2518				1		2		
Zotu3207								
Zotu5170		1						
Zotu899	2	5	5	6		2	2	4
Zotu8850								
Zotu19600						2		4
Zotu17525	3	1	1					1
Zotu18427			1	1	2	3		
Zotu11480		1	3	2	2	2	2	6
Zotu879	1		3	1			1	1
Zotu3449	22	17	27	15	14	5	21	11
Zotu18381								
Zotu28	3	4	4	3	4	3	3	4
Zotu5790	1						1	
Zotu500	2				1			1
Zotu15019	1	1			1			4
Zotu13944								
Zotu1001				1	1	1		
Zotu10123								
Zotu6163						1		
Zotu14189			1					
Zotu3008			2		1			
Zotu9468								
Zotu7663								
Zotu8243								
Zotu13366	2	1				1		
Zotu20170		1			1			
Zotu18332		1			1	1		
Zotu12769	1							
Zotu10277					2	3		4
Zotu9500		1		1	1			
Zotu6320	1	1	1			7	2	4
Zotu14501		1						
Zotu8275	2	3	1		2	1	3	
Zotu9853		4		2	1		1	1
Zotu13324		1					1	
Zotu19069	1				1		2	
Zotu15874	1	2			8	1	1	1
Zotu16240					2			1
Zotu14936	4	3			4			2
Zotu17726	1					1	1	
Zotu3736	5	8	2	3	21	2		2
Zotu5059	4	1	3	1	7		6	
Zotu16451	1	1	3				1	3
Zotu8176	2	1	2	1	2		2	6
Zotu17587								
Zotu7582								
Zotu16041					1			
Zotu12608					1	1	1	2
Zotu20000		3						1
Zotu1848								
Zotu131								
Zotu20424								
Zotu9105								
Zotu19903								
Zotu17736								
Zotu53	8	30	34	15	28	12	41	20
Zotu20090					2	1		1
Zotu1081	2						1	
Zotu5117								
Zotu3463							1	1
Zotu3281								
Zotu3093							1	
Zotu10879								
Zotu189		1		1				
Zotu4605								
Zotu1524	1	3			1	1		1
Zotu6992								
Zotu15938								
Zotu7255	2	6	4		3	6	3	7
Zotu17209			1	1	1		6	1
Zotu1226	31	13	23	21	22	23	31	27
Zotu11744	2	2	5	2		2	6	4
Zotu5438		1	6	2	7		28	3
Zotu16674	1	2	2	1	1		4	1
Zotu15174								
Zotu15100	11	7	12	9	4	8	5	9
Zotu8694	1			1				
Zotu2936								1
Zotu8979	1							1
Zotu20706								
Zotu6280					1	1		
Zotu6502								
Zotu20286							2	
Zotu4645		1	1	1	1			
Zotu8424			1		1		1	
Zotu17753								
Zotu8319	1			1				1
Zotu12432								
Zotu16632								
Zotu8028	2		4		1	1	2	5
Zotu6277	9	8	6	3	7	2	6	1
Zotu14106		1					1	
Zotu16524		1	1	1				
Zotu3680	2	1	3	2	1		5	2
Zotu8199	2	2	3		4	2	3	2
Zotu7265	6	2	4	1	5	4	6	4
Zotu9238	1		1				2	2
Zotu9563	1	3			2	1	4	2
Zotu1743	11	3	7	5	2	14	6	6
Zotu14933				2	1	1		
Zotu5129			1	1	1	1	1	1
Zotu5327	1	1	4	2		1	2	5
Zotu14699					2	1	5	1
Zotu14443			2			2		
Zotu12065		2		1				1
Zotu13655		4			1			
Zotu20	2					1	1	
Zotu2970				1	1	1		
Zotu3106							1	
Zotu3361	2	1			2	1	4	1
Zotu6267	2			2	4		1	6
Zotu1287	10	5	10	5	2	5	9	6
Zotu1504	6	3	8	2	3	7	5	4
Zotu2739	1		2	1	1	1	2	
Zotu9041			2				2	
Zotu20419			1			3	1	
Zotu11360	3	1		1			6	
Zotu96	265	356	239	234	238	673	562	343
Zotu172	79	138	82	83	57	221	146	125
Zotu18581			1			2	2	
Zotu6179	3	5	4	1	5	4	7	2
Zotu723	2	5	1	2	3	2	4	1
Zotu17005				1		1		
Zotu10	1156	802	790	682	862	1205	1098	901
Zotu95	118	99	117	88	82	120	156	105
Zotu9319	14	10	9	19	19	13	22	7
Zotu5940	5	2	3	6	4	4	3	7
Zotu8379	7	9	2	2	9		1	4
