Zotu,com_id,cor,p
Zotu240,Com_5274_neg,-0.850314646,0.007471415
Zotu69,Com_5274_neg,-0.857142857,0.006530017
Zotu32,Com_9225_neg,-0.928571429,0.000862968
Zotu12,Com_11_neg,0.857142857,0.006530017
Zotu44,Com_11_neg,-0.95810101,0.000178157
Zotu192,Com_12607_pos,-0.976190476,3.31E-05
Zotu202,Com_2485_pos,-0.857142857,0.006530017
Zotu192,Com_7958_pos,-0.880952381,0.00385032
Zotu44,Com_12944_pos,0.874267171,0.004512386
Zotu44,Com_8702_neg,0.886243434,0.003373343
Zotu192,Com_857_pos,-0.904761905,0.002008276
Zotu240,Com_12537_pos,-0.850314646,0.007471415
Zotu360,Com_3849_neg,-0.857142857,0.006530017
Zotu192,Com_3970_pos,-0.880952381,0.00385032
Zotu202,Com_1_neg,-0.952380952,0.0002604
Zotu79,Com_20375_pos,-0.880952381,0.00385032
Zotu192,Com_21069_pos,0.904761905,0.002008276
Zotu202,Com_17429_pos,-0.857142857,0.006530017
Zotu192,Com_1493_pos,0.904761905,0.002008276
Zotu192,Com_7927_neg,0.904761905,0.002008276
Zotu32,Com_712_neg,-0.880952381,0.00385032
Zotu12,Com_5447_pos,0.857142857,0.006530017
Zotu202,Com_2583_pos,-0.904761905,0.002008276
Zotu12,Com_3757_pos,0.857142857,0.006530017
Zotu44,Com_3757_pos,-0.95810101,0.000178157
Zotu79,Com_916_neg,0.880952381,0.00385032
Zotu79,Com_12315_pos,-0.880952381,0.00385032
Zotu164,Com_25089_pos,0.838338383,0.009323116
Zotu164,Com_1355_pos,0.862290909,0.005872991
Zotu164,Com_969_neg,0.886243434,0.003373343
Zotu164,Com_6613_pos,0.850314646,0.007471415
Zotu202,Com_21415_pos,-0.904761905,0.002008276
Zotu190,Com_25193_pos,-0.847024363,0.007954271
Zotu190,Com_280_neg,0.945230086,0.000394052
Zotu169,Com_3366_pos,-0.857142857,0.006530017
Zotu360,Com_3366_pos,0.857142857,0.006530017
Zotu190,Com_6718_pos,0.834748647,0.009929687
Zotu192,Com_13338_pos,0.952380952,0.0002604
Zotu44,Com_16494_pos,-0.910195959,0.001690861
Zotu192,Com_19138_pos,-0.952380952,0.0002604
Zotu164,Com_18452_pos,-0.874267171,0.004512386
Zotu44,Com_18452_pos,-0.850314646,0.007471415
Zotu202,Com_12500_pos,-0.857142857,0.006530017
Zotu192,Com_11011_pos,-0.904761905,0.002008276
Zotu44,Com_2835_pos,0.874267171,0.004512386
Zotu202,Com_19052_pos,-0.904761905,0.002008276
Zotu12,Com_20402_pos,0.904761905,0.002008276
Zotu44,Com_2233_neg,0.898219696,0.002438797
Zotu12,Com_6358_pos,0.904761905,0.002008276
Zotu44,Com_6358_pos,-0.898219696,0.002438797
Zotu240,Com_275_pos,-0.850314646,0.007471415
Zotu10,Com_14807_pos,0.874267171,0.004512386
Zotu192,Com_2722_neg,-0.904761905,0.002008276
Zotu169,Com_9385_pos,-0.880952381,0.00385032
Zotu44,Com_847_pos,0.886243434,0.003373343
Zotu202,Com_7914_pos,-0.857142857,0.006530017
Zotu360,Com_1393_pos,0.904761905,0.002008276
Zotu192,Com_11008_pos,-0.976190476,3.31E-05
Zotu202,Com_4668_neg,0.904761905,0.002008276
Zotu69,Com_13686_pos,0.880952381,0.00385032
Zotu192,Com_27258_pos,0.880952381,0.00385032
Zotu169,Com_4752_neg,-0.857142857,0.006530017
Zotu202,Com_26823_pos,-0.904761905,0.002008276
Zotu202,Com_8169_pos,-0.928571429,0.000862968
Zotu202,Com_1704_pos,0.857142857,0.006530017
Zotu169,Com_10920_pos,0.928571429,0.000862968
Zotu192,Com_10694_pos,-0.857142857,0.006530017
Zotu192,Com_3520_neg,0.880952381,0.00385032
Zotu10,Com_4748_neg,0.850314646,0.007471415
Zotu240,Com_16841_neg,0.898219696,0.002438797
Zotu202,Com_6920_neg,-0.857142857,0.006530017
Zotu192,Com_5487_pos,0.904761905,0.002008276
Zotu202,Com_1314_neg,-0.928571429,0.000862968
Zotu202,Com_50_pos,-0.880952381,0.00385032
Zotu202,Com_11660_pos,-0.857142857,0.006530017
Zotu190,Com_6278_neg,-0.834748647,0.009929687
Zotu169,Com_7574_neg,-0.880952381,0.00385032
Zotu10,Com_3766_pos,-0.922172222,0.001110817
Zotu44,Com_3766_pos,-0.850314646,0.007471415
Zotu69,Com_11135_neg,0.857142857,0.006530017
Zotu240,Com_2798_pos,-0.874267171,0.004512386
Zotu12,Com_18479_pos,0.857142857,0.006530017
Zotu12,Com_932_neg,0.904761905,0.002008276
Zotu240,Com_7143_pos,-0.850314646,0.007471415
Zotu202,Com_2028_pos,-0.857142857,0.006530017
Zotu240,Com_5002_pos,-0.922172222,0.001110817
Zotu69,Com_5002_pos,-0.857142857,0.006530017
Zotu360,Com_688_neg,-0.880952381,0.00385032
Zotu10,Com_4119_neg,-0.862290909,0.005872991
Zotu79,Com_14732_neg,-0.904761905,0.002008276
Zotu32,Com_13588_neg,-0.904761905,0.002008276
Zotu240,Com_6638_neg,0.934148484,0.000679106
Zotu10,Com_19123_pos,0.898219696,0.002438797
Zotu240,Com_4824_pos,-0.850314646,0.007471415
Zotu192,Com_21958_pos,0.880952381,0.00385032
Zotu164,Com_11301_neg,0.898219696,0.002438797
Zotu44,Com_4478_neg,0.898219696,0.002438797
Zotu192,Com_3503_pos,-0.857142857,0.006530017
Zotu192,Com_5704_pos,0.880952381,0.00385032
Zotu169,Com_12776_pos,-0.880952381,0.00385032
Zotu360,Com_12776_pos,0.904761905,0.002008276
Zotu12,Com_6609_pos,0.880952381,0.00385032
Zotu12,Com_437_pos,0.904761905,0.002008276
Zotu44,Com_2251_neg,0.922172222,0.001110817
Zotu32,Com_2983_pos,-0.928571429,0.000862968
Zotu79,Com_10094_pos,0.904761905,0.002008276
Zotu10,Com_7986_pos,-0.934148484,0.000679106
Zotu10,Com_9983_neg,0.898219696,0.002438797
Zotu12,Com_21746_pos,0.857142857,0.006530017
Zotu202,Com_21746_pos,-0.880952381,0.00385032
Zotu190,Com_14618_neg,0.969781517,6.74E-05
Zotu69,Com_13067_neg,-0.928571429,0.000862968
Zotu240,Com_16742_neg,-0.838338383,0.009323116
Zotu69,Com_9517_neg,-0.880952381,0.00385032
Zotu169,Com_5785_pos,-0.928571429,0.000862968
Zotu360,Com_5785_pos,0.857142857,0.006530017
Zotu190,Com_16558_pos,-0.847024363,0.007954271
