"Source","Target","cor","p"
"Zotu51","Com_10032_pos",-0.880952380952381,0.00385032046373235
"Zotu339","Com_1010_neg",0.855483779563587,0.0067513302509381
"Zotu48","Com_1014_pos",0.847024362841908,0.00795427063210341
"Zotu23","Com_10146_pos",-0.922172221673209,0.00111081735780605
"Zotu339","Com_10184_pos",-0.951876318105963,0.000268663259848312
"Zotu48","Com_10262_neg",-0.883851509052425,0.00358393515743716
"Zotu48","Com_10269_pos",-0.847024362841908,0.00795427063210341
"Zotu48","Com_1027_neg",-0.883851509052425,0.00358393515743716
"Zotu68","Com_10287_pos",0.868376055205955,0.00515294923077914
"Zotu48","Com_103_pos",0.908402939859437,0.00179168528468732
"Zotu222","Com_10372_neg",0.857142857142857,0.00653001725471536
"Zotu68","Com_10438_pos",0.906686763523865,0.00189177396854157
"Zotu314","Com_1066_neg",0.883851509052425,0.00358393515743716
"Zotu343","Com_10694_pos",0.862290908577547,0.00587299067229696
"Zotu73","Com_10694_pos",-0.84343471224579,0.00850323414517939
"Zotu23","Com_10707_neg",0.862290908577547,0.00587299067229696
"Zotu48","Com_1082_pos",0.969781516876967,6.74314981914392e-05
"Zotu23","Com_10826_pos",-0.862290908577547,0.00587299067229696
"Zotu48","Com_10858_pos",-0.969781516876967,6.74314981914392e-05
"Zotu314","Com_10866_pos",-0.908402939859437,0.00179168528468732
"Zotu32","Com_1092_neg",-0.910195959054077,0.00169086088623827
"Zotu165","Com_1092_neg",-0.857142857142857,0.00653001725471536
"Zotu314","Com_10921_pos",0.871575793648919,0.00479825734117556
"Zotu68","Com_10959_neg",-0.932227235735804,0.000739205061892179
"Zotu314","Com_11003_pos",-0.969781516876967,6.74314981914392e-05
"Zotu52","Com_11008_pos",0.903680048834775,0.00207575159377349
"Zotu8","Com_11008_pos",-0.928571428571429,0.000862968182899992
"Zotu33","Com_11008_pos",-0.857142857142857,0.00653001725471536
"Zotu114","Com_1103_neg",-0.904761904761905,0.00200827550542959
"Zotu314","Com_11089_pos",-0.908402939859437,0.00179168528468732
"Zotu343","Com_1112_neg",0.874267171196679,0.00451238560365086
"Zotu73","Com_11129_pos",0.855483779563587,0.0067513302509381
