"Source","Target","cor","p"
"Zotu164","Com_10015_pos",0.874267171196679,0.00451238560365086
"Zotu202","Com_10159_pos",-0.880952380952381,0.00385032046373235
"Zotu12","Com_10176_pos",-0.880952380952381,0.00385032046373235
"Zotu44","Com_10176_pos",0.934148484292342,0.000679105745231112
"Zotu12","Com_10184_pos",0.928571428571429,0.000862968182899992
"Zotu202","Com_10269_pos",0.904761904761905,0.00200827550542959
"Zotu202","Com_1027_neg",0.952380952380952,0.000260400024387319
"Zotu360","Com_103_pos",0.928571428571429,0.000862968182899992
"Zotu202","Com_10438_pos",0.952380952380952,0.000260400024387319
"Zotu164","Com_10461_pos",0.946124746911475,0.000375311873790363
"Zotu202","Com_10619_neg",0.928571428571429,0.000862968182899992
"Zotu202","Com_10826_pos",-0.857142857142857,0.00653001725471536
"Zotu190","Com_10861_pos",-0.871575793648919,0.00479825734117556
"Zotu360","Com_10921_pos",-0.904761904761905,0.00200827550542959
"Zotu202","Com_10959_neg",0.952380952380952,0.000260400024387319
"Zotu12","Com_11_neg",0.880952380952381,0.00385032046373235
"Zotu12","Com_11003_pos",0.880952380952381,0.00385032046373235
"Zotu44","Com_11011_pos",-0.850314645958414,0.00747141463995349
"Zotu202","Com_11135_neg",0.857142857142857,0.00653001725471536
"Zotu12","Com_1115_pos",0.928571428571429,0.000862968182899992
"Zotu202","Com_1115_pos",-0.904761904761905,0.00200827550542959
"Zotu32","Com_11168_pos",0.904761904761905,0.00200827550542959
"Zotu12","Com_1119_pos",0.880952380952381,0.00385032046373235
"Zotu12","Com_1126_pos",0.857142857142857,0.00653001725471536
"Zotu44","Com_1126_pos",-0.874267171196679,0.00451238560365086
"Zotu190","Com_11401_pos",-0.883851509052425,0.00358393515743716
"Zotu12","Com_11460_pos",-0.952380952380952,0.000260400024387319
"Zotu202","Com_11509_pos",0.904761904761905,0.00200827550542959
"Zotu12","Com_11575_pos",0.976190476190476,3.31439602621053e-05
"Zotu32","Com_11608_neg",-0.857142857142857,0.00653001725471536
"Zotu202","Com_1162_pos",-0.857142857142857,0.00653001725471536
"Zotu202","Com_11660_pos",0.904761904761905,0.00200827550542959
"Zotu202","Com_11773_pos",-0.857142857142857,0.00653001725471536
"Zotu32","Com_11777_pos",0.857142857142857,0.00653001725471536
"Zotu164","Com_11795_pos",0.898219696434944,0.00243879679638237
"Zotu32","Com_1182_neg",-0.904761904761905,0.00200827550542959
"Zotu12","Com_11865_neg",-0.928571428571429,0.000862968182899992
"Zotu44","Com_11865_neg",0.898219696434944,0.00243879679638237
"Zotu79","Com_11895_pos",-0.904761904761905,0.00200827550542959
"Zotu202","Com_1191_pos",-0.976190476190476,3.31439602621053e-05
"Zotu44","Com_11923_neg",0.850314645958414,0.00747141463995349
"Zotu202","Com_12000_neg",0.857142857142857,0.00653001725471536
"Zotu192","Com_12026_pos",-0.904761904761905,0.00200827550542959
"Zotu12","Com_12046_pos",-0.880952380952381,0.00385032046373235
"Zotu12","Com_12100_pos",0.904761904761905,0.00200827550542959
"Zotu10","Com_1214_neg",0.850314645958414,0.00747141463995349
"Zotu44","Com_1214_pos",-0.838338383339281,0.00932311573505595
"Zotu79","Com_12167_pos",-0.857142857142857,0.00653001725471536
"Zotu190","Com_1225_neg",0.883851509052425,0.00358393515743716
"Zotu69","Com_12361_pos",-0.904761904761905,0.00200827550542959
"Zotu69","Com_12637_neg",-0.928571428571429,0.000862968182899992
"Zotu164","Com_12687_pos",0.862290908577547,0.00587299067229696
"Zotu164","Com_12847_pos",0.946124746911475,0.000375311873790363
"Zotu190","Com_12859_pos",-0.871575793648919,0.00479825734117556
"Zotu10","Com_12910_neg",0.97007727214974,6.54855883110983e-05
"Zotu32","Com_12928_pos",0.880952380952381,0.00385032046373235
"Zotu79","Com_1293_neg",-0.857142857142857,0.00653001725471536
"Zotu164","Com_130_neg",-0.946124746911475,0.000375311873790363
"Zotu190","Com_13049_pos",-0.908402939859437,0.00179168528468732
"Zotu12","Com_13321_pos",0.880952380952381,0.00385032046373235
"Zotu202","Com_13321_pos",-0.904761904761905,0.00200827550542959
"Zotu190","Com_13338_pos",-0.871575793648919,0.00479825734117556
"Zotu202","Com_1345_pos",-0.904761904761905,0.00200827550542959
"Zotu12","Com_13453_pos",-0.880952380952381,0.00385032046373235
"Zotu190","Com_13530_pos",0.871575793648919,0.00479825734117556
"Zotu202","Com_1372_pos",-0.857142857142857,0.00653001725471536
"Zotu44","Com_1390_pos",-0.898219696434944,0.00243879679638237
"Zotu79","Com_13924_pos",-0.952380952380952,0.000260400024387319
"Zotu190","Com_1393_pos",0.896127224455931,0.00258810966086509
"Zotu12","Com_14086_pos",-0.857142857142857,0.00653001725471536
"Zotu202","Com_14086_pos",0.928571428571429,0.000862968182899992
"Zotu79","Com_1414_pos",-0.880952380952381,0.00385032046373235
"Zotu10","Com_14140_pos",-0.898219696434944,0.00243879679638237
"Zotu202","Com_1424_neg",-0.857142857142857,0.00653001725471536
"Zotu202","Com_14285_pos",0.904761904761905,0.00200827550542959
"Zotu202","Com_14313_neg",0.880952380952381,0.00385032046373235
"Zotu202","Com_14326_pos",1,0
"Zotu69","Com_1434_pos",-0.880952380952381,0.00385032046373235
"Zotu192","Com_14348_pos",-0.904761904761905,0.00200827550542959
"Zotu202","Com_1435_neg",-0.904761904761905,0.00200827550542959
"Zotu12","Com_1436_pos",0.880952380952381,0.00385032046373235
"Zotu202","Com_14449_neg",0.880952380952381,0.00385032046373235
"Zotu202","Com_14474_pos",0.928571428571429,0.000862968182899992
"Zotu69","Com_14479_neg",-0.904761904761905,0.00200827550542959
"Zotu190","Com_14479_neg",-0.908402939859437,0.00179168528468732
