"Source","Target","cor","p"
"Zotu354","Com_1_neg",-0.834748647438402,0.00992968710061115
"Zotu487","Com_1_neg",-0.874267171196679,0.00451238560365086
"Zotu2375","Com_1_neg",-0.879581914199181,0.00398055887902271
"Zotu725","Com_100_neg",-0.898219696434944,0.00243879679638237
"Zotu414","Com_100_neg",-0.904761904761905,0.00200827550542959
"Zotu457","Com_100_neg",0.898219696434944,0.00243879679638237
"Zotu1073","Com_10015_pos",0.834748647438402,0.00992968710061115
"Zotu382","Com_10015_pos",0.969781516876967,6.74314981914392e-05
"Zotu2314","Com_10015_pos",0.879581914199181,0.00398055887902271
"Zotu106","Com_10015_pos",-0.880952380952381,0.00385032046373235
"Zotu1934","Com_10015_pos",0.867532846881384,0.00524913643910851
"Zotu1447","Com_10015_pos",-0.898219696434944,0.00243879679638237
"Zotu173","Com_10032_pos",0.874267171196679,0.00451238560365086
"Zotu648","Com_10032_pos",0.932954370666449,0.000716066411159622
"Zotu1834","Com_10032_pos",-0.838338383339281,0.00932311573505595
"Zotu2110","Com_10032_pos",0.898219696434944,0.00243879679638237
"Zotu1942","Com_10032_pos",-0.880952380952381,0.00385032046373235
"Zotu734","Com_10032_pos",0.898219696434944,0.00243879679638237
"Zotu15506","Com_10032_pos",0.898219696434944,0.00243879679638237
"Zotu206","Com_10076_pos",0.84343471224579,0.00850323414517939
"Zotu1230","Com_10076_pos",-0.903680048834775,0.00207575159377349
"Zotu398","Com_10076_pos",0.850314645958414,0.00747141463995349
"Zotu118","Com_10076_pos",-0.880952380952381,0.00385032046373235
"Zotu1401","Com_10076_pos",-0.84343471224579,0.00850323414517939
"Zotu1082","Com_10076_pos",-0.850314645958414,0.00747141463995349
"Zotu3756","Com_10076_pos",-0.904761904761905,0.00200827550542959
"Zotu1694","Com_10076_pos",-0.838338383339281,0.00932311573505595
"Zotu563","Com_10076_pos",-0.904761904761905,0.00200827550542959
"Zotu675","Com_10094_pos",-0.850314645958414,0.00747141463995349
"Zotu110","Com_10094_pos",-0.946124746911475,0.000375311873790363
"Zotu230","Com_10094_pos",-0.838338383339281,0.00932311573505595
"Zotu2220","Com_10094_pos",-0.871575793648919,0.00479825734117556
"Zotu1157","Com_10094_pos",-0.880952380952381,0.00385032046373235
"Zotu1291","Com_10094_pos",0.853912563829967,0.00696528831948062
"Zotu132","Com_10094_pos",-0.838338383339281,0.00932311573505595
"Zotu740","Com_10094_pos",-0.848625128695526,0.00771694675976597
"Zotu1297","Com_10094_pos",0.904761904761905,0.00200827550542959
"Zotu804","Com_10094_pos",0.857142857142857,0.00653001725471536
"Zotu1012","Com_1010_neg",-0.874267171196679,0.00451238560365086
"Zotu1644","Com_1010_neg",0.880952380952381,0.00385032046373235
"Zotu2914","Com_1010_neg",0.862290908577547,0.00587299067229696
"Zotu543","Com_1010_neg",0.95150257112482,0.000274893236305918
"Zotu444","Com_10103_pos",0.84343471224579,0.00850323414517939
"Zotu473","Com_10103_pos",0.913223320977314,0.00152913824295986
"Zotu1214","Com_10103_pos",-0.883851509052425,0.00358393515743716
"Zotu1795","Com_10103_pos",0.862290908577547,0.00587299067229696
"Zotu722","Com_10103_pos",0.857142857142857,0.00653001725471536
"Zotu254","Com_10103_pos",-0.857142857142857,0.00653001725471536
"Zotu1449","Com_10103_pos",-0.928571428571429,0.000862968182899992
"Zotu70","Com_10103_pos",-0.850314645958414,0.00747141463995349
"Zotu1382","Com_10103_pos",-0.862290908577547,0.00587299067229696
"Zotu1644","Com_1011_neg",-0.857142857142857,0.00653001725471536
"Zotu2314","Com_1011_neg",-0.855483779563587,0.0067513302509381
"Zotu3850","Com_1011_neg",-0.874267171196679,0.00451238560365086
"Zotu415","Com_1011_neg",0.902707567477393,0.00213764690910878
"Zotu766","Com_1011_neg",0.838338383339281,0.00932311573505595
"Zotu543","Com_1011_neg",-0.87831006565368,0.0041039337200317
"Zotu675","Com_10122_pos",-0.862290908577547,0.00587299067229696
"Zotu230","Com_10122_pos",-0.994029797388005,5.29615351574364e-07
"Zotu1737","Com_10122_pos",0.838338383339281,0.00932311573505595
"Zotu2220","Com_10122_pos",-0.871575793648919,0.00479825734117556
"Zotu999","Com_10122_pos",-0.880952380952381,0.00385032046373235
"Zotu520","Com_10122_pos",-0.850314645958414,0.00747141463995349
"Zotu753","Com_10122_pos",-0.867532846881384,0.00524913643910851
"Zotu1929","Com_10122_pos",0.857142857142857,0.00653001725471536
"Zotu1531","Com_10122_pos",0.84343471224579,0.00850323414517939
"Zotu1304","Com_10122_pos",0.857142857142857,0.00653001725471536
"Zotu218","Com_10122_pos",0.857142857142857,0.00653001725471536
"Zotu133","Com_1014_pos",-0.910195959054077,0.00169086088623827
"Zotu444","Com_1014_pos",-0.927778183470369,0.000891495363823935
"Zotu37","Com_1014_pos",-0.994029797388005,5.29615351574364e-07
"Zotu313","Com_1014_pos",0.855483779563587,0.0067513302509381
"Zotu388","Com_1014_pos",-0.880952380952381,0.00385032046373235
"Zotu722","Com_1014_pos",-0.904761904761905,0.00200827550542959
"Zotu770","Com_1014_pos",0.898219696434944,0.00243879679638237
"Zotu1174","Com_1014_pos",0.946124746911475,0.000375311873790363
"Zotu6756","Com_1014_pos",0.951876318105963,0.000268663259848312
"Zotu870","Com_1014_pos",0.915729116152572,0.00140317432489256
"Zotu56","Com_1014_pos",0.880952380952381,0.00385032046373235
"Zotu76","Com_1014_pos",-0.838338383339281,0.00932311573505595
"Zotu156","Com_10146_pos",-0.867532846881384,0.00524913643910851
"Zotu386","Com_10146_pos",-0.952380952380952,0.000260400024387319
"Zotu211","Com_10146_pos",-0.891630981516978,0.00292868090613485
"Zotu461","Com_10146_pos",-0.898219696434944,0.00243879679638237
"Zotu367","Com_10146_pos",0.838338383339281,0.00932311573505595
"Zotu457","Com_10146_pos",0.898219696434944,0.00243879679638237
"Zotu1913","Com_10146_pos",0.994029797388005,5.29615351574364e-07
"Zotu2778","Com_10146_pos",0.857142857142857,0.00653001725471536
"Zotu198","Com_10146_pos",0.928571428571429,0.000862968182899992
"Zotu73","Com_10146_pos",0.857142857142857,0.00653001725471536
"Zotu113","Com_10146_pos",0.904761904761905,0.00200827550542959
"Zotu173","Com_10159_pos",0.850314645958414,0.00747141463995349
"Zotu648","Com_10159_pos",0.932954370666449,0.000716066411159622
"Zotu467","Com_10159_pos",0.850314645958414,0.00747141463995349
"Zotu65","Com_10159_pos",-0.850314645958414,0.00747141463995349
"Zotu287","Com_10159_pos",-0.874267171196679,0.00451238560365086
"Zotu1834","Com_10159_pos",-0.862290908577547,0.00587299067229696
"Zotu15433","Com_10159_pos",-0.84343471224579,0.00850323414517939
"Zotu450","Com_10159_pos",0.850314645958414,0.00747141463995349
"Zotu2110","Com_10159_pos",0.922172221673209,0.00111081735780605
"Zotu1942","Com_10159_pos",-0.904761904761905,0.00200827550542959
"Zotu1511","Com_10159_pos",0.886243433815812,0.00337334293235236
"Zotu734","Com_10159_pos",0.898219696434944,0.00243879679638237
"Zotu1722","Com_10176_pos",-0.910195959054077,0.00169086088623827
"Zotu1032","Com_10176_pos",-0.886243433815812,0.00337334293235236
"Zotu669","Com_10176_pos",-0.886243433815812,0.00337334293235236
"Zotu802","Com_10176_pos",0.867532846881384,0.00524913643910851
"Zotu528","Com_10176_pos",-0.855483779563587,0.0067513302509381
"Zotu429","Com_10176_pos",0.855483779563587,0.0067513302509381
"Zotu113","Com_10176_pos",0.880952380952381,0.00385032046373235
"Zotu257","Com_10176_pos",-0.871575793648919,0.00479825734117556
"Zotu7","Com_1018_pos",-0.862290908577547,0.00587299067229696
"Zotu548","Com_1018_pos",0.879581914199181,0.00398055887902271
"Zotu274","Com_1018_pos",0.880952380952381,0.00385032046373235
"Zotu315","Com_1018_pos",0.928571428571429,0.000862968182899992
"Zotu675","Com_1018_pos",-0.838338383339281,0.00932311573505595
"Zotu110","Com_1018_pos",-0.922172221673209,0.00111081735780605
"Zotu230","Com_1018_pos",-0.850314645958414,0.00747141463995349
"Zotu2220","Com_1018_pos",-0.945230086069955,0.000394051932087081
"Zotu445","Com_1018_pos",0.838338383339281,0.00932311573505595
"Zotu311","Com_1018_pos",-0.867532846881384,0.00524913643910851
"Zotu2086","Com_1018_pos",-0.850314645958414,0.00747141463995349
"Zotu89","Com_1018_pos",-0.838338383339281,0.00932311573505595
"Zotu132","Com_1018_pos",-0.874267171196679,0.00451238560365086
"Zotu740","Com_1018_pos",-0.909241209316635,0.00174407533674259
"Zotu522","Com_10184_pos",0.850314645958414,0.00747141463995349
"Zotu256","Com_10184_pos",-0.904761904761905,0.00200827550542959
"Zotu421","Com_10184_pos",0.862290908577547,0.00587299067229696
"Zotu902","Com_10184_pos",-0.879581914199181,0.00398055887902271
"Zotu361","Com_10198_pos",-0.880952380952381,0.00385032046373235
"Zotu9001","Com_10198_pos",0.975900072948533,3.43640280759949e-05
"Zotu1831","Com_10198_pos",-0.922172221673209,0.00111081735780605
"Zotu185","Com_10198_pos",-0.886243433815812,0.00337334293235236
"Zotu2578","Com_10198_pos",0.910195959054077,0.00169086088623827
"Zotu999","Com_10198_pos",-0.928571428571429,0.000862968182899992
"Zotu335","Com_10198_pos",-0.910195959054077,0.00169086088623827
"Zotu1083","Com_10198_pos",-0.84343471224579,0.00850323414517939
"Zotu3250","Com_10198_pos",-0.97007727214974,6.54855883110983e-05
"Zotu607","Com_10198_pos",-0.934148484292342,0.000679105745231112
"Zotu927","Com_10198_pos",-0.880952380952381,0.00385032046373235
"Zotu3484","Com_10198_pos",-0.879581914199181,0.00398055887902271
"Zotu9655","Com_10198_pos",-0.928571428571429,0.000862968182899992
"Zotu450","Com_10198_pos",0.898219696434944,0.00243879679638237
"Zotu20616","Com_10198_pos",0.874267171196679,0.00451238560365086
