"Source","Target","cor","p"
"Zotu1042","Com_1_neg",0.862290908577547,0.00587299067229696
"Zotu827","Com_1_neg",-0.857142857142857,0.00653001725471536
"Zotu52","Com_1_neg",-0.880952380952381,0.00385032046373235
"Zotu799","Com_1_neg",-0.857142857142857,0.00653001725471536
"Zotu1447","Com_1_neg",0.928571428571429,0.000862968182899992
"Zotu1445","Com_1_neg",0.898219696434944,0.00243879679638237
"Zotu95","Com_100_neg",-0.922172221673209,0.00111081735780605
"Zotu4632","Com_100_neg",-0.857142857142857,0.00653001725471536
"Zotu1209","Com_100_neg",-0.874267171196679,0.00451238560365086
"Zotu431","Com_100_neg",0.862290908577547,0.00587299067229696
"Zotu5053","Com_100_neg",0.87831006565368,0.0041039337200317
"Zotu251","Com_100_neg",0.880952380952381,0.00385032046373235
"Zotu1026","Com_100_neg",0.904761904761905,0.00200827550542959
"Zotu80","Com_100_neg",0.898219696434944,0.00243879679638237
"Zotu444","Com_10015_pos",0.898219696434944,0.00243879679638237
"Zotu1205","Com_10015_pos",-0.904761904761905,0.00200827550542959
"Zotu1252","Com_10015_pos",0.850314645958414,0.00747141463995349
"Zotu1371","Com_10032_pos",-0.857142857142857,0.00653001725471536
"Zotu7979","Com_10032_pos",0.857142857142857,0.00653001725471536
"Zotu6119","Com_10032_pos",0.880952380952381,0.00385032046373235
"Zotu1186","Com_10032_pos",0.838338383339281,0.00932311573505595
"Zotu1496","Com_10032_pos",0.880952380952381,0.00385032046373235
"Zotu821","Com_10032_pos",0.838338383339281,0.00932311573505595
"Zotu224","Com_10032_pos",0.928571428571429,0.000862968182899992
"Zotu1346","Com_10032_pos",0.898219696434944,0.00243879679638237
"Zotu20151","Com_10032_pos",0.946124746911475,0.000375311873790363
"Zotu60","Com_10032_pos",0.904761904761905,0.00200827550542959
"Zotu551","Com_10032_pos",0.898219696434944,0.00243879679638237
"Zotu231","Com_10032_pos",0.934148484292342,0.000679105745231112
"Zotu361","Com_10032_pos",0.898219696434944,0.00243879679638237
"Zotu7661","Com_10032_pos",0.862290908577547,0.00587299067229696
"Zotu230","Com_10032_pos",0.862290908577547,0.00587299067229696
"Zotu313","Com_10032_pos",0.880952380952381,0.00385032046373235
"Zotu366","Com_10032_pos",0.934148484292342,0.000679105745231112
"Zotu111","Com_10032_pos",-0.896127224455931,0.00258810966086509
"Zotu3071","Com_10032_pos",0.910195959054077,0.00169086088623827
"Zotu697","Com_10032_pos",-0.910195959054077,0.00169086088623827
"Zotu498","Com_10032_pos",0.928571428571429,0.000862968182899992
"Zotu287","Com_10032_pos",0.880952380952381,0.00385032046373235
"Zotu1187","Com_10032_pos",-0.875172349269926,0.00441876432768651
"Zotu245","Com_10032_pos",-0.880952380952381,0.00385032046373235
"Zotu4205","Com_10032_pos",0.927105069301107,0.000916180197308325
"Zotu1934","Com_10032_pos",-0.898219696434944,0.00243879679638237
"Zotu533","Com_10032_pos",0.880952380952381,0.00385032046373235
"Zotu18441","Com_10032_pos",0.922172221673209,0.00111081735780605
"Zotu685","Com_10032_pos",0.904761904761905,0.00200827550542959
"Zotu474","Com_10032_pos",-0.97007727214974,6.54855883110983e-05
"Zotu1047","Com_10032_pos",0.857142857142857,0.00653001725471536
"Zotu206","Com_10076_pos",-0.874267171196679,0.00451238560365086
"Zotu2253","Com_10076_pos",0.898219696434944,0.00243879679638237
"Zotu1059","Com_10076_pos",-0.857142857142857,0.00653001725471536
"Zotu1403","Com_10076_pos",-0.874267171196679,0.00451238560365086
"Zotu2377","Com_10076_pos",0.84343471224579,0.00850323414517939
"Zotu12744","Com_10076_pos",-0.891630981516978,0.00292868090613485
"Zotu1621","Com_10076_pos",0.934148484292342,0.000679105745231112
"Zotu1445","Com_10076_pos",0.886243433815812,0.00337334293235236
"Zotu1531","Com_10076_pos",-0.904761904761905,0.00200827550542959
"Zotu178","Com_10076_pos",0.880952380952381,0.00385032046373235
