Source,Target,Label,inter
178,110,1,pp
178,724,-1,np
14,337,1,pp
14,683,-1,np
14,649,-1,np
14,661,-1,np
553,514,-1,np
841,125,-1,np
698,646,-1,np
708,618,-1,np
708,99,-1,np
182,545,-1,np
182,88,-1,np
135,386,1,pp
746,227,-1,np
752,536,-1,np
752,413,-1,np
198,727,-1,np
198,452,-1,np
198,209,-1,np
198,750,-1,np
115,508,1,pp
780,418,-1,np
63,229,-1,np
63,516,1,pp
214,544,-1,np
321,494,-1,np
321,303,1,pp
463,440,-1,np
536,386,-1,np
695,362,1,pp
695,173,-1,np
695,652,1,pp
609,314,1,pp
609,737,1,pp
95,224,1,pp
168,782,-1,np
168,552,-1,np
633,288,1,pp
633,702,1,pp
517,732,-1,np
517,266,1,pp
517,596,-1,np
435,146,-1,np
435,248,-1,np
435,20,-1,np
200,527,-1,np
200,758,-1,np
415,578,-1,np
415,712,1,pp
220,838,-1,np
719,54,-1,np
349,560,1,pp
636,326,1,pp
667,679,-1,np
412,329,1,pp
412,621,1,pp
412,538,1,pp
412,511,-1,np
324,410,-1,np
498,687,-1,np
91,495,-1,np
342,52,-1,np
342,377,1,pp
50,320,-1,np
329,538,1,pp
329,511,-1,np
318,388,1,pp
559,74,-1,np
759,766,1,pp
66,646,1,pp
344,548,-1,np
387,530,-1,np
315,346,-1,np
741,489,1,pp
213,93,1,pp
213,434,1,pp
213,628,1,pp
213,185,-1,np
541,245,1,pp
535,62,1,pp
440,273,-1,np
527,758,1,pp
595,19,1,pp
328,305,1,pp
328,635,1,pp
328,149,1,pp
328,354,1,pp
355,230,-1,np
607,147,-1,np
607,688,-1,np
607,413,-1,np
548,461,-1,np
756,394,-1,np
534,811,-1,np
534,706,-1,np
485,842,-1,np
485,571,1,pp
299,365,1,pp
803,259,1,pp
803,645,-1,np
803,652,1,pp
788,570,-1,np
711,111,-1,np
711,246,-1,np
711,587,-1,np
391,690,-1,np
391,474,1,pp
391,53,-1,np
424,674,-1,np
405,76,-1,np
405,180,-1,np
509,528,-1,np
509,350,1,pp
509,158,1,pp
509,431,-1,np
509,88,-1,np
429,100,1,pp
575,791,1,pp
575,271,-1,np
575,418,-1,np
742,192,1,pp
742,169,1,pp
742,594,-1,np
472,661,-1,np
808,588,1,pp
357,272,-1,np
613,723,-1,np
215,798,-1,np
52,377,-1,np
72,520,1,pp
528,431,1,pp
816,388,-1,np
614,837,-1,np
298,362,-1,np
836,21,-1,np
428,118,1,pp
75,17,-1,np
75,277,1,pp
403,179,-1,np
704,510,1,pp
146,20,1,pp
771,745,1,pp
705,495,-1,np
113,707,1,pp
113,717,1,pp
372,674,-1,np
426,799,1,pp
426,248,1,pp
476,720,-1,np
476,570,1,pp
82,594,-1,np
114,260,-1,np
332,550,-1,np
77,143,1,pp
77,462,-1,np
663,343,1,pp
6,155,-1,np
337,683,-1,np
337,649,-1,np
337,661,-1,np
378,193,-1,np
38,650,-1,np
38,265,-1,np
520,152,-1,np
523,234,-1,np
523,793,1,pp
599,127,-1,np
578,518,1,pp
578,177,1,pp
578,539,-1,np
578,712,-1,np
578,533,-1,np
240,370,1,pp
240,267,1,pp
728,25,1,pp
728,812,1,pp
371,650,-1,np
814,547,1,pp
814,123,1,pp
93,628,1,pp
696,43,-1,np
505,317,-1,np
340,414,1,pp
340,59,1,pp
564,724,1,pp
564,414,1,pp
842,571,-1,np
574,386,-1,np
499,768,1,pp
434,617,1,pp
563,423,-1,np
563,256,-1,np
654,158,1,pp
654,431,-1,np
654,533,-1,np
681,637,1,pp
582,561,1,pp
519,241,1,pp
383,390,1,pp
268,693,-1,np
334,245,1,pp
678,469,1,pp
390,768,1,pp
230,533,-1,np
111,587,1,pp
111,606,1,pp
359,789,1,pp
352,562,-1,np
352,516,1,pp
721,254,1,pp
282,701,1,pp
781,7,1,pp
781,567,1,pp
680,296,1,pp
94,281,1,pp
175,234,1,pp
266,566,-1,np
474,53,-1,np
794,320,-1,np
794,602,-1,np
373,197,1,pp
370,702,1,pp
147,630,1,pp
335,738,1,pp
735,42,-1,np
550,159,-1,np
550,167,-1,np
619,632,1,pp
619,526,-1,np
619,312,1,pp
161,212,-1,np
161,219,-1,np
136,767,1,pp
765,327,-1,np
231,67,-1,np
154,384,-1,np
832,155,1,pp
487,506,1,pp
487,151,1,pp
630,688,1,pp
60,646,-1,np
441,288,-1,np
441,702,-1,np
