Source,Target,Label,inter
659,478,1,pp
323,477,1,pp
862,404,1,pp
210,644,1,pp
210,851,1,pp
782,20,-1,np
757,506,-1,np
487,801,1,pp
836,896,-1,np
38,972,1,pp
942,958,1,pp
649,302,-1,np
105,238,-1,np
308,690,-1,np
838,253,1,pp
838,107,-1,np
838,61,-1,np
490,858,1,pp
125,119,1,pp
795,921,1,pp
795,915,1,pp
108,912,-1,np
108,237,1,pp
358,881,-1,np
510,211,1,pp
510,827,1,pp
162,778,1,pp
162,646,1,pp
162,541,1,pp
162,40,1,pp
121,921,1,pp
379,503,-1,np
530,444,-1,np
867,681,1,pp
304,966,1,pp
939,552,-1,np
3,93,-1,np
289,635,1,pp
67,872,-1,np
67,60,1,pp
172,402,-1,np
53,447,-1,np
53,11,-1,np
175,457,-1,np
621,781,-1,np
666,253,-1,np
592,1022,-1,np
949,479,1,pp
450,327,1,pp
424,715,1,pp
656,321,1,pp
525,200,1,pp
525,193,1,pp
525,879,-1,np
609,642,-1,np
705,526,-1,np
328,383,-1,np
328,628,-1,np
176,938,1,pp
900,641,1,pp
931,225,-1,np
1000,637,1,pp
913,664,1,pp
894,350,-1,np
703,729,1,pp
727,780,1,pp
640,491,-1,np
640,547,1,pp
640,816,1,pp
640,512,-1,np
654,492,1,pp
854,906,1,pp
854,519,-1,np
548,777,-1,np
548,982,-1,np
496,811,-1,np
674,774,1,pp
674,719,1,pp
655,149,1,pp
990,1002,-1,np
990,1030,-1,np
990,413,1,pp
904,562,-1,np
839,199,-1,np
839,70,1,pp
959,780,1,pp
959,792,1,pp
46,186,1,pp
63,88,-1,np
997,217,1,pp
735,876,-1,np
570,230,-1,np
528,706,-1,np
1005,536,1,pp
1005,825,1,pp
642,151,-1,np
751,665,-1,np
751,270,-1,np
751,90,1,pp
751,978,1,pp
639,209,1,pp
690,160,-1,np
93,305,-1,np
529,857,1,pp
547,512,-1,np
614,303,-1,np
750,613,1,pp
750,498,-1,np
633,110,-1,np
633,798,1,pp
686,580,1,pp
385,871,-1,np
385,141,1,pp
732,682,1,pp
560,702,-1,np
227,597,1,pp
227,693,1,pp
532,863,-1,np
644,851,1,pp
515,995,-1,np
1004,858,1,pp
110,574,1,pp
678,878,-1,np
901,359,1,pp
901,221,-1,np
294,766,-1,np
294,948,-1,np
1034,489,1,pp
472,34,1,pp
508,637,1,pp
87,627,-1,np
87,166,1,pp
1007,943,1,pp
1007,341,1,pp
875,766,-1,np
177,433,1,pp
177,922,1,pp
444,961,-1,np
363,418,-1,np
335,504,1,pp
335,178,-1,np
539,399,1,pp
539,322,1,pp
153,416,1,pp
458,119,1,pp
507,57,1,pp
298,292,1,pp
298,1036,-1,np
174,999,-1,np
938,946,-1,np
938,755,-1,np
938,364,1,pp
667,124,1,pp
4,610,-1,np
4,691,-1,np
100,892,1,pp
100,163,1,pp
399,322,1,pp
91,445,-1,np
91,951,-1,np
290,886,-1,np
8,240,-1,np
8,511,1,pp
555,1012,-1,np
246,980,1,pp
246,848,1,pp
300,889,1,pp
131,281,-1,np
