Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
Zotu1395,2,0,0,6.72E-44,1,72,-0.894427191,0
Zotu11972,1,0,0,3.23E-109,0,115,0,0
Zotu3753,2,1,1,3.23E-109,0,138,0,0
Zotu1054,1,0,0,9.96E-142,0,179,0,0
Zotu3468,3,20,32,2.55E-47,0.333333333,7,1.069044968,0
Zotu107,1,0,0,5.12E-13,0,2,-1.305459824,0
Zotu2973,1,0,0,9.96E-142,0,268,0,0
Zotu7661,1,0,0,9.96E-142,0,150,0,0
Zotu4293,2,1,1,3.23E-109,0,101,0,0
Zotu1065,1,0,0,3.23E-109,0,138,0,0
Zotu2662,1,0,0,3.23E-109,0,115,0,0
Zotu1343,2,6,6,4.98E-48,0,19,-0.229415734,0
Zotu2574,1,0,0,3.23E-109,0,116,0,0
Zotu4113,3,1.5,3,4.83E-50,0.666666667,29,0.894427191,0
Zotu1439,3,5,5,4.74E-84,0,42,1.75,0
Zotu987,2,0,0,2.71E-48,1,45,-0.267261242,0
Zotu2784,2,5,5,3.23E-57,0,30,0,0
Zotu1568,2,0,0,1.05E-76,1,78,0,0
Zotu1559,1,0,0,9.96E-142,0,146,0,0
Zotu1514,2,6,6,2.82E-81,0,33,0.447213595,0
Zotu1185,1,0,0,9.96E-142,0,249,0,0
Zotu1738,2,16,29,1.45E-18,0,5,-0.480761974,0
Zotu2795,1,0,0,9.96E-142,0,333,0,0
Zotu2514,1,0,0,9.96E-142,0,327,0,0
Zotu1784,1,0,0,9.96E-142,0,324,0,0
Zotu1894,1,0,0,9.96E-142,0,318,0,0
Zotu523,2,1,1,3.23E-109,0,140,0,0
Zotu1109,2,3,3,3.37E-90,0,41,0.816496581,0
Zotu83,2,1,1,3.23E-109,0,126,0,0
Zotu609,1,0,0,9.96E-142,0,301,0,0
Zotu705,2,11,28,1.52E-29,0,0,-0.277350098,0
Zotu472,1,0,0,3.19E-64,0,6,-1.354006401,0
Zotu556,1,0,0,9.96E-142,0,288,0,0
Zotu1022,1,0,0,9.96E-142,0,283,0,0
Zotu2322,2,1,1,3.23E-109,0,124,0,0
Zotu820,1,0,0,9.96E-142,0,275,0,0
Zotu1479,2,8,8,4.74E-84,0,20,0.632455532,0
Zotu2094,3,0,0,1.14E-38,1,53,0,0
Zotu1179,2,10,10,2.57E-75,0,26,0.377964473,0
Zotu2131,1,0,0,9.96E-142,0,269,0,0
Zotu241,2,0,0,1.05E-76,1,78,0,0
Zotu32,1,0,0,5.70E-46,0,58,-1.107823419,0
Zotu943,1,0,0,9.96E-142,0,261,0,0
Zotu27,2,0,0,4.82E-69,1,83,0,0
Zotu110,1,0,0,0.002909846,0,1,-1.626345597,0
Zotu37,2,6,6,1.15E-66,0,25,0,0
Zotu19,3,6,6,1.91E-66,0.333333333,25,1.732050808,0
Zotu736,2,0,0,9.25E-48,1,19,-0.229415734,0
Zotu437,1,0,0,9.96E-142,0,249,0,0
Zotu156,1,0,0,2.10E-35,0,4,-1.111873975,0
Zotu2856,1,0,0,9.96E-142,0,245,0,0
Zotu426,2,0,0,1.05E-76,1,94,0,0
Zotu733,1,0,0,9.96E-142,0,246,0,0
Zotu963,5,8,8,4.63E-48,0.2,45,2.138089935,0
Zotu221,1,0,0,9.96E-142,0,237,0,0
Zotu1211,1,0,0,9.96E-142,0,294,0,0
Zotu1034,1,0,0,1.14E-18,0,5,-1.098884512,0
Zotu406,2,6.833333333,17,1.69E-18,0,5,-0.480761974,0
Zotu303,3,9.5,17,9.92E-64,0,6,1.354006401,0
Zotu470,1,0,0,9.96E-142,0,226,0,0
Zotu386,1,0,0,9.98E-97,0,63,-1,0
Zotu1734,1,0,0,9.96E-142,0,234,0,0
Zotu582,1,0,0,7.62E-35,0,67,-1.133893419,0
Zotu1010,1,0,0,9.96E-142,0,218,0,0
Zotu65,1,0,0,9.96E-142,0,216,0,0
Zotu525,1,0,0,9.96E-142,0,214,0,0
Zotu923,1,0,0,9.96E-142,0,211,0,0
Zotu682,4,7.5,15,7.82E-35,0.5,4,1.33424877,0
Zotu405,2,0,0,7.80E-48,1,19,-0.229415734,0
Zotu169,1,0,0,9.96E-142,0,207,0,0
Zotu852,2,0,0,1.05E-76,1,92,0,0
Zotu640,2,9,9,4.74E-84,0,20,0.632455532,0
Zotu748,2,0,0,4.82E-69,1,77,0,0
Zotu1285,3,0,0,4.43E-29,1,68,-0.267261242,0
Zotu1143,1,0,0,9.98E-97,0,48,-1,0
Zotu1274,2,33,35,6.85E-30,0,0,-0.277350098,0
Zotu1117,2,2,2,1.62E-96,0,49,1,0
Zotu1319,3,7,16,2.67E-37,0.333333333,47,0.353553391,0
Zotu486,1,0,0,9.96E-142,0,341,0,0
Zotu3454,1,0,0,3.23E-109,0,112,0,0
Zotu2348,1,0,0,9.96E-142,0,190,0,0
Zotu1273,2,2,2,1.62E-96,0,61,1,0
Zotu1690,1,0,0,9.96E-142,0,187,0,0
Zotu385,2,1,1,3.23E-109,0,103,0,0
Zotu4950,1,0,0,9.96E-142,0,282,0,0
Zotu1679,1,0,0,9.96E-142,0,195,0,0
Zotu49,3,2,2,5.64E-69,0.333333333,83,1.414213562,0
Zotu82,1,0,0,3.23E-109,0,128,0,0
Zotu14,1,0,0,9.96E-142,0,183,0,0
Zotu899,5,4.666666667,28,0.437124716,0.8,1,0.919238816,0
Zotu53,1,0,0,9.96E-142,0,188,0,0
Zotu172,2,10,10,2.80E-73,0,17,0.301511345,0
Zotu10,4,16.33333333,23,6.39E-38,0,9,1.436842416,0
Zotu395,1,0,0,9.98E-97,0,62,-1,0
Zotu18,2,2,2,1.62E-96,0,55,1,0
Zotu974,1,0,0,9.96E-142,0,185,0,0
Zotu965,1,0,0,2.60E-69,0,83,-1.414213562,0
Zotu490,1,0,0,9.96E-142,0,253,0,0
Zotu2064,1,0,0,9.96E-142,0,192,0,0
Zotu906,1,0,0,9.96E-142,0,168,0,0
Zotu7980,2,3,3,4.74E-84,0,42,0.5,0
Zotu594,1,0,0,9.96E-142,0,228,0,0
Zotu2716,1,0,0,3.23E-109,0,114,0,0
Zotu344,5,4.666666667,28,0.437124716,0.8,1,0.919238816,0
Zotu1461,1,0,0,4.31E-48,0,19,-1.147078669,0
Zotu230,2,1,1,3.23E-109,0,105,0,0
Zotu588,3,0.5,1,1.90E-53,0.666666667,69,1,0
Zotu612,1,0,0,9.96E-142,0,231,0,0
Zotu366,1,0,0,2.82E-11,0,2,-1.305459824,0
Zotu1433,1,0,0,9.96E-142,0,333,0,0
Zotu2134,1,0,0,9.96E-142,0,299,0,0
Zotu783,1,0,0,3.23E-109,0,98,0,0
Zotu4083,1,0,0,9.96E-142,0,175,0,0
Zotu78,3,5,14,3.64E-37,0.666666667,47,0.353553391,0
Zotu217,1,0,0,3.23E-109,0,110,0,0
Zotu1740,2,2,2,1.62E-96,0,48,1,0
Zotu2482,3,2,2,5.64E-69,0.333333333,89,1.414213562,0
Zotu2790,1,0,0,3.89E-19,0,5,-1.098884512,0
Zotu2820,2,0,0,1.05E-76,1,84,0,0
Zotu6340,4,16,36,4.77E-37,0.333333333,47,1.414213562,0
Zotu2353,1,0,0,9.96E-142,0,149,0,0
Zotu4951,2,0,0,2.18E-58,1,18,0,0
Zotu2282,2,12,15,4.66E-68,0,12,0,0
Zotu7514,4,0,0,3.57E-10,1,2,0.830747161,0
Zotu2494,2,0,0,1.56E-66,1,25,0,0
Zotu508,1,0,0,9.96E-142,0,307,0,0
Zotu1030,1,0,0,9.96E-142,0,145,0,0
Zotu5805,1,0,0,9.96E-142,0,269,0,0
Zotu671,1,0,0,8.59E-35,0,67,-1.133893419,0
Zotu1084,3,17,21,1.10E-35,0,4,0.518874522,0
Zotu901,1,0,0,9.96E-142,0,148,0,0
Zotu246,2,1,1,3.23E-109,0,136,0,0
Zotu1201,2,1,1,3.23E-109,0,99,0,0
Zotu3627,2,0,0,1.05E-76,1,79,0,0
Zotu1177,2,1,1,3.23E-109,0,125,0,0
Zotu1203,1,0,0,9.96E-142,0,166,0,0
Zotu1754,1,0,0,9.96E-142,0,203,0,0
Zotu3275,1,0,0,3.92E-48,0,7,-1.603567451,0
Zotu2066,1,0,0,9.96E-142,0,233,0,0
Zotu567,1,0,0,9.96E-142,0,267,0,0
Zotu3567,1,0,0,9.96E-142,0,159,0,0
Zotu1302,2,4,4,6.45E-67,0,25,0,0
Zotu3982,2,2,2,1.62E-96,0,56,1,0
Zotu1935,1,0,0,2.60E-69,0,91,-1.414213562,0
Zotu3313,1,0,0,9.96E-142,0,258,0,0
Zotu1229,1,0,0,9.96E-142,0,328,0,0
Zotu730,3,0,0,1.14E-38,1,64,0,0
Zotu1063,1,0,0,9.96E-142,0,160,0,0
Zotu581,1,0,0,9.96E-142,0,338,0,0
Zotu349,2,0,0,1.05E-76,1,79,0,0
Zotu111,1,0,0,3.35E-84,0,43,-0.75,0
Zotu5216,3,7.5,24,5.32E-18,0.333333333,5,0.137360564,0
Zotu4885,1,0,0,9.96E-142,0,343,0,0
Zotu2478,1,0,0,3.23E-109,0,142,0,0
Zotu13889,2,0,0,1.05E-76,1,90,0,0
Zotu1191,1,0,0,9.96E-142,0,323,0,0
Zotu8833,1,0,0,3.23E-109,0,142,0,0
Zotu519,1,0,0,2.25E-90,0,40,-1.224744871,0
Zotu6720,2,1,1,3.23E-109,0,139,0,0
Zotu636,2,0,0,1.08E-63,1,16,0,0
Zotu11859,1,0,0,9.40E-87,0,34,-1.414213562,0
Zotu4719,3,11,11,1.06E-63,0,15,1.322875656,0
Zotu3143,2,2,2,1.62E-96,0,61,1,0
Zotu15418,1,0,0,9.96E-142,0,306,0,0
Zotu1412,2,0,0,5.01E-35,1,4,-0.296499727,0
Zotu909,2,0.5,1,4.76E-68,0,12,0,0
Zotu712,1,0,0,6.88E-50,0,8,-1.555634919,0
Zotu2383,3,3,6,3.68E-49,0.666666667,8,0.989949494,0
Zotu2116,1,0,0,9.96E-142,0,316,0,0
Zotu2297,2,9,11,1.75E-64,0,6,0,0
Zotu5442,1,0,0,9.96E-142,0,298,0,0
Zotu3624,1,0,0,9.96E-142,0,295,0,0
Zotu3104,1,0,0,3.23E-109,0,108,0,0
Zotu1209,2,7,14,1.18E-63,0,6,0,0
Zotu677,2,14,18,3.04E-38,0,9,-0.359210604,0
Zotu746,2,16,20,4.17E-64,0,6,0,0
Zotu19547,1,0,0,3.23E-109,0,126,0,0
Zotu3241,1,0,0,1.95E-73,0,17,-0.904534034,0
Zotu2099,2,8,8,1.15E-66,0,13,0,0
Zotu2135,2,0,0,2.56E-66,1,13,0,0
Zotu4677,3,24.5,37,1.13E-63,0,6,1.354006401,0
Zotu1373,2,5.5,11,9.52E-30,0,0,-0.277350098,0
Zotu4492,3,12.5,17,6.70E-68,0,12,2,0
Zotu1338,3,288,418,8.78E-28,0.333333333,0,0.693375245,0
Zotu3779,1,0,0,3.13E-29,0,0,-1.248075442,0
Zotu4078,3,1.5,3,1.09E-43,0.666666667,72,0.447213595,0
Zotu320,1,0,0,9.96E-142,0,267,0,0
Zotu2167,2,64,68,2.11E-29,0,0,-0.277350098,0
