Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
Zotu578,1,0,0,1.35E-167,0,108,0,0
Zotu1821,1,0,0,5.63E-220,0,233,0,0
Zotu10144,2,1,1,2.69E-167,0,113,0,0
Zotu3262,1,0,0,1.28E-102,0,18,-1.732050808,0
Zotu1666,2,8,10,4.21E-72,0,9,-0.40824829,0
Zotu4410,1,0,0,5.63E-220,0,284,0,0
Zotu5925,1,0,0,3.52E-147,0,42,-1,0
Zotu1860,1,0,0,5.63E-220,0,265,0,0
Zotu1300,3,7,7,2.58E-122,0,19,1.788854382,0
Zotu3419,1,0,0,1.35E-167,0,121,0,0
Zotu698,1,0,0,1.35E-167,0,96,0,0
Zotu3569,1,0,0,1.35E-167,0,123,0,0
Zotu1872,1,0,0,5.63E-220,0,200,0,0
Zotu2585,2,3,3,1.18E-136,0,31,0.816496581,0
Zotu2578,2,120,168,2.38E-52,0,1,-0.3086067,0
Zotu3820,1,0,0,5.63E-220,0,162,0,0
Zotu5198,1,0,0,4.21E-127,0,32,-0.75,0
Zotu4418,1,0,0,5.63E-220,0,185,0,0
Zotu3887,2,5,5,9.33E-99,0,10,0,0
Zotu10103,1,0,0,1.09E-107,0,16,-0.693375245,0
Zotu4267,1,0,0,1.26E-109,0,25,-0.603022689,0
Zotu4797,1,0,0,5.63E-220,0,160,0,0
Zotu4633,1,0,0,5.63E-220,0,173,0,0
Zotu4107,1,0,0,5.63E-220,0,216,0,0
Zotu18113,1,0,0,5.63E-220,0,158,0,0
Zotu827,1,0,0,4.04E-45,0,13,-1.214746787,0
Zotu1320,3,86,135,7.06E-54,0,1,0.87438565,0
Zotu10331,1,0,0,1.35E-167,0,92,0,0
Zotu5926,3,0,0,1.84E-53,1,36,0,0
Zotu256,1,0,0,5.63E-220,0,264,0,0
Zotu709,2,96,144,1.50E-53,0,1,-0.3086067,0
Zotu1067,2,117,165,9.07E-53,0,1,-0.3086067,0
Zotu5176,3,4,4,2.19E-99,0.333333333,21,1.58113883,0
Zotu4675,1,0,0,5.62E-100,0,21,-1.58113883,0
Zotu1972,1,0,0,1.35E-167,0,111,0,0
Zotu5083,2,9.5,25,1.59E-19,0,0,-0.620920421,0
Zotu5119,1,0,0,1.35E-167,0,93,0,0
Zotu2922,2,0,0,6.45E-115,1,65,0,0
Zotu4137,2,4,4,1.18E-136,0,28,0.816496581,0
Zotu1305,1,0,0,5.63E-220,0,266,0,0
Zotu707,1,0,0,5.63E-220,0,303,0,0
Zotu1255,1,0,0,1.35E-167,0,91,0,0
Zotu1053,1,0,0,5.63E-220,0,150,0,0
Zotu3707,2,0,0,3.70E-98,1,10,0,0
Zotu1152,4,28.13333333,60,2.26E-55,0,20,1.421338109,0
Zotu462,1,0,0,5.63E-220,0,179,0,0
Zotu363,1,0,0,5.63E-220,0,211,0,0
Zotu3662,1,0,0,1.35E-167,0,87,0,0
Zotu10953,4,0,0,7.40E-10,1,26,0,0
Zotu2329,2,2,2,5.69E-147,0,46,1,0
Zotu9972,2,1,1,2.69E-167,0,142,0,0
Zotu445,2,0,0,3.70E-98,1,10,0,0
Zotu389,3,22,45,2.41E-54,0,1,0.87438565,0
Zotu5200,2,1,2,8.73E-20,0,0,-0.620920421,0
Zotu624,2,0,0,6.45E-115,1,80,0,0
Zotu5055,1,0,0,5.63E-220,0,149,0,0
Zotu780,2,1,1,2.69E-167,0,138,0,0
Zotu1990,1,0,0,5.63E-220,0,228,0,0
Zotu1507,1,0,0,4.20E-105,0,7,-1.1,0
Zotu4421,1,0,0,5.63E-220,0,271,0,0
Zotu725,1,0,0,5.63E-220,0,318,0,0
Zotu688,1,0,0,3.02E-105,0,11,-0.774596669,0
Zotu1386,1,0,0,2.91E-56,0,20,-1.350271204,0
Zotu1187,5,10,22,1.11E-11,0.6,2,1.61245155,0
Zotu166,1,0,0,5.63E-220,0,156,0,0
Zotu258,3,3,4,9.20E-73,0.333333333,53,0.75,0
Zotu1207,1,0,0,5.63E-220,0,272,0,0
Zotu415,2,1,1,2.69E-167,0,86,0,0
